Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Базарносызганская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	52	5	2	3	1	4	0	1	1	0	5	3	1	3	1	2	8	0	1	2	4	5					
		0.92%	0.64%	0.26%	0.41%	0.57%	1.63%	0.0%	0.49%	2.08%	0.0%	1.62%	2.67%	0.58%	0.76%	0.69%	2.63%	2.63%	0.0%	0.52%	1.92%	4.70%	1.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	29	8	3	1	0	5	0	1	0	0	1	0	1	0	0	2	0	0	0	1	1	5					
		0.51%	1.02%	0.40%	0.13%	0.0%	2.04%	0.0%	0.49%	0.0%	0.0%	0.32%	0.0%	0.58%	0.0%	0.0%	2.63%	0.0%	0.0%	0.0%	0.96%	1.17%	1.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	100	8	27	18	2	8	0	5	1	0	5	3	4	2	3	2	0	1	2	4	1	4					
		1.78%	1.02%	3.62%	2.48%	1.15%	3.27%	0.0%	2.46%	2.08%	0.0%	1.62%	2.67%	2.35%	0.50%	2.08%	2.63%	0.0%	1.19%	1.05%	3.84%	1.17%	1.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	42	13	10	6	1	1	0	1	0	0	5	0	1	1	0	0	0	1	0	1	0	1					
		0.75%	1.66%	1.34%	0.82%	0.57%	0.40%	0.0%	0.49%	0.0%	0.0%	1.62%	0.0%	0.58%	0.25%	0.0%	0.0%	0.0%	1.19%	0.0%	0.96%	0.0%	0.26%					
22	"5. ""За Русь Святую"""	23	4	2	3	1	3	0	0	0	0	2	0	1	0	1	0	0	1	1	0	3	1					
		0.41%	0.51%	0.26%	0.41%	0.57%	1.22%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.58%	0.0%	0.69%	0.0%	0.0%	1.19%	0.52%	0.0%	3.52%	0.26%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	1	1	2	0	2	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0					
		0.19%	0.12%	0.13%	0.27%	0.0%	0.81%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	1.31%	0.0%	1.19%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	6	4	4	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2					
		0.42%	0.76%	0.53%	0.55%	0.0%	1.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	2.35%	0.53%					
25	"8. ""Народно-республиканская партия России"""	10	2	0	3	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0					
		0.17%	0.25%	0.0%	0.41%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.32%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	2	2	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	6					
		0.26%	0.0%	0.26%	0.27%	0.0%	0.40%	0.0%	0.49%	2.08%	0.0%	0.0%	0.0%	0.58%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.60%					
27	"10. ""Аграрная партия России"""	261	22	18	23	10	27	10	6	2	8	17	1	7	36	5	8	37	2	10	0	4	8					
		4.66%	2.81%	2.41%	3.17%	5.78%	11.06%	11.36%	2.95%	4.16%	3.17%	5.51%	0.89%	4.11%	9.16%	3.47%	10.52%	12.17%	2.38%	5.29%	0.0%	4.70%	2.13%					
28	"11. ""Истинные патриоты России"""	18	4	0	0	11	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0					
		0.32%	0.51%	0.0%	0.0%	6.35%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	31	4	1	9	0	0	0	2	1	5	1	0	1	0	0	0	0	1	1	1	0	4					
		0.55%	0.51%	0.13%	1.24%	0.0%	0.0%	0.0%	0.98%	2.08%	1.98%	0.32%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	1.19%	0.52%	0.96%	0.0%	1.06%					
30	"13. ""Демократическая партия России"""	10	2	4	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0					
		0.17%	0.25%	0.53%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	3	3	1	3	0	0	0	1	0	0	1	2	1	0	0	2	0	1	1	0	0					
		0.33%	0.38%	0.40%	0.13%	1.73%	0.0%	0.0%	0.0%	2.08%	0.0%	0.0%	0.89%	1.17%	0.25%	0.0%	0.0%	0.65%	0.0%	0.52%	0.96%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1					
		0.10%	0.12%	0.13%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%					
33	"16. ""Родина"" (народно-патриотический союз)"""	425	64	63	89	0	13	2	12	1	23	27	4	16	32	13	0	0	0	15	1	19	31					
		7.58%	8.19%	8.46%	12.29%	0.0%	5.32%	2.27%	5.91%	2.08%	9.12%	8.76%	3.57%	9.41%	8.14%	9.02%	0.0%	0.0%	0.0%	7.93%	0.96%	22.35%	8.28%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	1	5	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1					
		0.25%	0.12%	0.67%	0.13%	0.0%	0.40%	1.13%	0.49%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	1.17%	0.26%					
35	"18. ""ЛДПР"""	640	82	88	63	19	20	7	33	5	20	31	4	9	40	19	2	22	9	16	21	9	121					
		11.42%	10.49%	11.82%	8.70%	10.98%	8.19%	7.95%	16.25%	10.41%	7.93%	10.06%	3.57%	5.29%	10.17%	13.19%	2.63%	7.23%	10.71%	8.46%	20.19%	10.58%	32.35%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	79	14	14	8	0	6	0	2	2	4	2	1	4	4	3	1	5	0	5	0	1	3					
		1.41%	1.79%	1.88%	1.10%	0.0%	2.45%	0.0%	0.98%	4.16%	1.58%	0.64%	0.89%	2.35%	1.01%	2.08%	1.31%	1.64%	0.0%	2.64%	0.0%	1.17%	0.80%					
37	"20. ""Политическая партия ""Единая Россия"""	2859	385	344	317	88	109	55	101	23	152	175	73	109	234	90	46	168	35	126	51	31	147					
		51.05%	49.29%	46.23%	43.78%	50.86%	44.67%	62.5%	49.75%	47.91%	60.31%	56.81%	65.17%	64.11%	59.54%	62.5%	60.52%	55.26%	41.66%	66.66%	49.03%	36.47%	39.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	1	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2					
		0.17%	0.12%	0.13%	0.13%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%					
39	"22. ""Развитие предпринимательства"""	8	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0					
		0.14%	0.12%	0.26%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	555	93	104	104	26	32	11	28	5	8	20	15	6	9	5	5	28	31	6	9	4	6					
		9.91%	11.90%	13.97%	14.36%	15.02%	13.11%	12.5%	13.79%	10.41%	3.17%	6.49%	13.39%	3.52%	2.29%	3.47%	6.57%	9.21%	36.90%	3.17%	8.65%	4.70%	1.60%					
																												
41	Против всех	196	39	23	39	5	3	2	6	5	8	8	0	1	8	3	1	11	2	3	4	3	22					
		3.5%	4.99%	3.09%	5.38%	2.89%	1.22%	2.27%	2.95%	10.41%	3.17%	2.59%	0.0%	0.58%	2.03%	2.08%	1.31%	3.61%	2.38%	1.58%	3.84%	3.52%	5.88%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
