Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Усть-Майская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	512	15	8	18	99	69	46	40	85	15	56	9	37	2	4	9									
		14.77%	15.63%	5.80%	26.87%	23.29%	18.60%	12.89%	14.49%	43.59%	2.92%	26.17%	36.00%	7.99%	2.33%	2.67%	9.89%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
