Выборы Президента Российской Федерации																																																																												
																																																																												
"Наименование Избирательной комиссии:    Новосибирск, Кировская"																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720					
11	Число полученных открепительных  удостоверений	1360	15	15	20	30	30	30	30	25	15	10	20	15	20	30	8	10	5	35	20	25	5	25	20	15	25	25	30	25	5	30	25	25	25	20	20	10	20	20	10	15	10	20	20	15	15	15	10	25	20	15	20	20	15	20	20	25	20	25	25	25	18	26	24	25	20	25	10	20	9					
12	Число выданных открепительных удостоверений	707	6	12	10	15	20	0	16	6	9	7	8	8	4	18	6	4	3	22	7	13	1	15	9	13	18	7	22	8	1	16	8	7	19	15	6	8	7	10	1	11	8	5	13	8	9	9	10	7	19	12	13	7	7	14	12	12	12	13	16	16	14	14	14	9	8	13	4	4	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	596	7	7	9	13	14	7	15	10	7	8	6	3	6	13	83	9	6	4	17	19	8	4	4	3	15	0	6	6	2	7	3	8	2	5	6	7	5	4	4	12	8	8	5	6	13	5	8	8	5	8	10	7	11	5	5	4	17	9	16	10	6	3	8	6	7	8	5	6	5					
14	Число неиспользованных открепительных удостоверений	653	9	3	10	15	10	30	14	19	6	3	12	7	16	12	2	6	2	13	13	12	4	10	11	2	7	18	8	17	4	14	17	18	6	5	14	2	13	10	9	4	2	15	7	7	6	6	0	18	1	3	7	13	8	6	8	13	8	12	9	9	4	12	10	16	12	12	6	16	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	4559	54	61	136	98	78	22	116	94	84	72	83	62	62	77	14	16	45	118	56	147	14	53	46	70	59	56	67	46	20	79	60	32	61	76	34	59	68	55	22	55	58	78	74	92	89	75	89	72	66	79	68	90	47	78	83	73	52	84	80	80	43	101	65	37	59	118	37	45	20					
		6.04%	7.03%	4.87%	9.67%	5.87%	5.73%	4.91%	7.70%	9.69%	8.25%	6.49%	7.58%	6.01%	6.19%	5.67%	3.26%	3.28%	7.80%	7.58%	5.93%	13.33%	4.98%	4.84%	5.16%	6.59%	4.66%	4.63%	4.92%	4.03%	3.29%	5.46%	5.38%	2.70%	4.36%	5.05%	3.67%	7.06%	6.07%	4.73%	3.57%	5.03%	4.88%	7.51%	7.51%	7.91%	7.49%	6.47%	7.14%	7.11%	6.61%	7.43%	5.99%	7.13%	4.00%	6.28%	7.40%	6.10%	4.48%	6.00%	5.44%	5.04%	3.61%	9.46%	6.34%	4.38%	4.69%	7.77%	3.60%	4.56%	5.38%					
19	. Малышкин Олег Александрович	1064	9	12	14	14	14	11	16	9	10	12	9	13	10	12	6	11	7	23	18	25	11	29	12	14	17	17	13	18	14	18	21	19	18	23	8	13	12	14	17	34	15	12	16	17	27	17	14	16	11	14	20	14	13	15	11	20	19	32	24	13	20	10	8	8	23	12	18	20	8					
		1.41%	1.17%	0.96%	1.00%	0.84%	1.03%	2.46%	1.06%	0.93%	0.98%	1.08%	0.82%	1.26%	1.00%	0.88%	1.40%	2.25%	1.21%	1.48%	1.90%	2.27%	3.91%	2.65%	1.35%	1.32%	1.34%	1.40%	0.95%	1.58%	2.30%	1.24%	1.88%	1.60%	1.29%	1.53%	0.86%	1.56%	1.07%	1.20%	2.76%	3.11%	1.26%	1.15%	1.62%	1.46%	2.27%	1.47%	1.12%	1.58%	1.10%	1.32%	1.76%	1.11%	1.11%	1.21%	0.98%	1.67%	1.64%	2.28%	1.63%	0.82%	1.68%	0.94%	0.78%	0.95%	1.83%	0.79%	1.75%	2.03%	2.15%					
20	. Миронов Сергей Михайлович	585	5	9	2	4	11	3	14	6	4	2	9	5	14	10	2	3	5	11	2	7	3	10	7	9	8	8	8	14	8	6	19	10	16	16	14	4	10	5	1	11	7	6	6	11	4	2	12	8	13	11	15	11	14	13	8	9	9	10	5	15	8	6	6	12	13	15	10	10	1					
		0.77%	0.65%	0.72%	0.14%	0.24%	0.81%	0.67%	0.93%	0.62%	0.39%	0.18%	0.82%	0.48%	1.40%	0.74%	0.47%	0.61%	0.87%	0.71%	0.21%	0.63%	1.07%	0.91%	0.79%	0.85%	0.63%	0.66%	0.59%	1.23%	1.32%	0.41%	1.70%	0.84%	1.14%	1.06%	1.51%	0.48%	0.89%	0.43%	0.16%	1.01%	0.59%	0.58%	0.61%	0.95%	0.34%	0.17%	0.96%	0.79%	1.30%	1.03%	1.32%	0.87%	1.19%	1.05%	0.71%	0.75%	0.78%	0.71%	0.34%	0.95%	0.67%	0.56%	0.58%	1.42%	1.03%	0.99%	0.97%	1.01%	0.27%					
21	. Путин Владимир Владимирович	49993	521	875	884	1167	909	303	978	577	632	702	709	714	678	925	326	338	387	1010	616	685	204	751	614	675	827	798	889	779	423	1018	768	850	960	999	644	543	748	812	406	738	757	667	583	760	748	764	790	620	658	656	736	817	822	793	728	755	825	912	957	1087	875	665	653	544	810	953	720	715	241					
		66.21%	67.84%	69.89%	62.87%	69.92%	66.74%	67.63%	64.94%	59.48%	62.08%	63.30%	64.75%	69.25%	67.66%	68.06%	75.81%	69.26%	67.07%	64.91%	65.19%	62.10%	72.60%	68.65%	68.91%	63.50%	65.32%	65.95%	65.27%	68.21%	69.57%	70.35%	68.88%	71.61%	68.62%	66.42%	69.47%	64.95%	66.73%	69.88%	65.91%	67.46%	63.67%	64.20%	59.19%	65.35%	62.96%	65.92%	63.35%	61.20%	65.93%	61.71%	64.85%	64.69%	70.02%	63.80%	64.88%	63.13%	71.12%	65.10%	65.06%	68.54%	73.53%	62.27%	63.65%	64.45%	64.34%	62.78%	69.97%	72.44%	64.78%					
22	. Хакамада Ирина Муцуовна	3854	35	54	101	79	69	18	83	72	70	80	72	48	54	120	7	18	15	77	43	71	8	45	66	52	72	77	75	68	20	70	37	52	61	93	47	41	62	51	22	39	58	41	60	55	59	50	44	31	47	63	57	57	43	85	53	63	76	68	81	66	64	33	53	51	58	76	53	50	15					
		5.10%	4.56%	4.31%	7.18%	4.73%	5.07%	4.02%	5.51%	7.42%	6.88%	7.21%	6.58%	4.66%	5.39%	8.83%	1.63%	3.69%	2.60%	4.95%	4.55%	6.44%	2.85%	4.11%	7.41%	4.89%	5.69%	6.36%	5.51%	5.95%	3.29%	4.84%	3.32%	4.38%	4.36%	6.18%	5.07%	4.90%	5.53%	4.39%	3.57%	3.56%	4.88%	3.95%	6.09%	4.73%	4.97%	4.31%	3.53%	3.06%	4.71%	5.93%	5.02%	4.51%	3.66%	6.84%	4.72%	5.27%	6.55%	4.85%	5.51%	4.16%	5.38%	3.09%	5.17%	6.04%	4.61%	5.01%	5.15%	5.07%	4.03%					
23	. Харитонов Николай Михайлович	12177	125	209	211	237	236	69	236	175	163	189	174	150	158	144	62	86	96	232	166	129	31	158	97	186	223	197	247	173	102	200	166	167	224	214	141	133	168	159	128	178	236	190	211	176	212	193	225	210	174	209	194	223	179	203	201	219	136	228	250	247	132	219	198	148	231	286	139	103	66					
		16.13%	16.28%	16.69%	15.01%	14.20%	17.33%	15.40%	15.67%	18.04%	16.01%	17.04%	15.89%	14.55%	15.77%	10.60%	14.42%	17.62%	16.64%	14.91%	17.57%	11.70%	11.03%	14.44%	10.89%	17.50%	17.61%	16.28%	18.14%	15.15%	16.78%	13.82%	14.89%	14.07%	16.01%	14.23%	15.21%	15.91%	14.99%	13.68%	20.78%	16.27%	19.85%	18.29%	21.42%	15.13%	17.85%	16.65%	18.04%	20.73%	17.43%	19.66%	17.09%	17.66%	15.25%	16.33%	17.91%	18.31%	11.72%	16.27%	17.00%	15.57%	11.09%	20.51%	19.30%	17.54%	18.35%	18.84%	13.51%	10.44%	17.74%					
																																																																												
24	Против всех	2599	17	26	47	52	42	10	55	30	46	39	31	29	25	64	12	12	13	71	36	31	8	30	42	48	47	48	58	36	16	46	35	37	46	68	33	36	31	51	14	30	49	31	27	41	42	46	50	47	23	27	31	38	39	41	33	43	34	49	64	60	42	28	39	34	51	53	44	30	15					
		3.44%	2.21%	2.08%	3.34%	3.12%	3.08%	2.23%	3.65%	3.09%	4.52%	3.52%	2.83%	2.81%	2.50%	4.71%	2.79%	2.46%	2.25%	4.56%	3.81%	2.81%	2.85%	2.74%	4.71%	4.52%	3.71%	3.97%	4.26%	3.15%	2.63%	3.18%	3.14%	3.12%	3.29%	4.52%	3.56%	4.31%	2.77%	4.39%	2.27%	2.74%	4.12%	2.98%	2.74%	3.53%	3.54%	3.97%	4.01%	4.64%	2.30%	2.54%	2.73%	3.01%	3.32%	3.30%	2.94%	3.60%	2.93%	3.50%	4.35%	3.78%	3.53%	2.62%	3.80%	4.03%	4.05%	3.49%	4.28%	3.04%	4.03%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
