Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №18																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1500	25	25	25	25	25	25	25	30	30	25	30	25	25	25	25	45	30	25	25	30	45	25	20	30	25	35	25	25	25	30	25	30	30	25	35	30	25	25	25	30	25	25	30	45	30	30	30	30	30	30	30	25	30	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	921	19	14	14	17	17	20	12	25	20	18	16	9	13	15	13	25	22	10	9	12	36	18	7	24	14	27	8	14	23	25	13	15	27	13	24	25	12	20	7	12	10	7	14	45	19	21	16	18	22	18	25	6	16	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2031	48	20	5	10	15	7	43	36	57	65	48	43	76	48	22	58	43	61	7	25	43	48	23	82	45	57	26	74	98	20	21	40	19	42	31	53	4	75	37	5	27	29	27	54	46	25	70	16	44	35	15	30	25	2	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	579	6	11	11	8	8	5	13	5	10	7	14	16	12	10	12	20	8	15	16	18	9	7	13	6	11	8	17	11	2	5	12	15	3	12	11	5	13	5	18	18	15	18	16	0	11	9	14	12	8	12	5	19	14	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	192	4	1	5	2	0	3	3	5	10	3	4	5	2	3	3	1	1	2	1	2	17	9	2	4	4	5	0	2	1	3	5	8	6	2	4	3	4	2	1	2	2	5	0	8	5	2	3	1	10	6	0	0	6	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	6	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	790	14	11	12	20	18	8	5	16	20	22	19	13	18	17	14	19	20	7	14	19	5	17	10	12	16	14	10	18	12	11	8	20	9	10	19	24	13	8	9	11	20	8	32	31	7	12	12	10	16	20	21	15	10	3	8	3									
		2.15%	2.85%	2.64%	2.12%	3.75%	2.81%	1.80%	1.05%	2.70%	3.22%	3.68%	2.51%	2.90%	3.15%	2.49%	3.57%	2.86%	2.66%	1.51%	2.26%	3.33%	0.75%	2.88%	2.82%	2.05%	2.59%	1.90%	1.62%	3.73%	2.02%	1.46%	1.94%	2.47%	1.69%	1.99%	2.50%	2.69%	3.48%	1.37%	1.26%	0.83%	3.79%	1.71%	2.44%	2.35%	0.50%	1.01%	1.70%	1.13%	1.99%	1.81%	2.89%	2.44%	1.15%	2.50%	2.08%	3.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	354	5	3	6	11	9	7	3	5	8	6	8	5	1	6	1	13	6	2	6	10	4	7	1	7	2	3	4	3	5	10	3	12	9	3	8	9	1	7	5	8	6	3	7	10	11	5	6	7	9	24	11	2	10	3	6	2									
		0.96%	1.02%	0.72%	1.06%	2.06%	1.40%	1.57%	0.63%	0.84%	1.29%	1.00%	1.06%	1.12%	0.17%	0.88%	0.26%	1.96%	0.80%	0.43%	0.97%	1.75%	0.60%	1.19%	0.28%	1.19%	0.32%	0.41%	0.65%	0.62%	0.84%	1.33%	0.73%	1.48%	1.69%	0.60%	1.05%	1.01%	0.27%	1.20%	0.70%	0.60%	1.14%	0.64%	0.53%	0.76%	0.79%	0.42%	0.85%	0.79%	1.12%	2.17%	1.52%	0.32%	1.15%	2.50%	1.56%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	533	9	0	7	15	17	7	9	14	1	9	19	8	9	10	5	10	11	8	12	16	19	8	4	9	17	15	6	5	10	8	5	16	13	7	5	14	7	14	5	10	7	5	8	13	10	6	6	10	12	13	11	5	11	3	18	2									
		1.45%	1.83%	0.00%	1.24%	2.81%	2.65%	1.57%	1.89%	2.36%	0.16%	1.51%	2.51%	1.79%	1.57%	1.46%	1.28%	1.51%	1.46%	1.72%	1.94%	2.80%	2.83%	1.36%	1.13%	1.54%	2.75%	2.04%	0.97%	1.04%	1.69%	1.06%	1.21%	1.97%	2.44%	1.40%	0.66%	1.57%	1.87%	2.39%	0.70%	0.75%	1.33%	1.07%	0.61%	0.99%	0.71%	0.51%	0.85%	1.13%	1.49%	1.17%	1.52%	0.81%	1.27%	2.50%	4.68%	2.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18858	170	226	199	179	234	149	255	276	258	212	334	243	261	320	212	275	330	206	301	203	284	218	171	301	253	366	309	285	242	353	246	330	157	257	423	369	153	302	499	1013	298	239	931	862	1096	788	359	436	397	664	308	416	459	54	160	17									
		51.33%	34.55%	54.20%	35.22%	33.52%	36.51%	33.48%	53.57%	46.54%	41.55%	35.45%	44.12%	54.24%	45.63%	46.78%	54.08%	41.42%	43.94%	44.30%	48.63%	35.55%	42.32%	36.95%	48.31%	51.37%	40.94%	49.80%	50.08%	59.01%	40.81%	46.94%	59.71%	40.69%	29.51%	51.30%	55.73%	41.41%	40.91%	51.62%	69.89%	76.40%	56.44%	51.18%	70.85%	65.40%	78.23%	66.39%	50.99%	49.15%	49.38%	59.98%	42.42%	67.53%	52.82%	45.00%	41.56%	17.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	546	5	5	15	16	7	1	10	11	3	11	19	6	7	12	13	10	9	9	12	11	16	11	14	9	10	13	8	4	10	10	1	19	8	10	7	16	8	5	7	8	4	10	7	20	15	7	14	15	16	12	14	6	10	1	5	4									
		1.49%	1.02%	1.20%	2.65%	2.99%	1.09%	0.22%	2.10%	1.85%	0.48%	1.84%	2.51%	1.34%	1.22%	1.75%	3.32%	1.51%	1.20%	1.94%	1.94%	1.93%	2.38%	1.86%	3.95%	1.54%	1.62%	1.77%	1.30%	0.83%	1.69%	1.33%	0.24%	2.34%	1.50%	1.99%	0.92%	1.80%	2.14%	0.85%	0.98%	0.60%	0.76%	2.14%	0.53%	1.52%	1.07%	0.59%	1.99%	1.69%	1.99%	1.08%	1.93%	0.97%	1.15%	0.83%	1.30%	4.21%									
24	"6. Политическая партия ""Гражданская Платформа"""	72	0	0	4	0	0	2	0	1	2	0	1	1	0	3	0	5	5	2	2	2	2	2	1	1	1	3	0	1	3	0	0	0	0	2	0	2	1	1	1	1	3	1	2	1	3	0	2	2	2	1	0	0	3	0	0	0									
		0.20%	0.00%	0.00%	0.71%	0.00%	0.00%	0.45%	0.00%	0.17%	0.32%	0.00%	0.13%	0.22%	0.00%	0.44%	0.00%	0.75%	0.67%	0.43%	0.32%	0.35%	0.30%	0.34%	0.28%	0.17%	0.16%	0.41%	0.00%	0.21%	0.51%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.22%	0.27%	0.17%	0.14%	0.08%	0.57%	0.21%	0.15%	0.08%	0.21%	0.00%	0.28%	0.23%	0.25%	0.09%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2661	37	32	61	43	77	42	45	39	57	36	74	27	24	51	33	45	60	43	48	61	63	60	26	39	40	43	36	29	36	50	21	62	49	35	72	63	35	41	39	45	31	38	71	129	58	78	54	55	59	59	55	24	66	12	40	13									
		7.24%	7.52%	7.67%	10.80%	8.05%	12.01%	9.44%	9.45%	6.58%	9.18%	6.02%	9.78%	6.03%	4.20%	7.46%	8.42%	6.78%	7.99%	9.25%	7.75%	10.68%	9.39%	10.17%	7.34%	6.66%	6.47%	5.85%	5.83%	6.00%	6.07%	6.65%	5.10%	7.64%	9.21%	6.99%	9.49%	7.07%	9.36%	7.01%	5.46%	3.39%	5.87%	8.14%	5.40%	9.79%	4.14%	6.57%	7.67%	6.20%	7.34%	5.33%	7.58%	3.90%	7.59%	10.00%	10.39%	13.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	873	14	15	14	12	16	16	10	12	20	20	20	8	13	24	5	12	25	17	18	16	24	12	9	11	19	13	19	18	9	35	6	32	13	13	17	23	18	15	5	17	11	13	15	15	20	21	17	25	16	17	23	11	21	1	4	8									
		2.38%	2.85%	3.60%	2.48%	2.25%	2.50%	3.60%	2.10%	2.02%	3.22%	3.34%	2.64%	1.79%	2.27%	3.51%	1.28%	1.81%	3.33%	3.66%	2.91%	2.80%	3.58%	2.03%	2.54%	1.88%	3.07%	1.77%	3.08%	3.73%	1.52%	4.65%	1.46%	3.95%	2.44%	2.59%	2.24%	2.58%	4.81%	2.56%	0.70%	1.28%	2.08%	2.78%	1.14%	1.14%	1.43%	1.77%	2.41%	2.82%	1.99%	1.54%	3.17%	1.79%	2.42%	0.83%	1.04%	8.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2510	61	23	59	57	50	46	23	33	57	65	54	29	30	48	1	52	40	28	41	45	63	59	16	42	69	62	54	30	48	55	30	67	53	32	43	84	39	49	33	50	41	41	34	33	39	52	60	78	63	53	61	35	66	4	25	5									
		6.83%	12.40%	5.52%	10.44%	10.67%	7.80%	10.34%	4.83%	5.56%	9.18%	10.87%	7.13%	6.47%	5.24%	7.02%	0.26%	7.83%	5.33%	6.02%	6.62%	7.88%	9.39%	10.00%	4.52%	7.17%	11.17%	8.44%	8.75%	6.21%	8.09%	7.31%	7.28%	8.26%	9.96%	6.39%	5.67%	9.43%	10.43%	8.38%	4.62%	3.77%	7.77%	8.78%	2.59%	2.50%	2.78%	4.38%	8.52%	8.79%	7.84%	4.79%	8.40%	5.68%	7.59%	3.33%	6.49%	5.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	82	0	2	2	1	4	0	1	0	4	1	2	0	5	0	1	2	2	0	0	1	0	1	1	1	1	2	0	2	2	1	1	3	1	1	5	4	0	0	3	1	2	0	0	2	0	3	1	1	2	2	2	1	5	0	3	0									
		0.22%	0.00%	0.48%	0.35%	0.19%	0.62%	0.00%	0.21%	0.00%	0.64%	0.17%	0.26%	0.00%	0.87%	0.00%	0.26%	0.30%	0.27%	0.00%	0.00%	0.18%	0.00%	0.17%	0.28%	0.17%	0.16%	0.27%	0.00%	0.41%	0.34%	0.13%	0.24%	0.37%	0.19%	0.20%	0.66%	0.45%	0.00%	0.00%	0.42%	0.08%	0.38%	0.00%	0.00%	0.15%	0.00%	0.25%	0.14%	0.11%	0.25%	0.18%	0.28%	0.16%	0.58%	0.00%	0.78%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4535	79	49	93	91	91	97	53	92	87	116	85	37	100	103	9	109	133	69	97	88	107	83	53	71	110	109	98	38	117	115	48	123	115	68	69	144	53	63	41	71	46	61	97	33	61	96	93	152	122	94	105	51	91	10	25	24									
		12.34%	16.06%	11.75%	16.46%	17.04%	14.20%	21.80%	11.13%	15.51%	14.01%	19.40%	11.23%	8.26%	17.48%	15.06%	2.30%	16.42%	17.71%	14.84%	15.67%	15.41%	15.95%	14.07%	14.97%	12.12%	17.80%	14.83%	15.88%	7.87%	19.73%	15.29%	11.65%	15.17%	21.62%	13.57%	9.09%	16.16%	14.17%	10.77%	5.74%	5.35%	8.71%	13.06%	7.38%	2.50%	4.35%	8.09%	13.21%	17.14%	15.17%	8.49%	14.46%	8.28%	10.47%	8.33%	6.49%	25.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3054	55	31	54	52	52	36	43	66	75	64	75	46	71	54	88	71	69	53	41	68	50	68	33	53	52	57	46	32	58	51	32	81	57	40	55	87	30	47	26	60	40	24	81	95	53	76	45	61	55	82	74	37	62	19	61	10									
		8.31%	11.18%	7.43%	9.56%	9.74%	8.11%	8.09%	9.03%	11.13%	12.08%	10.70%	9.91%	10.27%	12.41%	7.89%	22.45%	10.69%	9.19%	11.40%	6.62%	11.91%	7.45%	11.53%	9.32%	9.04%	8.41%	7.76%	7.46%	6.63%	9.78%	6.78%	7.77%	9.99%	10.71%	7.98%	7.25%	9.76%	8.02%	8.03%	3.64%	4.52%	7.58%	5.14%	6.16%	7.21%	3.78%	6.40%	6.39%	6.88%	6.84%	7.41%	10.19%	6.01%	7.13%	15.83%	15.84%	10.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	0	3	6	2	1	1	2	1	1	0	1	1	4	1	0	1	1	0	2	1	0	0	0	1	3	0	2	3	1	1	0	3	3	1	4	4	2	4	0	2	0	0	0	6	2	2	1	6	2	4	2	1	10	1	3	0									
		0.28%	0.00%	0.72%	1.06%	0.37%	0.16%	0.22%	0.42%	0.17%	0.16%	0.00%	0.13%	0.22%	0.70%	0.15%	0.00%	0.15%	0.13%	0.00%	0.32%	0.18%	0.00%	0.00%	0.00%	0.17%	0.49%	0.00%	0.32%	0.62%	0.17%	0.13%	0.00%	0.37%	0.56%	0.20%	0.53%	0.45%	0.53%	0.68%	0.00%	0.15%	0.00%	0.00%	0.00%	0.46%	0.14%	0.17%	0.14%	0.68%	0.25%	0.36%	0.28%	0.16%	1.15%	0.83%	0.78%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1210	37	11	22	26	34	29	10	21	24	20	37	13	22	23	7	21	29	13	17	21	21	29	7	23	17	23	18	9	36	34	9	33	20	8	21	33	12	18	25	19	19	12	29	39	23	25	25	15	25	30	33	10	37	9	21	6									
		3.29%	7.52%	2.64%	3.89%	4.87%	5.30%	6.52%	2.10%	3.54%	3.86%	3.34%	4.89%	2.90%	3.85%	3.36%	1.79%	3.16%	3.86%	2.80%	2.75%	3.68%	3.13%	4.92%	1.98%	3.92%	2.75%	3.13%	2.92%	1.86%	6.07%	4.52%	2.18%	4.07%	3.76%	1.60%	2.77%	3.70%	3.21%	3.08%	3.50%	1.43%	3.60%	2.57%	2.21%	2.96%	1.64%	2.11%	3.55%	1.69%	3.11%	2.71%	4.55%	1.62%	4.26%	7.50%	5.45%	6.32%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
