Выборы Президента Российской Федерации																																																																																																																																																																								
																																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																																								
																																																																																																																																																																								
Итоги голосования 																																																																																																																																																																								
																																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1376	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1450	УИК №1451	УИК №1456	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470					
11	Число полученных открепительных  удостоверений	1784	5	5	30	20	30	15	5	5	30	30	30	10	20	10	5	35	45	20	15	30	60	25	32	25	25	25	25	30	40	40	35	37	25	30	30	30	30	5	30	20	35	20	25	30	30	30	20	30	30	35	20	30	45	35	25	45	25	30	35	30	20	30	35	20	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1526	5	3	19	8	22	14	0	2	29	24	22	2	20	8	0	35	45	14	7	26	46	25	28	21	24	25	24	26	32	28	35	37	21	30	28	28	30	1	25	17	29	18	21	19	28	30	16	18	27	32	13	30	45	32	22	37	25	29	31	30	19	27	35	14	28	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1296	4	7	5	14	3	8	0	3	11	10	21	8	17	13	7	72	22	15	19	20	14	19	9	8	13	37	19	22	32	7	12	28	40	21	20	6	9	3	97	55	8	43	74	10	13	28	12	9	13	11	12	16	17	15	26	17	4	13	13	54	6	7	4	46	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	258	0	2	11	12	8	1	5	3	1	6	8	8	0	2	5	0	0	6	8	4	14	0	4	4	1	0	1	4	8	12	0	0	4	0	2	2	0	4	5	3	6	2	4	11	2	0	4	12	3	3	7	0	0	3	3	8	0	1	4	0	1	3	0	6	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	29	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	1	1	0	2	1	0	4	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																																								
18	. Глазьев Сергей Юрьевич	4735	13	6	79	87	106	33	8	15	80	57	104	26	37	28	16	66	79	45	41	81	81	38	69	57	70	63	60	93	67	49	85	66	60	92	102	73	59	4	38	75	52	75	57	105	55	116	66	119	102	93	65	98	107	98	79	115	96	129	117	120	79	94	99	40	59	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	5	7	5	3	0	1	2	1	4	0	1	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	5	0	1	3	2	1	5	3	0	0	0	0	1	5	0	0	0	0	0	1	0	5	0	23	4	0	2	0	1	2	1	0	2	0	7	1	3	0	5	2	2	1	1	4	5	5	1	4	1	2	0	1					
		6.05%	4.32%	3.82%	5.60%	8.47%	6.64%	5.67%	4.71%	5.49%	5.90%	4.45%	5.71%	4.27%	4.55%	4.45%	5.33%	3.88%	5.04%	6.22%	6.27%	4.92%	7.38%	4.51%	5.55%	7.54%	6.31%	4.98%	5.69%	6.70%	5.62%	4.32%	7.14%	3.17%	6.06%	5.47%	7.04%	6.39%	5.05%	3.08%	4.13%	7.35%	5.80%	8.14%	5.30%	6.90%	4.85%	8.09%	7.47%	7.61%	6.80%	5.77%	6.94%	6.33%	6.99%	7.88%	6.87%	8.29%	7.67%	8.54%	7.83%	7.36%	8.58%	7.89%	6.77%	4.16%	5.19%	2.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	7.61%	3.53%	5.32%	8.43%	6.25%	3.70%	0.00%	5.26%	10.00%	5.56%	23.53%	0.00%	5.00%	0.00%	5.56%	0.00%	0.00%	9.52%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	4.42%	0.00%	4.76%	14.29%	8.70%	4.76%	29.41%	10.34%	0.00%	0.00%	0.00%	0.00%	4.35%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	5.88%	0.00%	8.52%	1.45%	0.00%	8.00%	0.00%	4.00%	8.00%	4.17%	0.00%	8.00%	0.00%	20.59%	1.10%	10.00%	0.00%	18.52%	2.30%	2.99%	5.00%	3.12%	14.29%	6.85%	6.67%	1.25%	4.55%	4.00%	13.33%	0.00%	6.67%					
19	. Малышкин Олег Александрович	3764	18	27	63	55	90	20	6	27	58	50	64	25	44	29	18	85	101	51	48	122	48	30	96	29	55	55	53	73	52	48	55	47	43	59	65	52	61	9	45	50	42	25	52	71	74	73	37	76	46	68	56	104	73	59	36	64	61	75	58	81	47	59	84	58	49	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	10	9	3	7	10	0	1	6	1	0	1	0	0	0	1	2	0	3	1	1	0	0	1	3	0	0	3	7	0	0	0	2	0	1	0	1	0	0	4	1	0	1	1	1	0	1	2	5	0	12	4	0	0	0	1	0	0	1	1	0	2	2	9	1	1	4	5	0	2	0	9	1	2	3	0	0	0	0					
		4.81%	5.98%	17.20%	4.46%	5.36%	5.64%	3.44%	3.53%	9.89%	4.27%	3.90%	3.52%	4.11%	5.41%	4.61%	6.00%	5.00%	6.44%	7.05%	7.34%	7.40%	4.38%	3.56%	7.72%	3.84%	4.96%	4.35%	5.03%	5.26%	4.36%	4.23%	4.62%	2.26%	4.34%	3.51%	4.49%	4.55%	5.22%	6.92%	4.89%	4.90%	4.69%	2.71%	4.83%	4.67%	6.52%	5.09%	4.19%	4.86%	3.07%	4.22%	5.98%	6.71%	4.77%	4.74%	3.13%	4.61%	4.88%	4.97%	3.88%	4.97%	5.10%	4.95%	5.75%	6.04%	4.31%	3.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	7.61%	4.71%	10.64%	10.84%	3.75%	8.64%	35.71%	0.00%	5.00%	33.33%	5.88%	0.00%	5.00%	0.00%	0.00%	0.00%	5.56%	9.52%	0.00%	14.29%	4.76%	4.76%	0.00%	0.00%	4.76%	10.71%	0.00%	0.00%	2.65%	38.89%	0.00%	0.00%	0.00%	9.52%	0.00%	3.45%	0.00%	3.45%	0.00%	0.00%	17.39%	3.33%	0.00%	3.70%	7.69%	5.26%	0.00%	4.17%	9.09%	5.88%	0.00%	4.44%	1.45%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	4.00%	4.00%	0.00%	5.88%	2.20%	30.00%	5.00%	3.70%	4.60%	7.46%	0.00%	6.25%	0.00%	12.33%	1.33%	2.50%	3.41%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	909	5	2	15	17	23	7	4	1	16	18	12	2	11	9	1	10	12	8	6	15	18	10	28	8	8	9	13	10	17	9	13	7	16	15	13	16	10	4	7	16	18	10	9	17	15	17	14	16	16	22	15	15	14	9	14	13	10	14	15	30	11	15	22	18	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	1	0	1	0	0	1	0	0	0	1	0	0	14	0	0	0	0	0	0	0	3	0	0	0	0	2	3	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	2	2	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	15	1	0	0	2	0	0	0	1					
		1.16%	1.66%	1.27%	1.06%	1.66%	1.44%	1.20%	2.35%	0.37%	1.18%	1.41%	0.66%	0.33%	1.35%	1.43%	0.33%	0.59%	0.77%	1.11%	0.92%	0.91%	1.64%	1.19%	2.25%	1.06%	0.72%	0.71%	1.23%	0.72%	1.42%	0.79%	1.09%	0.34%	1.62%	0.89%	0.90%	1.40%	0.86%	3.08%	0.76%	1.57%	2.01%	1.09%	0.84%	1.12%	1.32%	1.19%	1.59%	1.02%	1.07%	1.36%	1.60%	0.97%	0.92%	0.72%	1.22%	0.94%	0.80%	0.93%	1.00%	1.84%	1.19%	1.26%	1.50%	1.87%	1.14%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.44%	6.52%	3.53%	1.06%	0.00%	1.25%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	77.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	8.00%	2.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.34%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	7.69%	0.00%	5.88%	0.00%	0.00%	1.18%	0.00%	0.74%	0.73%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	2.20%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	53.57%	1.37%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	6.67%					
21	. Путин Владимир Владимирович	45583	198	95	748	551	878	328	126	163	815	827	1161	419	535	431	217	1046	935	400	344	959	581	535	740	397	655	725	613	805	673	642	705	1500	564	1022	775	655	665	80	544	551	545	500	617	834	667	736	447	801	785	912	516	909	850	673	606	749	659	833	856	892	494	635	729	562	716	898	33	25	27	19	15	35	16	15	19	25	15	21	15	23	75	56	56	64	52	69	65	14	14	6	8	8	13	16	13	0	15	13	12	11	13	10	10	9	14	11	18	17	16	79	8	11	9	14	8	6	14	13	22	25	20	10	18	24	15	9	13	9	16	11	38	52	190	245	22	21	19	20	20	21	21	19	16	15	80	12	8	16	59	38	14	20	0	33	46	61	46	14	11	22	5					
		58.22%	65.78%	60.51%	53.01%	53.65%	55.01%	56.36%	74.12%	59.71%	60.06%	64.56%	63.79%	68.80%	65.72%	68.52%	72.33%	61.49%	59.63%	55.33%	52.60%	58.19%	52.96%	63.46%	59.49%	52.51%	59.06%	57.36%	58.16%	58.00%	56.41%	56.56%	59.24%	72.01%	56.97%	60.72%	53.52%	57.31%	56.89%	61.54%	59.13%	53.97%	60.83%	54.29%	57.34%	54.83%	58.77%	51.32%	50.62%	51.25%	52.33%	56.54%	55.13%	58.68%	55.56%	54.10%	52.70%	54.00%	52.68%	55.17%	57.30%	54.72%	53.64%	53.27%	49.86%	58.48%	63.03%	73.25%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	83.33%	60.87%	65.88%	68.09%	62.65%	86.25%	80.25%	50.00%	73.68%	30.00%	44.44%	47.06%	65.00%	80.00%	72.22%	0.00%	83.33%	72.22%	57.14%	55.00%	61.90%	47.62%	47.62%	42.86%	63.64%	52.38%	64.29%	58.62%	64.00%	69.91%	44.44%	52.38%	42.86%	60.87%	38.10%	35.29%	48.28%	44.83%	75.86%	100.00%	100.00%	43.48%	60.00%	88.89%	55.56%	69.23%	68.42%	52.94%	66.67%	50.00%	44.71%	70.27%	70.37%	89.09%	88.00%	84.00%	76.00%	80.00%	80.00%	87.50%	84.00%	76.00%	80.00%	44.12%	87.91%	40.00%	40.00%	59.26%	67.82%	56.72%	70.00%	62.50%	0.00%	45.21%	61.33%	76.25%	52.27%	56.00%	73.33%	95.65%	33.33%					
22	. Хакамада Ирина Муцуовна	5285	9	5	82	57	108	53	6	18	119	92	117	38	36	34	16	137	115	58	50	125	146	62	70	52	90	86	56	81	86	72	74	111	44	162	123	73	105	4	79	76	60	85	101	116	87	91	48	102	82	89	78	89	101	84	76	95	74	88	122	112	60	97	100	77	82	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	1	2	2	2	0	1	1	0	0	0	0	1	0	0	0	1	0	2	3	2	0	0	0	0	1	2	0	3	5	2	1	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	12	13	5	0	0	2	1	0	0	0	0	0	2	3	1	2	2	2	0	0	2	0	2	2	0	1	1	0	0	0					
