Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Таврическая																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	4	2	5	4	3	4	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	1	0	0	1	3	1	0	1	0	0	0	0	1	0	0	0									
		0.31%	0.54%	0.47%	0.84%	0.80%	0.62%	0.85%	0.23%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.36%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	1.05%	0.00%	0.00%	0.16%	0.66%	1.72%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1	3	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0									
		0.15%	0.00%	0.24%	0.00%	0.00%	0.00%	0.42%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	1.11%	0.66%	0.75%	0.00%	0.18%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.18%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	1.05%	0.49%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2042	132	63	113	80	98	84	73	95	44	73	40	36	36	9	89	4	90	15	79	17	7	76	20	21	7	20	16	15	9	70	8	78	6	1	8	86	85	7	5	16	84	10	32	51	9	3	11	11									
		15.52%	17.79%	14.89%	19.09%	15.94%	20.16%	17.83%	16.86%	18.74%	16.12%	36.32%	13.89%	24.16%	16.14%	4.81%	18.02%	5.88%	15.87%	16.67%	17.40%	12.78%	7.78%	13.69%	9.76%	12.07%	6.93%	15.04%	13.91%	14.42%	10.23%	13.49%	14.29%	14.08%	6.32%	1.33%	12.50%	13.40%	18.56%	12.07%	22.73%	17.02%	16.83%	11.90%	43.84%	9.66%	9.47%	1.47%	7.64%	24.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	66	2	1	6	4	6	2	1	3	0	3	1	0	1	1	3	0	0	0	2	0	0	3	0	0	0	0	1	0	0	5	0	4	0	0	0	9	2	0	1	0	2	0	1	1	0	1	0	0									
		0.50%	0.27%	0.24%	1.01%	0.80%	1.23%	0.42%	0.23%	0.59%	0.00%	1.49%	0.35%	0.00%	0.45%	0.53%	0.61%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.96%	0.00%	0.72%	0.00%	0.00%	0.00%	1.40%	0.44%	0.00%	4.55%	0.00%	0.40%	0.00%	1.37%	0.19%	0.00%	0.49%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	117	6	5	10	10	7	5	3	10	2	0	2	0	0	3	2	0	8	0	0	2	0	5	0	0	1	0	0	1	2	5	1	2	0	0	0	6	9	0	1	0	2	2	0	5	0	0	0	0									
		0.89%	0.81%	1.18%	1.69%	1.99%	1.44%	1.06%	0.69%	1.97%	0.73%	0.00%	0.69%	0.00%	0.00%	1.60%	0.40%	0.00%	1.41%	0.00%	0.00%	1.50%	0.00%	0.90%	0.00%	0.00%	0.99%	0.00%	0.00%	0.96%	2.27%	0.96%	1.79%	0.36%	0.00%	0.00%	0.00%	0.93%	1.97%	0.00%	4.55%	0.00%	0.40%	2.38%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	5	1	0	1	1	0	1	0	1	0	0	0	0	0	2	0	2	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1									
		0.21%	0.67%	0.24%	0.00%	0.20%	0.21%	0.00%	0.23%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.35%	0.00%	0.22%	0.75%	0.00%	0.18%	0.49%	0.00%	0.99%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.18%	1.05%	0.00%	0.00%	0.00%	0.22%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.49%	0.00%	2.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	114	6	8	5	3	6	6	4	3	10	2	2	0	2	1	2	0	6	0	2	1	0	4	1	1	1	1	1	1	0	5	3	3	0	0	0	5	5	0	0	0	4	0	0	5	2	2	1	0									
		0.87%	0.81%	1.89%	0.84%	0.60%	1.23%	1.27%	0.92%	0.59%	3.66%	0.99%	0.69%	0.00%	0.90%	0.53%	0.40%	0.00%	1.06%	0.00%	0.44%	0.75%	0.00%	0.72%	0.49%	0.57%	0.99%	0.75%	0.87%	0.96%	0.00%	0.96%	5.36%	0.54%	0.00%	0.00%	0.00%	0.78%	1.09%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.95%	2.11%	0.98%	0.69%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3291	176	96	136	124	136	136	116	106	28	35	31	26	51	59	84	11	124	12	102	25	21	160	44	90	17	22	18	27	34	159	8	172	21	20	11	215	170	19	1	23	127	25	15	142	34	72	4	6									
		25.01%	23.72%	22.70%	22.97%	24.70%	27.98%	28.87%	26.79%	20.91%	10.26%	17.41%	10.76%	17.45%	22.87%	31.55%	17.00%	16.18%	21.87%	13.33%	22.47%	18.80%	23.33%	28.83%	21.46%	51.72%	16.83%	16.54%	15.65%	25.96%	38.64%	30.64%	14.29%	31.05%	22.11%	26.67%	17.19%	33.49%	37.12%	32.76%	4.55%	24.47%	25.45%	29.76%	20.55%	26.89%	35.79%	35.29%	2.78%	13.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	3	2	2	0	2	2	3	0	0	0	0	1	1	0	2	1	2	0	1	1	0	1	0	2	1	0	0	0	0	4	0	1	0	1	0	6	1	2	0	0	3	0	0	16	0	0	0	2									
		0.48%	0.40%	0.47%	0.34%	0.00%	0.41%	0.42%	0.69%	0.00%	0.00%	0.00%	0.00%	0.67%	0.45%	0.00%	0.40%	1.47%	0.35%	0.00%	0.22%	0.75%	0.00%	0.18%	0.00%	1.15%	0.99%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.18%	0.00%	1.33%	0.00%	0.93%	0.22%	3.45%	0.00%	0.00%	0.60%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	4.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	377	31	11	18	16	18	17	15	16	8	4	7	2	6	2	14	1	10	2	10	5	1	19	3	6	3	0	4	4	5	19	9	12	8	2	1	24	9	1	0	0	15	4	3	7	2	1	2	0									
		2.87%	4.18%	2.60%	3.04%	3.19%	3.70%	3.61%	3.46%	3.16%	2.93%	1.99%	2.43%	1.34%	2.69%	1.07%	2.83%	1.47%	1.76%	2.22%	2.20%	3.76%	1.11%	3.42%	1.46%	3.45%	2.97%	0.00%	3.48%	3.85%	5.68%	3.66%	16.07%	2.17%	8.42%	2.67%	1.56%	3.74%	1.97%	1.72%	0.00%	0.00%	3.01%	4.76%	4.11%	1.33%	2.11%	0.49%	1.39%	0.00%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
