Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Липецк, Октябрьская №1"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281									
		2.48%	2.08%	1.87%	1.72%	1.60%	2.39%	1.54%	1.05%	1.26%	1.53%	2.85%	2.14%	1.61%	2.01%	2.50%	2.62%	2.38%	2.08%	2.81%	3.81%	2.94%	2.54%	3.30%	1.36%	2.08%	2.97%	2.56%	2.24%	3.23%	2.72%	2.59%	2.72%	3.70%	2.90%	2.42%	2.74%	2.82%	2.36%	1.38%	1.66%	2.33%	2.78%	4.77%	3.09%	3.32%	4.05%	3.19%	2.23%	3.56%	2.65%	1.47%	1.14%	2.02%	2.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	949	22	19	21	15	11	13	18	21	22	22	18	24	16	20	25	27	17	15	17	20	26	22	21	22	11	19	19	12	26	25	19	7	11	28	15	3	16	20	7	17	23	10	10	7	22	20	24	24	18	19	17	19	7									
		2.21%	3.51%	2.96%	2.77%	3.01%	2.39%	2.00%	1.89%	2.65%	2.80%	2.17%	1.83%	3.21%	2.01%	1.99%	2.34%	2.67%	1.86%	1.51%	1.54%	2.26%	2.87%	2.27%	2.19%	2.29%	1.72%	2.56%	2.37%	2.04%	3.53%	2.31%	2.07%	1.18%	1.87%	2.61%	1.52%	1.41%	1.45%	2.77%	1.05%	1.88%	2.21%	1.59%	1.63%	1.16%	1.90%	2.13%	2.23%	2.51%	1.90%	3.98%	3.23%	2.13%	3.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1810	18	34	25	23	13	17	50	30	34	43	41	38	33	39	47	45	22	45	41	40	44	36	45	37	21	29	37	30	29	55	37	25	30	46	44	3	51	31	37	43	41	29	18	23	53	43	39	54	38	14	27	32	11									
		4.22%	2.88%	5.30%	3.30%	4.61%	2.82%	2.62%	5.25%	3.78%	4.33%	4.23%	4.17%	5.09%	4.14%	3.90%	4.40%	4.46%	2.41%	4.52%	3.72%	4.52%	4.86%	3.72%	4.70%	3.85%	3.29%	3.91%	4.61%	5.10%	3.94%	5.09%	4.02%	4.20%	5.11%	4.28%	4.47%	1.41%	4.64%	4.29%	5.57%	4.76%	3.93%	4.61%	2.93%	3.82%	4.57%	4.57%	3.63%	5.65%	4.02%	2.94%	5.13%	3.59%	4.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15330	218	197	251	151	180	208	311	326	279	339	373	277	328	345	378	362	332	343	379	308	266	324	385	331	263	242	271	226	288	343	334	221	211	372	408	172	375	276	229	344	382	217	217	207	402	325	347	356	331	195	182	331	72									
		35.73%	34.82%	30.69%	33.16%	30.26%	39.05%	32.05%	32.67%	41.11%	35.50%	33.37%	37.95%	37.08%	41.15%	34.47%	35.39%	35.84%	36.36%	34.44%	34.36%	34.84%	29.36%	33.44%	40.19%	34.41%	41.16%	32.66%	33.79%	38.44%	39.13%	31.76%	36.30%	37.14%	35.95%	34.64%	41.42%	80.75%	34.09%	38.17%	34.49%	38.10%	36.63%	34.50%	35.28%	34.39%	34.66%	34.57%	32.31%	37.24%	35.03%	40.88%	34.60%	37.15%	32.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	336	1	5	3	4	1	4	4	4	3	7	4	6	5	6	9	4	8	5	8	9	11	6	7	11	4	5	5	6	6	5	12	6	3	7	10	0	4	7	5	14	12	8	6	6	13	10	9	9	8	5	3	12	1									
		0.78%	0.16%	0.78%	0.40%	0.80%	0.22%	0.62%	0.42%	0.50%	0.38%	0.69%	0.41%	0.80%	0.63%	0.60%	0.84%	0.40%	0.88%	0.50%	0.73%	1.02%	1.21%	0.62%	0.73%	1.14%	0.63%	0.67%	0.62%	1.02%	0.82%	0.46%	1.30%	1.01%	0.51%	0.65%	1.02%	0.00%	0.36%	0.97%	0.75%	1.55%	1.15%	1.27%	0.98%	0.99%	1.12%	1.06%	0.84%	0.94%	0.85%	1.05%	0.57%	1.35%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	69	0	1	0	2	0	2	1	1	0	3	1	1	1	4	2	3	0	2	1	0	1	1	1	2	2	1	1	2	1	3	1	1	0	1	2	0	0	1	0	1	1	1	0	0	2	4	3	1	1	3	0	6	0									
		0.16%	0.00%	0.16%	0.00%	0.40%	0.00%	0.31%	0.11%	0.13%	0.00%	0.30%	0.10%	0.13%	0.13%	0.40%	0.19%	0.30%	0.00%	0.20%	0.09%	0.00%	0.11%	0.10%	0.10%	0.21%	0.31%	0.13%	0.12%	0.34%	0.14%	0.28%	0.11%	0.17%	0.00%	0.09%	0.20%	0.00%	0.00%	0.14%	0.00%	0.11%	0.10%	0.16%	0.00%	0.00%	0.17%	0.43%	0.28%	0.10%	0.11%	0.63%	0.00%	0.67%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6839	146	127	144	103	97	148	190	147	166	170	182	153	156	152	166	165	140	139	127	126	124	150	114	136	103	136	129	98	112	172	139	103	92	149	144	6	180	98	100	134	137	105	78	71	162	133	149	127	130	82	96	152	54									
		15.94%	23.32%	19.78%	19.02%	20.64%	21.04%	22.80%	19.96%	18.54%	21.12%	16.73%	18.51%	20.48%	19.57%	15.18%	15.54%	16.34%	15.33%	13.96%	11.51%	14.25%	13.69%	15.48%	11.90%	14.14%	16.12%	18.35%	16.08%	16.67%	15.22%	15.93%	15.11%	17.31%	15.67%	13.87%	14.62%	2.82%	16.36%	13.55%	15.06%	14.84%	13.14%	16.69%	12.68%	11.79%	13.97%	14.15%	13.87%	13.28%	13.76%	17.19%	18.25%	17.06%	24.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	371	8	9	9	3	5	6	6	10	5	12	6	12	9	11	10	5	7	7	9	11	4	5	14	8	5	8	2	6	3	9	6	3	4	13	4	2	8	6	8	5	10	7	1	4	8	9	10	9	12	5	4	8	1									
		0.86%	1.28%	1.40%	1.19%	0.60%	1.08%	0.92%	0.63%	1.26%	0.64%	1.18%	0.61%	1.61%	1.13%	1.10%	0.94%	0.50%	0.77%	0.70%	0.82%	1.24%	0.44%	0.52%	1.46%	0.83%	0.78%	1.08%	0.25%	1.02%	0.41%	0.83%	0.65%	0.50%	0.68%	1.21%	0.41%	0.94%	0.73%	0.83%	1.20%	0.55%	0.96%	1.11%	0.16%	0.66%	0.69%	0.96%	0.93%	0.94%	1.27%	1.05%	0.76%	0.90%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	482	9	3	3	4	3	5	8	3	8	8	5	7	5	11	19	8	6	5	32	7	11	15	6	4	5	3	6	9	5	17	14	8	3	17	12	0	13	14	12	16	15	9	13	7	13	10	14	6	16	9	3	14	4									
		1.12%	1.44%	0.47%	0.40%	0.80%	0.65%	0.77%	0.84%	0.38%	1.02%	0.79%	0.51%	0.94%	0.63%	1.10%	1.78%	0.79%	0.66%	0.50%	2.90%	0.79%	1.21%	1.55%	0.63%	0.42%	0.78%	0.40%	0.75%	1.53%	0.68%	1.57%	1.52%	1.34%	0.51%	1.58%	1.22%	0.00%	1.18%	1.94%	1.81%	1.77%	1.44%	1.43%	2.11%	1.16%	1.12%	1.06%	1.30%	0.63%	1.69%	1.89%	0.57%	1.57%	1.79%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	63	0	0	1	1	1	1	0	3	1	0	1	1	2	4	1	1	0	0	3	1	2	5	2	0	0	2	1	1	0	1	0	0	2	3	0	0	4	2	1	0	1	1	0	2	2	2	0	3	2	0	0	2	0									
		0.15%	0.00%	0.00%	0.13%	0.20%	0.22%	0.15%	0.00%	0.38%	0.13%	0.00%	0.10%	0.13%	0.25%	0.40%	0.09%	0.10%	0.00%	0.00%	0.27%	0.11%	0.22%	0.52%	0.21%	0.00%	0.00%	0.27%	0.12%	0.17%	0.00%	0.09%	0.00%	0.00%	0.34%	0.28%	0.00%	0.00%	0.36%	0.28%	0.15%	0.00%	0.10%	0.16%	0.00%	0.33%	0.17%	0.21%	0.00%	0.31%	0.21%	0.00%	0.00%	0.22%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	932	5	9	4	11	9	9	18	9	9	18	13	14	19	16	21	17	21	16	23	22	20	36	18	19	11	14	6	11	22	31	15	14	11	18	36	0	29	31	21	18	32	25	15	15	17	32	39	22	24	12	14	19	2									
		2.17%	0.80%	1.40%	0.53%	2.20%	1.95%	1.39%	1.89%	1.13%	1.15%	1.77%	1.32%	1.87%	2.38%	1.60%	1.97%	1.68%	2.30%	1.61%	2.09%	2.49%	2.21%	3.72%	1.88%	1.98%	1.72%	1.89%	0.75%	1.87%	2.99%	2.87%	1.63%	2.35%	1.87%	1.68%	3.65%	0.00%	2.64%	4.29%	3.16%	1.99%	3.07%	3.97%	2.44%	2.49%	1.47%	3.40%	3.63%	2.30%	2.54%	2.52%	2.66%	2.13%	0.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7838	111	138	212	98	76	144	201	154	161	221	183	121	124	183	180	163	157	183	200	164	172	192	158	177	102	129	160	84	128	200	158	97	98	180	166	9	204	131	117	175	194	113	118	132	214	154	228	158	183	73	91	141	28									
		18.27%	17.73%	21.50%	28.01%	19.64%	16.49%	22.19%	21.11%	19.42%	20.48%	21.75%	18.62%	16.20%	15.56%	18.28%	16.85%	16.14%	17.20%	18.37%	18.13%	18.55%	18.98%	19.81%	16.49%	18.40%	15.96%	17.41%	19.95%	14.29%	17.39%	18.52%	17.17%	16.30%	16.70%	16.76%	16.85%	4.23%	18.55%	18.12%	17.62%	19.38%	18.60%	17.97%	19.19%	21.93%	18.45%	16.38%	21.23%	16.53%	19.37%	15.30%	17.30%	15.82%	12.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	278	1	2	4	1	4	4	4	0	4	4	1	1	5	11	9	5	13	8	10	2	8	7	6	9	7	2	2	6	3	5	5	1	5	6	5	0	10	4	8	3	5	5	6	3	12	2	12	12	6	4	8	5	3									
		0.65%	0.16%	0.31%	0.53%	0.20%	0.87%	0.62%	0.42%	0.00%	0.51%	0.39%	0.10%	0.13%	0.63%	1.10%	0.84%	0.50%	1.42%	0.80%	0.91%	0.23%	0.88%	0.72%	0.63%	0.94%	1.10%	0.27%	0.25%	1.02%	0.41%	0.46%	0.54%	0.17%	0.85%	0.56%	0.51%	0.00%	0.91%	0.55%	1.20%	0.33%	0.48%	0.79%	0.98%	0.50%	1.03%	0.21%	1.12%	1.26%	0.63%	0.84%	1.52%	0.56%	1.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5344	44	67	42	54	34	50	101	68	60	109	100	55	54	155	147	145	147	173	182	127	165	119	150	145	73	92	125	60	75	158	120	71	81	183	90	2	150	80	92	93	146	55	100	96	161	138	149	112	128	34	57	107	23									
		12.45%	7.03%	10.44%	5.55%	10.82%	7.38%	7.70%	10.61%	8.58%	7.63%	10.73%	10.17%	7.36%	6.78%	15.48%	13.76%	14.36%	16.10%	17.37%	16.50%	14.37%	18.21%	12.28%	15.66%	15.07%	11.42%	12.42%	15.59%	10.20%	10.19%	14.63%	13.04%	11.93%	13.80%	17.04%	9.14%	0.94%	13.64%	11.07%	13.86%	10.30%	13.99%	8.74%	16.26%	15.95%	13.88%	14.68%	13.87%	11.72%	13.54%	7.13%	10.84%	12.01%	10.27%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
