Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Баунтовская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	83	14	33	13	4	0	1	2	0	7	1	3	3	2					
		1.86%	1.67%	3.60%	2.01%	1.66%	0.0%	0.52%	1.08%	0.0%	2.70%	0.50%	1.97%	2.47%	0.60%					
22	"5. ""За Русь Святую"""	17	6	5	1	1	0	0	1	0	0	0	1	0	2					
		0.38%	0.71%	0.54%	0.15%	0.41%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.65%	0.0%	0.60%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	1	1	1	0	0	0	1	1	0	4	3	0	4					
		0.35%	0.11%	0.10%	0.15%	0.0%	0.0%	0.0%	0.54%	0.36%	0.0%	2.02%	1.97%	0.0%	1.20%					
24	"7. ""Новый курс - Автомобильная Россия"""	29	1	9	5	2	1	1	0	2	2	0	2	1	3					
		0.65%	0.11%	0.98%	0.77%	0.83%	0.98%	0.52%	0.0%	0.72%	0.77%	0.0%	1.31%	0.82%	0.90%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	0	1	1	0	0	0	0	0	1	2	2					
		0.15%	0.0%	0.0%	0.0%	0.41%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	1.65%	0.60%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	1	0	1	0	1	0	0	0	1	1	1	1					
		0.17%	0.11%	0.10%	0.0%	0.41%	0.0%	0.52%	0.0%	0.0%	0.0%	0.50%	0.65%	0.82%	0.30%					
27	"10. ""Аграрная партия России"""	166	31	29	21	8	7	22	6	6	6	20	3	3	4					
		3.72%	3.69%	3.16%	3.25%	3.33%	6.86%	11.51%	3.24%	2.17%	2.31%	10.10%	1.97%	2.47%	1.20%					
28	"11. ""Истинные патриоты России"""	10	2	4	3	0	0	0	0	0	0	0	0	1	0					
		0.22%	0.23%	0.43%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	72	13	17	7	3	0	3	2	7	7	1	2	2	8					
		1.61%	1.55%	1.85%	1.08%	1.25%	0.0%	1.57%	1.08%	2.53%	2.70%	0.50%	1.31%	1.65%	2.40%					
30	"13. ""Демократическая партия России"""	15	4	3	2	1	0	0	2	2	0	0	0	0	1					
		0.33%	0.47%	0.32%	0.30%	0.41%	0.0%	0.0%	1.08%	0.72%	0.0%	0.0%	0.0%	0.0%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	1	2	0	0	0	1	0	0	0	0	1	2					
		0.17%	0.11%	0.10%	0.30%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.82%	0.60%					
32	"15. ""Партия СЛОН"""	7	1	1	2	0	1	0	1	0	0	0	0	0	1					
		0.15%	0.11%	0.10%	0.30%	0.0%	0.98%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%					
33	"16. ""Родина"" (народно-патриотический союз)"""	217	38	57	43	22	6	1	3	15	8	6	3	4	11					
		4.86%	4.53%	6.22%	6.65%	9.16%	5.88%	0.52%	1.62%	5.43%	3.08%	3.03%	1.97%	3.30%	3.31%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	0	3	1	0	0	2	1	0	1	2	2	2					
		0.31%	0.0%	0.0%	0.46%	0.41%	0.0%	0.0%	1.08%	0.36%	0.0%	0.50%	1.31%	1.65%	0.60%					
35	"18. ""ЛДПР"""	534	96	99	87	32	15	4	21	37	36	4	32	11	60					
		11.98%	11.45%	10.80%	13.46%	13.33%	14.70%	2.09%	11.35%	13.40%	13.89%	2.02%	21.05%	9.09%	18.07%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	451	87	99	57	19	26	18	6	27	37	42	2	12	19					
		10.12%	10.38%	10.80%	8.82%	7.91%	25.49%	9.42%	3.24%	9.78%	14.28%	21.21%	1.31%	9.91%	5.72%					
37	"20. ""Политическая партия ""Единая Россия"""	1523	299	319	225	68	24	49	83	120	75	36	57	47	121					
		34.17%	35.68%	34.82%	34.82%	28.33%	23.52%	25.65%	44.86%	43.47%	28.95%	18.18%	37.5%	38.84%	36.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	3	2	2	0	0	0	0	1	3	0	0	3	0					
		0.31%	0.35%	0.21%	0.30%	0.0%	0.0%	0.0%	0.0%	0.36%	1.15%	0.0%	0.0%	2.47%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	1	0	3	0	0	0	0	0	2	0	0	0	0					
		0.13%	0.11%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	558	98	131	90	38	7	5	23	24	37	41	13	9	42					
		12.52%	11.69%	14.30%	13.93%	15.83%	6.86%	2.61%	12.43%	8.69%	14.28%	20.70%	8.55%	7.43%	12.65%					
																				
41	Против всех	128	33	21	19	9	1	4	2	4	5	6	7	3	14					
		2.87%	3.93%	2.29%	2.94%	3.75%	0.98%	2.09%	1.08%	1.44%	1.93%	3.03%	4.60%	2.47%	4.21%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
