Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Северская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164	УИК №4165	УИК №4166	УИК №4167	УИК №4168	УИК №4169	УИК №4170					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7134	80	133	146	149	160	174	27	104	127	77	19	135	95	18	3	97	44	98	67	108	243	117	238	112	170	303	112	163	96	26	32	113	110	44	39	41	44	15	200	33	117	127	32	200	63	189	164	156	124	128	145	102	143	54	23	152	97	118	54	41	6	132	142	105	101	135	79	58	24	11					
		12.77%	10.26%	8.69%	10.85%	11.65%	11.85%	11.99%	8.01%	13.90%	13.17%	11.19%	7.82%	12.14%	11.85%	6.90%	1.37%	12.95%	9.17%	9.53%	6.56%	11.78%	20.02%	13.06%	21.08%	12.63%	16.83%	30.70%	17.61%	20.79%	11.06%	6.50%	3.03%	13.00%	16.54%	8.56%	9.29%	33.88%	8.92%	7.54%	18.81%	17.55%	10.74%	13.37%	8.79%	16.71%	3.73%	17.34%	10.24%	15.76%	16.45%	16.14%	16.82%	12.39%	10.89%	5.99%	10.85%	12.62%	13.34%	11.34%	7.42%	9.32%	6.06%	16.77%	18.96%	15.35%	18.50%	14.02%	9.97%	14.83%	12.06%	6.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5599	71	161	134	152	164	172	38	92	134	84	36	20	53	25	2	108	26	124	37	92	106	97	115	123	133	67	120	74	85	34	14	55	45	35	20	11	30	13	34	23	125	144	48	187	83	133	111	128	93	117	98	67	56	61	11	207	127	87	48	63	26	104	106	87	59	95	101	38	16	14					
		10.02%	9.10%	10.52%	9.96%	11.88%	12.15%	11.85%	11.28%	12.30%	13.90%	12.21%	14.81%	1.80%	6.61%	9.58%	0.91%	14.42%	5.42%	12.06%	3.62%	10.03%	8.73%	10.83%	10.19%	13.87%	13.17%	6.79%	18.87%	9.44%	9.79%	8.50%	1.32%	6.33%	6.77%	6.81%	4.76%	9.09%	6.09%	6.53%	3.20%	12.23%	11.48%	15.16%	13.19%	15.62%	4.91%	12.20%	6.93%	12.93%	12.33%	14.75%	11.37%	8.14%	4.27%	6.77%	5.19%	17.19%	17.47%	8.36%	6.59%	14.32%	26.26%	13.21%	14.15%	12.72%	10.81%	9.87%	12.75%	9.72%	8.04%	8.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	550	5	13	14	8	11	10	1	12	15	11	2	15	8	2	0	10	0	9	4	12	9	10	14	8	5	12	7	10	1	3	7	6	9	8	0	5	4	1	2	3	10	12	6	16	9	15	13	18	11	9	10	11	9	4	1	6	8	8	3	7	0	17	5	15	6	15	9	7	3	1					
		0.98%	0.64%	0.85%	1.04%	0.63%	0.81%	0.69%	0.30%	1.60%	1.56%	1.60%	0.82%	1.35%	0.99%	0.77%	0.00%	1.34%	0.00%	0.88%	0.39%	1.31%	0.74%	1.12%	1.24%	0.90%	0.50%	1.22%	1.10%	1.28%	0.12%	0.75%	0.66%	0.69%	1.35%	1.56%	0.00%	4.13%	0.81%	0.50%	0.19%	1.60%	0.92%	1.26%	1.65%	1.34%	0.53%	1.38%	0.81%	1.82%	1.46%	1.13%	1.16%	1.34%	0.69%	0.44%	0.47%	0.50%	1.10%	0.77%	0.41%	1.59%	0.00%	2.16%	0.67%	2.19%	1.10%	1.56%	1.14%	1.79%	1.51%	0.61%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8222	119	182	202	228	204	294	47	182	216	144	42	86	85	15	2	133	33	167	67	146	162	105	143	185	185	81	112	112	99	24	105	107	51	48	43	17	26	4	42	14	261	210	72	218	106	241	219	222	176	144	196	68	88	111	58	25	96	136	53	49	28	193	173	185	107	251	182	27	33	35					
		14.72%	15.26%	11.89%	15.01%	17.83%	15.11%	20.26%	13.95%	24.33%	22.41%	20.93%	17.28%	7.73%	10.60%	5.75%	0.91%	17.76%	6.88%	16.25%	6.56%	15.92%	13.34%	11.72%	12.67%	20.86%	18.32%	8.21%	17.61%	14.29%	11.41%	6.00%	9.93%	12.31%	7.67%	9.34%	10.24%	14.05%	5.27%	2.01%	3.95%	7.45%	23.97%	22.11%	19.78%	18.21%	6.27%	22.11%	13.67%	22.42%	23.34%	18.16%	22.74%	8.26%	6.70%	12.32%	27.36%	2.08%	13.20%	13.06%	7.28%	11.14%	28.28%	24.52%	23.10%	27.05%	19.60%	26.06%	22.98%	6.91%	16.58%	21.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1061	11	19	33	40	46	37	3	15	22	17	5	38	9	10	0	6	6	17	18	16	17	22	26	24	18	16	12	11	25	0	6	8	7	3	0	4	0	3	0	1	20	33	14	32	6	37	26	23	30	19	24	13	13	14	5	9	11	7	17	4	0	16	32	19	19	20	16	7	3	1					
		1.90%	1.41%	1.24%	2.45%	3.13%	3.41%	2.55%	0.89%	2.01%	2.28%	2.47%	2.06%	3.42%	1.12%	3.83%	0.00%	0.80%	1.25%	1.65%	1.76%	1.74%	1.40%	2.46%	2.30%	2.71%	1.78%	1.62%	1.89%	1.40%	2.88%	0.00%	0.57%	0.92%	1.05%	0.58%	0.00%	3.31%	0.00%	1.51%	0.00%	0.53%	1.84%	3.47%	3.85%	2.67%	0.35%	3.39%	1.62%	2.32%	3.98%	2.40%	2.78%	1.58%	0.99%	1.55%	2.36%	0.75%	1.51%	0.67%	2.34%	0.91%	0.00%	2.03%	4.27%	2.78%	3.48%	2.08%	2.02%	1.79%	1.51%	0.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31262	486	987	802	665	747	738	216	330	432	340	128	785	515	173	201	379	366	596	611	526	658	467	546	419	477	499	261	399	547	309	798	494	364	331	238	43	333	127	780	104	527	409	188	520	1415	452	1036	427	307	357	371	556	703	601	114	800	380	677	545	271	38	316	273	257	242	423	388	247	113	92					
		55.97%	62.31%	64.47%	59.58%	51.99%	55.33%	50.86%	64.09%	44.12%	44.81%	49.42%	52.67%	70.59%	64.21%	66.28%	91.78%	50.60%	76.25%	57.98%	59.78%	57.36%	54.20%	52.12%	48.36%	47.24%	47.23%	50.56%	41.04%	50.89%	63.02%	77.25%	75.50%	56.85%	54.74%	64.40%	56.67%	35.54%	67.55%	63.82%	73.38%	55.32%	48.39%	43.05%	51.65%	43.44%	83.68%	41.47%	64.67%	43.13%	40.72%	45.02%	43.04%	67.56%	53.54%	66.70%	53.77%	66.45%	52.27%	65.03%	74.86%	61.59%	38.38%	40.15%	36.45%	37.57%	44.32%	43.93%	48.99%	63.17%	56.78%	56.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	236	1	8	4	9	6	11	2	4	13	3	0	14	6	1	1	3	0	3	1	2	10	5	2	5	5	4	1	1	4	1	2	1	6	0	0	0	3	1	2	0	6	6	1	5	4	6	6	4	0	3	6	0	2	1	0	5	1	2	2	1	1	4	6	3	3	7	3	2	1	0					
		0.42%	0.13%	0.52%	0.30%	0.70%	0.44%	0.76%	0.59%	0.53%	1.35%	0.44%	0.00%	1.26%	0.75%	0.38%	0.46%	0.40%	0.00%	0.29%	0.10%	0.22%	0.82%	0.56%	0.18%	0.56%	0.50%	0.41%	0.16%	0.13%	0.46%	0.25%	0.19%	0.12%	0.90%	0.00%	0.00%	0.00%	0.61%	0.50%	0.19%	0.00%	0.55%	0.63%	0.27%	0.42%	0.24%	0.55%	0.37%	0.40%	0.00%	0.38%	0.70%	0.00%	0.15%	0.11%	0.00%	0.42%	0.14%	0.19%	0.27%	0.23%	1.01%	0.51%	0.80%	0.44%	0.55%	0.73%	0.38%	0.51%	0.50%	0.00%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
