Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская 																																																																																			
																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																			
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	625	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5	10	5	5	10	5	5	10	70	5	5	10	5	5	5	5	10	5	5	5	5	5	5	10	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	207	0	0	0	1	4	7	2	3	0	2	1	3	5	3	4	4	0	0	0	4	3	4	4	3	6	4	0	2	4	3	0	0	1	0	0	6	0	1	6	1	1	4	60	3	1	2	5	0	0	1	3	0	0	0	3	1	0	10	0	1	2	2	5	1	0	0	2	0	2	0	1	0	3	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	164	6	1	0	1	0	1	4	0	2	0	1	1	1	3	2	3	0	2	1	1	4	2	4	5	3	2	2	1	1	0	3	0	3	0	2	3	2	2	1	4	4	2	2	0	5	0	3	2	2	3	0	2	2	3	2	2	0	2	5	1	2	0	5	3	2	5	3	1	5	1	6	11	2	0	2	0					
14	Число погашенных открепительных удостоверений	418	10	10	10	9	6	3	8	7	10	8	9	7	5	7	6	6	10	10	10	6	7	6	6	7	4	6	10	8	6	2	5	5	4	5	5	4	5	4	4	4	4	6	10	2	4	8	0	5	5	4	7	5	5	5	2	4	5	0	5	4	3	3	5	4	5	5	3	5	3	5	4	5	2	5	5	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
18	"1. ""ЕДИНЕНИЕ"""	602	10	8	12	10	12	8	10	5	9	10	12	8	8	17	7	25	8	10	8	6	7	9	12	15	4	8	17	5	5	11	3	2	0	5	1	11	4	3	18	4	13	9	3	15	8	18	8	0	2	8	11	6	5	7	4	2	1	25	7	2	14	6	10	0	1	1	7	13	12	4	10	3	13	3	1	3					
		1.52%	1.81%	1.56%	2.51%	1.29%	1.36%	0.76%	1.25%	0.70%	0.99%	1.22%	1.30%	1.48%	0.80%	2.32%	0.87%	2.49%	1.44%	1.61%	0.88%	0.89%	0.80%	1.15%	1.41%	1.59%	0.47%	0.89%	1.50%	1.04%	1.02%	1.12%	2.43%	2.06%	0.0%	3.18%	0.43%	1.25%	2.13%	2.23%	1.72%	2.53%	2.24%	1.33%	0.66%	2.29%	2.08%	1.70%	1.48%	0.0%	3.33%	5.06%	1.44%	2.07%	3.93%	3.62%	2.53%	1.51%	2.08%	3.14%	6.30%	1.61%	1.92%	0.90%	1.62%	0.0%	1.17%	3.33%	3.39%	3.35%	1.74%	4.39%	2.42%	2.80%	2.14%	2.43%	0.78%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3295	34	49	38	60	67	107	61	80	108	90	111	57	127	67	56	84	64	16	71	49	64	78	68	94	87	75	97	51	33	109	6	8	10	30	10	84	9	6	94	7	49	67	29	58	35	101	31	7	3	8	80	14	8	14	10	5	7	51	5	11	22	53	42	2	4	0	9	16	53	3	15	10	24	1	6	26					
		8.36%	6.17%	9.58%	7.94%	7.75%	7.59%	10.18%	7.63%	11.34%	11.93%	11.01%	12.07%	10.57%	12.75%	9.16%	7.01%	8.37%	11.57%	2.58%	7.83%	7.30%	7.33%	9.98%	7.99%	10.0%	10.32%	8.40%	8.59%	10.69%	6.76%	11.16%	4.87%	8.24%	6.53%	19.10%	4.32%	9.61%	4.81%	4.47%	8.99%	4.43%	8.46%	9.95%	6.45%	8.85%	9.13%	9.57%	5.77%	8.64%	5.0%	5.06%	10.49%	4.84%	6.29%	7.25%	6.32%	3.78%	14.58%	6.42%	4.50%	8.87%	3.02%	7.99%	6.81%	1.68%	4.70%	0.0%	4.36%	4.12%	7.69%	3.29%	3.63%	9.34%	3.95%	0.81%	4.72%	6.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1216	17	10	12	9	16	16	20	12	25	13	23	22	32	27	33	26	17	44	37	22	40	33	38	17	26	31	50	20	17	27	3	5	3	2	17	24	4	5	32	9	22	22	13	16	23	28	10	1	2	9	16	7	6	3	3	4	4	28	4	1	14	15	17	9	3	0	11	12	28	3	8	1	20	3	4	10					
		3.08%	3.08%	1.95%	2.51%	1.16%	1.81%	1.52%	2.50%	1.70%	2.76%	1.59%	2.50%	4.08%	3.21%	3.69%	4.13%	2.59%	3.07%	7.11%	4.08%	3.27%	4.58%	4.22%	4.46%	1.80%	3.08%	3.47%	4.42%	4.19%	3.48%	2.76%	2.43%	5.15%	1.96%	1.27%	7.35%	2.74%	2.13%	3.73%	3.06%	5.69%	3.79%	3.26%	2.89%	2.44%	6.00%	2.65%	1.86%	1.23%	3.33%	5.69%	2.09%	2.42%	4.72%	1.55%	1.89%	3.03%	8.33%	3.52%	3.60%	0.80%	1.92%	2.26%	2.75%	7.56%	3.52%	0.0%	5.33%	3.09%	4.06%	3.29%	1.93%	0.93%	3.29%	2.43%	3.14%	2.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1017	10	20	12	21	23	30	24	22	24	28	23	14	42	16	38	26	22	16	17	21	31	23	18	32	35	35	20	10	11	29	2	1	5	2	9	18	7	1	17	11	11	28	12	14	3	39	5	4	0	0	18	4	5	0	5	2	1	5	1	5	18	8	6	4	2	0	1	12	14	3	4	4	6	3	1	3					
		2.58%	1.81%	3.91%	2.51%	2.71%	2.60%	2.85%	3.00%	3.12%	2.65%	3.42%	2.50%	2.59%	4.21%	2.18%	4.76%	2.59%	3.97%	2.58%	1.87%	3.12%	3.55%	2.94%	2.11%	3.40%	4.15%	3.92%	1.77%	2.09%	2.25%	2.97%	1.62%	1.03%	3.26%	1.27%	3.89%	2.05%	3.74%	0.74%	1.62%	6.96%	1.89%	4.16%	2.67%	2.13%	0.78%	3.69%	0.93%	4.93%	0.0%	0.0%	2.36%	1.38%	3.93%	0.0%	3.16%	1.51%	2.08%	0.62%	0.90%	4.03%	2.47%	1.20%	0.97%	3.36%	2.35%	0.0%	0.48%	3.09%	2.03%	3.29%	0.96%	3.73%	0.98%	2.43%	0.78%	0.74%					
22	"5. ""За Русь Святую"""	303	6	8	2	2	5	9	5	5	3	5	8	6	3	16	9	6	4	2	10	10	4	3	4	4	6	9	3	4	4	7	1	3	1	0	1	11	0	0	9	2	3	3	3	4	1	4	1	2	1	5	13	6	0	4	3	2	0	7	1	1	7	4	4	3	1	0	0	0	9	1	3	1	2	1	2	1					
		0.76%	1.08%	1.56%	0.41%	0.25%	0.56%	0.85%	0.62%	0.70%	0.33%	0.61%	0.87%	1.11%	0.30%	2.18%	1.12%	0.59%	0.72%	0.32%	1.10%	1.49%	0.45%	0.38%	0.47%	0.42%	0.71%	1.00%	0.26%	0.83%	0.81%	0.71%	0.81%	3.09%	0.65%	0.0%	0.43%	1.25%	0.0%	0.0%	0.86%	1.26%	0.51%	0.44%	0.66%	0.61%	0.26%	0.37%	0.18%	2.46%	1.66%	3.16%	1.70%	2.07%	0.0%	2.07%	1.89%	1.51%	0.0%	0.88%	0.90%	0.80%	0.96%	0.60%	0.64%	2.52%	1.17%	0.0%	0.0%	0.0%	1.30%	1.09%	0.72%	0.93%	0.32%	0.81%	1.57%	0.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	111	2	2	0	4	1	5	1	2	0	2	3	2	2	0	2	1	2	2	2	1	6	1	2	3	0	2	3	5	0	7	0	1	0	1	1	2	1	0	1	1	1	2	2	1	1	0	2	3	0	1	1	0	2	0	3	0	0	2	0	1	2	2	0	1	0	0	0	2	0	0	0	0	3	4	1	1					
		0.28%	0.36%	0.39%	0.0%	0.51%	0.11%	0.47%	0.12%	0.28%	0.0%	0.24%	0.32%	0.37%	0.20%	0.0%	0.25%	0.09%	0.36%	0.32%	0.22%	0.14%	0.68%	0.12%	0.23%	0.31%	0.0%	0.22%	0.26%	1.04%	0.0%	0.71%	0.0%	1.03%	0.0%	0.63%	0.43%	0.22%	0.53%	0.0%	0.09%	0.63%	0.17%	0.29%	0.44%	0.15%	0.26%	0.0%	0.37%	3.70%	0.0%	0.63%	0.13%	0.0%	1.57%	0.0%	1.89%	0.0%	0.0%	0.25%	0.0%	0.80%	0.27%	0.30%	0.0%	0.84%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.49%	3.25%	0.78%	0.24%					
24	"7. ""Новый курс - Автомобильная Россия"""	328	0	9	5	3	11	9	5	3	9	20	12	3	6	5	9	11	7	4	6	6	9	4	6	11	3	6	10	0	6	7	0	2	1	1	2	8	0	2	14	1	2	4	5	3	1	17	1	0	2	0	14	1	0	2	0	0	0	7	1	0	2	12	5	0	1	0	0	3	3	2	0	2	1	0	0	1					
		0.83%	0.0%	1.76%	1.04%	0.38%	1.24%	0.85%	0.62%	0.42%	0.99%	2.44%	1.30%	0.55%	0.60%	0.68%	1.12%	1.09%	1.26%	0.64%	0.66%	0.89%	1.03%	0.51%	0.70%	1.17%	0.35%	0.67%	0.88%	0.0%	1.22%	0.71%	0.0%	2.06%	0.65%	0.63%	0.86%	0.91%	0.0%	1.49%	1.33%	0.63%	0.34%	0.59%	1.11%	0.45%	0.26%	1.61%	0.18%	0.0%	3.33%	0.0%	1.83%	0.34%	0.0%	1.03%	0.0%	0.0%	0.0%	0.88%	0.90%	0.0%	0.27%	1.80%	0.81%	0.0%	1.17%	0.0%	0.0%	0.77%	0.43%	2.19%	0.0%	1.86%	0.16%	0.0%	0.0%	0.24%					
25	"8. ""Народно-республиканская партия России"""	72	5	1	0	1	0	0	0	0	0	0	2	0	1	0	3	1	0	5	2	0	0	0	3	0	3	2	2	0	2	3	0	1	1	1	3	1	3	0	0	0	1	2	2	0	1	1	0	0	1	2	0	2	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	2	1	0	0	0	1	0	3	1					
		0.18%	0.90%	0.19%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.10%	0.0%	0.37%	0.09%	0.0%	0.80%	0.22%	0.0%	0.0%	0.0%	0.35%	0.0%	0.35%	0.22%	0.17%	0.0%	0.40%	0.30%	0.0%	1.03%	0.65%	0.63%	1.29%	0.11%	1.60%	0.0%	0.0%	0.0%	0.17%	0.29%	0.44%	0.0%	0.26%	0.09%	0.0%	0.0%	1.66%	1.26%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	1.17%	0.0%	0.0%	0.51%	0.14%	0.0%	0.0%	0.0%	0.16%	0.0%	2.36%	0.24%					
26	"9. ""Российская экологическая партия ""Зеленые"""	120	1	3	0	3	2	7	4	3	4	4	3	1	2	0	1	3	2	3	3	0	5	2	2	9	3	4	4	0	2	2	0	0	0	0	1	3	0	2	3	0	3	1	0	4	0	4	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	2	0	2	1	1	0					
		0.30%	0.18%	0.58%	0.0%	0.38%	0.22%	0.66%	0.50%	0.42%	0.44%	0.48%	0.32%	0.18%	0.20%	0.0%	0.12%	0.29%	0.36%	0.48%	0.33%	0.0%	0.57%	0.25%	0.23%	0.95%	0.35%	0.44%	0.35%	0.0%	0.40%	0.20%	0.0%	0.0%	0.0%	0.0%	0.43%	0.34%	0.0%	1.49%	0.28%	0.0%	0.51%	0.14%	0.0%	0.61%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.15%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	1.09%	0.48%	0.0%	0.32%	0.81%	0.78%	0.0%					
27	"10. ""Аграрная партия России"""	1433	24	11	21	9	13	26	26	18	22	15	20	14	32	17	35	24	12	14	14	18	32	23	21	28	28	21	38	10	16	23	4	2	4	12	12	35	4	3	46	7	31	35	25	14	25	20	20	3	2	11	21	10	1	20	6	7	0	29	7	3	33	66	75	9	9	0	11	17	35	4	37	4	49	8	5	27					
		3.63%	4.35%	2.15%	4.39%	1.16%	1.47%	2.47%	3.25%	2.55%	2.43%	1.83%	2.17%	2.59%	3.21%	2.32%	4.38%	2.39%	2.16%	2.26%	1.54%	2.68%	3.66%	2.94%	2.46%	2.97%	3.32%	2.35%	3.36%	2.09%	3.27%	2.35%	3.25%	2.06%	2.61%	7.64%	5.19%	4.00%	2.13%	2.23%	4.40%	4.43%	5.35%	5.20%	5.56%	2.13%	6.52%	1.89%	3.72%	3.70%	3.33%	6.96%	2.75%	3.46%	0.78%	10.36%	3.79%	5.30%	0.0%	3.65%	6.30%	2.41%	4.53%	9.95%	12.17%	7.56%	10.58%	0.0%	5.33%	4.38%	5.07%	4.39%	8.95%	3.73%	8.07%	6.50%	3.93%	6.73%					
28	"11. ""Истинные патриоты России"""	50	1	1	0	1	2	5	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	2	3	0	2	1	1	2	0	1	0	0	0	2	2	5	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.12%	0.18%	0.19%	0.0%	0.12%	0.22%	0.47%	0.0%	0.14%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.29%	0.0%	0.12%	0.11%	0.10%	0.0%	0.0%	0.0%	0.0%	0.20%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	1.49%	0.28%	0.0%	0.34%	0.14%	0.22%	0.30%	0.0%	0.09%	0.0%	0.0%	0.0%	1.26%	0.26%	1.73%	0.0%	0.0%	0.63%	0.0%	0.0%	0.12%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	755	10	13	9	13	16	22	12	9	20	15	28	13	12	5	19	25	21	32	46	10	12	21	17	14	31	4	22	10	14	17	3	4	2	0	3	6	2	3	11	1	7	8	4	7	4	25	2	2	0	1	16	9	2	2	2	2	1	10	4	4	11	22	10	1	2	0	2	11	14	3	4	0	8	0	0	8					
		1.91%	1.81%	2.54%	1.88%	1.67%	1.81%	2.09%	1.50%	1.27%	2.20%	1.83%	3.04%	2.41%	1.20%	0.68%	2.38%	2.49%	3.79%	5.17%	5.07%	1.49%	1.37%	2.68%	1.99%	1.48%	3.67%	0.44%	1.94%	2.09%	2.86%	1.74%	2.43%	4.12%	1.30%	0.0%	1.29%	0.68%	1.06%	2.23%	1.05%	0.63%	1.20%	1.18%	0.89%	1.06%	1.04%	2.36%	0.37%	2.46%	0.0%	0.63%	2.09%	3.11%	1.57%	1.03%	1.26%	1.51%	2.08%	1.25%	3.60%	3.22%	1.51%	3.31%	1.62%	0.84%	2.35%	0.0%	0.97%	2.83%	2.03%	3.29%	0.96%	0.0%	1.31%	0.0%	0.0%	1.99%					
30	"13. ""Демократическая партия России"""	97	2	2	1	4	2	0	0	1	1	0	0	2	3	1	1	5	1	1	1	1	1	0	2	5	2	1	5	1	1	5	0	2	0	0	0	4	0	0	3	0	2	1	4	1	3	2	0	0	0	0	0	3	0	1	0	0	0	5	1	0	0	2	0	0	0	0	2	4	3	0	0	0	0	1	1	0					
		0.24%	0.36%	0.39%	0.20%	0.51%	0.22%	0.0%	0.0%	0.14%	0.11%	0.0%	0.0%	0.37%	0.30%	0.13%	0.12%	0.49%	0.18%	0.16%	0.11%	0.14%	0.11%	0.0%	0.23%	0.53%	0.23%	0.11%	0.44%	0.20%	0.20%	0.51%	0.0%	2.06%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.28%	0.0%	0.34%	0.14%	0.89%	0.15%	0.78%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.51%	0.0%	0.0%	0.0%	0.62%	0.90%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.97%	1.03%	0.43%	0.0%	0.0%	0.0%	0.0%	0.81%	0.78%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	68	0	2	1	1	3	0	0	0	4	0	0	1	2	0	0	1	1	1	0	0	3	2	1	1	1	2	3	2	0	2	1	2	0	0	1	1	2	0	2	0	1	0	2	4	1	1	3	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	1	1	1	0	0	0	2	0	0	1	0	0	1	0					
		0.17%	0.0%	0.39%	0.20%	0.12%	0.34%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.18%	0.20%	0.0%	0.0%	0.09%	0.18%	0.16%	0.0%	0.0%	0.34%	0.25%	0.11%	0.10%	0.11%	0.22%	0.26%	0.41%	0.0%	0.20%	0.81%	2.06%	0.0%	0.0%	0.43%	0.11%	1.06%	0.0%	0.19%	0.0%	0.17%	0.0%	0.44%	0.61%	0.26%	0.09%	0.55%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.63%	0.75%	0.0%	0.0%	0.0%	0.0%	0.27%	0.15%	0.16%	0.84%	1.17%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.93%	0.0%	0.0%	0.78%	0.0%					
32	"15. ""Партия СЛОН"""	107	3	0	0	1	5	4	2	1	2	2	3	1	4	5	5	6	0	0	0	2	1	4	1	2	3	3	2	0	1	5	0	0	0	0	0	3	0	0	2	0	0	1	0	5	2	5	0	0	0	2	4	2	0	0	0	1	0	1	0	0	0	1	1	0	0	0	4	0	2	0	0	0	0	1	1	1					
		0.27%	0.54%	0.0%	0.0%	0.12%	0.56%	0.38%	0.25%	0.14%	0.22%	0.24%	0.32%	0.18%	0.40%	0.68%	0.62%	0.59%	0.0%	0.0%	0.0%	0.29%	0.11%	0.51%	0.11%	0.21%	0.35%	0.33%	0.17%	0.0%	0.20%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.19%	0.0%	0.0%	0.14%	0.0%	0.76%	0.52%	0.47%	0.0%	0.0%	0.0%	1.26%	0.52%	0.69%	0.0%	0.0%	0.0%	0.75%	0.0%	0.12%	0.0%	0.0%	0.0%	0.15%	0.16%	0.0%	0.0%	0.0%	1.94%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.81%	0.78%	0.24%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3654	81	29	39	58	71	108	93	75	99	75	84	40	132	60	72	95	54	47	75	87	80	97	79	90	91	75	112	45	46	123	6	10	34	15	6	81	33	12	76	9	68	65	42	97	20	112	34	1	0	20	73	14	11	27	10	20	5	72	3	8	40	41	61	7	1	0	19	17	42	5	32	16	43	11	1	22					
		9.27%	14.70%	5.67%	8.15%	7.49%	8.04%	10.27%	11.63%	10.63%	10.93%	9.17%	9.14%	7.42%	13.25%	8.20%	9.02%	9.47%	9.76%	7.60%	8.27%	12.96%	9.16%	12.41%	9.28%	9.57%	10.79%	8.40%	9.92%	9.43%	9.42%	12.60%	4.87%	10.30%	22.22%	9.55%	2.59%	9.26%	17.64%	8.95%	7.27%	5.69%	11.74%	9.65%	9.35%	14.80%	5.22%	10.61%	6.33%	1.23%	0.0%	12.65%	9.58%	4.84%	8.66%	13.98%	6.32%	15.15%	10.41%	9.06%	2.70%	6.45%	5.50%	6.18%	9.90%	5.88%	1.17%	0.0%	9.22%	4.38%	6.09%	5.49%	7.74%	14.95%	7.08%	8.94%	0.78%	5.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	111	2	2	3	1	4	2	1	2	3	0	2	1	0	3	1	4	2	2	2	1	0	2	3	0	0	3	3	1	1	4	0	2	0	1	4	2	1	0	1	1	3	1	1	1	3	2	1	1	0	1	6	0	0	0	0	0	0	0	3	1	5	2	2	1	1	0	0	0	4	0	1	0	1	2	1	0					
