Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3137	45	40	35	50	35	50	55	60	65	55	45	50	55	40	50	40	45	45	35	40	50	55	90	45	35	40	40	40	30	45	55	45	65	55	55	40	50	55	45	45	50	40	45	40	60	90	67	10	55	50	45	50	10	40	40	50	40	35	45	60	50	50	55	50	50	45	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1908	24	19	20	32	25	21	42	44	42	49	19	21	39	20	30	24	27	44	21	19	29	48	22	32	17	20	18	20	19	32	30	26	22	42	39	33	28	22	32	21	36	33	25	27	36	12	65	2	51	39	20	20	0	23	11	39	27	25	41	44	28	26	33	30	42	39	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1641	21	66	29	48	21	10	24	30	13	9	14	15	10	37	30	19	17	36	28	44	24	19	11	21	12	8	13	13	17	38	21	20	22	41	17	19	19	14	28	15	14	53	29	12	16	24	24	14	14	21	26	72	15	18	13	60	36	18	21	13	30	24	20	23	23	43	9	4	11	4	7	12	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	1229	21	21	15	18	10	29	13	16	23	6	26	29	16	20	20	16	18	1	14	21	21	7	68	13	18	20	22	20	11	13	25	19	43	13	16	7	22	33	13	24	14	7	20	13	24	78	2	8	4	11	25	30	10	17	29	11	13	10	4	16	22	24	22	20	8	6	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	178	3	0	1	3	2	0	6	2	5	2	0	1	1	1	1	3	5	9	6	1	0	2	16	5	1	3	2	1	1	4	4	1	0	0	3	3	2	2	2	2	5	2	1	2	5	0	4	0	4	1	0	10	0	10	0	0	2	6	0	4	2	3	4	3	1	3	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	498	5	7	3	15	2	5	8	4	1	4	4	4	7	3	8	12	7	6	6	7	15	9	20	4	9	11	11	7	5	6	9	7	5	9	9	10	1	6	7	5	5	6	11	3	11	8	15	3	8	11	14	10	1	6	9	8	13	9	7	9	8	3	8	3	12	8	0	0	4	1	1	0	0	0									
		0.97%	0.73%	1.22%	0.53%	1.60%	0.39%	0.65%	0.83%	0.54%	0.10%	0.39%	0.84%	0.52%	0.98%	0.82%	1.22%	1.28%	0.94%	0.64%	1.01%	1.01%	1.52%	1.01%	1.52%	0.52%	1.83%	1.50%	1.66%	1.04%	1.03%	0.73%	1.13%	1.12%	0.82%	0.86%	1.48%	1.36%	0.13%	0.60%	0.90%	0.71%	0.49%	0.71%	1.22%	0.37%	1.14%	0.94%	1.61%	1.31%	0.85%	1.22%	1.80%	1.02%	1.10%	0.87%	2.12%	0.86%	1.66%	1.17%	0.84%	1.11%	1.09%	0.43%	0.92%	0.43%	1.37%	0.99%	0.00%	0.00%	1.03%	2.22%	1.30%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1334	23	13	8	27	16	19	20	20	32	36	18	21	12	8	22	27	17	18	26	27	30	23	17	30	14	12	17	20	11	25	22	16	15	27	19	27	23	23	15	16	23	18	16	20	26	14	17	5	29	24	26	29	4	13	8	23	24	21	24	20	22	15	30	15	16	19	3	3	9	0	3	1	2	0									
		2.60%	3.37%	2.26%	1.40%	2.87%	3.15%	2.46%	2.08%	2.72%	3.19%	3.52%	3.80%	2.74%	1.67%	2.18%	3.35%	2.88%	2.28%	1.91%	4.36%	3.88%	3.05%	2.59%	1.29%	3.94%	2.84%	1.63%	2.57%	2.96%	2.26%	3.02%	2.75%	2.55%	2.46%	2.57%	3.11%	3.67%	2.92%	2.31%	1.92%	2.28%	2.27%	2.14%	1.78%	2.47%	2.70%	1.65%	1.82%	2.18%	3.08%	2.65%	3.34%	2.96%	4.40%	1.88%	1.88%	2.49%	3.07%	2.74%	2.87%	2.47%	3.00%	2.15%	3.45%	2.17%	1.83%	2.37%	2.61%	5.88%	2.31%	0.00%	3.90%	0.55%	4.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1243	11	18	17	27	15	14	16	14	11	19	16	16	18	4	16	23	18	16	13	21	18	27	5	10	18	10	15	28	12	30	22	11	12	25	16	30	17	36	18	25	21	14	15	21	44	15	24	12	25	33	16	31	2	18	7	25	21	12	18	19	23	15	24	7	22	23	2	1	23	0	0	0	1	1									
		2.43%	1.61%	3.13%	2.98%	2.87%	2.95%	1.81%	1.66%	1.90%	1.10%	1.86%	3.38%	2.09%	2.51%	1.09%	2.44%	2.45%	2.41%	1.70%	2.18%	3.02%	1.83%	3.04%	0.38%	1.31%	3.65%	1.36%	2.27%	4.14%	2.47%	3.63%	2.75%	1.75%	1.97%	2.38%	2.62%	4.08%	2.15%	3.62%	2.31%	3.56%	2.08%	1.66%	1.67%	2.59%	4.56%	1.77%	2.57%	5.24%	2.66%	3.65%	2.05%	3.16%	2.20%	2.60%	1.65%	2.70%	2.69%	1.57%	2.15%	2.35%	3.14%	2.15%	2.76%	1.01%	2.52%	2.86%	1.74%	1.96%	5.91%	0.00%	0.00%	0.00%	2.00%	7.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19146	236	204	180	303	197	297	335	227	356	334	176	308	264	158	239	489	230	336	203	249	359	309	871	241	141	219	219	217	171	250	262	241	283	436	205	233	305	328	265	221	334	346	312	270	300	490	354	64	353	306	269	346	39	295	201	343	262	412	260	268	255	255	401	330	325	283	62	21	153	24	38	41	30	7									
		37.35%	34.55%	35.48%	31.52%	32.23%	38.78%	38.47%	34.82%	30.84%	35.49%	32.62%	37.13%	40.21%	36.82%	43.05%	36.38%	52.19%	30.83%	35.67%	34.00%	35.78%	36.48%	34.84%	66.29%	31.63%	28.60%	29.80%	33.13%	32.10%	35.19%	30.23%	32.75%	38.44%	46.47%	41.48%	33.61%	31.66%	38.66%	32.96%	33.97%	31.48%	33.00%	41.09%	34.71%	33.33%	31.12%	57.85%	37.94%	27.95%	37.51%	33.85%	34.53%	35.27%	42.86%	42.63%	47.29%	37.08%	33.50%	53.79%	31.10%	33.09%	34.79%	36.48%	46.09%	47.76%	37.23%	35.24%	53.91%	41.18%	39.33%	53.33%	49.35%	22.53%	60.00%	53.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	396	6	7	16	9	2	8	5	4	5	9	1	6	4	0	5	8	14	10	5	6	13	12	4	1	8	8	8	5	6	7	4	0	5	8	0	9	4	12	5	8	4	8	4	11	9	4	11	0	5	3	3	6	2	9	2	7	8	4	4	5	5	6	4	4	4	5	2	0	0	0	0	0	0	0									
		0.77%	0.88%	1.22%	2.80%	0.96%	0.39%	1.04%	0.52%	0.54%	0.50%	0.88%	0.21%	0.78%	0.56%	0.00%	0.76%	0.85%	1.88%	1.06%	0.84%	0.86%	1.32%	1.35%	0.30%	0.13%	1.62%	1.09%	1.21%	0.74%	1.23%	0.85%	0.50%	0.00%	0.82%	0.76%	0.00%	1.22%	0.51%	1.21%	0.64%	1.14%	0.40%	0.95%	0.44%	1.36%	0.93%	0.47%	1.18%	0.00%	0.53%	0.33%	0.39%	0.61%	2.20%	1.30%	0.47%	0.76%	1.02%	0.52%	0.48%	0.62%	0.68%	0.86%	0.46%	0.58%	0.46%	0.62%	1.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	248	6	3	2	6	2	4	8	6	6	6	4	2	6	1	5	1	3	4	2	7	3	4	6	5	2	7	2	3	2	4	1	0	1	3	2	6	3	2	6	5	3	2	5	4	8	4	6	0	2	4	4	2	0	2	1	7	2	2	4	2	3	1	8	4	7	5	0	0	2	0	1	1	0	1									
		0.48%	0.88%	0.52%	0.35%	0.64%	0.39%	0.52%	0.83%	0.82%	0.60%	0.59%	0.84%	0.26%	0.84%	0.27%	0.76%	0.11%	0.40%	0.42%	0.34%	1.01%	0.30%	0.45%	0.46%	0.66%	0.41%	0.95%	0.30%	0.44%	0.41%	0.48%	0.13%	0.00%	0.16%	0.29%	0.33%	0.82%	0.38%	0.20%	0.77%	0.71%	0.30%	0.24%	0.56%	0.49%	0.83%	0.47%	0.64%	0.00%	0.21%	0.44%	0.51%	0.20%	0.00%	0.29%	0.24%	0.76%	0.26%	0.26%	0.48%	0.25%	0.41%	0.14%	0.92%	0.58%	0.80%	0.62%	0.00%	0.00%	0.51%	0.00%	1.30%	0.55%	0.00%	7.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6097	67	65	41	95	59	98	108	86	102	84	93	114	87	51	117	189	77	102	66	64	90	107	231	74	58	84	59	62	47	74	109	97	100	118	91	88	64	104	95	86	85	57	89	60	92	169	110	21	104	82	90	90	7	178	89	95	109	132	90	84	75	122	85	91	101	94	14	7	32	7	12	16	4	1									
		11.90%	9.81%	11.30%	7.18%	10.11%	11.61%	12.69%	11.23%	11.68%	10.17%	8.20%	19.62%	14.88%	12.13%	13.90%	17.81%	20.17%	10.32%	10.83%	11.06%	9.20%	9.15%	12.06%	17.58%	9.71%	11.76%	11.43%	8.93%	9.17%	9.67%	8.95%	13.63%	15.47%	16.42%	11.23%	14.92%	11.96%	8.11%	10.45%	12.18%	12.25%	8.40%	6.77%	9.90%	7.41%	9.54%	19.95%	11.79%	9.17%	11.05%	9.07%	11.55%	9.17%	7.69%	25.72%	20.94%	10.27%	13.94%	17.23%	10.77%	10.37%	10.23%	17.45%	9.77%	13.17%	11.57%	11.71%	12.17%	13.73%	8.23%	15.56%	15.58%	8.79%	8.00%	7.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	492	10	3	5	14	15	5	14	9	14	14	1	4	11	1	2	3	15	4	5	6	12	12	6	10	6	9	3	3	3	6	9	3	2	4	12	5	14	8	8	11	8	11	8	8	7	12	7	0	4	17	6	11	0	5	2	9	3	3	15	12	9	3	3	1	8	11	1	1	2	0	3	1	0	0									
		0.96%	1.46%	0.52%	0.88%	1.49%	2.95%	0.65%	1.46%	1.22%	1.40%	1.37%	0.21%	0.52%	1.53%	0.27%	0.30%	0.32%	2.01%	0.42%	0.84%	0.86%	1.22%	1.35%	0.46%	1.31%	1.22%	1.22%	0.45%	0.44%	0.62%	0.73%	1.13%	0.48%	0.33%	0.38%	1.97%	0.68%	1.77%	0.80%	1.03%	1.57%	0.79%	1.31%	0.89%	0.99%	0.73%	1.42%	0.75%	0.00%	0.43%	1.88%	0.77%	1.12%	0.00%	0.72%	0.47%	0.97%	0.38%	0.39%	1.79%	1.48%	1.23%	0.43%	0.34%	0.14%	0.92%	1.37%	0.87%	1.96%	0.51%	0.00%	3.90%	0.55%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2720	28	31	52	56	23	33	75	48	80	83	16	19	40	21	23	20	46	61	25	41	39	32	17	59	39	45	47	52	52	69	45	35	19	63	36	40	45	59	45	39	72	48	65	54	53	13	45	4	52	47	45	49	5	11	6	31	33	11	52	53	37	32	47	36	63	33	6	0	12	3	1	2	0	1									
		5.31%	4.10%	5.39%	9.11%	5.96%	4.53%	4.27%	7.80%	6.52%	7.98%	8.11%	3.38%	2.48%	5.58%	5.72%	3.50%	2.13%	6.17%	6.48%	4.19%	5.89%	3.96%	3.61%	1.29%	7.74%	7.91%	6.12%	7.11%	7.69%	10.70%	8.34%	5.63%	5.58%	3.12%	5.99%	5.90%	5.43%	5.70%	5.93%	5.77%	5.56%	7.11%	5.70%	7.23%	6.67%	5.50%	1.53%	4.82%	1.75%	5.53%	5.20%	5.78%	4.99%	5.49%	1.59%	1.41%	3.35%	4.22%	1.44%	6.22%	6.54%	5.05%	4.58%	5.40%	5.21%	7.22%	4.11%	5.22%	0.00%	3.08%	6.67%	1.30%	1.10%	0.00%	7.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	67	2	0	1	0	0	3	3	1	1	1	0	1	2	0	0	3	0	0	1	1	0	2	1	1	2	1	0	1	0	1	0	0	3	3	1	2	0	1	0	1	0	1	5	0	1	1	1	0	1	1	1	1	0	2	1	0	2	0	0	1	1	3	0	0	4	0	0	0	0	0	0	0	0	0									
		0.13%	0.29%	0.00%	0.18%	0.00%	0.00%	0.39%	0.31%	0.14%	0.10%	0.10%	0.00%	0.13%	0.28%	0.00%	0.00%	0.32%	0.00%	0.00%	0.17%	0.14%	0.00%	0.23%	0.08%	0.13%	0.41%	0.14%	0.00%	0.15%	0.00%	0.12%	0.00%	0.00%	0.49%	0.29%	0.16%	0.27%	0.00%	0.10%	0.00%	0.14%	0.00%	0.12%	0.56%	0.00%	0.10%	0.12%	0.11%	0.00%	0.11%	0.11%	0.13%	0.10%	0.00%	0.29%	0.24%	0.00%	0.26%	0.00%	0.00%	0.12%	0.14%	0.43%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1180	21	13	12	25	12	22	29	17	22	21	7	11	14	2	9	5	33	23	14	23	28	21	9	26	12	31	22	29	13	30	24	7	3	7	7	27	14	31	16	12	39	30	25	22	29	4	37	2	22	30	21	32	1	2	4	17	8	9	18	12	27	8	7	9	32	21	1	0	5	0	1	1	0	0									
		2.30%	3.07%	2.26%	2.10%	2.66%	2.36%	2.85%	3.01%	2.31%	2.19%	2.05%	1.48%	1.44%	1.95%	0.54%	1.37%	0.53%	4.42%	2.44%	2.35%	3.30%	2.85%	2.37%	0.68%	3.41%	2.43%	4.22%	3.33%	4.29%	2.67%	3.63%	3.00%	1.12%	0.49%	0.67%	1.15%	3.67%	1.77%	3.12%	2.05%	1.71%	3.85%	3.56%	2.78%	2.72%	3.01%	0.47%	3.97%	0.87%	2.34%	3.32%	2.70%	3.26%	1.10%	0.29%	0.94%	1.84%	1.02%	1.17%	2.15%	1.48%	3.68%	1.14%	0.80%	1.30%	3.67%	2.62%	0.87%	0.00%	1.29%	0.00%	1.30%	0.55%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	12624	166	142	175	271	134	199	242	205	293	328	108	202	197	77	144	105	206	275	175	184	262	221	63	227	132	220	185	177	123	251	214	149	101	247	154	180	214	272	218	193	319	235	250	245	290	63	219	78	181	244	188	238	22	82	55	231	209	92	248	231	185	160	182	143	214	200	16	14	105	3	12	29	8	2									
		24.63%	24.30%	24.70%	30.65%	28.83%	26.38%	25.78%	25.16%	27.85%	29.21%	32.03%	22.78%	26.37%	27.48%	20.98%	21.92%	11.21%	27.61%	29.19%	29.31%	26.44%	26.63%	24.92%	4.79%	29.79%	26.77%	29.93%	27.99%	26.18%	25.31%	30.35%	26.75%	23.76%	16.58%	23.50%	25.25%	24.46%	27.12%	27.34%	27.95%	27.49%	31.52%	27.91%	27.81%	30.25%	30.08%	7.44%	23.47%	34.06%	19.23%	26.99%	24.13%	24.26%	24.18%	11.85%	12.94%	24.97%	26.73%	12.01%	29.67%	28.52%	25.24%	22.89%	20.92%	20.69%	24.51%	24.91%	13.91%	27.45%	26.99%	6.67%	15.58%	15.93%	16.00%	15.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	198	5	1	2	1	1	2	6	3	4	2	0	5	2	0	1	1	3	3	5	2	4	2	4	4	2	3	2	2	4	4	5	4	1	5	1	3	4	6	2	7	2	1	2	5	7	2	3	2	1	3	2	2	1	0	1	5	3	6	4	4	2	1	7	3	4	5	0	0	1	0	0	0	1	0									
		0.39%	0.73%	0.17%	0.35%	0.11%	0.20%	0.26%	0.62%	0.41%	0.40%	0.20%	0.00%	0.65%	0.28%	0.00%	0.15%	0.11%	0.40%	0.32%	0.84%	0.29%	0.41%	0.23%	0.30%	0.52%	0.41%	0.41%	0.30%	0.30%	0.82%	0.48%	0.63%	0.64%	0.16%	0.48%	0.16%	0.41%	0.51%	0.60%	0.26%	0.99%	0.20%	0.12%	0.22%	0.62%	0.73%	0.24%	0.32%	0.87%	0.11%	0.33%	0.26%	0.20%	1.10%	0.00%	0.24%	0.54%	0.38%	0.78%	0.48%	0.49%	0.27%	0.14%	0.80%	0.43%	0.46%	0.62%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	2.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3729	75	60	47	77	18	47	69	74	58	59	18	34	32	25	45	51	62	64	29	38	88	79	27	53	39	54	56	60	27	59	59	44	40	61	38	62	72	86	67	61	79	51	74	75	65	32	57	7	130	69	71	112	4	43	20	101	62	35	80	71	68	42	46	37	42	85	8	3	27	6	3	7	3	0									
		7.28%	10.98%	10.43%	8.23%	8.19%	3.54%	6.09%	7.17%	10.05%	5.78%	5.76%	3.80%	4.44%	4.46%	6.81%	6.85%	5.44%	8.31%	6.79%	4.86%	5.46%	8.94%	8.91%	2.05%	6.96%	7.91%	7.35%	8.47%	8.88%	5.56%	7.13%	7.38%	7.02%	6.57%	5.80%	6.23%	8.42%	9.13%	8.64%	8.59%	8.69%	7.81%	6.06%	8.23%	9.26%	6.74%	3.78%	6.11%	3.06%	13.82%	7.63%	9.11%	11.42%	4.40%	6.21%	4.71%	10.92%	7.93%	4.57%	9.57%	8.77%	9.28%	6.01%	5.29%	5.35%	4.81%	10.59%	6.96%	5.88%	6.94%	13.33%	3.90%	3.85%	6.00%	0.00%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
