Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Барнаул, Ленинская"																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №8081	УИК №8082	УИК №8112	УИК №8177	УИК №8229	УИК №8230	УИК №8231	УИК №8238	УИК №8239	УИК №8241	УИК №8242	УИК №8243	УИК №8244	УИК №8245	УИК №8246	УИК №8255	УИК №8256	УИК №8257	УИК №8258	УИК №8269	УИК №8292	УИК №8293	УИК №8294	УИК №8295	УИК №8334	УИК №8335	УИК №8336	УИК №8337	УИК №8367	УИК №8368	УИК №8369	УИК №8370									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2018	30	30	30	30	30	30	30	60	30	40	30	60	30	30	40	40	30	30	30	60	40	30	30	30	40	60	30	30	60	30	30	30	30	30	40	40	30	40	60	30	40	60	30	30	60	40	30	40	30	30	0	0	0	0	5	5	5	3	5	5	5	5	5	10	5	5	10	3	2	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1365	26	22	22	28	23	16	28	35	21	36	20	30	21	25	32	33	24	27	15	40	31	25	20	30	36	41	22	23	40	27	19	21	18	29	30	35	21	35	32	23	30	37	26	24	41	38	4	37	15	26	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1522	92	19	15	10	13	19	26	18	20	22	50	23	45	17	20	10	17	33	22	18	29	20	15	24	15	21	26	16	28	24	11	11	18	16	14	9	26	28	15	11	14	19	16	7	14	43	31	8	9	31	149	38	68	0	1	0	5	6	1	0	0	9	18	1	0	0	18	1	5	10	4	10	0	16	3	0	30	5	11	16	8	3	4	0	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	653	4	8	8	2	7	14	2	25	9	4	10	30	9	5	8	7	6	3	15	20	9	5	10	0	4	19	8	7	20	3	11	9	12	1	10	5	9	5	28	7	10	23	4	6	19	2	26	3	15	4	0	0	0	0	5	5	5	3	4	4	5	5	5	10	5	5	10	3	2	9	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	164	9	3	2	3	5	1	6	4	2	0	1	3	2	2	3	3	2	0	4	4	5	2	6	3	0	10	7	2	2	2	4	5	1	3	5	6	6	1	0	1	0	0	7	6	4	2	0	5	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	931	8	10	7	15	12	9	17	22	24	10	10	14	17	13	13	10	13	7	15	20	14	10	7	12	9	13	5	13	12	8	9	7	15	10	9	25	6	18	9	3	6	8	7	14	11	10	1	12	8	16	1	0	1	1	8	2	6	12	5	1	10	10	13	11	17	13	12	5	0	13	3	5	1	67	11	1	9	9	15	32	23	14	12	3	6	6									
		1.71%	1.07%	1.16%	0.93%	2.09%	1.61%	1.22%	1.60%	2.24%	2.46%	1.15%	1.10%	1.54%	2.10%	1.42%	1.61%	1.10%	1.52%	0.85%	1.82%	2.05%	1.62%	1.02%	0.81%	1.39%	1.25%	1.45%	0.68%	1.60%	1.58%	1.08%	1.26%	1.00%	1.61%	1.42%	0.91%	2.60%	0.64%	1.63%	1.20%	0.52%	0.80%	1.02%	0.88%	2.15%	1.63%	2.04%	0.50%	1.34%	1.22%	1.25%	0.49%	0.00%	0.54%	1.10%	3.07%	3.70%	2.26%	2.20%	0.94%	1.10%	3.05%	2.92%	3.98%	11.46%	7.08%	17.57%	3.25%	7.35%	0.00%	2.91%	3.33%	3.13%	1.56%	1.47%	3.02%	2.27%	1.85%	1.52%	4.39%	3.56%	4.43%	7.95%	3.54%	7.32%	4.62%	11.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1192	21	21	20	20	17	23	0	26	22	22	14	19	21	24	16	25	16	18	23	18	27	31	16	25	15	22	16	14	18	14	18	18	21	25	41	26	27	22	18	14	19	19	18	10	16	13	4	25	34	33	4	2	10	2	5	0	0	3	15	4	9	1	2	0	1	1	6	1	2	7	1	0	0	72	5	0	6	7	1	8	6	0	3	0	2	1									
		2.18%	2.81%	2.43%	2.66%	2.79%	2.28%	3.12%	0.00%	2.65%	2.26%	2.54%	1.54%	2.09%	2.59%	2.62%	1.99%	2.74%	1.88%	2.19%	2.79%	1.85%	3.13%	3.15%	1.85%	2.90%	2.09%	2.46%	2.17%	1.73%	2.37%	1.89%	2.52%	2.58%	2.25%	3.56%	4.15%	2.71%	2.88%	1.99%	2.39%	2.43%	2.53%	2.42%	2.27%	1.54%	2.37%	2.66%	2.01%	2.78%	5.19%	2.57%	1.96%	1.34%	5.38%	2.20%	1.92%	0.00%	0.00%	0.55%	2.83%	4.40%	2.74%	0.29%	0.61%	0.00%	0.42%	1.35%	1.63%	1.47%	2.00%	1.57%	1.11%	0.00%	0.00%	1.58%	1.37%	0.00%	1.23%	1.18%	0.29%	0.89%	1.16%	0.00%	0.88%	0.00%	1.54%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	875	13	17	21	6	5	15	20	12	19	9	12	17	16	20	13	18	12	19	13	15	8	12	13	11	9	16	11	10	7	8	17	12	15	10	16	9	21	11	13	16	5	16	11	11	15	3	6	12	11	22	1	3	5	1	8	2	5	7	16	2	22	2	4	0	4	1	5	4	5	12	3	3	0	38	3	0	8	7	6	22	10	2	6	1	0	8									
		1.60%	1.74%	1.97%	2.79%	0.84%	0.67%	2.04%	1.88%	1.22%	1.95%	1.04%	1.32%	1.87%	1.98%	2.18%	1.61%	1.97%	1.41%	2.31%	1.58%	1.54%	0.93%	1.22%	1.50%	1.28%	1.25%	1.79%	1.49%	1.23%	0.92%	1.08%	2.38%	1.72%	1.61%	1.42%	1.62%	0.94%	2.24%	0.99%	1.73%	2.78%	0.67%	2.04%	1.39%	1.69%	2.23%	0.61%	3.02%	1.34%	1.68%	1.71%	0.49%	2.01%	2.69%	1.10%	3.07%	3.70%	1.89%	1.28%	3.02%	2.20%	6.71%	0.58%	1.22%	0.00%	1.67%	1.35%	1.36%	5.88%	5.00%	2.69%	3.33%	1.88%	0.00%	0.83%	0.82%	0.00%	1.65%	1.18%	1.75%	2.44%	1.93%	1.14%	1.77%	2.44%	0.00%	14.81%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18808	197	222	223	197	212	184	313	251	306	220	245	276	235	237	243	227	265	270	237	293	227	266	259	245	202	249	189	231	236	212	193	221	267	217	332	257	387	320	188	152	323	244	252	195	227	145	76	285	254	501	160	63	79	54	135	24	81	379	276	71	118	77	36	23	59	14	118	27	40	171	36	31	27	2866	205	32	224	422	92	267	149	46	138	12	40	11									
		34.45%	26.34%	25.69%	29.65%	27.48%	28.49%	24.97%	29.39%	25.59%	31.38%	25.40%	27.01%	30.40%	29.01%	25.85%	30.19%	24.89%	31.07%	32.89%	28.76%	30.05%	26.33%	27.01%	29.94%	28.42%	28.13%	27.85%	25.68%	28.52%	31.05%	28.57%	27.03%	31.62%	28.62%	30.87%	33.64%	26.77%	41.26%	29.01%	25.00%	26.39%	43.07%	31.08%	31.74%	30.00%	33.68%	29.65%	38.19%	31.74%	38.78%	39.02%	78.43%	42.28%	42.47%	59.34%	51.72%	44.44%	30.57%	69.41%	52.08%	78.02%	35.98%	22.45%	11.01%	23.96%	24.58%	18.92%	31.98%	39.71%	40.00%	38.34%	40.00%	19.38%	42.19%	62.70%	56.32%	72.73%	46.09%	71.16%	26.90%	29.67%	28.71%	26.14%	40.71%	29.27%	30.77%	20.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	670	7	11	5	4	6	8	11	15	5	5	8	10	6	7	10	12	6	11	3	11	8	4	7	11	4	14	10	14	9	7	4	2	9	7	7	6	6	8	3	7	5	9	5	11	6	3	2	20	6	8	0	4	0	0	4	1	3	7	17	3	14	12	15	1	7	5	9	1	4	26	3	1	1	41	8	0	10	10	12	21	17	12	6	1	8	3									
		1.23%	0.94%	1.27%	0.66%	0.56%	0.81%	1.09%	1.03%	1.53%	0.51%	0.58%	0.88%	1.10%	0.74%	0.76%	1.24%	1.32%	0.70%	1.34%	0.36%	1.13%	0.93%	0.41%	0.81%	1.28%	0.56%	1.57%	1.36%	1.73%	1.18%	0.94%	0.56%	0.29%	0.96%	0.99%	0.71%	0.63%	0.64%	0.73%	0.40%	1.22%	0.67%	1.15%	0.63%	1.69%	0.89%	0.61%	1.01%	2.23%	0.92%	0.62%	0.00%	2.68%	0.00%	0.00%	1.53%	1.85%	1.13%	1.28%	3.21%	3.30%	4.27%	3.50%	4.59%	1.04%	2.92%	6.76%	2.44%	1.47%	4.00%	5.83%	3.33%	0.63%	1.56%	0.90%	2.20%	0.00%	2.06%	1.69%	3.51%	2.33%	3.28%	6.82%	1.77%	2.44%	6.15%	5.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	119	1	1	1	2	1	1	3	0	1	1	0	1	1	0	5	3	0	0	0	2	3	3	0	1	1	2	1	3	1	0	4	0	0	2	4	2	0	3	1	0	0	2	0	2	0	2	0	4	3	4	0	0	0	0	1	0	3	2	4	0	0	3	7	2	0	0	1	0	0	1	0	2	1	9	1	0	1	3	1	4	0	0	0	0	1	0									
		0.22%	0.13%	0.12%	0.13%	0.28%	0.13%	0.14%	0.28%	0.00%	0.10%	0.12%	0.00%	0.11%	0.12%	0.00%	0.62%	0.33%	0.00%	0.00%	0.00%	0.21%	0.35%	0.30%	0.00%	0.12%	0.14%	0.22%	0.14%	0.37%	0.13%	0.00%	0.56%	0.00%	0.00%	0.28%	0.41%	0.21%	0.00%	0.27%	0.13%	0.00%	0.00%	0.25%	0.00%	0.31%	0.00%	0.41%	0.00%	0.45%	0.46%	0.31%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	1.13%	0.37%	0.75%	0.00%	0.00%	0.87%	2.14%	2.08%	0.00%	0.00%	0.27%	0.00%	0.00%	0.22%	0.00%	1.25%	1.56%	0.20%	0.27%	0.00%	0.21%	0.51%	0.29%	0.44%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9378	169	157	140	116	136	143	181	184	152	177	195	194	182	157	136	166	142	127	139	169	159	200	167	142	126	142	175	128	170	178	120	150	169	173	152	166	129	209	149	107	110	156	149	131	139	126	44	209	156	167	11	22	28	18	23	10	25	30	68	5	71	16	10	19	20	3	35	9	15	30	6	12	7	896	47	4	51	34	24	68	41	13	25	4	15	3									
		17.18%	22.59%	18.17%	18.62%	16.18%	18.28%	19.40%	16.99%	18.76%	15.59%	20.44%	21.50%	21.37%	22.47%	17.12%	16.89%	18.20%	16.65%	15.47%	16.87%	17.33%	18.45%	20.30%	19.31%	16.47%	17.55%	15.88%	23.78%	15.80%	22.37%	23.99%	16.81%	21.46%	18.11%	24.61%	15.40%	17.29%	13.75%	18.95%	19.81%	18.58%	14.67%	19.87%	18.77%	20.15%	20.62%	25.77%	22.11%	23.27%	23.82%	13.01%	5.39%	14.77%	15.05%	19.78%	8.81%	18.52%	9.43%	5.49%	12.83%	5.49%	21.65%	4.66%	3.06%	19.79%	8.33%	4.05%	9.49%	13.24%	15.00%	6.73%	6.67%	7.50%	10.94%	19.60%	12.91%	9.09%	10.49%	5.73%	7.02%	7.56%	7.90%	7.39%	7.37%	9.76%	11.54%	5.56%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	766	4	5	5	3	8	15	0	5	6	4	6	3	3	7	7	5	6	4	8	3	11	8	13	9	4	11	3	10	4	6	5	2	10	9	8	8	4	8	4	1	4	3	2	4	11	4	1	6	7	6	0	1	0	0	3	0	16	5	6	0	6	46	31	6	25	9	29	1	0	26	13	27	8	7	6	0	24	20	27	41	30	15	27	4	9	5									
		1.40%	0.53%	0.58%	0.66%	0.42%	1.08%	2.04%	0.00%	0.51%	0.62%	0.46%	0.66%	0.33%	0.37%	0.76%	0.87%	0.55%	0.70%	0.49%	0.97%	0.31%	1.28%	0.81%	1.50%	1.04%	0.56%	1.23%	0.41%	1.23%	0.53%	0.81%	0.70%	0.29%	1.07%	1.28%	0.81%	0.83%	0.43%	0.73%	0.53%	0.17%	0.53%	0.38%	0.25%	0.62%	1.63%	0.82%	0.50%	0.67%	1.07%	0.47%	0.00%	0.67%	0.00%	0.00%	1.15%	0.00%	6.04%	0.92%	1.13%	0.00%	1.83%	13.41%	9.48%	6.25%	10.42%	12.16%	7.86%	1.47%	0.00%	5.83%	14.44%	16.88%	12.50%	0.15%	1.65%	0.00%	4.94%	3.37%	7.89%	4.56%	5.78%	8.52%	7.96%	9.76%	6.92%	9.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	746	7	7	6	6	7	7	7	12	10	7	6	9	10	15	6	10	6	7	8	12	7	6	4	10	9	4	6	13	5	8	4	6	9	5	7	12	6	10	8	12	3	3	5	3	6	4	3	15	9	14	2	0	1	0	9	1	8	9	9	0	3	23	25	5	22	2	14	4	5	15	4	7	1	28	9	0	14	6	18	70	17	8	13	2	6	5									
		1.37%	0.94%	0.81%	0.80%	0.84%	0.94%	0.95%	0.66%	1.22%	1.03%	0.81%	0.66%	0.99%	1.23%	1.64%	0.75%	1.10%	0.70%	0.85%	0.97%	1.23%	0.81%	0.61%	0.46%	1.16%	1.25%	0.45%	0.82%	1.60%	0.66%	1.08%	0.56%	0.86%	0.96%	0.71%	0.71%	1.25%	0.64%	0.91%	1.06%	2.08%	0.40%	0.38%	0.63%	0.46%	0.89%	0.82%	1.51%	1.67%	1.37%	1.09%	0.98%	0.00%	0.54%	0.00%	3.45%	1.85%	3.02%	1.65%	1.70%	0.00%	0.91%	6.71%	7.65%	5.21%	9.17%	2.70%	3.79%	5.88%	5.00%	3.36%	4.44%	4.38%	1.56%	0.61%	2.47%	0.00%	2.88%	1.01%	5.26%	7.78%	3.28%	4.55%	3.83%	4.88%	4.62%	9.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	85	0	2	0	1	1	0	0	1	3	2	1	3	2	3	4	2	3	2	2	0	3	0	1	2	2	0	0	2	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	4	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	11	2	0	0	4	1	2	0	0	0	0	2	0									
		0.16%	0.00%	0.23%	0.00%	0.14%	0.13%	0.00%	0.00%	0.10%	0.31%	0.23%	0.11%	0.33%	0.25%	0.33%	0.50%	0.22%	0.35%	0.24%	0.24%	0.00%	0.35%	0.00%	0.12%	0.23%	0.28%	0.00%	0.00%	0.25%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.10%	0.10%	0.11%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.08%	0.00%	0.67%	0.00%	1.10%	0.38%	0.00%	0.00%	0.73%	0.38%	0.00%	0.30%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.24%	0.55%	0.00%	0.00%	0.67%	0.29%	0.22%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2556	30	23	20	33	17	25	30	32	22	35	30	12	17	23	19	20	17	30	28	25	19	30	29	33	20	23	18	20	20	22	23	12	32	15	20	22	17	41	16	16	13	15	22	9	15	11	4	21	8	26	3	1	5	2	12	3	74	17	8	1	5	113	163	17	60	15	82	8	7	80	17	50	9	17	19	2	59	26	86	224	149	51	51	3	29	8									
		4.68%	4.01%	2.66%	2.66%	4.60%	2.28%	3.39%	2.82%	3.26%	2.26%	4.04%	3.31%	1.32%	2.10%	2.51%	2.36%	2.19%	1.99%	3.65%	3.40%	2.56%	2.20%	3.05%	3.35%	3.83%	2.79%	2.57%	2.45%	2.47%	2.63%	2.96%	3.22%	1.72%	3.43%	2.13%	2.03%	2.29%	1.81%	3.72%	2.13%	2.78%	1.73%	1.91%	2.77%	1.38%	2.23%	2.25%	2.01%	2.34%	1.22%	2.02%	1.47%	0.67%	2.69%	2.20%	4.60%	5.56%	27.92%	3.11%	1.51%	1.10%	1.52%	32.94%	49.85%	17.71%	25.00%	20.27%	22.22%	11.76%	7.00%	17.94%	18.89%	31.25%	14.06%	0.37%	5.22%	4.55%	12.14%	4.38%	25.15%	24.89%	28.71%	28.98%	15.04%	7.32%	22.31%	14.81%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7284	116	127	96	106	121	107	131	140	142	148	134	143	143	147	130	149	126	134	140	136	150	139	121	125	130	120	155	109	109	116	113	100	118	90	148	151	135	165	134	99	89	138	122	86	79	71	28	161	92	185	6	18	22	7	39	10	30	48	62	2	41	27	16	7	17	5	37	6	17	44	1	9	7	256	30	0	54	26	42	90	50	10	36	9	7	2									
		13.34%	15.51%	14.70%	12.77%	14.78%	16.26%	14.52%	12.30%	14.27%	14.56%	17.09%	14.77%	15.75%	17.65%	16.03%	16.15%	16.34%	14.77%	16.32%	16.99%	13.95%	17.40%	14.11%	13.99%	14.50%	18.11%	13.42%	21.06%	13.46%	14.34%	15.63%	15.83%	14.31%	12.65%	12.80%	14.99%	15.73%	14.39%	14.96%	17.82%	17.19%	11.87%	17.58%	15.37%	13.23%	11.72%	14.52%	14.07%	17.93%	14.05%	14.41%	2.94%	12.08%	11.83%	7.69%	14.94%	18.52%	11.32%	8.79%	11.70%	2.20%	12.50%	7.87%	4.89%	7.29%	7.08%	6.76%	10.03%	8.82%	17.00%	9.87%	1.11%	5.63%	10.94%	5.60%	8.24%	0.00%	11.11%	4.38%	12.28%	10.00%	9.63%	5.68%	10.62%	21.95%	5.38%	3.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	220	3	4	1	5	2	2	5	1	3	0	2	8	1	3	4	4	5	0	2	1	4	1	4	7	3	2	2	1	1	2	2	2	1	0	2	2	2	5	4	5	3	4	4	1	0	0	1	6	4	6	0	0	4	1	1	0	1	4	5	0	8	3	1	1	0	1	3	1	0	2	0	0	0	32	0	0	1	1	0	5	6	0	1	0	1	0									
		0.40%	0.40%	0.46%	0.13%	0.70%	0.27%	0.27%	0.47%	0.10%	0.31%	0.00%	0.22%	0.88%	0.12%	0.33%	0.50%	0.44%	0.59%	0.00%	0.24%	0.10%	0.46%	0.10%	0.46%	0.81%	0.42%	0.22%	0.27%	0.12%	0.13%	0.27%	0.28%	0.29%	0.11%	0.00%	0.20%	0.21%	0.21%	0.45%	0.53%	0.87%	0.40%	0.51%	0.50%	0.15%	0.00%	0.00%	0.50%	0.67%	0.61%	0.47%	0.00%	0.00%	2.15%	1.10%	0.38%	0.00%	0.38%	0.73%	0.94%	0.00%	2.44%	0.87%	0.31%	1.04%	0.00%	1.35%	0.81%	1.47%	0.00%	0.45%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.21%	0.17%	0.00%	0.56%	1.16%	0.00%	0.29%	0.00%	0.77%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9659	152	233	195	186	176	179	309	248	233	211	224	175	137	242	177	228	210	179	195	238	200	257	206	201	179	247	129	214	148	135	178	158	239	123	217	242	170	255	191	131	148	150	175	145	133	84	20	94	43	263	16	27	28	4	11	1	11	11	25	2	16	7	4	4	5	5	16	1	4	14	3	11	2	77	14	3	24	10	16	41	16	4	17	2	3	2									
