Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Альшеевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	10	10	8	15	15	10	10	15	15	15	5	5	10	5	5	2	5	20	20	5	20	5	10	5	5	5	5	15	5	15	10	5	15	20	8	5	7	5	15	5	10	14	20	10	5	20	5	5	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	278	2	4	8	7	15	6	2	13	13	13	3	0	10	0	3	0	0	10	20	0	12	1	0	5	0	1	0	14	5	6	7	5	11	16	5	0	0	5	0	0	9	9	9	7	3	13	0	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	3	9	3	3	0	8	5	0	0	1	3	3	3	0	0	0	3	3	0	0	1	1	1	0	1	0	0	0	0	7	4	6	4	3	1	0	1	2	0	1	2	1	2	1	1	3	1	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	207	8	6	0	8	0	4	8	2	2	2	2	5	0	5	2	2	5	10	0	5	8	4	10	0	5	4	5	1	0	9	3	0	4	4	3	5	7	0	15	5	1	5	11	3	2	7	5	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	3	6	4	5	8	1	2	6	5	19	3	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	0	5	1	1	0	2	0	0	0	11	3	0	5	2	0	0	0	0	4	0	3	0	3	1	0	0	1	3	0	0	0	0	1	8	1	0	5	0	9	2	4	1	0	2	0	0	2	0	0									
		0.29%	0.00%	0.59%	0.08%	0.08%	0.00%	0.24%	0.00%	0.00%	0.00%	0.71%	0.60%	0.00%	0.77%	0.64%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.53%	0.00%	1.15%	0.22%	0.00%	0.00%	0.48%	0.59%	0.00%	0.00%	0.00%	0.00%	0.24%	2.24%	0.89%	0.00%	0.68%	0.00%	1.55%	0.76%	0.62%	0.18%	0.00%	0.66%	0.00%	0.00%	0.69%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	218	2	10	1	2	2	3	0	0	0	0	10	0	4	13	20	1	0	5	26	0	17	2	3	1	3	0	0	14	0	8	0	0	0	16	0	1	0	0	0	12	17	3	0	0	3	1	3	0	15									
		0.80%	0.24%	1.18%	0.08%	0.16%	0.16%	0.36%	0.00%	0.00%	0.00%	0.00%	1.99%	0.00%	0.62%	4.15%	8.70%	0.81%	0.00%	0.73%	8.55%	0.00%	2.99%	0.38%	1.15%	0.22%	1.72%	0.00%	0.00%	2.75%	0.00%	1.78%	0.00%	0.00%	0.00%	4.48%	0.00%	1.15%	0.00%	0.00%	0.00%	4.56%	2.64%	0.55%	0.00%	0.00%	0.48%	0.07%	1.04%	0.00%	12.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	196	3	8	4	7	11	2	13	0	0	18	15	12	11	1	4	2	0	7	4	1	2	7	1	0	2	0	0	9	1	0	3	0	1	5	0	0	0	4	17	6	7	1	0	2	2	0	1	0	2									
		0.72%	0.35%	0.95%	0.32%	0.56%	0.86%	0.24%	1.27%	0.00%	0.00%	1.17%	2.99%	2.67%	1.69%	0.32%	1.74%	1.63%	0.00%	1.02%	1.32%	0.56%	0.35%	1.34%	0.38%	0.00%	1.15%	0.00%	0.00%	1.76%	0.81%	0.00%	1.40%	0.00%	0.24%	1.40%	0.00%	0.00%	0.00%	2.34%	2.93%	2.28%	1.09%	0.18%	0.00%	0.66%	0.32%	0.00%	0.35%	0.00%	1.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14798	437	438	658	628	651	460	575	747	810	817	261	242	375	213	184	104	397	438	192	127	365	128	151	257	119	175	130	364	81	270	135	132	259	215	67	56	453	96	305	150	438	295	384	176	377	60	184	155	67									
		54.31%	51.47%	51.83%	52.85%	50.32%	51.02%	54.63%	56.04%	56.98%	58.02%	53.05%	52.10%	53.78%	57.78%	68.05%	80.00%	84.55%	63.02%	64.13%	63.16%	70.95%	64.15%	24.57%	58.08%	57.11%	68.39%	64.81%	62.80%	71.37%	65.85%	60.13%	63.08%	60.55%	61.37%	60.22%	59.82%	64.37%	62.05%	56.14%	52.59%	57.03%	68.12%	54.03%	56.64%	58.28%	59.84%	4.17%	63.67%	56.16%	56.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	1	2	3	4	3	1	0	0	3	8	0	0	6	1	0	0	0	6	0	1	3	3	1	1	0	0	0	6	0	2	0	0	1	3	2	0	0	0	5	1	2	0	0	0	1	2	1	5	0									
		0.29%	0.12%	0.24%	0.24%	0.32%	0.24%	0.12%	0.00%	0.00%	0.21%	0.52%	0.00%	0.00%	0.92%	0.32%	0.00%	0.00%	0.00%	0.88%	0.00%	0.56%	0.53%	0.58%	0.38%	0.22%	0.00%	0.00%	0.00%	1.18%	0.00%	0.45%	0.00%	0.00%	0.24%	0.84%	1.79%	0.00%	0.00%	0.00%	0.86%	0.38%	0.31%	0.00%	0.00%	0.00%	0.16%	0.14%	0.35%	1.81%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	29	0	1	3	2	2	2	0	0	0	0	0	5	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1									
		0.11%	0.00%	0.12%	0.24%	0.16%	0.16%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.31%	0.64%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.85%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1258	25	79	38	40	293	23	51	26	110	87	9	8	11	31	1	11	9	7	17	7	25	11	8	5	2	3	2	26	2	16	2	2	4	27	21	3	8	5	11	8	77	16	14	9	6	20	34	3	5									
		4.62%	2.94%	9.35%	3.05%	3.21%	22.96%	2.73%	4.97%	1.98%	7.88%	5.65%	1.80%	1.78%	1.69%	9.90%	0.43%	8.94%	1.43%	1.02%	5.59%	3.91%	4.39%	2.11%	3.08%	1.11%	1.15%	1.11%	0.97%	5.10%	1.63%	3.56%	0.93%	0.92%	0.95%	7.56%	18.75%	3.45%	1.10%	2.92%	1.90%	3.04%	11.98%	2.93%	2.06%	2.98%	0.95%	1.39%	11.76%	1.09%	4.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	34	0	0	1	1	0	1	0	10	0	0	0	0	2	4	0	0	0	0	0	0	2	2	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0									
		0.12%	0.00%	0.00%	0.08%	0.08%	0.00%	0.12%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.31%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.24%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.31%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	0	2	1	16	0	1	0	0	0	2	0	20	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0									
		0.21%	0.00%	0.24%	0.08%	1.28%	0.00%	0.12%	0.00%	0.00%	0.00%	0.13%	0.00%	4.44%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.56%	0.00%	1.15%	0.00%	0.00%	0.00%	0.38%	0.16%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	0	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	1	1	0	0	0	0	2	0	0	0									
		0.08%	0.00%	0.12%	0.08%	0.16%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	1.55%	0.38%	0.16%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	58	1	10	5	4	0	2	0	0	0	3	4	0	2	2	0	0	0	0	0	0	2	0	0	5	0	2	0	3	0	0	0	0	2	0	0	2	4	0	0	0	1	1	0	0	0	2	1	0	0									
		0.21%	0.12%	1.18%	0.40%	0.32%	0.00%	0.24%	0.00%	0.00%	0.00%	0.19%	0.80%	0.00%	0.31%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	1.11%	0.00%	0.74%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	2.30%	0.55%	0.00%	0.00%	0.00%	0.16%	0.18%	0.00%	0.00%	0.00%	0.14%	0.35%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8919	309	272	381	434	281	256	308	433	460	543	161	121	175	30	17	4	187	203	58	34	128	328	78	136	40	81	66	55	33	130	64	66	131	64	16	22	215	54	185	73	64	204	247	91	209	1309	50	85	28									
		32.73%	36.40%	32.19%	30.60%	34.78%	22.02%	30.40%	30.02%	33.03%	32.95%	35.26%	32.14%	26.89%	26.96%	9.58%	7.39%	3.25%	29.68%	29.72%	19.08%	18.99%	22.50%	62.96%	30.00%	30.22%	22.99%	30.00%	31.88%	10.78%	26.83%	28.95%	29.91%	30.28%	31.04%	17.93%	14.29%	25.29%	29.45%	31.58%	31.90%	27.76%	9.95%	37.36%	36.43%	30.13%	33.17%	91.03%	17.30%	30.80%	23.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	1	1	2	12	1	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	4	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	4	1	0	0									
		0.20%	0.12%	0.12%	0.16%	0.96%	0.08%	0.24%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.48%	0.78%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.89%	2.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.16%	0.28%	0.35%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1338	70	13	146	95	32	85	79	95	4	37	38	42	47	8	2	0	37	17	3	9	2	40	15	38	8	9	7	9	6	16	10	18	22	13	3	0	37	10	39	7	3	16	33	18	31	30	11	28	0									
		4.91%	8.24%	1.54%	11.73%	7.61%	2.51%	10.10%	7.70%	7.25%	0.29%	2.40%	7.58%	9.33%	7.24%	2.56%	0.87%	0.00%	5.87%	2.49%	0.99%	5.03%	0.35%	7.68%	5.77%	8.44%	4.60%	3.33%	3.38%	1.76%	4.88%	3.56%	4.67%	8.26%	5.21%	3.64%	2.68%	0.00%	5.07%	5.85%	6.72%	2.66%	0.47%	2.93%	4.87%	5.96%	4.92%	2.09%	3.81%	10.14%	0.00%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
