Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Славянская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260					
		2.27%	1.79%	1.56%	2.43%	2.04%	1.88%	2.74%	2.44%	1.94%	0.92%	1.43%	2.55%	1.90%	2.21%	2.76%	2.05%	2.24%	2.15%	2.08%	1.57%	1.48%	2.51%	1.30%	2.64%	2.34%	1.54%	2.99%	2.90%	0.44%	4.47%	2.72%	1.04%	4.55%	3.36%	2.93%	2.67%	3.04%	1.82%	0.97%	2.16%	2.72%	2.14%	1.27%	2.73%	2.34%	2.63%	3.04%	1.40%	1.90%	1.85%	1.20%	3.57%	3.04%	2.17%	2.11%	2.91%	3.81%	3.21%	1.03%	1.55%	2.86%					
19	2.Всероссийская политическая партия «Гражданская Сила»	371	11	3	19	2	13	6	5	8	8	16	16	12	5	12	6	15	10	8	17	13	15	12	6	5	4	10	9	0	9	3	0	8	3	1	8	3	1	4	7	7	2	1	6	1	3	8	3	5	2	1	2	3	3	6	0	1	1	0	3	0					
		0.53%	0.56%	0.28%	1.49%	0.23%	0.79%	0.57%	0.28%	0.44%	0.73%	1.04%	0.89%	0.74%	0.46%	0.81%	0.65%	0.76%	1.02%	0.98%	0.95%	0.96%	1.02%	0.52%	0.76%	0.27%	0.31%	0.91%	0.50%	0.00%	1.06%	0.16%	0.00%	0.61%	0.50%	0.33%	0.37%	0.61%	0.20%	0.35%	0.36%	0.48%	0.15%	0.07%	0.48%	0.19%	1.13%	0.43%	0.30%	0.50%	0.12%	0.13%	0.20%	0.29%	0.31%	0.79%	0.00%	0.13%	0.21%	0.00%	0.78%	0.00%					
20	3.Политическая партия «Демократическая партия России»	94	2	0	1	2	6	1	4	1	2	3	3	2	1	3	3	4	2	1	1	2	1	3	2	5	0	1	0	0	0	2	0	3	0	0	6	1	0	0	2	1	2	1	1	2	0	2	2	5	0	0	0	0	2	1	0	3	1	1	0	0					
		0.14%	0.10%	0.00%	0.08%	0.23%	0.36%	0.09%	0.23%	0.06%	0.18%	0.20%	0.17%	0.12%	0.09%	0.20%	0.32%	0.20%	0.20%	0.12%	0.06%	0.15%	0.07%	0.13%	0.25%	0.27%	0.00%	0.09%	0.00%	0.00%	0.00%	0.11%	0.00%	0.23%	0.00%	0.00%	0.28%	0.20%	0.00%	0.00%	0.10%	0.07%	0.15%	0.07%	0.08%	0.39%	0.00%	0.11%	0.20%	0.50%	0.00%	0.00%	0.00%	0.00%	0.21%	0.13%	0.00%	0.38%	0.21%	0.34%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12167	356	191	204	213	301	228	400	362	208	329	392	401	218	280	179	350	190	152	371	303	343	293	196	371	262	189	372	19	167	187	7	212	75	20	430	69	88	96	249	330	234	238	175	85	40	319	148	116	212	80	117	177	167	90	154	79	43	17	31	42					
		17.52%	18.26%	17.54%	16.01%	24.18%	18.26%	21.51%	22.70%	20.07%	19.05%	21.42%	21.75%	24.60%	20.04%	18.82%	19.29%	17.84%	19.43%	18.60%	20.81%	22.41%	23.25%	12.68%	24.69%	20.17%	20.12%	17.12%	20.72%	8.41%	19.65%	10.16%	3.63%	16.08%	12.61%	6.51%	19.76%	13.97%	17.81%	8.49%	12.80%	22.43%	17.88%	17.81%	14.07%	16.57%	15.04%	17.32%	14.80%	11.60%	13.06%	10.64%	11.62%	16.84%	17.23%	11.89%	16.61%	10.04%	9.21%	5.82%	8.01%	12.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	377	10	8	4	2	7	6	6	11	7	8	12	13	3	12	2	12	1	2	3	2	2	11	2	7	7	4	3	0	1	4	0	2	7	0	41	0	0	1	29	6	1	6	1	4	6	25	4	1	1	30	14	1	5	1	7	4	2	0	3	3					
		0.54%	0.51%	0.73%	0.31%	0.23%	0.42%	0.57%	0.34%	0.61%	0.64%	0.52%	0.67%	0.80%	0.28%	0.81%	0.22%	0.61%	0.10%	0.24%	0.17%	0.15%	0.14%	0.48%	0.25%	0.38%	0.54%	0.36%	0.17%	0.00%	0.12%	0.22%	0.00%	0.15%	1.18%	0.00%	1.88%	0.00%	0.00%	0.09%	1.49%	0.41%	0.08%	0.45%	0.08%	0.78%	2.26%	1.36%	0.40%	0.10%	0.06%	3.99%	1.39%	0.10%	0.52%	0.13%	0.76%	0.51%	0.43%	0.00%	0.78%	0.86%					
23	6.Политическая партия «Партия социальной справедливости»	123	8	2	3	2	2	3	1	4	3	2	3	7	3	4	3	3	0	0	4	1	4	7	2	4	4	2	3	0	1	1	0	3	0	0	2	0	1	1	5	0	1	4	2	0	1	2	2	0	1	1	2	0	3	0	1	1	0	0	2	2					
		0.18%	0.41%	0.18%	0.24%	0.23%	0.12%	0.28%	0.06%	0.22%	0.27%	0.13%	0.17%	0.43%	0.28%	0.27%	0.32%	0.15%	0.00%	0.00%	0.22%	0.07%	0.27%	0.30%	0.25%	0.22%	0.31%	0.18%	0.17%	0.00%	0.12%	0.05%	0.00%	0.23%	0.00%	0.00%	0.09%	0.00%	0.20%	0.09%	0.26%	0.00%	0.08%	0.30%	0.16%	0.00%	0.38%	0.11%	0.20%	0.00%	0.06%	0.13%	0.20%	0.00%	0.31%	0.00%	0.11%	0.13%	0.00%	0.00%	0.52%	0.57%					
24	7.Политическая партия «Либерально-демократическая партия России»	5327	193	110	132	62	116	102	131	157	88	125	152	109	102	135	75	203	85	73	165	99	123	144	48	167	97	71	192	9	76	121	14	115	56	22	136	43	23	65	81	83	63	66	82	24	19	168	100	105	127	81	52	57	56	41	48	52	35	21	18	12					
		7.67%	9.90%	10.10%	10.36%	7.04%	7.04%	9.62%	7.43%	8.70%	8.06%	8.14%	8.44%	6.69%	9.38%	9.07%	8.08%	10.35%	8.69%	8.94%	9.25%	7.32%	8.34%	6.23%	6.05%	9.08%	7.45%	6.43%	10.70%	3.98%	8.94%	6.58%	7.25%	8.73%	9.41%	7.17%	6.25%	8.70%	4.66%	5.75%	4.16%	5.64%	4.81%	4.94%	6.59%	4.68%	7.14%	9.12%	10.00%	10.50%	7.83%	10.77%	5.16%	5.42%	5.78%	5.42%	5.18%	6.61%	7.49%	7.19%	4.65%	3.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5431	146	60	100	60	101	80	264	190	114	169	168	136	82	137	64	122	91	57	138	122	111	160	44	161	79	88	145	13	81	101	9	188	102	53	177	31	18	159	81	78	63	78	58	31	62	126	52	76	102	42	32	130	60	60	47	30	12	29	26	35					
		7.82%	7.49%	5.51%	7.85%	6.81%	6.13%	7.55%	14.98%	10.53%	10.44%	11.00%	9.32%	8.34%	7.54%	9.21%	6.90%	6.22%	9.30%	6.98%	7.74%	9.02%	7.53%	6.92%	5.54%	8.75%	6.07%	7.97%	8.08%	5.75%	9.53%	5.49%	4.66%	14.26%	17.14%	17.26%	8.13%	6.28%	3.64%	14.06%	4.16%	5.30%	4.81%	5.84%	4.66%	6.04%	23.31%	6.84%	5.20%	7.60%	6.28%	5.59%	3.18%	12.37%	6.19%	7.93%	5.07%	3.81%	2.57%	9.93%	6.72%	10.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	457	26	14	17	4	19	4	9	10	8	9	22	13	8	10	5	17	2	3	23	11	9	21	4	9	4	4	9	1	1	12	0	8	2	2	9	0	7	11	6	5	4	7	7	3	0	16	3	8	9	1	5	5	4	4	4	9	0	2	4	4					
		0.66%	1.33%	1.29%	1.33%	0.45%	1.15%	0.38%	0.51%	0.55%	0.73%	0.59%	1.22%	0.80%	0.74%	0.67%	0.54%	0.87%	0.20%	0.37%	1.29%	0.81%	0.61%	0.91%	0.50%	0.49%	0.31%	0.36%	0.50%	0.44%	0.12%	0.65%	0.00%	0.61%	0.34%	0.65%	0.41%	0.00%	1.42%	0.97%	0.31%	0.34%	0.31%	0.52%	0.56%	0.58%	0.00%	0.87%	0.30%	0.80%	0.55%	0.13%	0.50%	0.48%	0.41%	0.53%	0.43%	1.14%	0.00%	0.68%	1.03%	1.14%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	42147	1081	665	722	491	1021	574	847	996	624	823	941	866	619	823	553	1149	562	485	1007	736	803	1588	460	1048	805	685	971	179	457	1346	157	679	328	179	1275	309	328	765	1426	911	863	903	866	339	119	1090	654	641	1094	501	736	624	626	514	632	568	349	215	290	239					
		60.68%	55.44%	61.07%	56.67%	55.73%	61.95%	54.15%	48.07%	55.21%	57.14%	53.58%	52.22%	53.13%	56.89%	55.31%	59.59%	58.56%	57.46%	59.36%	56.48%	54.44%	54.44%	68.71%	57.93%	56.99%	61.83%	62.05%	54.09%	79.20%	53.76%	73.15%	81.35%	51.52%	55.13%	58.31%	58.59%	62.55%	66.40%	67.64%	73.32%	61.93%	65.93%	67.59%	69.61%	66.08%	44.74%	59.17%	65.40%	64.10%	67.41%	66.62%	73.09%	59.37%	64.60%	67.90%	68.18%	72.17%	74.73%	73.63%	74.94%	68.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	372	29	5	6	14	7	8	16	7	5	14	22	14	5	15	7	13	4	5	11	7	7	16	4	6	5	5	13	0	1	0	1	3	1	4	18	1	2	4	5	2	7	2	6	2	0	12	2	4	4	3	4	4	1	4	2	0	0	0	2	1					
		0.54%	1.49%	0.46%	0.47%	1.59%	0.42%	0.75%	0.91%	0.39%	0.46%	0.91%	1.22%	0.86%	0.46%	1.01%	0.75%	0.66%	0.41%	0.61%	0.62%	0.52%	0.47%	0.69%	0.50%	0.33%	0.38%	0.45%	0.72%	0.00%	0.12%	0.00%	0.52%	0.23%	0.17%	1.30%	0.83%	0.20%	0.40%	0.35%	0.26%	0.14%	0.53%	0.15%	0.48%	0.39%	0.00%	0.65%	0.20%	0.40%	0.25%	0.40%	0.40%	0.38%	0.10%	0.53%	0.22%	0.00%	0.00%	0.00%	0.52%	0.29%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
