Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500					
11	Число полученных открепительных  удостоверений	3450	30	40	40	40	40	40	60	60	0	40	40	40	40	40	60	60	40	60	40	40	50	50	50	30	60	60	40	40	40	30	40	40	50	70	30	30	50	60	50	0	0	50	50	60	60	60	60	60	60	60	50	50	60	50	50	60	50	60	50	50	0	50	50	50	50	60	60	60	60	60	60	60	60					
12	Число выданных открепительных удостоверений	942	4	6	8	7	8	14	13	19	0	13	8	7	7	13	20	15	13	11	10	13	12	13	11	6	23	8	16	11	4	6	23	10	9	13	6	7	6	21	8	0	0	17	17	15	17	18	11	20	19	22	8	13	20	14	15	23	14	21	13	12	0	11	23	13	11	17	20	10	18	19	28	22	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	789	1	8	7	0	0	14	10	8	17	14	25	10	11	7	17	9	11	14	16	10	7	10	17	8	13	10	14	10	13	7	4	13	12	14	8	6	7	8	19	57	33	9	7	10	14	3	17	17	9	11	7	6	14	9	9	8	11	4	4	1	11	11	1	6	4	9	12	11	9	15	7	12	12					
14	Число неиспользованных открепительных удостоверений	2508	26	34	32	33	32	26	47	41	0	27	32	33	33	27	40	45	27	49	30	27	38	37	39	24	37	52	24	29	36	24	17	30	41	57	24	23	44	39	42	0	0	33	33	45	43	42	49	40	41	38	42	37	40	36	35	37	36	39	37	38	0	39	27	37	39	43	40	50	42	41	32	38	41					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	3786	11	34	43	22	29	30	60	57	17	41	28	41	36	38	63	60	48	59	54	41	47	47	55	31	96	93	46	51	36	8	51	44	51	69	20	22	23	63	47	11	14	66	66	89	67	56	49	72	77	89	31	59	75	75	65	86	82	74	74	58	2	55	50	57	44	51	52	61	68	67	94	64	74					
		5.37%	2.33%	4.47%	5.28%	2.96%	4.23%	4.29%	5.28%	5.29%	0.89%	5.96%	4.09%	6.50%	6.19%	5.00%	5.52%	4.94%	5.47%	4.74%	5.95%	6.47%	4.85%	4.74%	6.00%	5.90%	5.97%	6.20%	4.79%	6.55%	5.03%	2.96%	6.00%	5.59%	5.33%	6.27%	4.58%	4.21%	3.99%	5.69%	7.33%	4.68%	6.83%	5.35%	6.06%	6.93%	5.43%	5.07%	4.39%	5.31%	5.62%	5.63%	3.85%	6.07%	5.56%	6.58%	5.61%	7.55%	6.28%	5.64%	7.09%	6.20%	1.29%	5.26%	4.96%	5.48%	5.56%	4.35%	4.09%	5.17%	6.15%	5.54%	7.24%	5.39%	5.83%					
19	. Малышкин Олег Александрович	959	8	15	23	11	13	13	23	13	33	13	5	11	6	12	17	11	12	14	13	4	13	6	6	11	19	17	6	4	10	3	13	12	5	17	12	10	8	6	6	3	3	15	20	21	15	11	18	8	17	17	9	18	21	18	15	17	21	17	10	9	4	14	11	14	16	19	18	13	13	19	19	21	21					
		1.36%	1.69%	1.97%	2.83%	1.48%	1.90%	1.86%	2.02%	1.21%	1.74%	1.89%	0.73%	1.74%	1.03%	1.58%	1.49%	0.91%	1.37%	1.13%	1.43%	0.63%	1.34%	0.61%	0.65%	2.10%	1.18%	1.13%	0.62%	0.51%	1.40%	1.11%	1.53%	1.52%	0.52%	1.55%	2.75%	1.91%	1.39%	0.54%	0.94%	1.28%	1.46%	1.22%	1.84%	1.63%	1.22%	1.00%	1.61%	0.59%	1.24%	1.08%	1.12%	1.85%	1.56%	1.58%	1.30%	1.49%	1.61%	1.30%	0.96%	0.96%	2.58%	1.34%	1.09%	1.34%	2.02%	1.62%	1.42%	1.10%	1.18%	1.57%	1.46%	1.77%	1.65%					
20	. Миронов Сергей Михайлович	446	1	5	2	10	5	3	7	6	12	3	9	4	6	5	4	3	3	6	3	5	9	8	6	0	8	7	5	5	7	1	1	8	9	7	3	9	3	7	10	2	1	3	6	8	6	5	8	9	7	5	5	10	8	13	12	9	8	14	4	4	1	2	7	7	4	6	9	17	9	9	7	3	3					
		0.63%	0.21%	0.66%	0.25%	1.35%	0.73%	0.43%	0.62%	0.56%	0.63%	0.44%	1.31%	0.63%	1.03%	0.66%	0.35%	0.25%	0.34%	0.48%	0.33%	0.79%	0.93%	0.81%	0.65%	0.00%	0.50%	0.47%	0.52%	0.64%	0.98%	0.37%	0.12%	1.02%	0.94%	0.64%	0.69%	1.72%	0.52%	0.63%	1.56%	0.85%	0.49%	0.24%	0.55%	0.62%	0.49%	0.45%	0.72%	0.66%	0.51%	0.32%	0.62%	1.03%	0.59%	1.14%	1.04%	0.79%	0.61%	1.07%	0.38%	0.43%	0.65%	0.19%	0.69%	0.67%	0.51%	0.51%	0.71%	1.44%	0.81%	0.74%	0.54%	0.25%	0.24%					
21	. Путин Владимир Владимирович	45623	343	506	536	482	452	464	736	710	1609	460	457	397	393	484	766	827	548	828	600	410	629	680	540	338	1020	955	604	485	446	198	503	502	603	694	233	319	388	647	376	141	126	821	669	828	810	700	708	837	890	1042	538	607	846	659	736	683	843	861	649	598	118	663	657	620	485	753	834	761	704	794	850	810	814					
		64.65%	72.67%	66.49%	65.85%	64.96%	65.99%	66.38%	64.73%	65.92%	84.68%	66.86%	66.72%	62.92%	67.53%	63.68%	67.13%	68.12%	62.49%	66.56%	66.15%	64.67%	64.91%	68.62%	58.89%	64.38%	63.43%	63.67%	62.92%	62.26%	62.29%	73.33%	59.18%	63.79%	63.01%	63.09%	53.32%	60.99%	67.24%	58.39%	58.66%	60.00%	61.46%	66.59%	61.43%	64.44%	65.64%	63.41%	63.50%	61.73%	64.92%	65.91%	66.83%	62.45%	62.76%	57.81%	63.56%	59.96%	64.60%	65.62%	62.16%	63.89%	76.13%	63.44%	65.18%	59.56%	61.24%	64.19%	65.67%	64.44%	63.71%	65.67%	65.43%	68.24%	64.14%					
22	. Хакамада Ирина Муцуовна	3932	16	38	31	37	24	32	53	54	52	39	54	43	35	49	73	105	62	89	45	34	62	64	58	39	127	112	88	41	72	12	43	49	44	47	19	16	18	77	34	12	5	62	74	62	67	56	68	96	72	64	36	37	81	69	71	73	89	58	56	49	10	49	44	53	43	69	72	75	59	61	50	55	48					
		5.57%	3.39%	4.99%	3.81%	4.99%	3.50%	4.58%	4.66%	5.01%	2.74%	5.67%	7.88%	6.81%	6.01%	6.45%	6.40%	8.65%	7.07%	7.15%	4.96%	5.36%	6.40%	6.46%	6.32%	7.43%	7.90%	7.47%	9.17%	5.26%	10.06%	4.44%	5.06%	6.23%	4.60%	4.27%	4.35%	3.06%	3.12%	6.95%	5.30%	5.11%	2.44%	5.03%	6.80%	4.82%	5.43%	5.07%	6.10%	7.08%	5.25%	4.05%	4.47%	3.81%	6.01%	6.05%	6.13%	6.41%	6.82%	4.42%	5.36%	5.24%	6.45%	4.69%	4.37%	5.09%	5.43%	5.88%	5.67%	6.35%	5.34%	5.05%	3.85%	4.63%	3.78%					
23	. Харитонов Николай Михайлович	12454	69	128	147	132	138	118	192	188	14	108	93	108	80	141	176	147	154	189	155	115	167	142	223	81	273	240	176	158	117	33	201	140	205	206	126	124	105	248	136	47	43	196	202	221	209	212	217	269	237	288	158	196	248	244	210	228	211	239	185	188	5	220	205	240	155	234	211	202	209	202	221	185	224					
		17.65%	14.62%	16.82%	18.06%	17.79%	20.15%	16.88%	16.89%	17.46%	0.74%	15.70%	13.58%	17.12%	13.75%	18.55%	15.43%	12.11%	17.56%	15.19%	17.09%	18.14%	17.23%	14.33%	24.32%	15.43%	16.98%	16.00%	18.33%	20.28%	16.34%	12.22%	23.65%	17.79%	21.42%	18.73%	28.83%	23.71%	18.20%	22.38%	21.22%	20.00%	20.98%	15.90%	18.55%	17.20%	16.94%	19.20%	19.46%	19.84%	17.29%	18.22%	19.63%	20.16%	18.40%	21.40%	18.13%	20.02%	16.17%	18.22%	17.72%	20.09%	3.23%	21.05%	20.34%	23.05%	19.57%	19.95%	16.61%	17.10%	18.91%	16.71%	17.01%	15.59%	17.65%					
																																																																																
24	Против всех	2610	13	27	22	38	18	26	43	37	121	20	34	20	23	27	34	51	32	49	23	21	31	34	24	22	55	64	31	26	22	14	31	23	30	48	14	11	20	53	27	14	8	51	46	44	49	58	38	55	51	54	21	32	54	52	39	35	38	37	46	29	15	33	29	36	32	34	51	43	27	46	46	32	76					
		3.70%	2.75%	3.55%	2.70%	5.12%	2.63%	3.72%	3.78%	3.44%	6.37%	2.91%	4.96%	3.17%	3.95%	3.55%	2.98%	4.20%	3.65%	3.94%	2.54%	3.31%	3.20%	3.43%	2.62%	4.19%	3.42%	4.27%	3.23%	3.34%	3.07%	5.19%	3.65%	2.92%	3.13%	4.36%	3.20%	2.10%	3.47%	4.78%	4.21%	5.96%	3.90%	4.14%	4.22%	3.42%	3.97%	5.25%	3.41%	4.06%	3.72%	3.42%	2.61%	3.29%	4.01%	4.56%	3.37%	3.07%	2.91%	2.82%	4.41%	3.10%	9.68%	3.16%	2.88%	3.46%	4.04%	2.90%	4.02%	3.64%	2.44%	3.80%	3.54%	2.70%	5.99%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
