Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    ТИК Левобережной части г.Владикавказа																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	1.Политическая партия «Аграрная партия России»	1827	4	2	1	20	12	11	19	45	10	12	6	33	0	25	28	0	3	0	23	0	27	20	21	12	10	12	1	8	43	107	25	76	17	75	77	10	24	21	31	31	31	109	6	32	34	33	81	14	21	35	28	184	29	34	12	24	92	26	19	23	21	12	19	6					
		2.68%	1.37%	0.45%	0.16%	1.09%	1.53%	1.15%	1.09%	3.03%	1.04%	2.31%	0.43%	2.12%	0.00%	2.42%	2.71%	0.00%	0.86%	0.00%	1.84%	0.00%	2.40%	1.42%	1.57%	1.81%	0.51%	0.85%	0.39%	0.67%	5.14%	6.99%	1.83%	6.35%	1.75%	6.87%	6.79%	1.12%	2.22%	2.80%	3.31%	2.84%	2.08%	7.86%	0.49%	2.34%	3.84%	2.79%	5.85%	1.22%	1.98%	3.19%	2.26%	13.40%	3.22%	2.44%	1.83%	2.26%	8.68%	1.24%	1.38%	2.48%	1.68%	1.99%	1.25%	0.82%					
19	2.Всероссийская политическая партия «Гражданская Сила»	434	2	1	8	15	9	6	0	1	11	5	12	14	0	3	0	0	1	3	17	0	0	10	15	5	20	4	4	7	5	9	0	10	12	0	2	5	13	4	0	11	19	2	0	42	8	12	13	0	8	2	8	14	7	10	1	12	0	5	12	7	7	0	0	1					
		0.64%	0.68%	0.23%	1.31%	0.82%	1.15%	0.63%	0.00%	0.07%	1.14%	0.96%	0.85%	0.90%	0.00%	0.29%	0.00%	0.00%	0.29%	4.11%	1.36%	0.00%	0.00%	0.71%	1.12%	0.75%	1.03%	0.28%	1.54%	0.58%	0.60%	0.59%	0.00%	0.84%	1.23%	0.00%	0.18%	0.56%	1.20%	0.53%	0.00%	1.01%	1.28%	0.14%	0.00%	3.07%	0.90%	1.02%	0.94%	0.00%	0.75%	0.18%	0.65%	1.02%	0.78%	0.72%	0.15%	1.13%	0.00%	0.24%	0.87%	0.75%	0.56%	0.00%	0.00%	0.14%					
20	3.Политическая партия «Демократическая партия России»	282	2	3	1	4	0	2	0	2	0	4	0	5	0	0	0	0	0	0	2	0	0	1	0	4	0	2	4	4	0	3	1	3	0	0	0	0	1	1	187	1	1	0	0	0	1	2	1	0	1	1	3	23	1	1	0	5	0	0	3	0	2	0	0	0					
		0.41%	0.68%	0.68%	0.16%	0.22%	0.00%	0.21%	0.00%	0.13%	0.00%	0.77%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.07%	0.00%	0.60%	0.00%	0.14%	1.54%	0.33%	0.00%	0.20%	0.07%	0.25%	0.00%	0.00%	0.00%	0.00%	0.09%	0.13%	19.96%	0.09%	0.07%	0.00%	0.00%	0.00%	0.11%	0.17%	0.07%	0.00%	0.09%	0.09%	0.24%	1.68%	0.11%	0.07%	0.00%	0.47%	0.00%	0.00%	0.22%	0.00%	0.16%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8263	19	34	34	142	118	70	167	86	87	96	204	196	145	103	110	4	34	0	209	0	105	194	210	65	182	131	7	121	91	150	197	143	143	166	165	116	209	95	0	166	216	205	130	164	125	183	198	26	163	175	229	221	143	172	72	138	158	178	147	136	209	98	227	36					
		12.14%	6.48%	7.71%	5.58%	7.75%	15.09%	7.35%	9.60%	5.80%	9.05%	18.46%	14.46%	12.56%	15.10%	9.95%	10.63%	12.12%	9.80%	0.00%	16.76%	0.00%	9.32%	13.75%	15.70%	9.79%	9.33%	9.30%	2.70%	10.08%	10.89%	9.80%	14.44%	11.95%	14.71%	15.20%	14.55%	12.99%	19.37%	12.67%	0.00%	15.20%	14.50%	14.79%	10.51%	11.99%	14.11%	15.50%	14.30%	2.27%	15.33%	15.97%	18.51%	16.10%	15.89%	12.35%	11.01%	12.97%	14.91%	8.50%	10.68%	14.64%	16.69%	16.28%	14.94%	4.95%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	449	11	2	7	13	7	4	0	5	34	3	16	31	0	8	8	1	3	0	8	1	3	22	9	2	47	9	2	10	14	5	8	0	9	0	0	1	3	3	0	6	5	2	0	0	7	11	3	7	2	44	3	7	7	4	1	9	0	4	3	2	3	0	9	1					
		0.66%	3.75%	0.45%	1.15%	0.71%	0.90%	0.42%	0.00%	0.34%	3.54%	0.58%	1.13%	1.99%	0.00%	0.77%	0.77%	3.03%	0.86%	0.00%	0.64%	1.22%	0.27%	1.56%	0.67%	0.30%	2.41%	0.64%	0.77%	0.83%	1.67%	0.33%	0.59%	0.00%	0.93%	0.00%	0.00%	0.11%	0.28%	0.40%	0.00%	0.55%	0.34%	0.14%	0.00%	0.00%	0.79%	0.93%	0.22%	0.61%	0.19%	4.01%	0.24%	0.51%	0.78%	0.29%	0.15%	0.85%	0.00%	0.19%	0.22%	0.22%	0.24%	0.00%	0.59%	0.14%					
23	6.Политическая партия «Партия социальной справедливости»	236	0	1	3	15	2	4	0	4	7	9	2	7	0	4	0	0	1	0	7	0	0	12	9	5	2	10	4	12	2	8	2	6	4	4	12	2	4	3	0	3	2	3	0	0	4	1	1	0	1	4	5	3	2	8	1	5	0	2	11	5	4	0	0	4					
		0.35%	0.00%	0.23%	0.49%	0.82%	0.26%	0.42%	0.00%	0.27%	0.73%	1.73%	0.14%	0.45%	0.00%	0.39%	0.00%	0.00%	0.29%	0.00%	0.56%	0.00%	0.00%	0.85%	0.67%	0.75%	0.10%	0.71%	1.54%	1.00%	0.24%	0.52%	0.15%	0.50%	0.41%	0.37%	1.06%	0.22%	0.37%	0.40%	0.00%	0.27%	0.13%	0.22%	0.00%	0.00%	0.45%	0.08%	0.07%	0.00%	0.09%	0.36%	0.40%	0.22%	0.22%	0.57%	0.15%	0.47%	0.00%	0.10%	0.80%	0.54%	0.32%	0.00%	0.00%	0.55%					
24	7.Политическая партия «Либерально-демократическая партия России»	1683	15	16	59	129	31	81	4	28	10	21	0	19	14	40	24	1	2	2	64	0	17	53	46	38	0	43	24	17	20	5	55	0	43	11	0	28	50	28	0	35	14	10	8	25	20	47	51	12	20	40	44	3	35	43	19	40	11	51	57	4	19	3	20	14					
		2.47%	5.12%	3.63%	9.69%	7.04%	3.96%	8.50%	0.23%	1.89%	1.04%	4.04%	0.00%	1.22%	1.46%	3.86%	2.32%	3.03%	0.58%	2.74%	5.13%	0.00%	1.51%	3.76%	3.44%	5.72%	0.00%	3.05%	9.27%	1.42%	2.39%	0.33%	4.03%	0.00%	4.42%	1.01%	0.00%	3.14%	4.63%	3.73%	0.00%	3.21%	0.94%	0.72%	0.65%	1.83%	2.26%	3.98%	3.68%	1.05%	1.88%	3.65%	3.56%	0.22%	3.89%	3.09%	2.91%	3.76%	1.04%	2.43%	4.14%	0.43%	1.52%	0.50%	1.32%	1.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3698	6	20	24	73	42	28	263	5	63	43	120	89	35	29	73	1	12	8	93	4	139	99	96	39	102	121	12	97	97	124	191	0	92	0	42	59	83	69	35	70	34	13	28	0	1	83	13	0	87	104	34	10	83	62	44	91	65	65	106	78	20	42	0	37					
		5.43%	2.05%	4.54%	3.94%	3.98%	5.37%	2.94%	15.12%	0.34%	6.56%	8.27%	8.50%	5.71%	3.65%	2.80%	7.05%	3.03%	3.46%	10.96%	7.46%	4.88%	12.33%	7.02%	7.17%	5.87%	5.23%	8.59%	4.63%	8.08%	11.60%	8.10%	14.00%	0.00%	9.47%	0.00%	3.70%	6.61%	7.69%	9.20%	3.74%	6.41%	2.28%	0.94%	2.26%	0.00%	0.11%	7.03%	0.94%	0.00%	8.18%	9.49%	2.75%	0.73%	9.22%	4.45%	6.73%	8.55%	6.13%	3.10%	7.70%	8.40%	1.60%	6.98%	0.00%	5.08%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	668	4	10	8	19	8	8	0	8	10	10	0	18	0	7	9	1	6	0	25	0	8	22	28	10	4	21	6	20	6	17	28	0	15	0	0	11	6	16	0	15	21	12	5	38	10	12	13	3	16	13	18	2	18	14	9	12	0	19	11	12	7	2	16	1					
		0.98%	1.37%	2.27%	1.31%	1.04%	1.02%	0.84%	0.00%	0.54%	1.04%	1.92%	0.00%	1.15%	0.00%	0.68%	0.87%	3.03%	1.73%	0.00%	2.00%	0.00%	0.71%	1.56%	2.09%	1.51%	0.21%	1.49%	2.32%	1.67%	0.72%	1.11%	2.05%	0.00%	1.54%	0.00%	0.00%	1.23%	0.56%	2.13%	0.00%	1.37%	1.41%	0.87%	0.40%	2.78%	1.13%	1.02%	0.94%	0.26%	1.51%	1.19%	1.46%	0.15%	2.00%	1.01%	1.38%	1.13%	0.00%	0.91%	0.80%	1.29%	0.56%	0.33%	1.05%	0.14%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	48169	204	308	423	1355	516	704	1286	1300	628	300	1045	1114	766	812	767	23	282	60	732	76	828	900	859	456	1571	1004	147	903	522	1091	847	715	589	831	836	603	645	490	684	621	1076	1012	996	1007	637	781	987	1082	703	639	832	787	524	990	486	687	690	1717	930	603	904	440	1218	598					
		70.78%	69.62%	69.84%	69.46%	73.96%	65.98%	73.87%	73.95%	87.60%	65.35%	57.69%	74.06%	71.41%	79.79%	78.45%	74.11%	69.70%	81.27%	82.19%	58.70%	92.68%	73.47%	63.78%	64.20%	68.67%	80.52%	71.26%	56.76%	75.25%	62.44%	71.26%	62.10%	59.73%	60.60%	76.10%	73.72%	67.53%	59.78%	65.33%	72.99%	56.87%	72.21%	73.02%	80.52%	73.61%	71.90%	66.13%	71.26%	94.58%	66.13%	58.30%	67.26%	57.32%	58.22%	71.07%	74.31%	64.57%	65.09%	81.96%	67.54%	64.91%	72.20%	73.09%	80.18%	82.14%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	305	2	6	10	14	6	3	0	0	2	1	0	6	0	4	11	0	2	0	14	0	0	12	14	3	1	11	4	1	5	10	10	0	5	0	0	4	4	9	0	7	11	0	5	0	3	5	10	0	7	8	5	4	4	6	5	5	0	10	14	10	12	0	0	0					
		0.45%	0.68%	1.36%	1.64%	0.76%	0.77%	0.31%	0.00%	0.00%	0.21%	0.19%	0.00%	0.38%	0.00%	0.39%	1.06%	0.00%	0.58%	0.00%	1.12%	0.00%	0.00%	0.85%	1.05%	0.45%	0.05%	0.78%	1.54%	0.08%	0.60%	0.65%	0.73%	0.00%	0.51%	0.00%	0.00%	0.45%	0.37%	1.20%	0.00%	0.64%	0.74%	0.00%	0.40%	0.00%	0.34%	0.42%	0.72%	0.00%	0.66%	0.73%	0.40%	0.29%	0.44%	0.43%	0.76%	0.47%	0.00%	0.48%	1.02%	1.08%	0.96%	0.00%	0.00%	0.00%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
