Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Алексинская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157									
		15.02%	18.21%	18.30%	18.28%	17.86%	19.42%	23.58%	12.18%	11.94%	14.57%	21.89%	9.43%	23.82%	19.08%	22.80%	17.07%	20.09%	16.99%	16.61%	15.15%	7.49%	18.49%	19.17%	26.23%	12.35%	15.49%	20.17%	20.44%	16.93%	17.79%	20.28%	18.52%	9.00%	11.71%	16.17%	15.69%	16.55%	23.72%	18.53%	11.17%	7.35%	13.37%	9.37%	9.87%	10.91%	6.03%	10.86%	6.36%	13.23%	15.47%	12.75%	11.95%	6.79%	8.79%	6.67%	4.55%	7.55%	10.46%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	2	3	2	1	0	1	12	2	1	2	4	0	3	1	1	0	2	1	1	1	5	2	5	2	2	3	0	3	0	0	2	3	0	0	0	0	0	0	2	0	2	0	0	2	0	0	4	0	1	2	1	1	1	0	0	0	2									
		0.26%	0.36%	0.43%	0.35%	0.19%	0.00%	0.24%	1.90%	0.33%	0.14%	0.31%	0.36%	0.00%	0.55%	0.24%	0.24%	0.00%	0.43%	0.16%	0.19%	0.22%	0.74%	0.28%	0.85%	0.20%	0.28%	0.50%	0.00%	0.58%	0.00%	0.00%	0.22%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.53%	0.00%	0.00%	0.34%	0.00%	0.00%	1.82%	0.00%	0.36%	0.44%	0.17%	0.18%	0.33%	0.00%	0.00%	0.00%	0.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1274	36	48	37	26	21	29	23	30	37	23	39	26	31	21	22	14	18	39	27	11	31	31	27	50	39	35	28	21	8	12	25	18	18	26	17	45	23	37	35	13	7	3	9	10	2	2	8	3	1	12	16	11	4	1	7	47	34									
		3.86%	6.43%	6.92%	6.50%	4.89%	6.09%	6.84%	3.64%	4.98%	5.29%	3.62%	3.50%	4.55%	5.69%	4.99%	5.29%	2.18%	3.87%	6.06%	5.11%	2.42%	4.59%	4.31%	4.57%	5.10%	5.39%	5.83%	5.61%	4.09%	1.05%	1.50%	2.81%	1.98%	3.15%	3.66%	3.56%	5.32%	4.36%	5.67%	4.34%	1.74%	1.87%	0.91%	2.87%	1.68%	1.01%	0.57%	3.64%	0.92%	0.36%	2.64%	2.73%	2.02%	1.30%	0.37%	3.18%	4.17%	3.36%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
