Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Новочеркасская городская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2485	УИК №2487	УИК №2488					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2678	70	55	35	30	30	20	60	40	50	50	30	40	60	30	40	65	50	30	50	50	30	30	50	30	15	90	81	60	30	40	60	30	50	36	20	10	50	40	40	30	30	38	30	40	60	33	40	30	30	60	30	30	30	30	30	50	20	30	30	35	30	50	30	38	42	5	70	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2305	53	49	34	30	27	11	52	32	50	47	21	37	54	23	36	65	48	28	50	46	29	30	43	27	14	84	76	40	23	39	46	22	48	36	15	8	40	40	37	30	15	30	28	33	37	33	32	30	26	43	22	21	30	24	29	19	8	26	28	35	26	39	28	32	41	0	70	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2196	20	30	20	26	100	3	20	8	23	20	49	9	22	24	23	77	24	28	156	93	16	18	32	18	81	28	83	112	8	149	15	75	27	18	5	5	19	13	15	5	8	10	15	10	43	85	7	11	14	4	11	12	14	7	19	12	18	19	17	15	14	20	21	24	12	9	24	204					
14	Число погашенных неиспользованных открепительных удостоверений	373	17	6	1	0	3	9	8	8	0	3	9	3	6	7	4	0	2	2	0	4	1	0	7	3	1	6	5	20	7	1	14	8	2	0	5	2	10	0	3	0	15	8	2	7	23	0	8	0	4	17	8	9	0	6	1	31	12	4	2	0	4	11	2	6	1	5	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	2	1	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16109	315	368	283	242	162	49	211	306	255	195	187	235	296	139	179	271	288	144	304	179	186	218	269	233	128	162	150	268	140	262	258	228	261	287	104	41	345	424	368	353	218	242	227	315	250	288	326	288	267	356	234	233	275	246	325	173	75	190	139	374	173	258	378	312	262	60	285	47					
		20.73%	19.77%	21.79%	20.10%	22.47%	18.06%	20.59%	18.10%	21.02%	18.68%	19.42%	21.97%	25.60%	20.36%	22.46%	18.51%	17.90%	22.02%	17.87%	18.36%	19.76%	20.92%	21.71%	20.52%	21.45%	18.93%	15.37%	14.40%	23.53%	20.80%	13.67%	23.12%	22.78%	21.34%	21.66%	18.57%	16.14%	21.40%	24.87%	23.76%	21.63%	22.20%	24.80%	22.08%	27.68%	21.40%	23.61%	23.92%	22.75%	22.16%	26.27%	25.11%	26.39%	22.20%	21.35%	23.10%	21.98%	23.22%	22.67%	17.55%	23.88%	20.16%	19.68%	22.30%	19.97%	18.19%	10.68%	16.84%	3.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10644	238	174	175	153	119	31	101	163	163	157	100	109	213	87	156	186	156	122	335	155	132	128	191	168	99	174	148	155	60	521	115	138	170	177	75	42	217	192	186	256	97	93	94	126	136	156	174	175	167	146	112	103	164	163	211	132	58	110	108	195	122	163	222	216	163	72	264	265					
		13.69%	14.94%	10.30%	12.43%	14.21%	13.27%	13.03%	8.66%	11.20%	11.94%	15.64%	11.75%	11.87%	14.65%	14.05%	16.13%	12.29%	11.93%	15.14%	20.23%	17.11%	14.85%	12.75%	14.57%	15.47%	14.64%	16.51%	14.20%	13.61%	8.92%	27.19%	10.30%	13.79%	13.90%	13.36%	13.39%	16.54%	13.46%	11.26%	12.01%	15.69%	9.88%	9.53%	9.14%	11.07%	11.64%	12.79%	12.77%	13.82%	13.86%	10.77%	12.02%	11.66%	13.24%	14.15%	14.99%	16.77%	17.96%	13.13%	13.64%	12.45%	14.22%	12.43%	13.10%	13.83%	11.32%	12.81%	15.60%	20.02%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1103	30	21	16	16	13	2	20	22	13	13	13	14	18	16	21	24	20	9	14	13	16	10	24	9	11	12	19	17	5	37	18	21	14	27	4	3	22	17	20	18	12	15	17	18	19	16	21	19	15	19	10	15	14	17	20	8	7	9	15	25	17	19	21	22	32	6	18	5					
		1.42%	1.88%	1.24%	1.14%	1.49%	1.45%	0.84%	1.72%	1.51%	0.95%	1.29%	1.53%	1.53%	1.24%	2.58%	2.17%	1.59%	1.53%	1.12%	0.85%	1.43%	1.80%	0.99%	1.83%	0.83%	1.63%	1.14%	1.82%	1.49%	0.74%	1.93%	1.61%	2.10%	1.14%	2.04%	0.71%	1.18%	1.36%	0.99%	1.29%	1.10%	1.22%	1.54%	1.65%	1.58%	1.63%	1.31%	1.54%	1.50%	1.24%	1.40%	1.07%	1.70%	1.13%	1.48%	1.42%	1.02%	2.17%	1.07%	1.89%	1.60%	1.98%	1.45%	1.24%	1.41%	2.22%	1.07%	1.06%	0.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	22184	470	553	506	335	274	58	443	473	483	307	239	237	408	169	303	480	445	257	440	215	270	324	386	270	189	275	325	328	265	478	347	250	326	428	169	44	370	454	422	389	303	292	320	290	290	379	373	398	370	398	264	275	370	318	423	210	90	248	238	435	271	372	443	436	450	70	400	54					
		28.54%	29.50%	32.74%	35.94%	31.10%	30.55%	24.37%	37.99%	32.49%	35.38%	30.58%	28.08%	25.82%	28.06%	27.30%	31.33%	31.70%	34.02%	31.89%	26.57%	23.73%	30.37%	32.27%	29.44%	24.86%	27.96%	26.09%	31.19%	28.80%	39.38%	24.95%	31.09%	24.98%	26.66%	32.30%	30.18%	17.32%	22.95%	26.63%	27.24%	23.84%	30.86%	29.92%	31.13%	25.48%	24.83%	31.07%	27.37%	31.44%	30.71%	29.37%	28.33%	31.14%	29.86%	27.60%	30.06%	26.68%	27.86%	29.59%	30.05%	27.78%	31.59%	28.38%	26.14%	27.91%	31.25%	12.46%	23.64%	4.08%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3468	85	112	77	68	59	2	98	99	98	52	28	38	64	34	50	113	87	59	46	42	46	39	71	51	28	21	32	70	51	88	94	57	59	81	21	6	47	44	54	48	39	43	55	40	57	44	58	48	44	48	27	34	59	40	50	24	10	27	27	54	29	34	64	49	51	14	75	5					
		4.46%	5.34%	6.63%	5.47%	6.31%	6.58%	0.84%	8.40%	6.80%	7.18%	5.18%	3.29%	4.14%	4.40%	5.49%	5.17%	7.46%	6.65%	7.32%	2.78%	4.64%	5.17%	3.88%	5.42%	4.70%	4.14%	1.99%	3.07%	6.15%	7.58%	4.59%	8.42%	5.69%	4.82%	6.11%	3.75%	2.36%	2.92%	2.58%	3.49%	2.94%	3.97%	4.41%	5.35%	3.51%	4.88%	3.61%	4.26%	3.79%	3.65%	3.54%	2.90%	3.85%	4.76%	3.47%	3.55%	3.05%	3.10%	3.22%	3.41%	3.45%	3.38%	2.59%	3.78%	3.14%	3.54%	2.49%	4.43%	0.38%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22556	422	429	333	239	242	94	273	367	322	261	267	268	418	165	235	408	286	194	466	281	228	267	340	324	214	374	350	278	135	465	254	286	359	301	176	114	567	542	468	536	289	262	287	326	394	319	393	315	326	369	270	211	323	354	350	224	78	235	246	457	231	436	536	499	446	323	610	899					
		29.02%	26.49%	25.40%	23.65%	22.19%	26.98%	39.50%	23.41%	25.21%	23.59%	25.99%	31.37%	29.19%	28.75%	26.66%	24.30%	26.95%	21.87%	24.07%	28.14%	31.02%	25.65%	26.59%	25.93%	29.83%	31.66%	35.48%	33.59%	24.41%	20.06%	24.27%	22.76%	28.57%	29.35%	22.72%	31.43%	44.88%	35.17%	31.79%	30.21%	32.84%	29.43%	26.84%	27.92%	28.65%	33.73%	26.15%	28.83%	24.88%	27.05%	27.23%	28.97%	23.90%	26.07%	30.73%	24.88%	28.46%	24.15%	28.04%	31.06%	29.18%	26.92%	33.26%	31.62%	31.95%	30.97%	57.47%	36.05%	67.90%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	545	14	10	7	13	7	1	5	9	12	10	2	10	13	3	6	12	8	7	16	9	2	9	15	13	2	13	5	17	4	25	14	7	8	9	1	0	18	13	6	11	9	3	5	5	3	3	4	9	5	11	4	5	9	2	6	2	2	2	5	5	6	8	6	12	15	8	19	6					
		0.70%	0.88%	0.59%	0.50%	1.21%	0.78%	0.42%	0.43%	0.62%	0.88%	0.99%	0.24%	1.09%	0.89%	0.48%	0.62%	0.79%	0.61%	0.87%	0.97%	0.99%	0.22%	0.90%	1.14%	1.20%	0.30%	1.23%	0.48%	1.49%	0.59%	1.30%	1.25%	0.70%	0.65%	0.68%	0.18%	0.00%	1.12%	0.76%	0.39%	0.67%	0.92%	0.31%	0.49%	0.44%	0.26%	0.25%	0.29%	0.71%	0.41%	0.81%	0.43%	0.57%	0.73%	0.17%	0.43%	0.25%	0.62%	0.24%	0.63%	0.32%	0.70%	0.61%	0.35%	0.77%	1.04%	1.42%	1.12%	0.45%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
