Выборы Президента Российской Федерации																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413					
11	Число полученных открепительных  удостоверений	3626	40	40	40	40	40	40	60	40	60	40	60	60	60	60	40	40	40	40	60	40	60	40	80	70	40	40	60	61	40	60	40	40	60	40	40	40	60	60	40	60	90	40	60	60	40	60	40	40	60	60	40	40	60	40	40	40	60	40	40	40	60	85	60	40	60	60	40	40	60	40	60	60	0	0	0	0	0					
12	Число выданных открепительных удостоверений	2506	16	26	40	28	22	37	45	14	32	19	48	35	34	46	23	21	35	17	34	37	50	27	74	63	18	24	50	61	40	47	23	24	38	14	15	11	56	60	40	48	82	30	41	31	11	53	36	28	53	27	9	21	36	22	6	32	58	9	30	15	42	80	48	31	34	41	35	26	38	27	47	35	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2459	34	6	0	25	10	21	14	17	19	20	20	17	12	28	6	54	3	0	12	16	22	8	19	13	26	8	18	16	18	13	19	10	18	4	7	20	16	3	16	23	49	14	18	16	13	13	9	15	8	24	9	9	15	10	11	15	38	30	8	0	7	14	9	28	12	18	16	14	13	24	30	17	6	99	25	99	1073					
14	Число неиспользованных открепительных удостоверений	1120	24	14	0	12	18	3	15	26	28	21	12	25	26	14	17	19	5	23	26	3	10	13	6	7	22	16	10	0	0	13	17	16	22	26	25	29	4	0	0	12	8	10	19	29	29	7	4	12	7	33	31	19	24	18	34	8	2	31	10	25	18	5	12	9	26	19	5	14	22	13	13	25	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	38	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	93	0	0	5	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																				
18	. Глазьев Сергей Юрьевич	2627	18	12	64	20	23	80	22	28	19	23	61	26	6	22	34	33	12	24	59	60	29	41	53	72	50	23	30	74	43	40	56	20	53	3	32	22	42	9	45	75	45	53	48	46	11	20	19	23	61	46	21	29	61	4	12	39	32	32	25	13	49	32	106	13	46	9	22	8	93	15	55	60	0	2	4	3	12					
		2.27%	1.74%	0.98%	4.46%	1.69%	2.02%	3.89%	1.14%	2.93%	0.92%	2.85%	3.13%	1.90%	0.28%	0.89%	4.88%	3.36%	0.68%	2.31%	3.10%	3.91%	1.16%	2.84%	2.09%	2.39%	3.26%	2.08%	0.99%	2.88%	3.93%	1.72%	7.04%	1.48%	2.99%	0.48%	3.72%	2.77%	2.29%	0.46%	3.53%	2.99%	2.14%	4.48%	2.38%	2.79%	3.18%	1.46%	1.63%	2.02%	3.35%	2.36%	3.29%	3.08%	2.74%	0.45%	2.99%	3.06%	1.22%	4.36%	1.95%	1.45%	2.15%	1.14%	4.83%	0.92%	2.60%	0.49%	1.77%	0.57%	4.27%	1.29%	3.10%	2.33%	0.00%	1.68%	3.15%	1.61%	0.91%					
19	. Малышкин Олег Александрович	757	16	5	4	8	14	25	11	12	17	10	15	10	2	7	4	2	6	5	13	9	18	11	14	11	15	6	15	17	4	13	8	14	16	4	1	5	12	6	8	17	14	6	23	9	2	13	6	5	21	12	6	6	30	7	2	8	17	5	12	14	17	17	10	7	8	5	5	2	16	10	7	14	0	0	0	1	10					
		0.65%	1.55%	0.41%	0.28%	0.68%	1.23%	1.21%	0.57%	1.25%	0.82%	1.24%	0.77%	0.73%	0.09%	0.28%	0.57%	0.20%	0.34%	0.48%	0.68%	0.59%	0.72%	0.76%	0.55%	0.37%	0.98%	0.54%	0.49%	0.66%	0.37%	0.56%	1.01%	1.03%	0.90%	0.65%	0.12%	0.63%	0.66%	0.31%	0.63%	0.68%	0.67%	0.51%	1.14%	0.55%	0.58%	0.95%	0.51%	0.44%	1.15%	0.61%	0.94%	0.64%	1.35%	0.78%	0.50%	0.63%	0.65%	0.68%	0.94%	1.56%	0.75%	0.61%	0.46%	0.49%	0.45%	0.27%	0.40%	0.14%	0.73%	0.86%	0.39%	0.54%	0.00%	0.00%	0.00%	0.54%	0.76%					
20	. Миронов Сергей Михайлович	593	11	2	3	6	7	15	5	7	21	14	15	12	5	8	5	6	5	7	9	5	3	12	13	10	6	3	6	11	6	11	4	12	13	1	4	3	16	5	4	12	9	7	12	13	5	3	6	2	13	15	0	7	17	7	1	7	15	7	3	3	14	10	9	2	16	6	5	3	13	7	9	17	0	0	1	1	5					
		0.51%	1.06%	0.16%	0.21%	0.51%	0.62%	0.73%	0.26%	0.73%	1.02%	1.73%	0.77%	0.87%	0.24%	0.32%	0.72%	0.61%	0.28%	0.67%	0.47%	0.33%	0.12%	0.83%	0.51%	0.33%	0.39%	0.27%	0.20%	0.43%	0.55%	0.47%	0.50%	0.89%	0.73%	0.16%	0.47%	0.38%	0.87%	0.26%	0.31%	0.48%	0.43%	0.59%	0.59%	0.79%	1.45%	0.22%	0.51%	0.18%	0.71%	0.77%	0.00%	0.74%	0.76%	0.78%	0.25%	0.55%	0.57%	0.95%	0.23%	0.33%	0.61%	0.36%	0.41%	0.14%	0.90%	0.33%	0.40%	0.21%	0.60%	0.60%	0.51%	0.66%	0.00%	0.00%	0.79%	0.54%	0.38%					
21	. Путин Владимир Владимирович	98901	864	1113	1089	1019	985	1647	1722	808	1809	727	1687	1109	1913	2320	532	836	1610	799	1733	1235	2251	1210	2147	2625	1089	965	2802	2120	888	1997	617	1123	1420	564	713	697	1529	1781	1040	2102	1821	1006	1626	1403	266	1163	990	927	1616	1712	531	789	1919	751	333	1109	2354	611	1111	798	2052	2575	1779	1236	1449	1469	1044	1286	1682	996	1436	2164	110	66	103	151	1230					
		85.42%	83.56%	91.01%	75.94%	86.28%	86.71%	79.99%	89.50%	84.43%	87.52%	89.98%	86.47%	80.83%	89.98%	94.00%	76.33%	85.05%	90.65%	76.97%	91.02%	80.56%	89.72%	83.85%	84.66%	87.15%	71.04%	87.25%	92.05%	82.65%	81.10%	85.74%	77.51%	83.00%	80.09%	90.97%	82.91%	87.89%	83.46%	90.96%	81.50%	83.91%	86.55%	85.04%	80.46%	85.13%	76.88%	85.01%	84.83%	81.53%	88.69%	87.66%	83.23%	83.67%	86.09%	84.19%	83.04%	86.91%	89.98%	83.24%	86.80%	88.96%	90.00%	91.73%	81.08%	87.10%	81.77%	80.19%	83.92%	91.40%	77.16%	85.49%	80.81%	84.01%	95.65%	55.46%	81.10%	81.18%	93.75%					
22	. Хакамада Ирина Муцуовна	2715	27	23	66	30	28	43	19	38	41	18	21	11	7	29	26	30	16	20	28	61	41	53	72	77	46	23	34	100	50	50	29	34	89	11	35	18	67	5	49	11	81	10	77	42	11	35	32	47	28	30	31	22	12	10	20	41	17	23	10	11	44	35	69	29	61	14	35	12	96	59	66	103	1	3	2	7	13					
		2.35%	2.61%	1.88%	4.60%	2.54%	2.46%	2.09%	0.99%	3.97%	1.98%	2.23%	1.08%	0.80%	0.33%	1.18%	3.73%	3.05%	0.90%	1.93%	1.47%	3.98%	1.63%	3.67%	2.84%	2.56%	3.00%	2.08%	1.12%	3.90%	4.57%	2.15%	3.64%	2.51%	5.02%	1.77%	4.07%	2.27%	3.66%	0.26%	3.84%	0.44%	3.85%	0.85%	3.81%	2.55%	3.18%	2.56%	2.74%	4.13%	1.54%	1.54%	4.86%	2.33%	0.54%	1.12%	4.99%	3.21%	0.65%	3.13%	0.78%	1.23%	1.93%	1.25%	3.14%	2.04%	3.44%	0.76%	2.81%	0.85%	4.40%	5.06%	3.71%	4.00%	0.87%	2.52%	1.57%	3.76%	0.99%					
23	. Харитонов Николай Михайлович	7520	65	61	148	78	59	249	124	45	131	6	110	147	189	71	81	53	105	106	46	133	134	77	200	176	112	65	126	187	71	176	60	124	121	25	56	31	123	109	106	205	72	57	175	111	38	86	99	81	55	98	34	43	125	109	23	54	112	41	105	47	101	84	164	116	134	53	126	96	225	68	198	213	1	36	15	17	17					
		6.50%	6.29%	4.99%	10.32%	6.60%	5.19%	12.09%	6.44%	4.70%	6.34%	0.74%	5.64%	10.71%	8.89%	2.88%	11.62%	5.39%	5.91%	10.21%	2.42%	8.68%	5.34%	5.34%	7.89%	5.84%	7.31%	5.88%	4.14%	7.29%	6.48%	7.56%	7.54%	9.16%	6.82%	4.03%	6.51%	3.91%	6.71%	5.57%	8.31%	8.18%	3.42%	4.82%	8.66%	6.74%	10.98%	6.29%	8.48%	7.12%	3.02%	5.02%	5.33%	4.56%	5.61%	12.22%	5.74%	4.23%	4.28%	5.59%	8.20%	5.24%	4.43%	2.99%	7.47%	8.17%	7.56%	2.89%	10.13%	6.82%	10.32%	5.84%	11.14%	8.27%	0.87%	30.25%	11.81%	9.14%	1.30%					
																																																																																				
24	Против всех	1526	33	5	52	16	11	0	17	8	24	10	27	35	3	8	11	21	17	32	11	20	24	30	26	27	24	16	16	46	28	35	21	22	46	12	16	15	30	43	24	40	61	42	39	18	6	29	12	24	22	33	11	17	36	4	9	18	39	10	8	11	2	36	47	3	4	2	3	0	46	10	3	5	0	0	2	3	9					
		1.32%	3.19%	0.41%	3.63%	1.35%	0.97%	0.00%	0.88%	0.84%	1.16%	1.24%	1.38%	2.55%	0.14%	0.32%	1.58%	2.14%	0.96%	3.08%	0.58%	1.30%	0.96%	2.08%	1.03%	0.90%	1.57%	1.45%	0.53%	1.79%	2.56%	1.50%	2.64%	1.63%	2.59%	1.94%	1.86%	1.89%	1.64%	2.20%	1.88%	1.60%	2.90%	3.55%	1.93%	1.09%	1.73%	2.12%	1.03%	2.11%	1.21%	1.69%	1.72%	1.80%	1.62%	0.45%	2.24%	1.41%	1.49%	1.36%	0.62%	1.23%	0.09%	1.28%	2.14%	0.21%	0.23%	0.11%	0.24%	0.00%	2.11%	0.86%	0.17%	0.19%	0.00%	0.00%	1.57%	1.61%	0.69%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
