Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880					
22	. Хакамада Ирина Муцуовна	4408	52	42	55	28	41	17	124	116	68	69	88	43	120	89	64	78	60	70	47	101	84	96	39	31	37	34	55	64	68	60	122	83	66	104	107	127	98	3	12	51	140	97	113	81	79	100	46	92	137	75	64	34	96	93	99	62	68	26	93	92	8					
		5.62%	4.70%	4.48%	5.48%	2.38%	3.64%	1.05%	7.85%	7.14%	3.97%	5.75%	8.03%	4.12%	6.67%	5.89%	4.82%	5.79%	6.07%	3.96%	2.20%	5.66%	4.62%	6.15%	4.36%	2.64%	4.28%	3.66%	5.01%	4.39%	5.30%	4.95%	6.98%	5.85%	4.92%	7.68%	7.52%	9.70%	5.74%	1.02%	1.78%	7.26%	9.23%	8.41%	10.89%	6.34%	5.00%	6.27%	3.80%	6.28%	7.91%	6.65%	4.99%	4.05%	6.25%	5.89%	7.64%	4.91%	4.90%	4.67%	6.19%	8.04%	4.06%					
23	. Харитонов Николай Михайлович	10996	174	110	158	217	141	56	254	296	322	176	132	146	312	108	219	175	108	163	38	308	223	282	163	184	140	149	184	257	190	231	234	240	206	146	156	121	238	26	52	90	228	111	115	174	284	253	150	195	148	150	230	125	267	280	200	217	215	15	293	194	27					
		14.02%	15.72%	11.74%	15.74%	18.45%	12.52%	3.45%	16.09%	18.23%	18.80%	14.68%	12.04%	13.98%	17.34%	7.15%	16.50%	13.00%	10.92%	9.21%	1.78%	17.27%	12.26%	18.08%	18.23%	15.69%	16.18%	16.04%	16.77%	17.63%	14.80%	19.04%	13.38%	16.93%	15.36%	10.78%	10.97%	9.24%	13.93%	8.84%	7.70%	12.82%	15.04%	9.62%	11.08%	13.63%	17.99%	15.86%	12.41%	13.31%	8.54%	13.30%	17.93%	14.88%	17.37%	17.74%	15.44%	17.19%	15.50%	2.69%	19.49%	16.96%	13.71%					
																																																																				
24	Против всех	2990	30	28	29	40	43	55	52	80	57	42	42	21	70	53	41	55	48	78	64	74	82	47	13	33	30	30	34	36	57	40	88	50	62	71	77	53	66	17	18	27	78	50	52	53	62	64	23	55	126	42	40	32	43	64	54	48	31	29	64	40	7					
		3.81%	2.71%	2.99%	2.89%	3.40%	3.82%	3.38%	3.29%	4.93%	3.33%	3.50%	3.83%	2.01%	3.89%	3.51%	3.09%	4.09%	4.85%	4.41%	3.00%	4.15%	4.51%	3.01%	1.45%	2.81%	3.47%	3.23%	3.10%	2.47%	4.44%	3.30%	5.03%	3.53%	4.62%	5.24%	5.41%	4.05%	3.86%	5.78%	2.67%	3.85%	5.15%	4.33%	5.01%	4.15%	3.93%	4.01%	1.90%	3.75%	7.27%	3.72%	3.12%	3.81%	2.80%	4.06%	4.17%	3.80%	2.24%	5.21%	4.26%	3.50%	3.55%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
