Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Стерлитамакская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	113	2	0	0	0	0	5	1	4	0	1	3	1	0	2	2	5	0	3	4	5	5	0	1	0	3	3	1	6	1	3	2	1	0	2	1	0	0	1	0	0	12	1	2	3	0	2	1	1	0	0	3	4	5	5	4	0	1	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	50	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	2	2	0	2	0	1	2	2	2	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	2	2	0	2	2	2	2	2	0	0	0	0	0	0	0	2	0	2	2	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	829	19	4	2	3	1	18	1	13	10	8	1	2	0	11	3	18	3	4	0	7	3	0	0	1	6	16	3	11	2	1	36	24	30	0	5	4	7	67	109	1	31	0	30	0	3	0	1	0	2	0	0	0	121	28	2	22	58	52	2	18	5					
		3.24%	3.96%	2.00%	0.76%	1.26%	0.54%	2.33%	0.25%	8.78%	6.94%	8.16%	0.17%	0.31%	0.00%	2.11%	0.69%	3.95%	0.59%	1.03%	0.00%	0.38%	0.44%	0.00%	0.00%	0.52%	0.74%	1.59%	1.22%	3.12%	0.43%	0.56%	6.38%	6.72%	3.99%	0.00%	2.58%	1.72%	2.65%	10.23%	11.95%	0.39%	3.61%	0.00%	5.32%	0.00%	1.97%	0.00%	0.81%	0.00%	1.71%	0.00%	0.00%	0.00%	10.12%	6.41%	0.70%	7.21%	10.72%	9.09%	0.60%	4.75%	2.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1065	52	3	5	4	11	15	5	2	7	5	5	8	0	12	4	45	3	3	0	4	3	2	10	8	4	13	3	22	2	3	43	25	43	4	11	3	14	88	101	2	79	8	41	0	2	0	3	0	4	5	0	0	152	31	2	34	56	31	3	10	7					
		4.17%	10.83%	1.50%	1.90%	1.68%	5.91%	1.94%	1.27%	1.35%	4.86%	5.10%	0.85%	1.25%	0.00%	2.30%	0.93%	9.87%	0.59%	0.77%	0.00%	0.22%	0.44%	1.04%	3.22%	4.12%	0.50%	1.29%	1.22%	6.23%	0.43%	1.67%	7.62%	7.00%	5.73%	1.61%	5.67%	1.29%	5.30%	13.44%	11.07%	0.78%	9.21%	2.25%	7.27%	0.00%	1.32%	0.00%	2.44%	0.00%	3.42%	2.48%	0.00%	0.00%	12.71%	7.09%	0.70%	11.15%	10.35%	5.42%	0.90%	2.64%	3.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	94	4	0	2	1	0	0	0	2	2	0	0	2	0	0	1	1	0	0	1	6	0	0	0	1	2	2	1	0	2	0	1	1	0	0	0	0	0	13	14	2	3	0	3	0	0	0	0	0	0	0	0	0	6	3	0	2	5	7	0	4	0					
		0.37%	0.83%	0.00%	0.76%	0.42%	0.00%	0.00%	0.00%	1.35%	1.39%	0.00%	0.00%	0.31%	0.00%	0.00%	0.23%	0.22%	0.00%	0.00%	0.65%	0.32%	0.00%	0.00%	0.00%	0.52%	0.25%	0.20%	0.41%	0.00%	0.43%	0.00%	0.18%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	1.98%	1.54%	0.78%	0.35%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.69%	0.00%	0.66%	0.92%	1.22%	0.00%	1.06%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3857	99	18	28	18	10	125	100	63	58	52	48	73	21	64	116	50	31	56	4	223	105	15	24	7	129	258	32	50	88	31	63	54	74	5	9	8	32	197	327	5	212	12	65	3	3	2	2	15	4	9	39	56	209	68	37	36	102	92	35	57	29					
		15.09%	20.63%	9.00%	10.65%	7.56%	5.38%	16.15%	25.38%	42.57%	40.28%	53.06%	8.14%	11.42%	7.19%	12.28%	26.85%	10.96%	6.14%	14.43%	2.61%	12.00%	15.33%	7.81%	7.72%	3.61%	15.97%	25.60%	13.06%	14.16%	18.88%	17.22%	11.17%	15.13%	9.85%	2.02%	4.64%	3.45%	12.12%	30.08%	35.86%	1.94%	24.71%	3.37%	11.52%	1.94%	1.97%	1.02%	1.63%	7.58%	3.42%	4.46%	9.40%	18.24%	17.47%	15.56%	12.94%	11.80%	18.85%	16.08%	10.45%	15.04%	12.89%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	173	6	0	0	1	0	2	0	2	1	0	1	0	0	3	0	0	3	2	0	2	0	0	0	0	2	3	1	4	2	0	3	1	7	0	0	2	0	29	30	0	17	0	9	0	0	0	3	0	2	0	0	0	10	10	0	2	5	2	1	2	3					
		0.68%	1.25%	0.00%	0.00%	0.42%	0.00%	0.26%	0.00%	1.35%	0.69%	0.00%	0.17%	0.00%	0.00%	0.58%	0.00%	0.00%	0.59%	0.52%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.25%	0.30%	0.41%	1.13%	0.43%	0.00%	0.53%	0.28%	0.93%	0.00%	0.00%	0.86%	0.00%	4.43%	3.29%	0.00%	1.98%	0.00%	1.60%	0.00%	0.00%	0.00%	2.44%	0.00%	1.71%	0.00%	0.00%	0.00%	0.84%	2.29%	0.00%	0.66%	0.92%	0.35%	0.30%	0.53%	1.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19311	288	175	222	210	163	612	287	65	64	32	535	554	269	426	303	340	463	321	148	1616	570	175	277	175	654	711	203	265	370	145	412	244	588	236	169	215	211	254	311	245	509	336	410	142	140	190	114	183	105	175	372	248	679	284	245	208	306	380	293	288	181					
		75.57%	60.00%	87.50%	84.41%	88.24%	87.63%	79.07%	72.84%	43.92%	44.44%	32.65%	90.68%	86.70%	92.12%	81.77%	70.14%	74.56%	91.68%	82.73%	96.73%	86.98%	83.21%	91.15%	89.07%	90.21%	80.94%	70.54%	82.86%	75.07%	79.40%	80.56%	73.05%	68.35%	78.30%	95.16%	87.11%	92.67%	79.92%	38.78%	34.10%	94.96%	59.32%	94.38%	72.70%	91.61%	92.11%	96.94%	92.68%	92.42%	89.74%	86.63%	89.64%	80.78%	56.77%	64.99%	85.66%	68.20%	56.56%	66.43%	87.46%	75.99%	80.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	47	0	0	1	0	1	2	0	1	1	0	0	0	0	3	0	1	2	2	0	0	0	0	0	0	1	2	2	1	0	0	2	1	2	0	0	0	0	5	3	0	4	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0					
		0.18%	0.00%	0.00%	0.38%	0.00%	0.54%	0.26%	0.00%	0.68%	0.69%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.22%	0.40%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.20%	0.82%	0.28%	0.00%	0.00%	0.35%	0.28%	0.27%	0.00%	0.00%	0.00%	0.00%	0.76%	0.33%	0.00%	0.47%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.37%	0.17%	0.00%	0.00%	0.00%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
