Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Краснощековская 																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973					
		14.09%	14.31%	17.29%	15.80%	13.29%	13.36%	16.08%	12.24%	12.72%	11.11%	12.42%	8.76%	22.18%	17.01%	12.07%	13.48%	16.63%	9.67%	14.40%	9.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	197	16	9	19	2	8	8	13	1	13	17	7	10	2	13	14	17	12	11	5					
		1.72%	1.59%	0.97%	2.14%	0.51%	1.90%	3.47%	1.67%	0.45%	1.82%	1.62%	1.25%	1.84%	0.30%	2.34%	1.39%	3.10%	3.51%	2.23%	4.03%					
37	"20. ""Политическая партия ""Единая Россия"""	3167	346	320	334	151	131	43	182	50	140	239	105	112	101	114	292	183	130	128	66					
		27.69%	34.39%	34.59%	37.69%	38.61%	31.26%	18.69%	23.45%	22.72%	19.69%	22.84%	18.78%	20.70%	15.21%	20.54%	29.17%	33.45%	38.12%	25.96%	53.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	1	2	0	1	2	2	1	2	2	3	0	3	1	0	1	2	1	0	2					
		0.22%	0.09%	0.21%	0.0%	0.25%	0.47%	0.86%	0.12%	0.90%	0.28%	0.28%	0.0%	0.55%	0.15%	0.0%	0.09%	0.36%	0.29%	0.0%	1.61%					
39	"22. ""Развитие предпринимательства"""	38	5	4	4	0	0	0	1	0	4	4	1	2	2	3	5	0	0	3	0					
		0.33%	0.49%	0.43%	0.45%	0.0%	0.0%	0.0%	0.12%	0.0%	0.56%	0.38%	0.17%	0.36%	0.30%	0.54%	0.49%	0.0%	0.0%	0.60%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2513	203	179	150	69	58	41	148	34	163	306	210	120	172	156	262	87	62	83	10					
		21.97%	20.17%	19.35%	16.93%	17.64%	13.84%	17.82%	19.07%	15.45%	22.92%	29.25%	37.56%	22.18%	25.90%	28.10%	26.17%	15.90%	18.18%	16.83%	8.06%					
																										
41	Против всех	201	13	5	15	7	10	7	9	4	12	23	11	7	11	10	21	8	16	11	1					
		1.75%	1.29%	0.54%	1.69%	1.79%	2.38%	3.04%	1.15%	1.81%	1.68%	2.19%	1.96%	1.29%	1.65%	1.80%	2.09%	1.46%	4.69%	2.23%	0.80%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
