Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Усть-Илимская 																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	3	4	2	3	5	4	1	3	3	1	1	2	4	1	5									
		0.91%	0.55%	0.63%	0.42%	1.08%	1.58%	1.21%	0.34%	0.96%	1.48%	1.64%	0.43%	0.87%	2.50%	0.52%	1.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	183	23	29	15	12	17	10	7	10	8	2	9	10	4	8	19									
		3.98%	4.21%	4.60%	3.15%	4.30%	5.36%	3.03%	2.41%	3.18%	3.94%	3.28%	3.90%	4.33%	2.50%	4.17%	5.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	105	10	9	14	3	7	7	5	6	3	2	5	9	3	5	17									
		2.29%	1.83%	1.43%	2.94%	1.08%	2.21%	2.12%	1.72%	1.91%	1.48%	3.28%	2.16%	3.90%	1.88%	2.60%	5.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1895	247	299	203	114	98	120	113	121	87	18	101	94	66	103	111									
		41.24%	45.24%	47.39%	42.65%	40.86%	30.91%	36.36%	38.97%	38.54%	42.86%	29.51%	43.72%	40.69%	41.25%	53.65%	33.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	1	1	3	2	0	1	0	1	0	0	1	1	1	0	3									
		0.33%	0.18%	0.16%	0.63%	0.72%	0.00%	0.30%	0.00%	0.32%	0.00%	0.00%	0.43%	0.43%	0.63%	0.00%	0.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0									
		0.07%	0.00%	0.16%	0.21%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1061	143	155	122	56	76	86	68	78	38	11	49	44	15	43	77									
		23.09%	26.19%	24.56%	25.63%	20.07%	23.97%	26.06%	23.45%	24.84%	18.72%	18.03%	21.21%	19.05%	9.38%	22.40%	23.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	0	4	3	0	1	2	0	0	0	0	3	2	0	1	0									
		0.35%	0.00%	0.63%	0.63%	0.00%	0.32%	0.61%	0.00%	0.00%	0.00%	0.00%	1.30%	0.87%	0.00%	0.52%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	0	3	0	2	2	3	3	4	1	0	1	1	0	3									
		0.50%	0.00%	0.00%	0.63%	0.00%	0.63%	0.61%	1.03%	0.96%	1.97%	1.64%	0.00%	0.43%	0.63%	0.00%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.37%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	31	2	2	2	6	4	3	4	0	1	0	1	1	3	0	2									
		0.67%	0.37%	0.32%	0.42%	2.15%	1.26%	0.91%	1.38%	0.00%	0.49%	0.00%	0.43%	0.43%	1.88%	0.00%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	961	87	96	88	70	91	75	66	68	49	22	55	48	43	22	81									
		20.91%	15.93%	15.21%	18.49%	25.09%	28.71%	22.73%	22.76%	21.66%	24.14%	36.07%	23.81%	20.78%	26.88%	11.46%	24.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	3	2	0	1	1	2	0	0	0	1	0	0	0	1									
		0.26%	0.18%	0.48%	0.42%	0.00%	0.32%	0.30%	0.69%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	142	11	17	11	7	9	12	11	19	5	1	4	6	15	3	11									
		3.09%	2.01%	2.69%	2.31%	2.51%	2.84%	3.64%	3.79%	6.05%	2.46%	1.64%	1.73%	2.60%	9.38%	1.56%	3.29%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
