Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Славянская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК  4299					
		2.18%	2.77%	1.77%	2.55%	1.47%	1.93%	2.54%	1.93%	2.10%	2.58%	1.49%	1.88%	1.23%	2.54%	1.88%	1.61%	2.85%	1.52%	1.55%	1.44%	1.78%	2.12%	2.07%	3.12%	3.21%	3.74%	2.75%	2.76%	6.19%	1.68%	1.30%	3.79%	1.33%	2.62%	4.78%	2.55%	4.06%	2.48%	4.17%	1.55%	1.40%	2.88%	1.22%	1.51%	2.36%	1.42%	1.50%	3.08%	3.35%	2.35%	2.71%	2.21%	2.08%	1.36%	2.94%	1.81%	1.69%	2.25%	1.27%	0.71%	0.98%	3.21%					
20	. Миронов Сергей Михайлович	381	8	7	4	4	6	8	8	7	6	13	16	5	4	7	5	5	6	8	7	10	4	9	7	22	7	4	8	2	8	10	0	6	1	0	11	6	5	9	2	7	8	5	8	5	5	10	4	8	19	0	2	12	6	4	4	3	2	2	0	1	1					
		0.57%	0.58%	0.54%	0.36%	0.49%	0.48%	0.75%	0.45%	0.42%	0.60%	0.92%	0.94%	0.41%	0.30%	0.45%	0.47%	0.32%	0.43%	0.59%	0.59%	0.89%	0.31%	0.78%	0.95%	1.07%	0.60%	0.37%	0.42%	0.95%	0.84%	0.69%	0.00%	0.50%	0.15%	0.00%	0.55%	1.28%	0.95%	0.89%	0.11%	0.49%	0.62%	0.38%	0.55%	0.79%	1.78%	0.58%	0.41%	0.74%	1.12%	0.00%	0.21%	1.00%	0.55%	0.47%	0.43%	0.39%	0.45%	0.64%	0.00%	0.24%	0.40%					
21	. Путин Владимир Владимирович	40256	845	814	643	491	757	628	1007	970	604	849	1007	712	811	928	668	983	855	812	778	607	729	723	471	1044	618	672	1053	133	510	950	181	667	351	213	1056	252	341	670	1074	840	719	814	1043	427	161	1103	581	691	1060	469	573	664	631	590	580	501	348	246	310	285	143					
		60.34%	61.50%	62.62%	58.56%	60.02%	60.85%	59.19%	57.22%	58.12%	59.92%	60.21%	59.10%	58.46%	60.61%	60.10%	63.32%	62.25%	61.73%	59.75%	65.71%	54.15%	57.31%	62.44%	63.82%	50.73%	52.60%	61.65%	54.87%	63.33%	53.40%	65.25%	85.78%	55.40%	54.17%	63.58%	52.72%	53.85%	65.08%	66.60%	61.51%	58.62%	55.91%	62.09%	71.59%	67.14%	57.30%	63.43%	59.65%	64.34%	62.35%	60.52%	60.25%	55.33%	57.36%	69.41%	61.77%	65.06%	78.38%	78.34%	73.46%	69.51%	57.43%					
22	. Хакамада Ирина Муцуовна	1651	38	30	30	17	30	31	47	45	39	61	57	34	32	68	29	53	39	49	34	42	34	28	24	43	24	23	34	3	18	22	0	29	2	7	57	10	12	31	13	31	13	17	25	16	9	63	24	25	25	16	16	35	34	28	7	22	7	3	4	8	4					
		2.47%	2.77%	2.31%	2.73%	2.08%	2.41%	2.92%	2.67%	2.70%	3.87%	4.33%	3.35%	2.79%	2.39%	4.40%	2.75%	3.36%	2.82%	3.61%	2.87%	3.75%	2.67%	2.42%	3.25%	2.09%	2.04%	2.11%	1.77%	1.43%	1.88%	1.51%	0.00%	2.41%	0.31%	2.09%	2.85%	2.14%	2.29%	3.08%	0.74%	2.16%	1.01%	1.30%	1.72%	2.52%	3.20%	3.62%	2.46%	2.33%	1.47%	2.06%	1.68%	2.92%	3.09%	3.29%	0.75%	2.86%	1.58%	0.96%	0.95%	1.95%	1.61%					
23	. Харитонов Николай Михайлович	17385	311	339	283	226	301	266	491	469	245	328	392	338	330	353	256	299	359	361	217	316	370	271	165	675	359	269	592	48	308	371	20	392	243	70	655	141	109	200	540	414	440	384	296	148	90	370	226	208	452	234	300	380	319	120	255	162	61	49	78	56	65					
		26.06%	22.63%	26.08%	25.77%	27.63%	24.20%	25.07%	27.90%	28.10%	24.31%	23.26%	23.00%	27.75%	24.66%	22.86%	24.27%	18.94%	25.92%	26.56%	18.33%	28.19%	29.09%	23.40%	22.36%	32.80%	30.55%	24.68%	30.85%	22.86%	32.25%	25.48%	9.48%	32.56%	37.50%	20.90%	32.70%	30.13%	20.80%	19.88%	30.93%	28.89%	34.21%	29.29%	20.32%	23.27%	32.03%	21.28%	23.20%	19.37%	26.59%	30.19%	31.55%	31.67%	29.00%	14.12%	27.16%	21.04%	13.74%	15.61%	18.48%	13.66%	26.10%					
																																																																				
24	Против всех	2557	53	28	43	26	48	43	85	64	49	62	83	45	65	79	38	97	44	41	67	77	41	39	18	120	57	49	96	5	43	41	1	50	14	12	76	17	30	18	38	26	30	33	6	14	7	68	52	51	49	25	15	32	56	45	35	31	9	6	11	41	13					
		3.83%	3.86%	2.15%	3.92%	3.18%	3.86%	4.05%	4.83%	3.83%	4.86%	4.40%	4.87%	3.69%	4.86%	5.12%	3.60%	6.14%	3.18%	3.02%	5.66%	6.87%	3.22%	3.37%	2.44%	5.83%	4.85%	4.50%	5.00%	2.38%	4.50%	2.82%	0.47%	4.15%	2.16%	3.58%	3.79%	3.63%	5.73%	1.79%	2.18%	1.81%	2.33%	2.52%	0.41%	2.20%	2.49%	3.91%	5.34%	4.75%	2.88%	3.23%	1.58%	2.67%	5.09%	5.29%	3.73%	4.03%	2.03%	1.91%	2.61%	10.00%	5.22%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
