Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																													
Дата голосования: 18.09.2016																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Златоустовская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																													
																																																																																													
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №2287	УИК №2288									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1664	15	30	10	20	20	40	10	20	20	10	30	20	10	31	30	20	20	20	40	20	20	10	20	15	30	20	20	20	37	30	20	20	30	20	20	20	10	20	20	20	31	15	20	25	30	20	20	20	20	20	30	30	10	10	10	10	30	10	30	40	30	20	20	20	20	20	20	25	10	10	10	10	20	20	20	20	10	30	10	0	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1259	14	26	7	19	12	23	9	12	14	6	26	20	9	24	25	15	20	15	31	17	13	7	11	15	27	13	18	20	25	19	14	9	20	17	18	19	7	18	17	13	22	11	19	18	25	20	18	19	11	19	26	11	7	5	8	4	23	8	25	30	22	18	17	18	16	18	11	23	8	7	7	10	18	12	12	20	5	10	1	0	9	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1533	18	10	16	12	17	21	16	14	11	13	16	18	15	24	19	13	13	13	19	20	20	13	20	13	27	16	12	9	11	14	17	14	21	11	9	11	17	21	11	13	19	19	22	16	16	12	15	20	20	13	19	14	11	11	18	13	19	17	23	20	17	14	8	12	10	15	15	15	12	17	17	6	12	14	11	9	17	8	12	320	8	9									
14	Число погашенных неиспользованных открепительных удостоверений	405	1	4	3	1	8	17	1	8	6	4	4	0	1	7	5	5	0	5	9	3	7	3	9	0	3	7	2	0	12	11	6	11	10	3	2	1	3	2	3	7	9	4	1	7	5	0	2	1	9	1	4	19	3	5	2	6	7	2	5	10	8	2	3	2	4	2	9	2	2	3	3	0	2	8	8	0	5	20	9	0	11	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	302	2	1	3	5	7	7	1	3	1	2	3	2	5	8	11	1	2	3	16	4	3	4	4	2	6	8	5	3	6	5	10	6	5	5	2	1	2	5	4	6	5	2	2	6	1	4	4	2	3	4	2	7	1	0	1	3	6	3	7	8	3	4	7	1	1	1	3	2	2	5	3	1	1	4	3	3	1	2	3	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	880	16	15	5	8	11	10	8	10	4	4	13	10	0	18	7	6	10	14	26	13	9	4	3	11	13	20	14	10	17	13	21	8	15	11	24	17	7	17	15	17	20	8	13	17	16	9	11	14	14	22	5	12	4	2	5	2	10	4	6	13	20	5	20	18	15	10	10	8	3	5	10	5	10	4	9	8	4	5	1	11	6	12									
		1.76%	1.86%	1.65%	1.26%	0.92%	1.75%	1.29%	1.58%	2.19%	1.09%	1.04%	1.98%	2.67%	0.00%	2.17%	1.53%	1.29%	1.65%	1.64%	3.25%	1.65%	1.75%	0.87%	0.73%	1.41%	1.64%	2.12%	1.73%	1.45%	2.34%	1.65%	3.03%	1.30%	1.70%	1.22%	2.77%	2.06%	1.78%	1.58%	1.45%	1.48%	2.24%	1.81%	1.73%	2.29%	2.04%	1.44%	1.74%	1.99%	2.08%	2.91%	0.55%	2.04%	2.25%	1.04%	1.20%	0.85%	1.88%	1.17%	1.09%	2.00%	2.69%	0.74%	2.74%	2.87%	2.16%	1.63%	1.87%	1.54%	0.50%	1.49%	2.37%	1.35%	1.55%	0.81%	2.15%	1.73%	1.73%	1.19%	0.91%	1.64%	2.90%	4.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1740	32	32	15	30	21	27	13	18	13	16	26	9	5	24	11	17	17	32	28	23	23	16	16	33	30	53	31	22	26	19	25	29	28	29	22	34	10	32	28	42	32	8	15	28	23	21	13	17	25	26	30	19	8	7	13	7	23	10	14	39	28	25	35	23	36	25	20	17	22	21	18	17	24	18	15	13	9	15	3	1	12	8									
		3.48%	3.72%	3.52%	3.77%	3.46%	3.33%	3.47%	2.57%	3.95%	3.54%	4.17%	3.96%	2.41%	1.79%	2.89%	2.40%	3.66%	2.81%	3.75%	3.50%	2.93%	4.48%	3.49%	3.87%	4.23%	3.77%	5.61%	3.83%	3.19%	3.58%	2.42%	3.60%	4.72%	3.17%	3.21%	2.54%	4.12%	2.54%	2.98%	2.71%	3.67%	3.59%	1.81%	1.99%	3.77%	2.93%	3.35%	2.06%	2.43%	3.71%	3.43%	3.32%	3.24%	4.49%	3.63%	3.13%	2.98%	4.32%	2.93%	2.54%	6.01%	3.76%	3.71%	4.79%	3.66%	5.18%	4.07%	3.75%	3.28%	3.66%	6.27%	4.27%	4.58%	3.73%	3.66%	3.58%	2.81%	3.90%	3.57%	2.73%	0.15%	5.80%	3.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1545	26	27	21	23	30	26	27	17	14	5	11	4	7	20	15	20	28	25	23	29	14	15	11	37	28	34	20	21	21	27	34	14	37	26	41	30	10	38	35	25	18	15	26	25	20	17	12	19	22	35	35	22	6	4	17	3	19	14	18	25	19	21	29	15	29	12	13	14	12	5	7	10	15	13	10	8	4	5	3	4	5	4									
		3.09%	3.02%	2.97%	5.28%	2.66%	4.76%	3.35%	5.34%	3.73%	3.81%	1.30%	1.68%	1.07%	2.50%	2.41%	3.28%	4.31%	4.63%	2.93%	2.87%	3.69%	2.73%	3.27%	2.66%	4.74%	3.52%	3.60%	2.47%	3.05%	2.89%	3.44%	4.90%	2.28%	4.19%	2.88%	4.73%	3.64%	2.54%	3.54%	3.38%	2.18%	2.02%	3.40%	3.45%	3.36%	2.54%	2.71%	1.90%	2.71%	3.27%	4.62%	3.88%	3.75%	3.37%	2.07%	4.10%	1.28%	3.56%	4.11%	3.26%	3.85%	2.55%	3.12%	3.97%	2.39%	4.17%	1.95%	2.43%	2.70%	1.99%	1.49%	1.66%	2.70%	2.33%	2.64%	2.39%	1.73%	1.73%	1.19%	2.73%	0.60%	2.42%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17615	331	351	136	338	220	265	200	175	132	127	221	160	112	312	143	176	203	288	269	277	195	162	131	286	275	306	294	243	218	265	199	191	286	318	277	267	141	316	312	377	294	157	281	253	288	224	212	237	234	268	340	214	51	66	173	102	191	135	169	210	263	198	227	169	222	215	172	187	213	115	161	118	208	209	166	202	123	194	35	436	78	110									
		35.24%	38.49%	38.66%	34.17%	39.03%	34.92%	34.11%	39.53%	38.38%	35.97%	33.07%	33.69%	42.78%	40.00%	37.59%	31.22%	37.93%	33.55%	33.72%	33.58%	35.24%	38.01%	35.29%	31.72%	36.62%	34.59%	32.38%	36.30%	35.27%	29.99%	33.72%	28.67%	31.06%	32.35%	35.22%	31.95%	32.36%	35.79%	29.45%	30.14%	32.93%	32.99%	35.60%	37.32%	34.05%	36.64%	35.73%	33.54%	33.81%	34.77%	35.40%	37.65%	36.46%	28.65%	34.20%	41.69%	43.40%	35.83%	39.59%	30.62%	32.36%	35.35%	29.42%	31.05%	26.91%	31.94%	34.96%	32.21%	36.10%	35.44%	34.33%	38.15%	31.81%	32.30%	42.48%	39.62%	43.72%	53.25%	46.19%	31.82%	65.07%	37.68%	42.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	472	13	6	3	9	3	7	3	5	2	4	4	0	3	7	3	0	4	7	5	9	5	4	3	13	6	6	7	5	6	17	8	3	10	10	12	17	4	17	13	12	10	4	14	8	14	6	5	9	4	5	6	2	2	3	3	0	5	4	4	8	6	9	4	1	10	5	4	4	4	3	3	2	4	2	1	6	0	4	1	3	3	2									
		0.94%	1.51%	0.66%	0.75%	1.04%	0.48%	0.90%	0.59%	1.10%	0.54%	1.04%	0.61%	0.00%	1.07%	0.84%	0.66%	0.00%	0.66%	0.82%	0.62%	1.15%	0.97%	0.87%	0.73%	1.66%	0.75%	0.63%	0.86%	0.73%	0.83%	2.16%	1.15%	0.49%	1.13%	1.11%	1.38%	2.06%	1.02%	1.58%	1.26%	1.05%	1.12%	0.91%	1.86%	1.08%	1.78%	0.96%	0.79%	1.28%	0.59%	0.66%	0.66%	0.34%	1.12%	1.55%	0.72%	0.00%	0.94%	1.17%	0.72%	1.23%	0.81%	1.34%	0.55%	0.16%	1.44%	0.81%	0.75%	0.77%	0.67%	0.90%	0.71%	0.54%	0.62%	0.41%	0.24%	1.30%	0.00%	0.95%	0.91%	0.45%	1.45%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	84	1	2	1	1	3	1	0	3	1	1	2	1	1	1	0	0	2	1	3	2	0	2	0	3	1	1	2	0	1	3	1	0	1	1	0	1	0	3	4	2	0	0	1	2	1	0	0	0	0	0	1	2	0	0	0	0	1	1	1	0	1	2	1	0	1	0	2	1	1	0	2	0	1	1	2	2	1	0	0	2	0	1									
		0.17%	0.12%	0.22%	0.25%	0.12%	0.48%	0.13%	0.00%	0.66%	0.27%	0.26%	0.30%	0.27%	0.36%	0.12%	0.00%	0.00%	0.33%	0.12%	0.37%	0.25%	0.00%	0.44%	0.00%	0.38%	0.13%	0.11%	0.25%	0.00%	0.14%	0.38%	0.14%	0.00%	0.11%	0.11%	0.00%	0.12%	0.00%	0.28%	0.39%	0.17%	0.00%	0.00%	0.13%	0.27%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.34%	0.00%	0.00%	0.00%	0.00%	0.19%	0.29%	0.18%	0.00%	0.13%	0.30%	0.14%	0.00%	0.14%	0.00%	0.37%	0.19%	0.17%	0.00%	0.47%	0.00%	0.16%	0.20%	0.48%	0.43%	0.43%	0.00%	0.00%	0.30%	0.00%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8434	169	174	84	129	110	144	87	109	65	92	142	76	72	137	80	77	112	168	108	103	80	60	66	119	119	136	130	99	120	117	104	90	125	119	111	100	63	117	136	167	137	67	125	123	120	103	99	112	105	119	139	67	47	44	76	52	101	61	129	107	131	103	122	126	116	94	100	112	101	74	71	99	120	110	100	94	42	98	19	164	26	63									
		16.87%	19.65%	19.16%	21.11%	14.90%	17.46%	18.53%	17.19%	23.90%	17.71%	23.96%	21.65%	20.32%	25.71%	16.51%	17.47%	16.59%	18.51%	19.67%	13.48%	13.10%	15.59%	13.07%	15.98%	15.24%	14.97%	14.39%	16.05%	14.37%	16.51%	14.89%	14.99%	14.63%	14.14%	13.18%	12.80%	12.12%	15.99%	10.90%	13.14%	14.59%	15.38%	15.19%	16.60%	16.55%	15.27%	16.43%	15.66%	15.98%	15.60%	15.72%	15.39%	11.41%	26.40%	22.80%	18.31%	22.13%	18.95%	17.89%	23.37%	16.49%	17.61%	15.30%	16.69%	20.06%	16.69%	15.28%	18.73%	21.62%	16.81%	22.09%	16.82%	26.68%	18.63%	22.36%	23.87%	20.35%	18.18%	23.33%	17.27%	24.48%	12.56%	24.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	451	7	14	2	5	4	6	7	1	1	6	7	0	2	7	4	3	7	11	15	3	2	4	6	1	14	11	8	10	4	9	11	11	8	9	7	7	2	13	5	15	9	10	3	6	8	6	3	10	8	6	3	6	2	2	5	1	2	1	1	4	8	7	8	3	5	3	7	0	5	2	7	2	7	1	9	0	2	1	1	4	4	0									
		0.90%	0.81%	1.54%	0.50%	0.58%	0.63%	0.77%	1.38%	0.22%	0.27%	1.56%	1.07%	0.00%	0.71%	0.84%	0.87%	0.65%	1.16%	1.29%	1.87%	0.38%	0.39%	0.87%	1.45%	0.13%	1.76%	1.16%	0.99%	1.45%	0.55%	1.15%	1.59%	1.79%	0.90%	0.99%	0.81%	0.85%	0.51%	1.21%	0.48%	1.31%	1.01%	2.27%	0.40%	0.81%	1.02%	0.96%	0.47%	1.43%	1.19%	0.79%	0.33%	1.02%	1.12%	1.04%	1.20%	0.43%	0.38%	0.29%	0.18%	0.62%	1.08%	1.04%	1.09%	0.48%	0.72%	0.49%	1.31%	0.00%	0.83%	0.60%	1.66%	0.54%	1.09%	0.20%	2.15%	0.00%	0.87%	0.24%	0.91%	0.60%	1.93%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1013	19	8	6	6	6	16	8	2	3	10	11	5	8	18	7	7	8	21	9	22	10	14	6	21	23	24	20	15	16	24	16	14	23	28	21	23	6	37	38	32	32	10	16	14	13	10	9	11	17	20	19	13	3	8	10	3	6	5	18	8	16	24	11	10	7	13	14	8	4	2	3	4	9	4	3	0	2	4	5	5	3	6									
		2.03%	2.21%	0.88%	1.51%	0.69%	0.95%	2.06%	1.58%	0.44%	0.82%	2.60%	1.68%	1.34%	2.86%	2.17%	1.53%	1.51%	1.32%	2.46%	1.12%	2.80%	1.95%	3.05%	1.45%	2.69%	2.89%	2.54%	2.47%	2.18%	2.20%	3.05%	2.31%	2.28%	2.60%	3.10%	2.42%	2.79%	1.52%	3.45%	3.67%	2.79%	3.59%	2.27%	2.12%	1.88%	1.65%	1.59%	1.42%	1.57%	2.53%	2.64%	2.10%	2.21%	1.69%	4.15%	2.41%	1.28%	1.13%	1.47%	3.26%	1.23%	2.15%	3.57%	1.50%	1.59%	1.01%	2.11%	2.62%	1.54%	0.67%	0.60%	0.71%	1.08%	1.40%	0.81%	0.72%	0.00%	0.87%	0.95%	4.55%	0.75%	1.45%	2.31%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	80	4	2	0	2	0	2	0	3	1	2	3	1	2	0	1	2	1	0	0	0	0	1	0	0	0	1	1	2	0	0	1	2	0	0	3	0	1	0	1	1	1	1	1	0	1	3	2	1	3	1	2	1	1	1	1	0	1	1	0	1	2	1	0	1	0	3	0	0	0	0	2	0	0	1	1	1	2	1	0	0	1	1									
		0.16%	0.47%	0.22%	0.00%	0.23%	0.00%	0.26%	0.00%	0.66%	0.27%	0.52%	0.46%	0.27%	0.71%	0.00%	0.22%	0.43%	0.17%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.11%	0.12%	0.29%	0.00%	0.00%	0.14%	0.33%	0.00%	0.00%	0.35%	0.00%	0.25%	0.00%	0.10%	0.09%	0.11%	0.23%	0.13%	0.00%	0.13%	0.48%	0.32%	0.14%	0.45%	0.13%	0.22%	0.17%	0.56%	0.52%	0.24%	0.00%	0.19%	0.29%	0.00%	0.15%	0.27%	0.15%	0.00%	0.16%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.20%	0.24%	0.22%	0.87%	0.24%	0.00%	0.00%	0.48%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	814	13	13	3	14	13	14	5	3	2	7	14	2	3	10	6	5	9	11	24	14	7	11	6	10	15	12	8	21	19	18	10	11	19	11	24	15	7	25	23	13	29	6	9	12	13	6	6	12	14	16	14	12	4	0	9	3	10	2	4	11	12	16	17	14	4	13	10	7	10	8	5	1	10	6	5	2	2	3	3	1	2	1									
		1.63%	1.51%	1.43%	0.75%	1.62%	2.06%	1.80%	0.99%	0.66%	0.54%	1.82%	2.13%	0.53%	1.07%	1.20%	1.31%	1.08%	1.49%	1.29%	2.99%	1.78%	1.36%	2.40%	1.45%	1.28%	1.89%	1.27%	0.99%	3.05%	2.61%	2.29%	1.44%	1.79%	2.15%	1.22%	2.77%	1.82%	1.78%	2.33%	2.22%	1.14%	3.25%	1.36%	1.20%	1.62%	1.65%	0.96%	0.95%	1.71%	2.08%	2.11%	1.55%	2.04%	2.25%	0.00%	2.17%	1.28%	1.88%	0.59%	0.72%	1.69%	1.61%	2.38%	2.33%	2.23%	0.58%	2.11%	1.87%	1.35%	1.66%	2.39%	1.18%	0.27%	1.55%	1.22%	1.19%	0.43%	0.87%	0.71%	2.73%	0.15%	0.97%	0.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8080	118	127	65	164	107	123	76	60	60	56	116	60	33	146	87	70	84	132	133	134	84	75	75	123	131	180	140	118	154	127	117	99	138	133	123	135	61	208	177	175	131	59	109	105	119	94	126	105	102	100	131	89	30	27	48	32	84	42	98	124	113	142	140	153	156	128	96	82	111	46	70	62	129	80	66	65	18	53	18	13	36	24									
		16.16%	13.72%	13.99%	16.33%	18.94%	16.98%	15.83%	15.02%	13.16%	16.35%	14.58%	17.68%	16.04%	11.79%	17.59%	18.99%	15.09%	13.88%	15.46%	16.60%	17.05%	16.37%	16.34%	18.16%	15.75%	16.48%	19.05%	17.28%	17.13%	21.18%	16.16%	16.86%	16.10%	15.61%	14.73%	14.19%	16.36%	15.48%	19.38%	17.10%	15.28%	14.70%	13.38%	14.48%	14.13%	15.14%	14.99%	19.94%	14.98%	15.16%	13.21%	14.51%	15.16%	16.85%	13.99%	11.57%	13.62%	15.76%	12.32%	17.75%	19.11%	15.19%	21.10%	19.15%	24.36%	22.45%	20.81%	17.98%	15.83%	18.47%	13.73%	16.59%	16.71%	20.03%	16.26%	15.75%	14.07%	7.79%	12.62%	16.36%	1.94%	17.39%	9.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	289	9	6	4	6	5	3	2	2	1	0	4	2	0	5	3	2	2	6	4	5	0	2	1	7	2	1	5	8	5	8	1	1	4	7	5	5	0	6	7	9	13	4	3	6	5	7	3	3	1	8	4	1	1	0	9	4	1	3	5	2	1	5	1	2	9	4	0	1	3	0	6	3	2	3	1	2	2	2	1	1	0	2									
		0.58%	1.05%	0.66%	1.01%	0.69%	0.79%	0.39%	0.40%	0.44%	0.27%	0.00%	0.61%	0.53%	0.00%	0.60%	0.66%	0.43%	0.33%	0.70%	0.50%	0.64%	0.00%	0.44%	0.24%	0.90%	0.25%	0.11%	0.62%	1.16%	0.69%	1.02%	0.14%	0.16%	0.45%	0.78%	0.58%	0.61%	0.00%	0.56%	0.68%	0.79%	1.46%	0.91%	0.40%	0.81%	0.64%	1.12%	0.47%	0.43%	0.15%	1.06%	0.44%	0.17%	0.56%	0.00%	2.17%	1.70%	0.19%	0.88%	0.91%	0.31%	0.13%	0.74%	0.14%	0.32%	1.29%	0.65%	0.00%	0.19%	0.50%	0.00%	1.42%	0.81%	0.31%	0.61%	0.24%	0.43%	0.87%	0.48%	0.91%	0.15%	0.00%	0.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6624	71	108	39	98	79	104	58	31	56	35	51	33	24	95	71	58	82	105	129	124	65	63	71	98	100	129	86	93	108	116	124	123	162	166	159	140	67	212	214	218	137	74	113	110	112	107	103	122	97	104	142	102	12	23	34	15	52	36	65	77	87	82	93	66	65	70	68	55	84	35	35	38	69	23	21	40	15	20	13	9	24	10									
		13.25%	8.26%	11.89%	9.80%	11.32%	12.54%	13.38%	11.46%	6.80%	15.26%	9.11%	7.77%	8.82%	8.57%	11.45%	15.50%	12.50%	13.55%	12.30%	16.10%	15.78%	12.67%	13.73%	17.19%	12.55%	12.58%	13.65%	10.62%	13.50%	14.86%	14.76%	17.87%	20.00%	18.33%	18.38%	18.34%	16.97%	17.01%	19.76%	20.68%	19.04%	15.38%	16.78%	15.01%	14.80%	14.25%	17.07%	16.30%	17.40%	14.41%	13.74%	15.73%	17.38%	6.74%	11.92%	8.19%	6.38%	9.76%	10.56%	11.78%	11.86%	11.69%	12.18%	12.72%	10.51%	9.35%	11.38%	12.73%	10.62%	13.98%	10.45%	8.29%	10.24%	10.71%	4.67%	5.01%	8.66%	6.49%	4.76%	11.82%	1.34%	11.59%	3.85%									
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
