Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Ленинская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144									
		1.81%	0.88%	2.52%	0.58%	1.60%	1.67%	1.74%	1.56%	3.56%	1.77%	1.88%	1.66%	1.21%	3.29%	2.19%	1.91%	1.98%	2.05%	2.35%	1.55%	0.99%	2.78%	1.83%	1.55%	1.48%	2.02%	2.80%	1.98%	2.19%	2.36%	1.29%	1.24%	2.11%	2.23%	2.24%	1.30%	0.83%	1.69%	2.04%	3.21%	0.95%	2.11%	1.90%	1.25%	1.14%	0.99%	1.50%	2.03%	2.18%	1.99%	2.60%	1.25%	1.43%	2.56%	2.33%	3.73%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	372	4	7	3	11	2	3	7	5	1	8	15	9	5	3	0	8	10	10	2	5	7	5	12	6	4	7	8	10	5	10	6	5	7	12	6	2	9	4	4	4	16	12	4	6	1	12	5	6	14	4	17	5	3	10	5	0	1									
		0.93%	0.88%	1.26%	0.44%	2.20%	0.37%	0.74%	1.09%	1.27%	0.22%	2.15%	0.92%	0.64%	0.97%	0.82%	0.00%	1.58%	1.47%	1.02%	0.21%	1.25%	1.50%	0.65%	1.85%	0.68%	0.58%	1.09%	1.22%	1.04%	0.44%	0.86%	0.62%	0.59%	0.98%	1.49%	0.71%	0.83%	1.27%	0.41%	1.28%	0.63%	1.99%	1.27%	0.84%	0.62%	0.12%	1.20%	0.64%	0.87%	1.27%	0.55%	1.52%	0.48%	1.54%	0.90%	3.11%	0.00%	2.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20932	243	295	453	247	281	171	294	194	227	175	835	818	270	182	143	249	345	509	585	233	255	370	324	487	343	319	344	499	621	632	481	431	356	363	442	133	396	540	168	329	461	495	228	491	455	475	392	347	564	378	610	611	104	614	80	19	26									
		52.60%	53.64%	53.06%	66.03%	49.40%	52.13%	42.43%	45.72%	49.36%	50.33%	47.04%	51.38%	58.22%	52.22%	49.86%	54.58%	49.21%	50.59%	52.10%	60.37%	58.10%	54.49%	48.37%	50.08%	55.47%	49.57%	49.61%	52.28%	51.93%	54.33%	54.48%	49.79%	50.53%	49.72%	45.21%	52.31%	55.19%	55.70%	55.16%	53.85%	52.22%	57.34%	52.33%	47.60%	50.78%	56.73%	47.50%	49.81%	50.44%	51.18%	51.78%	54.51%	58.36%	53.33%	54.97%	49.69%	70.37%	56.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	303	8	7	7	5	4	7	5	2	4	4	22	23	8	0	1	2	5	8	8	1	2	5	6	5	3	1	6	8	13	6	4	2	4	3	6	2	1	14	2	5	8	7	2	4	9	4	7	7	5	4	4	8	0	3	0	1	1									
		0.76%	1.77%	1.26%	1.02%	1.00%	0.74%	1.74%	0.78%	0.51%	0.89%	1.08%	1.35%	1.64%	1.55%	0.00%	0.38%	0.40%	0.73%	0.82%	0.83%	0.25%	0.43%	0.65%	0.93%	0.57%	0.43%	0.16%	0.91%	0.83%	1.14%	0.52%	0.41%	0.23%	0.56%	0.37%	0.71%	0.83%	0.14%	1.43%	0.64%	0.79%	0.99%	0.74%	0.42%	0.41%	1.12%	0.40%	0.89%	1.02%	0.45%	0.55%	0.36%	0.76%	0.00%	0.27%	0.00%	3.70%	2.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	1	1	1	0	0	0	0	0	0	0	3	4	0	0	0	1	3	0	2	1	0	1	0	1	0	2	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	3	0	3	1	0	1	1	2	1	4	0	0	1	0	0	0									
		0.11%	0.22%	0.18%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.28%	0.00%	0.00%	0.00%	0.20%	0.44%	0.00%	0.21%	0.25%	0.00%	0.13%	0.00%	0.11%	0.00%	0.31%	0.00%	0.10%	0.09%	0.00%	0.10%	0.00%	0.14%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.31%	0.12%	0.00%	0.13%	0.15%	0.18%	0.14%	0.36%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5911	76	91	97	78	99	45	99	40	42	47	253	263	66	57	34	77	96	144	138	70	76	141	83	125	84	95	95	130	141	150	135	123	109	108	135	42	106	145	56	122	105	143	75	176	135	191	111	100	138	94	158	137	42	151	30	4	8									
		14.85%	16.78%	16.37%	14.14%	15.60%	18.37%	11.17%	15.40%	10.18%	9.31%	12.63%	15.57%	18.72%	12.77%	15.62%	12.98%	15.22%	14.08%	14.74%	14.24%	17.46%	16.24%	18.43%	12.83%	14.24%	12.14%	14.77%	14.44%	13.53%	12.34%	12.93%	13.98%	14.42%	15.22%	13.45%	15.98%	17.43%	14.91%	14.81%	17.95%	19.37%	13.06%	15.12%	15.66%	18.20%	16.83%	19.10%	14.10%	14.53%	12.52%	12.88%	14.12%	13.09%	21.54%	13.52%	18.63%	14.81%	17.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	213	1	4	3	4	0	0	8	1	3	3	16	7	7	2	1	2	5	3	2	2	2	4	0	2	0	5	5	13	5	7	8	3	2	0	2	0	1	7	3	6	2	5	6	5	2	6	0	3	12	8	5	5	1	4	0	0	0									
		0.54%	0.22%	0.72%	0.44%	0.80%	0.00%	0.00%	1.24%	0.25%	0.67%	0.81%	0.98%	0.50%	1.35%	0.55%	0.38%	0.40%	0.73%	0.31%	0.21%	0.50%	0.43%	0.52%	0.00%	0.23%	0.00%	0.78%	0.76%	1.35%	0.44%	0.60%	0.83%	0.35%	0.28%	0.00%	0.24%	0.00%	0.14%	0.72%	0.96%	0.95%	0.25%	0.53%	1.25%	0.52%	0.25%	0.60%	0.00%	0.44%	1.09%	1.10%	0.45%	0.48%	0.51%	0.36%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1561	20	28	23	22	33	29	38	23	20	13	73	32	22	18	15	18	45	43	31	13	15	29	31	38	24	23	23	25	30	34	44	30	27	30	22	11	26	33	11	23	33	30	23	68	18	38	34	31	46	25	41	32	10	39	2	1	2									
		3.92%	4.42%	5.04%	3.35%	4.40%	6.12%	7.20%	5.91%	5.85%	4.43%	3.49%	4.49%	2.28%	4.26%	4.93%	5.73%	3.56%	6.60%	4.40%	3.20%	3.24%	3.21%	3.79%	4.79%	4.33%	3.47%	3.58%	3.50%	2.60%	2.62%	2.93%	4.55%	3.52%	3.77%	3.74%	2.60%	4.56%	3.66%	3.37%	3.53%	3.65%	4.10%	3.17%	4.80%	7.03%	2.24%	3.80%	4.32%	4.51%	4.17%	3.42%	3.66%	3.06%	5.13%	3.49%	1.24%	3.70%	4.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	0	1	0	0	1	0	1	1	1	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0									
		0.05%	0.00%	0.00%	0.15%	0.00%	0.00%	0.25%	0.00%	0.25%	0.22%	0.27%	0.00%	0.28%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.15%	0.09%	0.14%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	313	1	4	3	3	5	4	0	4	5	2	24	11	10	1	3	5	6	10	5	4	2	4	7	2	5	4	2	10	4	5	6	5	11	5	8	2	2	7	0	5	5	8	4	5	6	10	9	7	5	8	11	19	1	9	0	0	0									
		0.79%	0.22%	0.72%	0.44%	0.60%	0.93%	0.99%	0.00%	1.02%	1.11%	0.54%	1.48%	0.78%	1.93%	0.27%	1.15%	0.99%	0.88%	1.02%	0.52%	0.99%	0.43%	0.52%	1.08%	0.23%	0.72%	0.62%	0.30%	1.04%	0.35%	0.43%	0.62%	0.59%	1.54%	0.62%	0.95%	0.83%	0.28%	0.72%	0.00%	0.79%	0.62%	0.85%	0.84%	0.52%	0.75%	1.00%	1.14%	1.02%	0.45%	1.10%	0.98%	1.81%	0.51%	0.81%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5316	61	59	35	75	54	83	120	62	90	59	227	105	69	55	37	72	89	123	95	40	58	104	86	104	123	86	86	127	188	203	162	136	106	132	124	21	74	112	37	74	88	137	82	108	77	126	120	74	177	120	137	134	12	145	22	0	4									
		13.36%	13.47%	10.61%	5.10%	15.00%	10.02%	20.60%	18.66%	15.78%	19.96%	15.86%	13.97%	7.47%	13.35%	15.07%	14.12%	14.23%	13.05%	12.59%	9.80%	9.98%	12.39%	13.59%	13.29%	11.85%	17.77%	13.37%	13.07%	13.22%	16.45%	17.50%	16.77%	15.94%	14.80%	16.44%	14.67%	8.71%	10.41%	11.44%	11.86%	11.75%	10.95%	14.48%	17.12%	11.17%	9.60%	12.60%	15.25%	10.76%	16.06%	16.44%	12.24%	12.80%	6.15%	12.98%	13.66%	0.00%	8.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	110	1	1	1	4	2	6	2	3	1	3	2	8	2	0	0	2	1	2	0	2	0	4	2	0	0	0	2	0	0	2	4	5	1	3	4	0	2	2	1	2	2	3	3	5	4	3	1	1	1	3	1	4	0	1	0	1	0									
		0.28%	0.22%	0.18%	0.15%	0.80%	0.37%	1.49%	0.31%	0.76%	0.22%	0.81%	0.12%	0.57%	0.39%	0.00%	0.00%	0.40%	0.15%	0.20%	0.00%	0.50%	0.00%	0.52%	0.31%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.17%	0.41%	0.59%	0.14%	0.37%	0.47%	0.00%	0.28%	0.20%	0.32%	0.32%	0.25%	0.32%	0.63%	0.52%	0.50%	0.30%	0.13%	0.15%	0.09%	0.41%	0.09%	0.38%	0.00%	0.09%	0.00%	3.70%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2050	10	18	23	18	33	19	25	17	25	25	63	45	18	16	12	28	34	61	35	10	15	48	53	56	51	42	50	86	63	45	60	52	37	81	29	19	33	38	6	23	34	30	24	49	45	78	44	56	63	39	56	39	8	50	11	1	1									
		5.15%	2.21%	3.24%	3.35%	3.60%	6.12%	4.71%	3.89%	4.33%	5.54%	6.72%	3.88%	3.20%	3.48%	4.38%	4.58%	5.53%	4.99%	6.24%	3.61%	2.49%	3.21%	6.27%	8.19%	6.38%	7.37%	6.53%	7.60%	8.95%	5.51%	3.88%	6.21%	6.10%	5.17%	10.09%	3.43%	7.88%	4.64%	3.88%	1.92%	3.65%	4.23%	3.17%	5.01%	5.07%	5.61%	7.80%	5.59%	8.14%	5.72%	5.34%	5.00%	3.72%	4.10%	4.48%	6.83%	3.70%	2.17%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
