Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Искитимская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1115	20	10	10	20	25	30	20	20	20	15	20	20	15	20	15	15	15	35	15	15	10	10	15	25	5	20	20	20	5	10	15	5	20	5	5	15	5	10	5	15	5	5	5	10	5	5	25	15	5	5	15	10	5	5	50	10	5	5	30	15	5	10	10	10	45	5	15	5	5	40	5	5	15	5	5	15	5	20	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	657	20	10	10	20	25	24	4	8	7	4	8	6	6	8	4	5	5	5	2	0	0	4	10	17	2	6	2	12	5	1	5	0	9	0	5	1	0	0	5	15	0	0	1	10	5	5	19	15	0	2	15	6	5	5	45	1	2	0	17	11	5	3	3	10	45	5	11	5	3	40	5	0	15	5	0	1	3	14	10	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	305	4	0	1	1	3	6	3	1	5	3	5	6	2	2	5	4	1	7	1	1	2	4	4	9	1	2	8	6	7	6	1	1	1	2	0	3	3	0	3	5	3	1	2	1	1	31	7	2	1	1	6	1	2	2	6	5	5	3	7	10	5	9	3	9	6	3	12	4	1	3	2	1	9	1	1	3	3	2	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	458	0	0	0	0	0	6	16	12	13	11	12	14	9	12	11	10	10	30	13	15	10	6	5	8	3	14	18	8	0	9	10	5	11	5	0	14	5	10	0	0	5	5	4	0	0	0	6	0	5	3	0	4	0	0	5	9	3	5	13	4	0	7	7	0	0	0	4	0	2	0	0	5	0	0	5	14	2	6	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	0	0	2	0	0	1	0	0	1	1	1	1	0	0	0	1	0	2	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	402	3	0	1	0	6	7	15	14	13	8	19	18	8	8	15	9	24	9	1	3	1	2	4	5	1	13	4	9	4	3	7	1	15	6	7	5	0	3	2	6	0	0	1	3	0	0	9	0	2	2	3	3	0	2	2	2	2	1	11	25	3	11	1	2	8	3	7	1	1	6	0	0	1	3	1	1	1	4	1	0	0									
		1.99%	1.30%	0.00%	1.39%	0.00%	2.83%	1.20%	2.82%	3.01%	2.47%	1.81%	2.59%	3.54%	1.74%	1.49%	3.07%	2.21%	4.61%	1.82%	0.48%	3.26%	0.93%	1.53%	1.42%	0.70%	0.69%	2.22%	1.54%	1.46%	1.90%	1.06%	3.37%	1.79%	3.45%	2.68%	4.27%	2.75%	0.00%	5.00%	1.52%	1.97%	0.00%	0.00%	1.54%	1.15%	0.00%	0.00%	1.63%	0.00%	1.72%	2.30%	1.26%	2.88%	0.00%	2.33%	0.77%	4.17%	3.92%	1.11%	2.36%	2.57%	1.47%	4.89%	1.11%	2.02%	2.00%	4.48%	2.10%	1.12%	0.94%	1.24%	0.00%	0.00%	0.40%	2.54%	2.38%	1.35%	1.54%	1.57%	1.89%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	841	7	4	3	5	9	22	20	32	17	25	31	25	23	22	12	20	18	19	7	1	7	2	20	28	9	31	17	29	6	12	18	0	18	13	3	3	4	1	5	12	3	0	4	10	5	2	20	6	7	3	10	4	1	4	18	2	2	1	20	38	2	6	1	2	18	1	9	5	5	18	6	4	15	8	0	3	1	4	4	4	5									
		4.18%	3.03%	3.51%	4.17%	3.55%	4.25%	3.79%	3.76%	6.88%	3.23%	5.66%	4.22%	4.91%	5.00%	4.10%	2.45%	4.91%	3.45%	3.85%	3.37%	1.09%	6.48%	1.53%	7.12%	3.93%	6.21%	5.29%	6.54%	4.70%	2.84%	4.26%	8.65%	0.00%	4.14%	5.80%	1.83%	1.65%	7.84%	1.67%	3.79%	3.95%	5.08%	0.00%	6.15%	3.83%	3.91%	2.22%	3.62%	5.56%	6.03%	3.45%	4.18%	3.85%	2.44%	4.65%	6.92%	4.17%	3.92%	1.11%	4.29%	3.91%	0.98%	2.67%	1.11%	2.02%	4.50%	1.49%	2.70%	5.62%	4.72%	3.71%	6.06%	5.26%	5.98%	6.78%	0.00%	4.05%	1.54%	1.57%	7.55%	3.92%	4.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	459	2	3	6	2	1	7	23	11	17	9	17	10	16	10	17	14	15	10	2	3	2	1	8	23	1	10	7	16	4	11	6	1	10	4	3	3	1	1	4	10	0	0	1	7	4	0	5	4	8	1	4	1	1	2	4	2	0	3	13	20	6	10	4	2	9	0	2	0	1	8	2	2	4	1	0	1	1	4	1	0	0									
		2.28%	0.87%	2.63%	8.33%	1.42%	0.47%	1.20%	4.32%	2.37%	3.23%	2.04%	2.32%	1.96%	3.48%	1.87%	3.48%	3.44%	2.88%	2.02%	0.96%	3.26%	1.85%	0.76%	2.85%	3.23%	0.69%	1.71%	2.69%	2.59%	1.90%	3.90%	2.88%	1.79%	2.30%	1.79%	1.83%	1.65%	1.96%	1.67%	3.03%	3.29%	0.00%	0.00%	1.54%	2.68%	3.13%	0.00%	0.90%	3.70%	6.90%	1.15%	1.67%	0.96%	2.44%	2.33%	1.54%	4.17%	0.00%	3.33%	2.79%	2.06%	2.94%	4.44%	4.44%	2.02%	2.25%	0.00%	0.60%	0.00%	0.94%	1.65%	2.02%	2.63%	1.59%	0.85%	0.00%	1.35%	1.54%	1.57%	1.89%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8146	110	52	33	71	103	216	174	137	156	130	233	131	135	174	148	113	157	192	102	35	45	59	103	244	54	226	109	275	83	138	103	23	139	69	65	99	17	33	59	118	27	13	23	108	65	40	288	58	58	42	97	48	26	45	136	21	25	70	212	372	118	113	38	47	211	35	146	46	58	248	44	42	79	73	27	46	43	154	23	58	60									
		40.50%	47.62%	45.61%	45.83%	50.35%	48.58%	37.18%	32.71%	29.46%	29.66%	29.41%	31.74%	25.74%	29.35%	32.46%	30.27%	27.76%	30.13%	38.87%	49.04%	38.04%	41.67%	45.04%	36.65%	34.22%	37.24%	38.57%	41.92%	44.57%	39.34%	48.94%	49.52%	41.07%	31.95%	30.80%	39.63%	54.40%	33.33%	55.00%	44.70%	38.82%	45.76%	34.21%	35.38%	41.38%	50.78%	44.44%	52.08%	53.70%	50.00%	48.28%	40.59%	46.15%	63.41%	52.33%	52.31%	43.75%	49.02%	77.78%	45.49%	38.31%	57.84%	50.22%	42.22%	47.47%	52.75%	52.24%	43.84%	51.69%	54.72%	51.13%	44.44%	55.26%	31.47%	61.86%	64.29%	62.16%	66.15%	60.63%	43.40%	56.86%	57.69%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	119	4	0	0	0	2	3	8	3	3	1	4	5	5	10	3	4	1	0	3	1	0	1	3	3	0	2	3	3	3	0	0	0	4	4	1	2	1	0	1	0	1	0	0	1	1	0	2	0	1	1	1	1	0	0	0	0	1	0	1	5	1	0	0	1	1	0	3	1	0	4	0	0	0	0	0	0	0	0	0	1	0									
		0.59%	1.73%	0.00%	0.00%	0.00%	0.94%	0.52%	1.50%	0.65%	0.57%	0.23%	0.54%	0.98%	1.09%	1.87%	0.61%	0.98%	0.19%	0.00%	1.44%	1.09%	0.00%	0.76%	1.07%	0.42%	0.00%	0.34%	1.15%	0.49%	1.42%	0.00%	0.00%	0.00%	0.92%	1.79%	0.61%	1.10%	1.96%	0.00%	0.76%	0.00%	1.69%	0.00%	0.00%	0.38%	0.78%	0.00%	0.36%	0.00%	0.86%	1.15%	0.42%	0.96%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.21%	0.51%	0.49%	0.00%	0.00%	1.01%	0.25%	0.00%	0.90%	1.12%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	40	0	0	0	2	1	0	0	0	2	0	4	1	0	0	1	0	1	1	0	2	0	0	3	1	0	1	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	2	0	2	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0									
		0.20%	0.00%	0.00%	0.00%	1.42%	0.47%	0.00%	0.00%	0.00%	0.38%	0.00%	0.54%	0.20%	0.00%	0.00%	0.20%	0.00%	0.19%	0.20%	0.00%	2.17%	0.00%	0.00%	1.07%	0.14%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.45%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	1.96%	2.22%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.60%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4994	54	26	16	33	48	199	144	114	140	109	253	142	117	145	139	118	135	117	60	25	27	39	70	213	47	134	63	123	80	49	37	16	101	47	36	30	9	17	42	75	22	10	28	71	34	27	113	18	23	9	69	17	9	14	55	7	10	6	99	282	43	51	20	20	55	18	79	12	28	79	34	13	79	14	13	15	7	42	12	26	22									
		24.83%	23.38%	22.81%	22.22%	23.40%	22.64%	34.25%	27.07%	24.52%	26.62%	24.66%	34.47%	27.90%	25.43%	27.05%	28.43%	28.99%	25.91%	23.68%	28.85%	27.17%	25.00%	29.77%	24.91%	29.87%	32.41%	22.87%	24.23%	19.94%	37.91%	17.38%	17.79%	28.57%	23.22%	20.98%	21.95%	16.48%	17.65%	28.33%	31.82%	24.67%	37.29%	26.32%	43.08%	27.20%	26.56%	30.00%	20.43%	16.67%	19.83%	10.34%	28.87%	16.35%	21.95%	16.28%	21.15%	14.58%	19.61%	6.67%	21.24%	29.04%	21.08%	22.67%	22.22%	20.20%	13.75%	26.87%	23.72%	13.48%	26.42%	16.29%	34.34%	17.11%	31.47%	11.86%	30.95%	20.27%	10.77%	16.54%	22.64%	25.49%	21.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	91	1	1	0	2	1	2	2	4	1	5	2	7	3	2	4	3	2	1	0	0	0	2	2	1	0	1	0	1	0	1	0	0	4	5	1	2	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	9	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0									
		0.45%	0.43%	0.88%	0.00%	1.42%	0.47%	0.34%	0.38%	0.86%	0.19%	1.13%	0.27%	1.38%	0.65%	0.37%	0.82%	0.74%	0.38%	0.20%	0.00%	0.00%	0.00%	1.53%	0.71%	0.14%	0.00%	0.17%	0.00%	0.16%	0.00%	0.35%	0.00%	0.00%	0.92%	2.23%	0.61%	1.10%	0.00%	1.67%	0.76%	0.33%	0.00%	2.63%	1.54%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.96%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.64%	0.93%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.21%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	3.08%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	104	0	0	0	0	1	4	0	3	2	1	3	5	4	5	5	3	5	5	0	0	0	0	1	5	0	1	0	2	0	0	2	1	3	3	3	7	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	3	4	2	4	1	2	1	0	1	0	2	1	0	0	0	0	0	1	0	1	0	0	0									
		0.52%	0.00%	0.00%	0.00%	0.00%	0.47%	0.69%	0.00%	0.65%	0.38%	0.23%	0.41%	0.98%	0.87%	0.93%	1.02%	0.74%	0.96%	1.01%	0.00%	0.00%	0.00%	0.00%	0.36%	0.70%	0.00%	0.17%	0.00%	0.32%	0.00%	0.00%	0.96%	1.79%	0.69%	1.34%	1.83%	3.85%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.38%	0.00%	1.96%	0.00%	0.64%	0.41%	0.98%	1.78%	1.11%	2.02%	0.25%	0.00%	0.30%	0.00%	1.89%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.39%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	1	0	0	0	0	1	1	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	4	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.43%	0.00%	0.00%	0.00%	0.00%	0.17%	0.19%	0.00%	0.00%	0.00%	0.27%	0.20%	0.22%	0.19%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.16%	0.00%	0.35%	0.00%	0.00%	0.23%	0.00%	0.61%	0.55%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	1.16%	0.38%	2.08%	0.00%	0.00%	0.00%	0.41%	0.00%	0.44%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	164	2	3	0	3	1	2	2	2	1	6	6	10	4	4	6	11	4	6	0	0	0	1	2	5	0	7	2	3	0	3	1	0	8	4	3	2	2	0	1	1	0	2	0	1	2	0	1	0	1	0	4	1	0	1	1	0	0	0	4	14	1	1	2	2	1	0	2	2	0	0	0	0	2	0	0	0	0	1	0	0	0									
		0.82%	0.87%	2.63%	0.00%	2.13%	0.47%	0.34%	0.38%	0.43%	0.19%	1.36%	0.82%	1.96%	0.87%	0.75%	1.23%	2.70%	0.77%	1.21%	0.00%	0.00%	0.00%	0.76%	0.71%	0.70%	0.00%	1.19%	0.77%	0.49%	0.00%	1.06%	0.48%	0.00%	1.84%	1.79%	1.83%	1.10%	3.92%	0.00%	0.76%	0.33%	0.00%	5.26%	0.00%	0.38%	1.56%	0.00%	0.18%	0.00%	0.86%	0.00%	1.67%	0.96%	0.00%	1.16%	0.38%	0.00%	0.00%	0.00%	0.86%	1.44%	0.49%	0.44%	2.22%	2.02%	0.25%	0.00%	0.60%	2.25%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2887	31	18	9	12	25	69	88	91	97	87	91	96	75	76	74	59	86	94	19	12	11	18	39	123	20	97	38	93	24	35	20	3	92	38	31	19	10	1	10	59	4	10	5	47	8	17	72	12	6	16	28	8	2	11	24	4	1	5	66	135	18	15	12	9	68	5	46	21	8	78	9	11	41	17	1	6	8	23	5	7	8									
		14.35%	13.42%	15.79%	12.50%	8.51%	11.79%	11.88%	16.54%	19.57%	18.44%	19.68%	12.40%	18.86%	16.30%	14.18%	15.13%	14.50%	16.51%	19.03%	9.13%	13.04%	10.19%	13.74%	13.88%	17.25%	13.79%	16.55%	14.62%	15.07%	11.37%	12.41%	9.62%	5.36%	21.15%	16.96%	18.90%	10.44%	19.61%	1.67%	7.58%	19.41%	6.78%	26.32%	7.69%	18.01%	6.25%	18.89%	13.02%	11.11%	5.17%	18.39%	11.72%	7.69%	4.88%	12.79%	9.23%	8.33%	1.96%	5.56%	14.16%	13.90%	8.82%	6.67%	13.33%	9.09%	17.00%	7.46%	13.81%	23.60%	7.55%	16.08%	9.09%	14.47%	16.33%	14.41%	2.38%	8.11%	12.31%	9.06%	9.43%	6.86%	7.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	2	0	0	0	2	1	2	0	1	2	2	3	3	3	1	2	3	0	0	0	0	0	0	2	0	2	3	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	3	1	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	2	0									
		0.30%	0.87%	0.00%	0.00%	0.00%	0.94%	0.17%	0.38%	0.00%	0.19%	0.45%	0.27%	0.59%	0.65%	0.56%	0.20%	0.49%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.34%	1.15%	0.16%	0.47%	0.00%	0.48%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.38%	0.78%	0.00%	0.00%	0.00%	0.00%	1.15%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.31%	0.49%	0.44%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	1.96%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1061	6	3	3	3	5	35	45	42	48	44	32	43	55	58	56	42	56	19	7	5	6	2	5	38	12	32	7	34	2	10	9	3	20	20	4	6	4	2	1	9	2	1	1	7	3	2	22	5	7	4	14	13	2	1	10	1	6	2	18	24	4	5	6	2	11	0	7	0	1	19	3	1	8	1	0	0	1	7	0	1	6									
		5.28%	2.60%	2.63%	4.17%	2.13%	2.36%	6.02%	8.46%	9.03%	9.13%	9.95%	4.36%	8.45%	11.96%	10.82%	11.45%	10.32%	10.75%	3.85%	3.37%	5.43%	5.56%	1.53%	1.78%	5.33%	8.28%	5.46%	2.69%	5.51%	0.95%	3.55%	4.33%	5.36%	4.60%	8.93%	2.44%	3.30%	7.84%	3.33%	0.76%	2.96%	3.39%	2.63%	1.54%	2.68%	2.34%	2.22%	3.98%	4.63%	6.03%	4.60%	5.86%	12.50%	4.88%	1.16%	3.85%	2.08%	11.76%	2.22%	3.86%	2.47%	1.96%	2.22%	6.67%	2.02%	2.75%	0.00%	2.10%	0.00%	0.94%	3.92%	3.03%	1.32%	3.19%	0.85%	0.00%	0.00%	1.54%	2.76%	0.00%	0.98%	5.77%									
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
