Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Неклиновская 																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586	УИК №2638	УИК №2642					
		0.99%	1.16%	0.84%	0.87%	0.91%	0.97%	0.23%	0.00%	0.65%	0.00%	0.33%	0.92%	0.82%	0.99%	0.65%	0.48%	0.74%	0.75%	2.50%	0.58%	1.05%	1.10%	1.88%	0.31%	0.17%	1.03%	0.00%	0.63%	1.23%	3.57%	1.49%	1.38%	0.00%	0.00%	0.00%	1.18%	0.76%	0.95%	0.72%	1.63%	1.12%	0.00%	2.57%	7.03%	2.51%	1.47%	2.15%	1.59%	0.86%	1.72%	0.88%	3.57%	0.77%	0.22%	0.79%	0.00%	0.00%	1.12%	0.37%	0.00%	0.38%	0.00%	0.00%	1.10%	0.00%	0.96%	0.00%	0.78%	2.05%	1.40%	1.01%	0.53%	0.00%	0.86%	0.00%	1.11%	2.97%	0.00%	0.89%	1.03%	0.57%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8363	241	311	313	273	84	61	14	64	32	56	113	76	138	166	148	252	132	83	314	385	252	198	183	59	144	75	183	199	10	13	24	7	7	3	15	46	398	469	44	74	47	179	98	89	140	115	62	34	23	114	34	93	64	231	6	5	10	51	8	87	23	20	195	17	28	59	205	10	98	68	36	20	15	5	4	37	53	104	124	93					
		21.17%	16.48%	15.46%	20.88%	19.16%	16.34%	13.99%	20.00%	13.88%	20.78%	18.67%	20.89%	12.42%	22.96%	27.17%	23.76%	26.78%	19.91%	29.64%	30.19%	31.22%	30.81%	23.24%	28.15%	9.88%	37.11%	21.93%	38.13%	30.62%	7.14%	19.40%	4.15%	4.58%	4.55%	2.80%	8.82%	17.42%	31.39%	33.57%	23.91%	27.61%	21.56%	24.25%	25.52%	22.36%	18.72%	22.46%	12.33%	14.59%	9.91%	12.58%	20.24%	17.82%	13.91%	22.92%	11.11%	12.82%	11.24%	6.26%	14.55%	16.54%	14.11%	8.89%	26.75%	20.00%	26.92%	29.50%	26.55%	6.85%	22.90%	22.82%	9.52%	14.60%	6.47%	9.09%	4.44%	18.32%	14.21%	23.16%	25.57%	26.65%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	676	19	36	21	18	3	5	0	3	1	3	8	5	10	6	20	19	8	1	20	31	16	17	21	5	13	9	13	8	4	0	5	1	0	0	3	1	35	48	3	11	3	22	16	6	17	12	17	2	2	6	3	5	3	3	0	0	0	7	0	5	0	5	7	2	3	4	16	1	9	5	2	0	2	0	2	2	13	8	12	4					
		1.71%	1.30%	1.79%	1.40%	1.26%	0.58%	1.15%	0.00%	0.65%	0.65%	1.00%	1.48%	0.82%	1.66%	0.98%	3.21%	2.02%	1.21%	0.36%	1.92%	2.51%	1.96%	1.99%	3.23%	0.84%	3.35%	2.63%	2.71%	1.23%	2.86%	0.00%	0.87%	0.65%	0.00%	0.00%	1.76%	0.38%	2.76%	3.44%	1.63%	4.10%	1.38%	2.98%	4.17%	1.51%	2.27%	2.34%	3.38%	0.86%	0.86%	0.66%	1.79%	0.96%	0.65%	0.30%	0.00%	0.00%	0.00%	0.86%	0.00%	0.95%	0.00%	2.22%	0.96%	2.35%	2.88%	2.00%	2.07%	0.68%	2.10%	1.68%	0.53%	0.00%	0.86%	0.00%	2.22%	0.99%	3.49%	1.78%	2.47%	1.15%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19978	701	1118	677	719	282	278	40	220	70	169	303	424	246	282	255	427	375	120	446	474	326	363	238	420	128	181	162	264	107	34	405	138	133	100	129	169	431	478	75	99	112	315	115	169	454	252	290	145	141	629	83	331	340	486	38	27	66	677	33	319	120	156	314	50	55	96	368	109	202	114	191	85	143	34	62	94	199	204	197	157					
		50.56%	47.95%	55.57%	45.16%	50.46%	54.86%	63.76%	57.14%	47.72%	45.45%	56.33%	56.01%	69.28%	40.93%	46.15%	40.93%	45.38%	56.56%	42.86%	42.88%	38.44%	39.85%	42.61%	36.62%	70.35%	32.99%	52.92%	33.75%	40.62%	76.43%	50.75%	70.07%	90.20%	86.36%	93.46%	75.88%	64.02%	33.99%	34.22%	40.76%	36.94%	51.38%	42.68%	29.95%	42.46%	60.70%	49.22%	57.65%	62.23%	60.78%	69.43%	49.40%	63.41%	73.91%	48.21%	70.37%	69.23%	74.16%	83.07%	60.00%	60.65%	73.62%	69.33%	43.07%	58.82%	52.88%	48.00%	47.67%	74.66%	47.20%	38.26%	50.53%	62.04%	61.64%	61.82%	68.89%	46.53%	53.35%	45.43%	40.62%	44.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	169	10	8	2	7	2	2	0	2	0	0	1	2	2	1	4	5	3	0	5	4	5	8	8	4	3	2	5	3	1	0	5	0	0	0	1	1	4	4	0	0	1	1	2	4	3	2	5	0	2	3	0	2	0	2	0	1	0	1	0	1	0	0	1	0	0	0	6	0	2	2	2	0	1	0	0	1	3	3	3	1					
		0.43%	0.68%	0.40%	0.13%	0.49%	0.39%	0.46%	0.00%	0.43%	0.00%	0.00%	0.18%	0.33%	0.33%	0.16%	0.64%	0.53%	0.45%	0.00%	0.48%	0.32%	0.61%	0.94%	1.23%	0.67%	0.77%	0.58%	1.04%	0.46%	0.71%	0.00%	0.87%	0.00%	0.00%	0.00%	0.59%	0.38%	0.32%	0.29%	0.00%	0.00%	0.46%	0.14%	0.52%	1.01%	0.40%	0.39%	0.99%	0.00%	0.86%	0.33%	0.00%	0.38%	0.00%	0.20%	0.00%	2.56%	0.00%	0.12%	0.00%	0.19%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.78%	0.00%	0.47%	0.67%	0.53%	0.00%	0.43%	0.00%	0.00%	0.50%	0.80%	0.67%	0.62%	0.29%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
