Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Красносулинская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2225	УИК №2236	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2434	УИК №2537					
		23.71%	16.62%	17.33%	24.15%	26.94%	22.05%	18.18%	26.94%	26.45%	26.73%	25.35%	19.70%	26.79%	20.98%	38.38%	26.40%	20.91%	23.32%	23.83%	26.99%	22.84%	25.79%	30.86%	35.49%	23.99%	25.87%	23.19%	26.60%	28.22%	32.21%	25.41%	17.84%	7.29%	16.16%	22.02%	11.91%	12.21%	28.70%	41.37%	25.26%	12.61%	14.51%	22.13%	25.80%	24.23%	26.86%	0.00%	22.03%	34.78%	21.98%	22.99%	22.44%	25.81%	34.92%	15.03%	21.13%	22.60%	22.59%	28.42%	34.44%	26.41%	13.10%	15.53%	13.50%	7.05%	19.72%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	480	1	6	8	1	1	1	24	9	19	8	13	6	6	15	11	12	0	21	35	17	10	14	21	26	24	7	21	13	22	13	2	0	2	2	4	5	0	5	2	4	0	0	6	3	4	0	8	3	0	12	1	3	1	1	2	2	0	3	3	14	0	2	1	0	0					
		1.40%	0.27%	0.99%	1.69%	0.26%	0.51%	1.52%	1.98%	1.25%	2.43%	1.03%	2.81%	1.39%	1.22%	3.29%	1.71%	0.79%	0.00%	2.23%	3.36%	2.44%	1.75%	1.73%	2.27%	2.93%	2.60%	1.15%	3.45%	2.89%	3.24%	1.79%	0.83%	0.00%	0.44%	0.30%	0.99%	0.61%	0.00%	0.70%	0.70%	0.19%	0.00%	0.00%	1.74%	1.02%	1.14%	0.00%	1.08%	1.30%	0.00%	1.52%	0.32%	1.94%	0.53%	0.65%	0.60%	1.37%	0.00%	1.03%	1.11%	1.46%	0.00%	0.32%	0.61%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16078	233	341	188	152	88	37	473	320	303	271	215	143	200	127	265	914	102	345	403	262	214	241	303	300	315	222	231	174	189	260	95	54	299	388	250	577	130	227	112	1547	140	230	129	114	165	128	342	108	92	462	188	70	61	88	126	86	509	144	122	557	99	381	87	99	41					
		47.03%	62.47%	56.27%	39.83%	39.38%	45.13%	56.06%	38.96%	44.32%	38.75%	34.88%	46.54%	33.03%	40.73%	27.85%	41.15%	60.09%	45.74%	36.70%	38.71%	37.64%	37.54%	29.75%	32.69%	33.78%	34.09%	36.51%	37.93%	38.67%	27.79%	35.71%	39.42%	56.25%	65.28%	58.52%	62.03%	70.45%	56.52%	31.84%	39.30%	73.88%	72.54%	62.84%	37.39%	38.91%	47.14%	100.00%	46.22%	46.96%	50.55%	58.70%	60.26%	45.16%	32.28%	57.52%	37.50%	58.90%	55.81%	49.32%	45.19%	58.14%	68.28%	61.65%	53.37%	63.46%	57.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	137	3	4	0	1	2	0	7	0	6	5	0	1	4	1	5	4	0	9	3	4	0	4	2	5	8	3	4	1	2	6	1	0	2	3	3	1	0	2	3	2	0	0	2	3	0	0	4	0	2	0	0	0	1	1	2	2	0	0	1	1	0	3	2	1	1					
		0.40%	0.80%	0.66%	0.00%	0.26%	1.03%	0.00%	0.58%	0.00%	0.77%	0.64%	0.00%	0.23%	0.81%	0.22%	0.78%	0.26%	0.00%	0.96%	0.29%	0.57%	0.00%	0.49%	0.22%	0.56%	0.87%	0.49%	0.66%	0.22%	0.29%	0.82%	0.41%	0.00%	0.44%	0.45%	0.74%	0.12%	0.00%	0.28%	1.05%	0.10%	0.00%	0.00%	0.58%	1.02%	0.00%	0.00%	0.54%	0.00%	1.10%	0.00%	0.00%	0.00%	0.53%	0.65%	0.60%	1.37%	0.00%	0.00%	0.37%	0.10%	0.00%	0.49%	1.23%	0.64%	1.41%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
