Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Мелеузовская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №3472	УИК №3473									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	718	20	20	10	15	20	10	20	26	20	23	24	18	13	17	22	12	20	15	10	20	31	20	20	10	10	19	5	5	5	9	5	0	10	5	10	5	5	5	5	5	15	5	15	10	10	15	5	16	5	5	5	5	5	5	5	15	15	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	640	18	20	4	15	20	9	13	26	20	22	24	18	13	17	22	12	20	8	10	20	31	15	16	10	10	19	5	0	0	9	5	0	3	1	10	0	5	5	5	1	15	5	15	3	10	15	5	16	5	5	5	5	5	5	5	15	9	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	241	4	2	2	6	14	1	3	8	0	6	5	4	7	0	0	10	6	8	5	9	2	1	31	2	2	5	3	4	6	2	2	3	1	7	1	2	7	1	3	9	0	3	3	15	4	0	0	7	1	2	0	1	1	2	0	0	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	78	2	0	6	0	0	1	7	0	0	1	0	0	0	0	0	0	0	7	0	0	0	5	4	0	0	0	0	5	5	0	0	0	7	4	0	5	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	6	1	1	2	2	1	2	2	2	3	5	4	1	3	4	3	3	2	2	0	4	2	6	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	1	1	0	1	1	0	1	0	0	0	0	2	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	170	15	5	2	5	10	0	6	5	2	3	6	2	2	2	4	2	2	9	1	4	2	2	12	0	0	1	1	1	0	7	3	0	4	1	4	0	0	0	1	1	12	1	2	0	3	2	0	1	5	0	0	2	7	0	1	0	6	1									
		0.34%	0.94%	0.27%	0.22%	0.34%	0.60%	0.00%	0.43%	0.28%	0.22%	0.16%	0.59%	0.13%	0.12%	0.12%	0.22%	0.21%	0.14%	1.01%	0.10%	0.22%	0.10%	0.49%	1.53%	0.00%	0.00%	0.38%	0.24%	0.26%	0.00%	1.15%	0.69%	0.00%	1.34%	0.63%	0.47%	0.00%	0.00%	0.00%	1.20%	0.09%	0.92%	0.86%	0.23%	0.00%	0.47%	0.20%	0.00%	0.17%	0.67%	0.00%	0.00%	0.70%	1.67%	0.00%	0.46%	0.00%	0.69%	0.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	456	48	11	2	0	7	1	32	1	6	0	30	0	10	1	0	2	6	2	1	5	2	2	15	1	3	2	3	10	1	17	18	2	27	12	13	3	0	11	5	7	0	2	1	12	8	1	12	19	33	5	0	0	3	0	1	4	8	28									
		0.92%	2.99%	0.59%	0.22%	0.00%	0.42%	0.19%	2.30%	0.06%	0.65%	0.00%	2.94%	0.00%	0.59%	0.06%	0.00%	0.21%	0.41%	0.22%	0.10%	0.27%	0.10%	0.49%	1.91%	0.09%	0.61%	0.77%	0.71%	2.57%	1.06%	2.79%	4.12%	0.54%	9.06%	7.50%	1.52%	1.08%	0.00%	8.27%	6.02%	0.63%	0.00%	1.72%	0.11%	1.03%	1.25%	0.10%	2.56%	3.21%	4.43%	0.98%	0.00%	0.00%	0.72%	0.00%	0.46%	0.43%	0.92%	3.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	304	8	16	2	8	2	0	19	2	8	6	16	2	7	2	9	3	2	18	1	6	3	3	8	4	0	1	3	4	0	5	3	0	5	13	15	1	0	4	2	9	0	0	2	6	3	6	3	1	19	4	4	3	5	5	0	9	6	8									
		0.61%	0.50%	0.85%	0.22%	0.54%	0.12%	0.00%	1.37%	0.11%	0.86%	0.32%	1.57%	0.13%	0.41%	0.12%	0.50%	0.32%	0.14%	2.02%	0.10%	0.33%	0.16%	0.73%	1.02%	0.37%	0.00%	0.38%	0.71%	1.03%	0.00%	0.82%	0.69%	0.00%	1.68%	8.13%	1.75%	0.36%	0.00%	3.01%	2.41%	0.81%	0.00%	0.00%	0.23%	0.52%	0.47%	0.61%	0.64%	0.17%	2.55%	0.78%	1.62%	1.05%	1.20%	2.23%	0.00%	0.97%	0.69%	0.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27816	1242	971	463	748	872	260	728	939	489	960	624	790	919	852	885	505	767	468	525	959	992	212	405	555	258	149	222	250	71	370	255	192	154	55	641	246	131	70	44	581	689	59	452	606	507	535	355	513	595	362	125	160	217	118	112	674	443	475									
		55.96%	77.58%	51.79%	52.02%	50.92%	52.09%	50.58%	52.34%	53.02%	52.58%	51.86%	61.24%	50.87%	54.03%	51.08%	49.39%	53.21%	51.96%	52.47%	51.27%	52.12%	52.07%	51.46%	51.66%	51.97%	52.12%	57.31%	52.24%	64.27%	75.53%	60.66%	58.35%	51.89%	51.68%	34.38%	74.71%	88.81%	53.04%	52.63%	53.01%	52.48%	52.68%	50.86%	51.66%	52.20%	79.22%	54.70%	75.85%	86.66%	79.87%	70.70%	50.61%	55.94%	51.91%	52.68%	51.61%	72.47%	50.74%	57.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	122	4	8	1	0	6	0	8	2	1	4	6	2	2	1	3	1	4	7	1	2	5	1	6	1	0	1	1	0	0	1	2	0	1	1	4	0	0	2	0	3	3	0	2	0	1	12	2	2	1	0	0	1	0	0	0	4	0	2									
		0.25%	0.25%	0.43%	0.11%	0.00%	0.36%	0.00%	0.58%	0.11%	0.11%	0.22%	0.59%	0.13%	0.12%	0.06%	0.17%	0.11%	0.27%	0.78%	0.10%	0.11%	0.26%	0.24%	0.77%	0.09%	0.00%	0.38%	0.24%	0.00%	0.00%	0.16%	0.46%	0.00%	0.34%	0.63%	0.47%	0.00%	0.00%	1.50%	0.00%	0.27%	0.23%	0.00%	0.23%	0.00%	0.16%	1.23%	0.43%	0.34%	0.13%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.43%	0.00%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	72	1	2	1	22	3	0	3	2	2	2	2	1	0	3	0	1	5	1	1	3	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	1	0	0	0	1	2	2	0	0	1	0	0	0	0	0	1									
		0.14%	0.06%	0.11%	0.11%	1.50%	0.18%	0.00%	0.22%	0.11%	0.22%	0.11%	0.20%	0.06%	0.00%	0.18%	0.00%	0.11%	0.34%	0.11%	0.10%	0.16%	0.05%	0.00%	0.13%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.21%	0.34%	0.27%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1739	128	36	18	39	40	5	31	37	15	45	108	38	31	30	31	23	30	63	24	44	43	7	124	31	10	49	11	9	14	60	26	37	43	28	69	7	4	12	7	21	25	3	10	28	50	19	25	10	24	21	8	6	8	18	4	27	13	12									
		3.50%	7.99%	1.92%	2.02%	2.65%	2.39%	0.97%	2.23%	2.09%	1.61%	2.43%	10.60%	2.45%	1.82%	1.80%	1.73%	2.42%	2.03%	7.06%	2.34%	2.39%	2.26%	1.70%	15.82%	2.90%	2.02%	18.85%	2.59%	2.31%	14.89%	9.84%	5.95%	10.00%	14.43%	17.50%	8.04%	2.53%	1.62%	9.02%	8.43%	1.90%	1.91%	2.59%	1.14%	2.41%	7.81%	1.94%	5.34%	1.69%	3.22%	4.10%	3.24%	2.10%	1.91%	8.04%	1.84%	2.90%	1.49%	1.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	52	4	2	0	0	2	1	2	1	0	0	0	2	0	1	0	1	2	3	1	4	1	1	3	0	0	0	0	0	1	1	1	3	1	0	2	0	0	1	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5									
		0.10%	0.25%	0.11%	0.00%	0.00%	0.12%	0.19%	0.14%	0.06%	0.00%	0.00%	0.00%	0.13%	0.00%	0.06%	0.00%	0.11%	0.14%	0.34%	0.10%	0.22%	0.05%	0.24%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.16%	0.23%	0.81%	0.34%	0.00%	0.23%	0.00%	0.00%	0.75%	0.00%	0.18%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	76	4	3	1	0	3	1	8	5	0	3	4	0	0	3	0	1	2	5	1	7	3	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	0	0	3	0	0	0	1	0	1	1	0	0	2	0	0	0	0	3									
		0.15%	0.25%	0.16%	0.11%	0.00%	0.18%	0.19%	0.58%	0.28%	0.00%	0.16%	0.39%	0.00%	0.00%	0.18%	0.00%	0.11%	0.14%	0.56%	0.10%	0.38%	0.16%	0.24%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.23%	0.00%	0.40%	0.00%	1.20%	0.09%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.21%	0.00%	0.13%	0.20%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	88	0	1	0	36	4	1	0	3	3	0	1	1	9	1	0	1	2	1	1	4	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	3									
		0.18%	0.00%	0.05%	0.00%	2.45%	0.24%	0.19%	0.00%	0.17%	0.32%	0.00%	0.10%	0.06%	0.53%	0.06%	0.00%	0.11%	0.14%	0.11%	0.10%	0.22%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	1.20%	0.18%	0.00%	0.00%	0.11%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	149	9	5	2	0	3	0	2	9	3	3	3	1	19	5	6	1	2	3	1	3	3	0	10	3	0	1	1	0	1	4	1	3	1	1	4	0	2	0	0	3	3	0	1	0	3	6	0	1	1	2	2	0	2	0	0	4	0	6									
		0.30%	0.56%	0.27%	0.22%	0.00%	0.18%	0.00%	0.14%	0.51%	0.32%	0.16%	0.29%	0.06%	1.12%	0.30%	0.33%	0.11%	0.14%	0.34%	0.10%	0.16%	0.16%	0.00%	1.28%	0.28%	0.00%	0.38%	0.24%	0.00%	1.06%	0.66%	0.23%	0.81%	0.34%	0.63%	0.47%	0.00%	0.81%	0.00%	0.00%	0.27%	0.23%	0.00%	0.11%	0.00%	0.47%	0.61%	0.00%	0.17%	0.13%	0.39%	0.81%	0.00%	0.48%	0.00%	0.00%	0.43%	0.00%	0.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	12662	88	570	280	396	500	170	374	527	285	573	110	498	491	513	571	282	463	252	330	559	604	131	102	340	165	39	129	80	1	98	116	98	31	20	73	13	75	25	8	106	401	35	292	358	35	274	23	22	43	62	77	34	117	56	72	175	282	218									
		25.47%	5.50%	30.40%	31.46%	26.96%	29.87%	33.07%	26.89%	29.76%	30.65%	30.96%	10.79%	32.07%	28.87%	30.76%	31.86%	29.72%	31.37%	28.25%	32.23%	30.38%	31.71%	31.80%	13.01%	31.84%	33.33%	15.00%	30.35%	20.57%	1.06%	16.07%	26.54%	26.49%	10.40%	12.50%	8.51%	4.69%	30.36%	18.80%	9.64%	9.58%	30.66%	30.17%	33.37%	30.84%	5.47%	28.02%	4.91%	3.72%	5.77%	12.11%	31.17%	11.89%	27.99%	25.00%	33.18%	18.82%	32.30%	26.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	4	1	0	23	5	0	1	3	5	0	5	1	0	2	8	1	3	4	3	6	5	1	4	0	0	0	1	0	0	2	0	3	0	3	4	3	0	0	0	2	5	0	1	0	1	1	1	1	0	3	0	0	1	0	0	2	0	3									
		0.25%	0.25%	0.05%	0.00%	1.57%	0.30%	0.00%	0.07%	0.17%	0.54%	0.00%	0.49%	0.06%	0.00%	0.12%	0.45%	0.11%	0.20%	0.45%	0.29%	0.33%	0.26%	0.24%	0.51%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.33%	0.00%	0.81%	0.00%	1.88%	0.47%	1.08%	0.00%	0.00%	0.00%	0.18%	0.38%	0.00%	0.11%	0.00%	0.16%	0.10%	0.21%	0.17%	0.00%	0.59%	0.00%	0.00%	0.24%	0.00%	0.00%	0.22%	0.00%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5541	37	239	118	190	207	75	177	212	103	247	95	212	211	222	192	119	186	51	129	234	234	50	68	133	59	9	49	35	3	42	7	32	22	13	20	4	32	6	7	362	153	12	97	151	24	119	33	20	19	46	31	79	54	27	27	31	112	63									
		11.15%	2.31%	12.75%	13.26%	12.93%	12.37%	14.59%	12.72%	11.97%	11.08%	13.34%	9.32%	13.65%	12.40%	13.31%	10.71%	12.54%	12.60%	5.72%	12.60%	12.72%	12.28%	12.14%	8.67%	12.45%	11.92%	3.46%	11.53%	8.99%	3.19%	6.89%	1.60%	8.65%	7.38%	8.13%	2.33%	1.44%	12.96%	4.51%	8.43%	32.70%	11.70%	10.34%	11.09%	13.01%	3.75%	12.17%	7.05%	3.38%	2.55%	8.98%	12.55%	27.62%	12.92%	12.05%	12.44%	3.33%	12.83%	7.61%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
