Выборы Президента Российской Федерации																																																			
																																																			
"Наименование Избирательной комиссии:    Архангельск, Южная"																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151					
12	Число выданных открепительных удостоверений	586	21	16	9	24	39	14	24	29	24	27	18	40	0	0	0	29	26	19	33	18	12	20	24	24	30	35	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	460	10	15	11	9	18	14	9	17	28	8	18	29	16	49	0	21	24	13	8	22	14	16	16	10	15	22	16	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	680	19	44	31	36	7	46	26	21	26	23	22	0	0	0	0	21	34	41	27	42	28	20	36	36	30	15	24	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	34	1	3	1	2	1	4	1	3	2	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	1192	33	46	32	56	47	36	46	61	42	54	51	24	1	4	0	37	73	54	52	61	40	18	38	62	45	32	40	23	5	9	7	11	8	15	2	2	2	3	3	3	6	1	2	5					
		3.49%	3.79%	3.52%	2.98%	4.03%	4.23%	2.78%	3.13%	3.95%	2.94%	4.14%	4.03%	1.68%	0.77%	2.44%	0.00%	2.68%	4.73%	3.34%	3.25%	3.45%	3.03%	2.49%	3.06%	3.96%	2.87%	2.46%	3.41%	2.75%	5.56%	13.85%	10.61%	16.42%	12.31%	23.08%	6.25%	25.00%	5.13%	6.82%	7.32%	7.50%	15.38%	2.44%	50.00%	13.89%					
19	. Малышкин Олег Александрович	587	18	23	18	26	17	30	21	24	29	20	20	28	1	0	0	27	33	19	14	37	10	21	22	19	35	15	20	21	0	0	0	2	1	2	1	0	2	1	3	2	0	1	0	4					
		1.72%	2.07%	1.76%	1.67%	1.87%	1.53%	2.32%	1.43%	1.55%	2.03%	1.53%	1.58%	1.96%	0.77%	0.00%	0.00%	1.95%	2.14%	1.18%	0.87%	2.10%	0.76%	2.90%	1.77%	1.21%	2.23%	1.15%	1.70%	2.51%	0.00%	0.00%	0.00%	2.99%	1.54%	3.08%	3.12%	0.00%	5.13%	2.27%	7.32%	5.00%	0.00%	2.44%	0.00%	11.11%					
20	. Миронов Сергей Михайлович	250	8	13	2	10	7	16	8	10	5	15	13	14	0	0	0	10	11	12	5	9	4	4	4	15	9	16	12	8	1	0	1	0	0	0	0	0	4	0	1	1	0	2	0	0					
		0.73%	0.92%	1.00%	0.19%	0.72%	0.63%	1.24%	0.54%	0.65%	0.35%	1.15%	1.03%	0.98%	0.00%	0.00%	0.00%	0.72%	0.71%	0.74%	0.31%	0.51%	0.30%	0.55%	0.32%	0.96%	0.57%	1.23%	1.02%	0.96%	1.11%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	10.26%	0.00%	2.44%	2.50%	0.00%	4.88%	0.00%	0.00%					
21	. Путин Владимир Владимирович	26385	680	1033	850	1073	827	1014	1146	1155	1114	979	967	1209	125	117	33	1084	1150	1238	1221	1381	1025	541	948	1190	1237	1059	893	663	70	30	40	35	24	30	24	6	24	29	22	29	20	28	1	21					
		77.14%	78.07%	79.10%	79.07%	77.31%	74.37%	78.36%	78.01%	74.71%	77.96%	75.02%	76.44%	84.78%	96.15%	71.34%	84.62%	78.38%	74.53%	76.61%	76.22%	78.20%	77.65%	74.83%	76.39%	75.99%	78.84%	81.40%	76.06%	79.21%	77.78%	46.15%	60.61%	52.24%	36.92%	46.15%	75.00%	75.00%	61.54%	65.91%	53.66%	72.50%	51.28%	68.29%	25.00%	58.33%					
22	. Хакамада Ирина Муцуовна	1996	31	82	51	87	53	57	91	77	86	81	44	52	2	4	3	79	104	106	142	124	109	60	90	100	72	60	87	38	4	5	1	1	8	1	1	0	0	1	1	0	1	0	0	0					
		5.84%	3.56%	6.28%	4.74%	6.27%	4.77%	4.40%	6.19%	4.98%	6.02%	6.21%	3.48%	3.65%	1.54%	2.44%	7.69%	5.71%	6.74%	6.56%	8.86%	7.02%	8.26%	8.30%	7.25%	6.39%	4.59%	4.61%	7.41%	4.54%	4.44%	7.69%	1.52%	1.49%	12.31%	1.54%	3.12%	0.00%	0.00%	2.27%	2.44%	0.00%	2.56%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2435	80	84	75	95	113	96	119	153	98	106	118	51	0	33	2	91	119	136	93	89	75	48	89	122	108	85	71	56	8	5	1	4	1	1	1	0	1	2	1	0	2	1	0	2					
		7.12%	9.18%	6.43%	6.98%	6.84%	10.16%	7.42%	8.10%	9.90%	6.86%	8.12%	9.33%	3.58%	0.00%	20.12%	5.13%	6.58%	7.71%	8.42%	5.81%	5.04%	5.68%	6.64%	7.17%	7.79%	6.88%	6.53%	6.05%	6.69%	8.89%	7.69%	1.52%	5.97%	1.54%	1.54%	3.12%	0.00%	2.56%	4.55%	2.44%	0.00%	5.13%	2.44%	0.00%	5.56%					
																																																			
24	Против всех	1194	21	22	39	34	47	34	36	58	44	45	43	41	1	2	1	50	48	47	64	61	54	29	41	42	51	27	45	27	2	16	16	14	23	16	3	0	6	8	10	4	9	8	1	4					
		3.49%	2.41%	1.68%	3.63%	2.45%	4.23%	2.63%	2.45%	3.75%	3.08%	3.45%	3.40%	2.88%	0.77%	1.22%	2.56%	3.62%	3.11%	2.91%	4.00%	3.45%	4.09%	4.01%	3.30%	2.68%	3.25%	2.08%	3.83%	3.23%	2.22%	24.62%	24.24%	20.90%	35.38%	24.62%	9.38%	0.00%	15.38%	18.18%	24.39%	10.00%	23.08%	19.51%	25.00%	11.11%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
