Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Нижний Новгород, Сормовская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	863	19	11	14	9	14	9	9	8	9	5	7	10	0	14	8	17	10	9	8	14	8	14	9	11	39	4	13	14	6	29	17	15	19	13	21	13	3	10	12	13	20	32	11	9	9	9	15	11	13	12	8	23	18	6	15	7	20	9	32	15	13	17	16	18	8	10									
		1.80%	6.07%	1.84%	2.57%	0.75%	1.13%	2.42%	0.78%	1.43%	1.05%	0.76%	0.69%	1.04%	0.00%	1.91%	1.26%	1.44%	1.13%	1.15%	0.92%	1.58%	0.64%	2.03%	0.89%	1.07%	6.61%	0.97%	2.92%	3.83%	1.26%	7.11%	2.22%	2.68%	2.04%	2.22%	3.34%	2.11%	1.03%	2.07%	0.95%	1.95%	5.51%	8.12%	2.36%	1.12%	1.18%	1.90%	3.13%	2.26%	1.84%	1.85%	1.06%	3.22%	1.82%	1.91%	1.65%	0.70%	2.74%	0.92%	3.26%	2.13%	1.46%	2.72%	2.75%	2.14%	0.76%	1.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	824	18	5	20	11	22	6	12	11	11	3	13	14	0	9	24	19	16	10	9	13	14	11	11	11	20	6	5	5	5	13	14	8	10	7	17	6	15	14	7	9	17	12	16	10	9	9	7	14	11	12	13	17	15	5	9	17	20	20	52	17	7	11	13	10	11	16									
		1.72%	5.75%	0.83%	3.68%	0.92%	1.78%	1.61%	1.04%	1.96%	1.28%	0.46%	1.29%	1.45%	0.00%	1.23%	3.79%	1.61%	1.81%	1.28%	1.03%	1.47%	1.12%	1.60%	1.09%	1.07%	3.39%	1.46%	1.12%	1.37%	1.05%	3.19%	1.83%	1.43%	1.07%	1.19%	2.70%	0.97%	5.15%	2.89%	0.56%	1.35%	4.68%	3.05%	3.43%	1.25%	1.18%	1.90%	1.46%	2.87%	1.56%	1.85%	1.72%	2.38%	1.52%	1.59%	0.99%	1.71%	2.74%	2.05%	5.30%	2.42%	0.78%	1.76%	2.24%	1.19%	1.05%	2.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27758	199	369	304	883	864	142	845	256	509	518	664	718	621	345	243	780	440	484	610	574	905	240	718	743	283	142	154	121	187	154	370	207	591	222	231	232	125	158	947	247	191	180	212	564	552	182	213	234	383	364	504	355	692	139	573	640	341	682	532	360	624	242	210	393	743	308									
		57.83%	63.58%	61.60%	55.88%	73.83%	69.96%	38.17%	72.97%	45.71%	59.12%	78.72%	65.68%	74.40%	77.72%	47.13%	38.39%	66.16%	49.72%	62.05%	70.03%	64.71%	72.34%	34.88%	71.37%	72.21%	47.97%	34.47%	34.61%	33.06%	39.29%	37.75%	48.37%	37.03%	63.34%	37.88%	36.72%	37.60%	42.96%	32.64%	75.34%	37.09%	52.62%	45.69%	45.40%	70.24%	72.35%	38.48%	44.47%	48.05%	54.17%	56.09%	66.75%	49.72%	70.04%	44.27%	62.97%	64.26%	46.71%	69.88%	54.18%	51.21%	69.96%	38.66%	36.14%	46.73%	70.76%	46.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	283	1	2	3	4	3	3	5	6	2	0	8	4	0	9	6	5	4	5	5	8	6	6	5	4	2	7	6	3	6	1	9	8	7	7	9	3	2	2	7	5	2	2	6	1	2	0	3	2	2	6	1	3	3	1	8	2	3	4	13	1	7	7	4	6	1	5									
		0.59%	0.32%	0.33%	0.55%	0.33%	0.24%	0.81%	0.43%	1.07%	0.23%	0.00%	0.79%	0.41%	0.00%	1.23%	0.95%	0.42%	0.45%	0.64%	0.57%	0.90%	0.48%	0.87%	0.50%	0.39%	0.34%	1.70%	1.35%	0.82%	1.26%	0.25%	1.18%	1.43%	0.75%	1.19%	1.43%	0.49%	0.69%	0.41%	0.56%	0.75%	0.55%	0.51%	1.28%	0.12%	0.26%	0.00%	0.63%	0.41%	0.28%	0.92%	0.13%	0.42%	0.30%	0.32%	0.88%	0.20%	0.41%	0.41%	1.32%	0.14%	0.78%	1.12%	0.69%	0.71%	0.10%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	75	0	0	0	2	5	0	0	4	1	0	1	2	0	3	0	0	1	0	1	1	2	1	2	0	2	0	0	1	0	2	1	0	1	1	0	0	3	2	2	1	0	2	0	2	0	1	1	0	0	0	1	2	2	0	3	0	0	0	12	2	1	0	1	0	0	3									
		0.16%	0.00%	0.00%	0.00%	0.17%	0.40%	0.00%	0.00%	0.71%	0.12%	0.00%	0.10%	0.21%	0.00%	0.41%	0.00%	0.00%	0.11%	0.00%	0.11%	0.11%	0.16%	0.15%	0.20%	0.00%	0.34%	0.00%	0.00%	0.27%	0.00%	0.49%	0.13%	0.00%	0.11%	0.17%	0.00%	0.00%	1.03%	0.41%	0.16%	0.15%	0.00%	0.51%	0.00%	0.25%	0.00%	0.21%	0.21%	0.00%	0.00%	0.00%	0.13%	0.28%	0.20%	0.00%	0.33%	0.00%	0.00%	0.00%	1.22%	0.28%	0.11%	0.00%	0.17%	0.00%	0.00%	0.45%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5244	27	84	68	122	134	79	89	111	87	45	105	71	51	96	94	92	136	78	88	85	95	90	82	52	72	59	64	55	41	72	96	74	75	105	97	83	38	83	120	134	50	63	49	82	50	55	50	65	71	75	82	83	66	56	95	92	92	51	85	78	40	94	83	119	87	102									
		10.92%	8.63%	14.02%	12.50%	10.20%	10.85%	21.24%	7.69%	19.82%	10.10%	6.84%	10.39%	7.36%	6.38%	13.11%	14.85%	7.80%	15.37%	10.00%	10.10%	9.58%	7.59%	13.08%	8.15%	5.05%	12.20%	14.32%	14.38%	15.03%	8.61%	17.65%	12.55%	13.24%	8.04%	17.92%	15.42%	13.45%	13.06%	17.15%	9.55%	20.12%	13.77%	15.99%	10.49%	10.21%	6.55%	11.63%	10.44%	13.35%	10.04%	11.56%	10.86%	11.62%	6.68%	17.83%	10.44%	9.24%	12.60%	5.23%	8.66%	11.10%	4.48%	15.02%	14.29%	14.15%	8.29%	15.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	391	1	6	6	3	3	2	9	7	6	2	5	4	0	4	12	13	16	4	3	7	7	9	6	2	3	6	10	8	6	5	12	5	2	3	5	3	3	6	4	4	1	2	9	4	0	10	13	1	9	4	6	8	2	2	10	4	10	5	9	13	7	11	3	11	8	7									
		0.81%	0.32%	1.00%	1.10%	0.25%	0.24%	0.54%	0.78%	1.25%	0.70%	0.30%	0.49%	0.41%	0.00%	0.55%	1.90%	1.10%	1.81%	0.51%	0.34%	0.79%	0.56%	1.31%	0.60%	0.19%	0.51%	1.46%	2.25%	2.19%	1.26%	1.23%	1.57%	0.89%	0.21%	0.51%	0.79%	0.49%	1.03%	1.24%	0.32%	0.60%	0.28%	0.51%	1.93%	0.50%	0.00%	2.11%	2.71%	0.21%	1.27%	0.62%	0.79%	1.12%	0.20%	0.64%	1.10%	0.40%	1.37%	0.51%	0.92%	1.85%	0.78%	1.76%	0.52%	1.31%	0.76%	1.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	560	3	8	8	5	6	2	15	8	7	0	10	10	0	17	18	25	15	3	7	9	11	13	12	2	10	14	8	11	11	13	11	7	14	10	12	9	3	3	5	21	4	2	10	3	9	14	5	4	7	8	1	7	9	1	17	8	8	7	7	3	9	9	6	15	7	4									
		1.17%	0.96%	1.34%	1.47%	0.42%	0.49%	0.54%	1.30%	1.43%	0.81%	0.00%	0.99%	1.04%	0.00%	2.32%	2.84%	2.12%	1.69%	0.38%	0.80%	1.01%	0.88%	1.89%	1.19%	0.19%	1.69%	3.40%	1.80%	3.01%	2.31%	3.19%	1.44%	1.25%	1.50%	1.71%	1.91%	1.46%	1.03%	0.62%	0.40%	3.15%	1.10%	0.51%	2.14%	0.37%	1.18%	2.96%	1.04%	0.82%	0.99%	1.23%	0.13%	0.98%	0.91%	0.32%	1.87%	0.80%	1.10%	0.72%	0.71%	0.43%	1.01%	1.44%	1.03%	1.78%	0.67%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	71	0	0	1	0	0	1	2	1	2	0	1	0	0	3	0	0	2	0	0	1	1	3	0	12	2	1	0	2	1	0	0	2	1	1	1	0	0	1	1	0	1	0	1	1	1	2	1	1	0	0	0	2	0	1	0	0	0	0	12	0	0	1	0	0	1	3									
		0.15%	0.00%	0.00%	0.18%	0.00%	0.00%	0.27%	0.17%	0.18%	0.23%	0.00%	0.10%	0.00%	0.00%	0.41%	0.00%	0.00%	0.23%	0.00%	0.00%	0.11%	0.08%	0.44%	0.00%	1.17%	0.34%	0.24%	0.00%	0.55%	0.21%	0.00%	0.00%	0.36%	0.11%	0.17%	0.16%	0.00%	0.00%	0.21%	0.08%	0.00%	0.28%	0.00%	0.21%	0.12%	0.13%	0.42%	0.21%	0.21%	0.00%	0.00%	0.00%	0.28%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.16%	0.00%	0.00%	0.10%	0.45%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	815	3	6	10	7	10	2	17	13	13	4	14	7	0	28	24	23	23	17	7	14	18	23	19	26	14	18	11	6	24	17	29	22	17	20	12	15	2	5	11	0	7	3	15	8	9	11	14	6	22	8	8	13	12	6	6	10	11	8	16	11	16	15	8	9	3	9									
		1.70%	0.96%	1.00%	1.84%	0.59%	0.81%	0.54%	1.47%	2.32%	1.51%	0.61%	1.38%	0.73%	0.00%	3.83%	3.79%	1.95%	2.60%	2.18%	0.80%	1.58%	1.44%	3.34%	1.89%	2.53%	2.37%	4.37%	2.47%	1.64%	5.04%	4.17%	3.79%	3.94%	1.82%	3.41%	1.91%	2.43%	0.69%	1.03%	0.88%	0.00%	1.93%	0.76%	3.21%	0.99%	1.18%	2.33%	2.92%	1.23%	3.11%	1.23%	1.06%	1.82%	1.21%	1.91%	0.66%	1.00%	1.51%	0.82%	1.63%	1.56%	1.79%	2.40%	1.38%	1.07%	0.29%	1.36%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5838	14	62	54	73	106	68	86	83	116	64	102	68	77	113	121	94	113	102	64	86	97	139	58	77	66	72	82	73	93	52	117	125	109	98	114	122	52	99	80	138	33	29	68	52	58	110	80	79	85	88	70	105	83	51	85	128	119	117	118	99	73	91	130	138	104	116									
		12.16%	4.47%	10.35%	9.93%	6.10%	8.58%	18.28%	7.43%	14.82%	13.47%	9.73%	10.09%	7.05%	9.64%	15.44%	19.12%	7.97%	12.77%	13.08%	7.35%	9.70%	7.75%	20.20%	5.77%	7.48%	11.19%	17.48%	18.43%	19.95%	19.54%	12.75%	15.29%	22.36%	11.68%	16.72%	18.12%	19.77%	17.87%	20.45%	6.36%	20.72%	9.09%	7.36%	14.56%	6.48%	7.60%	23.26%	16.70%	16.22%	12.02%	13.56%	9.27%	14.71%	8.40%	16.24%	9.34%	12.85%	16.30%	11.99%	12.02%	14.08%	8.18%	14.54%	22.38%	16.41%	9.90%	17.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	198	0	0	4	0	4	2	3	4	7	0	4	3	0	4	4	4	6	1	2	0	2	5	2	2	5	5	2	1	5	6	2	3	8	3	6	2	2	3	1	5	0	1	4	2	0	3	6	4	1	0	2	6	2	0	3	1	2	3	10	1	4	8	0	2	3	8									
		0.41%	0.00%	0.00%	0.74%	0.00%	0.32%	0.54%	0.26%	0.71%	0.81%	0.00%	0.40%	0.31%	0.00%	0.55%	0.63%	0.34%	0.68%	0.13%	0.23%	0.00%	0.16%	0.73%	0.20%	0.19%	0.85%	1.21%	0.45%	0.27%	1.05%	1.47%	0.26%	0.54%	0.86%	0.51%	0.95%	0.32%	0.69%	0.62%	0.08%	0.75%	0.00%	0.25%	0.86%	0.25%	0.00%	0.63%	1.25%	0.82%	0.14%	0.00%	0.26%	0.84%	0.20%	0.00%	0.33%	0.10%	0.27%	0.31%	1.02%	0.14%	0.45%	1.28%	0.00%	0.24%	0.29%	1.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3205	12	21	27	45	37	34	39	24	70	15	56	28	47	52	46	71	68	49	45	47	57	88	36	55	51	47	50	46	58	28	71	45	58	67	78	81	33	56	27	59	22	26	37	40	30	44	51	47	72	42	33	59	50	24	57	50	60	47	54	68	59	74	65	75	45	50									
		6.68%	3.83%	3.51%	4.96%	3.76%	2.99%	9.14%	3.37%	4.29%	8.13%	2.28%	5.54%	2.90%	5.88%	7.10%	7.27%	6.02%	7.68%	6.28%	5.17%	5.30%	4.56%	12.79%	3.58%	5.34%	8.64%	11.41%	11.24%	12.57%	12.18%	6.86%	9.28%	8.05%	6.22%	11.43%	12.40%	13.13%	11.34%	11.57%	2.15%	8.86%	6.06%	6.60%	7.92%	4.98%	3.93%	9.30%	10.65%	9.65%	10.18%	6.47%	4.37%	8.26%	5.06%	7.64%	6.26%	5.02%	8.22%	4.82%	5.50%	9.67%	6.61%	11.82%	11.19%	8.92%	4.29%	7.54%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
