7	Число избирательных бюллетеней в переносных ящиках для голосования	4574	43	48	31	52	41	33	35	61	37	38	35	50	58	59	17	17	43	30	10	117	17	32	31	47	15	38	48	32	35	29	79	93	73	35	42	30	46	77	41	128	8	56	39	39	21	40	45	32	50	48	34	65	55	23	43	22	43	54	75	66	35	33	35	41	24	36	25	43	29	28	42	31	51	26	22	34	48	39	32	30	22	10	14	16	23	34	12	20	25	15	17	46	123	33	0	0	29	243	8	232	0	262	13	12									
8	Число бюллетеней в стационарных ящиках для голосования	136620	1760	1330	1174	1111	1548	984	1665	1877	1628	1789	1484	1546	1572	1473	1474	1444	1517	1386	637	1039	443	1450	1599	1401	1820	1351	1538	1309	1434	1523	1531	1551	1489	1399	1221	1593	1427	826	379	1617	2039	1510	1415	828	1768	1146	1140	1044	1375	1256	1441	1343	1126	1177	1264	943	1731	1436	1256	1348	1387	1422	1398	1490	1484	1169	1141	1644	1439	1345	1639	1517	1362	1078	1403	1539	1490	1379	1400	1328	1553	1653	1772	1539	1406	1494	1777	1604	1608	1494	1640	1687	1568	1589	150	82	165	179	79	324	687	0	1425	1166									
9	Число недействительных избирательных бюллетеней	1665	43	5	5	8	27	12	33	25	28	46	48	38	30	23	41	23	29	8	4	17	5	10	4	12	36	4	13	10	28	20	5	21	8	13	5	19	10	13	2	30	30	10	10	5	28	2	26	25	29	10	11	10	3	25	8	10	42	12	20	30	7	16	11	21	32	8	7	3	11	16	3	18	26	12	23	20	39	24	9	24	32	9	4	12	19	17	10	30	0	36	3	3	14	5	0	0	0	2	0	0	0	0	23	9									
10	Число действительных избирательных бюллетеней	139529	1760	1373	1200	1155	1562	1005	1667	1913	1637	1781	1471	1558	1600	1509	1450	1438	1531	1408	643	1139	455	1472	1626	1436	1799	1385	1573	1331	1441	1532	1605	1623	1554	1421	1258	1604	1463	890	418	1715	2017	1556	1444	862	1761	1184	1159	1051	1396	1294	1464	1398	1178	1175	1299	955	1732	1478	1311	1384	1415	1439	1422	1510	1476	1197	1159	1684	1457	1357	1678	1530	1387	1092	1402	1553	1499	1394	1423	1334	1543	1654	1782	1543	1410	1511	1779	1594	1633	1473	1654	1730	1677	1617	150	82	194	420	87	556	687	262	1415	1169									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																			
13	Бабурин Сергей Николаевич	997	19	7	12	12	11	7	14	9	14	12	11	9	13	17	8	9	13	5	6	11	3	11	10	17	9	14	12	15	6	11	20	3	13	16	14	6	6	8	4	16	31	8	0	5	5	6	6	12	9	5	15	7	8	8	3	5	18	4	6	9	25	12	8	25	7	6	7	0	11	8	4	9	8	12	6	10	3	7	10	2	5	8	14	8	10	19	13	15	1	10	52	5	14	12	1	1	1	4	2	1	6	0	4	8									
		0.71%	1.05%	0.51%	0.99%	1.03%	0.69%	0.69%	0.82%	0.46%	0.84%	0.66%	0.72%	0.56%	0.80%	1.11%	0.54%	0.62%	0.83%	0.35%	0.93%	0.95%	0.65%	0.74%	0.61%	1.17%	0.49%	1.01%	0.76%	1.12%	0.41%	0.71%	1.24%	0.18%	0.83%	1.12%	1.11%	0.37%	0.41%	0.89%	0.95%	0.92%	1.51%	0.51%	0.00%	0.58%	0.28%	0.51%	0.51%	1.12%	0.63%	0.38%	1.02%	0.50%	0.68%	0.67%	0.23%	0.52%	1.01%	0.27%	0.45%	0.64%	1.76%	0.82%	0.56%	1.63%	0.46%	0.50%	0.60%	0.00%	0.75%	0.58%	0.24%	0.58%	0.57%	1.09%	0.42%	0.64%	0.20%	0.49%	0.70%	0.15%	0.32%	0.48%	0.78%	0.51%	0.70%	1.24%	0.73%	0.92%	0.06%	0.66%	3.14%	0.29%	0.83%	0.74%	0.67%	1.22%	0.52%	0.95%	2.30%	0.18%	0.87%	0.00%	0.28%	0.68%									
14	Грудинин Павел Николаевич	14502	184	185	96	88	164	104	252	315	97	194	227	151	216	222	193	175	271	176	36	167	49	185	115	145	202	111	131	64	112	120	21	149	146	129	101	153	183	64	50	351	193	80	150	86	196	121	143	121	217	95	82	105	138	63	139	76	278	103	134	103	97	192	166	223	274	186	88	217	79	104	275	220	83	38	173	109	32	125	92	127	147	151	202	243	106	90	240	113	157	203	117	207	352	239	10	8	9	42	6	25	26	11	95	86									
		10.27%	10.21%	13.43%	7.97%	7.57%	10.32%	10.23%	14.82%	16.25%	5.83%	10.62%	14.94%	9.46%	13.25%	14.49%	12.94%	11.98%	17.37%	12.43%	5.56%	14.45%	10.65%	12.48%	7.06%	10.01%	11.01%	7.99%	8.26%	4.77%	7.62%	7.73%	1.30%	9.06%	9.35%	8.99%	7.99%	9.43%	12.42%	7.09%	11.90%	20.11%	9.43%	5.11%	10.32%	9.92%	10.96%	10.20%	12.07%	11.25%	15.23%	7.29%	5.56%	7.46%	11.69%	5.25%	10.64%	7.88%	15.67%	6.91%	10.07%	7.28%	6.82%	13.20%	11.58%	14.57%	18.17%	15.44%	7.55%	12.86%	5.38%	7.57%	16.36%	14.21%	5.87%	3.44%	12.14%	6.93%	2.08%	8.82%	6.42%	9.35%	9.33%	9.08%	11.31%	15.63%	7.42%	5.89%	13.42%	6.96%	9.61%	13.45%	7.06%	11.94%	20.82%	14.73%	6.67%	9.76%	4.64%	9.95%	6.90%	4.50%	3.78%	4.20%	6.61%	7.30%									
15	Жириновский Владимир Вольфович	5658	54	26	54	64	70	39	86	85	106	73	66	54	81	84	46	73	45	21	28	42	22	28	29	105	110	90	78	43	44	60	111	36	71	102	108	58	51	51	17	72	38	110	57	33	51	30	43	53	86	41	53	58	42	41	45	62	95	82	41	60	58	58	45	80	54	25	67	20	57	62	52	40	52	73	49	89	47	40	31	28	60	15	81	21	67	35	40	69	84	65	71	107	81	54	6	5	3	14	5	19	44	14	34	33									
		4.01%	2.99%	1.89%	4.48%	5.50%	4.41%	3.83%	5.06%	4.39%	6.37%	3.99%	4.34%	3.38%	4.97%	5.48%	3.09%	4.99%	2.88%	1.48%	4.33%	3.63%	4.78%	1.89%	1.78%	7.25%	5.99%	6.48%	4.92%	3.21%	2.99%	3.87%	6.89%	2.19%	4.55%	7.11%	8.55%	3.57%	3.46%	5.65%	4.05%	4.13%	1.86%	7.02%	3.92%	3.81%	2.85%	2.53%	3.63%	4.93%	6.04%	3.14%	3.59%	4.12%	3.56%	3.42%	3.44%	6.42%	5.36%	5.50%	3.08%	4.24%	4.08%	3.99%	3.14%	5.23%	3.58%	2.07%	5.75%	1.19%	3.88%	4.52%	3.09%	2.58%	3.68%	6.61%	3.44%	5.66%	3.06%	2.82%	2.16%	2.06%	3.81%	0.90%	4.54%	1.35%	4.69%	2.29%	2.24%	4.25%	5.14%	4.31%	4.28%	6.17%	4.79%	3.33%	4.00%	6.10%	1.55%	3.32%	5.75%	3.42%	6.40%	5.34%	2.36%	2.80%									
16	Путин Владимир Владимирович	109389	1376	1075	927	920	1172	753	1161	1305	1285	1361	1016	1179	1164	1068	1107	1124	1059	1113	531	869	355	1146	1385	1089	1404	1080	1259	1100	1199	1241	1316	1382	1227	1104	980	1284	1105	725	323	1193	1552	1244	1152	680	1435	950	868	777	982	1105	1212	1130	942	963	1045	769	1167	1179	1026	1127	1117	1098	1140	1063	1030	914	898	1297	1238	1098	1277	1170	1177	902	1112	1237	1232	1134	1224	1155	1233	1412	1373	1230	1132	1288	1415	1299	1344	1131	1276	1352	1140	1234	127	63	177	346	71	487	579	232	1176	992									
		77.47%	76.32%	78.01%	76.93%	79.11%	73.76%	74.04%	68.29%	67.34%	77.18%	74.49%	66.89%	73.87%	71.41%	69.71%	74.25%	76.93%	67.88%	78.60%	82.07%	75.17%	77.17%	77.33%	84.97%	75.21%	76.51%	77.75%	79.38%	82.03%	81.62%	79.96%	81.74%	84.06%	78.55%	76.99%	77.59%	79.11%	75.02%	80.29%	76.90%	68.37%	75.82%	79.44%	79.23%	78.43%	80.21%	80.10%	73.25%	72.21%	68.91%	84.74%	82.17%	80.26%	79.76%	80.25%	79.95%	79.69%	65.78%	79.13%	77.08%	79.70%	78.55%	75.46%	79.55%	69.43%	68.30%	75.85%	77.02%	76.88%	84.33%	79.97%	75.97%	75.58%	83.30%	81.70%	78.04%	78.64%	80.10%	79.97%	85.47%	85.05%	78.29%	84.91%	76.88%	79.10%	79.22%	84.29%	79.09%	79.99%	82.30%	74.95%	77.01%	78.02%	67.42%	76.08%	84.67%	76.83%	91.24%	81.99%	81.61%	87.59%	84.28%	88.55%	81.78%	84.21%									
17	Собчак Ксения Анатольевна	3623	30	27	47	34	90	35	63	77	65	53	58	68	45	51	57	23	62	40	18	24	13	55	43	30	37	35	33	25	36	40	101	14	39	23	19	48	41	17	10	41	110	34	32	29	32	26	34	32	37	16	20	31	17	31	27	12	76	12	45	34	23	28	31	45	50	29	47	15	21	39	24	32	20	22	26	49	149	33	25	16	29	17	51	27	50	26	28	31	12	25	29	31	47	44	2	2	1	6	1	16	17	4	40	9									
		2.57%	1.66%	1.96%	3.90%	2.92%	5.66%	3.44%	3.71%	3.97%	3.90%	2.90%	3.82%	4.26%	2.76%	3.33%	3.82%	1.57%	3.97%	2.82%	2.78%	2.08%	2.83%	3.71%	2.64%	2.07%	2.02%	2.52%	2.08%	1.86%	2.45%	2.58%	6.27%	0.85%	2.50%	1.60%	1.50%	2.96%	2.78%	1.88%	2.38%	2.35%	5.37%	2.17%	2.20%	3.34%	1.79%	2.19%	2.87%	2.97%	2.60%	1.23%	1.36%	2.20%	1.44%	2.58%	2.07%	1.24%	4.28%	0.81%	3.38%	2.40%	1.62%	1.92%	2.16%	2.94%	3.32%	2.41%	4.03%	0.89%	1.43%	2.84%	1.43%	2.07%	1.42%	1.99%	1.82%	3.12%	9.69%	2.33%	1.75%	1.18%	1.84%	1.02%	2.86%	1.74%	3.50%	1.70%	1.57%	1.91%	0.73%	1.66%	1.75%	1.79%	2.78%	2.71%	1.33%	2.44%	0.52%	1.42%	1.15%	2.88%	2.47%	1.53%	2.78%	0.76%									
18	Сурайкин Максим Александрович	1228	13	7	12	10	10	13	13	23	11	11	13	15	14	9	10	10	13	11	4	7	5	16	13	15	13	10	8	20	16	18	10	16	17	26	9	14	16	8	3	16	7	7	14	7	11	9	18	19	17	12	22	17	4	6	3	2	16	57	12	8	32	10	10	17	17	3	10	33	14	10	11	12	11	10	8	10	5	12	11	1	14	7	13	5	8	9	21	11	9	14	31	6	18	9	1	1	1	4	1	0	5	0	10	17									
		0.87%	0.72%	0.51%	0.99%	0.86%	0.63%	1.28%	0.76%	1.19%	0.66%	0.60%	0.86%	0.94%	0.86%	0.59%	0.67%	0.68%	0.83%	0.78%	0.62%	0.61%	1.09%	1.08%	0.80%	1.04%	0.71%	0.72%	0.50%	1.49%	1.09%	1.16%	0.62%	0.97%	1.09%	1.81%	0.71%	0.86%	1.09%	0.89%	0.71%	0.92%	0.34%	0.45%	0.96%	0.81%	0.61%	0.76%	1.52%	1.77%	1.19%	0.92%	1.49%	1.21%	0.34%	0.50%	0.23%	0.21%	0.90%	3.83%	0.90%	0.57%	2.25%	0.69%	0.70%	1.11%	1.13%	0.25%	0.86%	1.96%	0.95%	0.73%	0.65%	0.78%	0.78%	0.91%	0.56%	0.64%	0.33%	0.85%	0.77%	0.07%	0.89%	0.42%	0.73%	0.32%	0.56%	0.59%	1.17%	0.68%	0.55%	0.93%	1.87%	0.35%	1.06%	0.55%	0.67%	1.22%	0.52%	0.95%	1.15%	0.00%	0.73%	0.00%	0.70%	1.44%									
19	Титов Борис Юрьевич	1461	19	14	15	13	13	19	21	23	18	18	22	22	24	26	15	9	18	14	8	7	4	9	10	12	6	17	34	44	11	18	9	12	15	7	15	10	11	5	3	9	30	12	16	8	9	8	6	16	12	9	23	11	9	18	9	5	26	11	17	6	25	15	10	23	14	11	19	52	15	20	20	22	19	12	9	20	6	20	15	3	16	16	15	5	15	14	15	25	13	9	32	7	12	15	2	0	1	2	1	4	6	0	20	6									
		1.03%	1.05%	1.02%	1.24%	1.12%	0.82%	1.87%	1.24%	1.19%	1.08%	0.99%	1.45%	1.38%	1.47%	1.70%	1.01%	0.62%	1.15%	0.99%	1.24%	0.61%	0.87%	0.61%	0.61%	0.83%	0.33%	1.22%	2.14%	3.28%	0.75%	1.16%	0.56%	0.73%	0.96%	0.49%	1.19%	0.62%	0.75%	0.55%	0.71%	0.52%	1.47%	0.77%	1.10%	0.92%	0.50%	0.67%	0.51%	1.49%	0.84%	0.69%	1.56%	0.78%	0.76%	1.50%	0.69%	0.52%	1.47%	0.74%	1.28%	0.42%	1.76%	1.03%	0.70%	1.50%	0.93%	0.91%	1.63%	3.08%	1.02%	1.46%	1.19%	1.42%	1.34%	1.09%	0.63%	1.27%	0.39%	1.41%	1.05%	0.22%	1.02%	0.96%	0.84%	0.32%	1.05%	0.92%	0.84%	1.54%	0.80%	0.60%	1.93%	0.40%	0.71%	0.92%	1.33%	0.00%	0.52%	0.47%	1.15%	0.72%	0.87%	0.00%	1.39%	0.51%									
20	Явлинский Григорий Алексеевич	2671	65	32	37	14	32	35	57	76	41	59	58	60	43	32	14	15	50	28	12	12	4	22	21	23	18	28	18	20	17	24	17	11	26	14	12	31	50	12	8	17	56	61	23	14	22	34	41	21	36	11	37	39	18	45	28	24	56	30	30	37	38	26	12	34	30	23	23	50	22	16	15	25	17	23	19	29	25	23	15	2	39	28	33	4	22	30	7	31	13	16	46	15	13	10	1	2	1	2	0	4	4	1	36	18									
		1.89%	3.61%	2.32%	3.07%	1.20%	2.01%	3.44%	3.35%	3.92%	2.46%	3.23%	3.82%	3.76%	2.64%	2.09%	0.94%	1.03%	3.21%	1.98%	1.85%	1.04%	0.87%	1.48%	1.29%	1.59%	0.98%	2.02%	1.13%	1.49%	1.16%	1.55%	1.06%	0.67%	1.66%	0.98%	0.95%	1.91%	3.39%	1.33%	1.90%	0.97%	2.74%	3.90%	1.58%	1.61%	1.23%	2.87%	3.46%	1.95%	2.53%	0.84%	2.51%	2.77%	1.52%	3.75%	2.14%	2.49%	3.16%	2.01%	2.25%	2.62%	2.67%	1.79%	0.84%	2.22%	1.99%	1.91%	1.97%	2.96%	1.50%	1.17%	0.89%	1.61%	1.20%	2.08%	1.33%	1.84%	1.63%	1.62%	1.05%	0.15%	2.48%	1.68%	1.85%	0.26%	1.54%	1.96%	0.39%	1.91%	0.80%	1.06%	2.78%	0.87%	0.77%	0.62%	0.67%	2.44%	0.52%	0.47%	0.00%	0.72%	0.58%	0.38%	2.50%	1.53%									
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
