Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Красногвардейская N25																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №1825	УИК №1826					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3100	40	60	50	50	50	60	60	80	60	60	60	50	60	50	40	50	60	40	60	60	40	40	40	60	50	40	40	50	60	40	40	40	40	50	60	60	40	20	40	60	60	50	60	50	60	40	50	40	35	50	40	60	35	35	35	35	25	35	35	40	20	50	20	30	40	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2006	35	34	37	42	38	38	29	69	36	35	49	27	28	38	23	28	51	13	46	42	22	28	29	40	31	32	26	32	44	19	25	18	22	39	27	43	23	13	27	46	39	34	42	29	39	35	37	21	19	37	26	23	23	30	30	25	21	27	14	16	6	33	8	25	31	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1975	49	19	23	27	32	18	13	43	44	38	45	18	34	48	47	22	20	171	19	44	17	27	41	28	17	16	72	26	23	30	33	12	19	17	20	18	22	17	16	19	19	27	54	57	38	24	17	14	19	41	20	14	11	15	11	42	25	37	32	33	18	20	25	50	24	18	6					
14	Число погашенных неиспользованных открепительных удостоверений	1094	5	26	13	8	12	22	31	11	24	25	11	23	32	12	17	22	9	27	14	18	18	12	11	20	19	8	14	18	16	21	15	22	18	11	33	17	17	7	13	14	21	16	18	21	21	5	13	19	16	13	14	37	12	5	5	10	4	8	21	24	14	17	12	5	9	18	30					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	480	9	10	8	7	8	6	5	11	4	8	8	3	11	3	5	3	3	7	21	6	7	3	9	6	3	2	5	12	6	9	7	9	10	8	8	9	5	4	7	11	5	9	5	15	9	8	14	7	5	7	5	10	6	6	5	8	8	7	4	25	4	6	3	5	0	8	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	1921	32	31	39	38	31	33	42	46	42	32	44	31	40	31	43	27	41	19	20	42	29	37	35	45	31	25	31	29	29	28	22	29	32	21	38	18	32	12	32	34	29	38	34	41	32	37	25	23	23	22	27	37	26	28	17	25	18	24	25	26	4	31	11	10	5	7	3					
		2.49%	2.78%	2.12%	2.82%	3.13%	2.47%	2.35%	3.17%	2.70%	2.79%	2.18%	2.83%	2.50%	2.74%	2.34%	4.19%	2.04%	2.90%	1.84%	1.87%	2.89%	2.69%	3.45%	3.02%	2.97%	2.33%	2.19%	2.74%	2.47%	2.25%	2.41%	2.08%	3.00%	2.65%	1.76%	2.70%	1.36%	2.85%	2.10%	2.69%	2.55%	2.03%	2.78%	2.12%	3.02%	2.02%	3.03%	1.86%	2.25%	2.20%	1.81%	2.56%	2.76%	2.61%	2.58%	1.73%	2.19%	1.78%	2.52%	2.84%	2.50%	1.53%	2.62%	2.91%	1.46%	2.06%	2.34%	2.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1679	23	35	32	25	18	25	36	41	26	36	49	29	36	23	23	30	41	21	22	43	20	26	24	37	41	23	27	9	33	20	31	22	23	25	20	29	15	16	25	35	39	19	55	34	28	29	30	15	19	17	26	23	18	18	17	34	29	21	23	16	6	14	5	9	7	7	6					
		2.18%	1.99%	2.39%	2.32%	2.06%	1.44%	1.78%	2.72%	2.41%	1.73%	2.46%	3.15%	2.33%	2.46%	1.74%	2.24%	2.26%	2.90%	2.03%	2.06%	2.96%	1.85%	2.42%	2.07%	2.44%	3.08%	2.01%	2.39%	0.77%	2.56%	1.72%	2.93%	2.28%	1.91%	2.10%	1.42%	2.20%	1.34%	2.80%	2.10%	2.63%	2.73%	1.39%	3.42%	2.51%	1.77%	2.37%	2.23%	1.47%	1.82%	1.40%	2.46%	1.71%	1.81%	1.66%	1.73%	2.98%	2.87%	2.21%	2.61%	1.54%	2.30%	1.18%	1.32%	1.32%	2.88%	2.34%	5.00%					
20	3.Политическая партия «Демократическая партия России»	83	0	0	1	0	0	1	2	0	4	1	0	1	0	0	0	3	5	2	0	3	1	0	0	3	1	1	3	1	0	3	0	1	3	2	1	1	3	1	0	1	3	2	2	1	2	2	3	2	0	2	2	2	1	0	0	1	2	0	1	0	1	1	0	1	1	0	2					
		0.11%	0.00%	0.00%	0.07%	0.00%	0.00%	0.07%	0.15%	0.00%	0.27%	0.07%	0.00%	0.08%	0.00%	0.00%	0.00%	0.23%	0.35%	0.19%	0.00%	0.21%	0.09%	0.00%	0.00%	0.20%	0.08%	0.09%	0.27%	0.09%	0.00%	0.26%	0.00%	0.10%	0.25%	0.17%	0.07%	0.08%	0.27%	0.18%	0.00%	0.08%	0.21%	0.15%	0.12%	0.07%	0.13%	0.16%	0.22%	0.20%	0.00%	0.16%	0.19%	0.15%	0.10%	0.00%	0.00%	0.09%	0.20%	0.00%	0.11%	0.00%	0.38%	0.08%	0.00%	0.15%	0.41%	0.00%	1.67%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9396	160	183	163	152	159	126	147	145	146	169	191	144	202	135	123	152	164	112	118	162	135	131	167	194	199	164	136	163	176	122	133	98	136	157	193	174	142	90	140	167	211	162	194	168	171	133	154	145	144	146	135	214	142	135	114	143	108	109	118	177	24	134	35	67	10	22	11					
		12.20%	13.88%	12.52%	11.79%	12.52%	12.68%	8.99%	11.11%	8.52%	9.69%	11.53%	12.28%	11.59%	13.82%	10.20%	11.98%	11.47%	11.61%	10.85%	11.05%	11.15%	12.50%	12.20%	14.41%	12.80%	14.94%	14.36%	12.01%	13.88%	13.66%	10.48%	12.58%	10.14%	11.27%	13.16%	13.72%	13.17%	12.66%	15.76%	11.77%	12.54%	14.80%	11.87%	12.07%	12.39%	10.80%	10.87%	11.46%	14.19%	13.78%	11.99%	12.80%	15.95%	14.26%	12.43%	11.60%	12.54%	10.70%	11.46%	13.41%	17.02%	9.20%	11.34%	9.26%	9.81%	4.12%	7.36%	9.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1576	20	30	25	26	22	22	17	20	27	27	36	11	45	35	21	35	33	22	15	48	29	34	12	45	41	38	27	16	28	17	26	14	33	21	32	19	19	6	34	37	37	19	36	30	27	22	23	15	25	22	20	20	39	15	23	27	29	18	18	8	4	9	2	12	5	5	1					
		2.05%	1.73%	2.05%	1.81%	2.14%	1.75%	1.57%	1.28%	1.18%	1.79%	1.84%	2.32%	0.89%	3.08%	2.65%	2.04%	2.64%	2.34%	2.13%	1.40%	3.30%	2.69%	3.17%	1.04%	2.97%	3.08%	3.33%	2.39%	1.36%	2.17%	1.46%	2.46%	1.45%	2.73%	1.76%	2.27%	1.44%	1.69%	1.05%	2.86%	2.78%	2.59%	1.39%	2.24%	2.21%	1.70%	1.80%	1.71%	1.47%	2.39%	1.81%	1.90%	1.49%	3.92%	1.38%	2.34%	2.37%	2.87%	1.89%	2.05%	0.77%	1.53%	0.76%	0.53%	1.76%	2.06%	1.67%	0.83%					
23	6.Политическая партия «Партия социальной справедливости»	186	6	1	4	4	4	8	3	7	8	6	1	1	4	5	4	2	10	2	4	3	1	2	0	4	3	2	2	2	1	0	3	2	2	2	5	1	2	4	1	5	5	3	4	3	3	3	1	2	0	2	2	3	1	1	3	3	2	1	1	3	0	2	2	1	0	2	2					
		0.24%	0.52%	0.07%	0.29%	0.33%	0.32%	0.57%	0.23%	0.41%	0.53%	0.41%	0.06%	0.08%	0.27%	0.38%	0.39%	0.15%	0.71%	0.19%	0.37%	0.21%	0.09%	0.19%	0.00%	0.26%	0.23%	0.18%	0.18%	0.17%	0.08%	0.00%	0.28%	0.21%	0.17%	0.17%	0.36%	0.08%	0.18%	0.70%	0.08%	0.38%	0.35%	0.22%	0.25%	0.22%	0.19%	0.25%	0.07%	0.20%	0.00%	0.16%	0.19%	0.22%	0.10%	0.09%	0.31%	0.26%	0.20%	0.11%	0.11%	0.29%	0.00%	0.17%	0.53%	0.15%	0.00%	0.67%	1.67%					
24	7.Политическая партия «Либерально-демократическая партия России»	5969	74	107	106	86	110	116	105	139	161	115	109	101	118	117	78	133	134	74	125	137	59	74	85	102	94	99	86	104	101	80	74	73	109	97	116	114	99	32	73	94	93	114	106	100	131	90	101	95	91	69	55	90	52	85	84	75	62	53	47	71	20	102	39	46	36	42	10					
		7.75%	6.42%	7.32%	7.67%	7.08%	8.77%	8.27%	7.94%	8.17%	10.68%	7.84%	7.01%	8.13%	8.07%	8.84%	7.59%	10.04%	9.48%	7.17%	11.70%	9.43%	5.46%	6.89%	7.33%	6.73%	7.06%	8.67%	7.60%	8.86%	7.84%	6.87%	7.00%	7.56%	9.03%	8.13%	8.24%	8.63%	8.82%	5.60%	6.14%	7.06%	6.52%	8.35%	6.60%	7.37%	8.27%	7.36%	7.51%	9.30%	8.71%	5.67%	5.21%	6.71%	5.22%	7.83%	8.55%	6.58%	6.14%	5.57%	5.34%	6.83%	7.66%	8.63%	10.32%	6.73%	14.81%	14.05%	8.33%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11387	182	214	201	174	208	228	179	252	229	234	247	152	236	162	168	153	172	117	152	204	190	184	169	184	173	160	220	176	196	145	135	155	164	195	201	191	193	106	183	205	225	223	269	203	240	191	189	132	131	197	145	163	148	165	154	185	157	152	166	166	43	142	57	104	18	25	8					
		14.78%	15.78%	14.64%	14.54%	14.33%	16.59%	16.26%	13.53%	14.81%	15.20%	15.96%	15.88%	12.24%	16.14%	12.24%	16.36%	11.55%	12.17%	11.34%	14.23%	14.04%	17.59%	17.13%	14.58%	12.14%	12.99%	14.01%	19.43%	14.99%	15.22%	12.46%	12.77%	16.05%	13.59%	16.35%	14.29%	14.46%	17.20%	18.56%	15.39%	15.39%	15.78%	16.34%	16.74%	14.97%	15.15%	15.62%	14.06%	12.92%	12.54%	16.17%	13.74%	12.15%	14.86%	15.19%	15.67%	16.23%	15.56%	15.98%	18.86%	15.96%	16.48%	12.01%	15.08%	15.23%	7.41%	8.36%	6.67%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	715	14	17	10	12	4	11	10	12	17	12	17	11	17	7	6	16	12	10	7	18	5	9	13	14	7	15	12	12	17	8	10	10	16	4	9	16	6	6	17	10	25	9	14	13	6	14	21	9	7	15	7	19	7	9	14	15	14	4	9	7	1	8	1	5	3	2	1					
		0.93%	1.21%	1.16%	0.72%	0.99%	0.32%	0.78%	0.76%	0.71%	1.13%	0.82%	1.09%	0.89%	1.16%	0.53%	0.58%	1.21%	0.85%	0.97%	0.66%	1.24%	0.46%	0.84%	1.12%	0.92%	0.53%	1.31%	1.06%	1.02%	1.32%	0.69%	0.95%	1.04%	1.33%	0.34%	0.64%	1.21%	0.53%	1.05%	1.43%	0.75%	1.75%	0.66%	0.87%	0.96%	0.38%	1.14%	1.56%	0.88%	0.67%	1.23%	0.66%	1.42%	0.70%	0.83%	1.42%	1.32%	1.39%	0.42%	1.02%	0.67%	0.38%	0.68%	0.26%	0.73%	1.23%	0.67%	0.83%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	39666	548	761	718	600	628	758	716	948	757	739	752	687	660	746	503	705	726	613	545	684	561	506	570	802	656	533	517	608	628	694	578	503	627	583	721	667	563	270	620	641	653	693	801	698	887	623	703	544	547	636	549	724	485	568	516	565	516	530	426	513	142	695	221	397	144	175	73					
		51.50%	47.53%	52.05%	51.95%	49.42%	50.08%	54.07%	54.12%	55.73%	50.23%	50.41%	48.36%	55.31%	45.14%	56.39%	48.98%	53.21%	51.38%	59.40%	51.03%	47.08%	51.94%	47.11%	49.18%	52.90%	49.25%	46.67%	45.67%	51.79%	48.76%	59.62%	54.68%	52.07%	51.95%	48.87%	51.24%	50.49%	50.18%	47.29%	52.14%	48.12%	45.79%	50.77%	49.84%	51.47%	55.99%	50.94%	52.31%	53.23%	52.34%	52.22%	52.04%	53.95%	48.69%	52.30%	52.49%	49.56%	51.14%	55.73%	48.41%	49.33%	54.41%	58.80%	58.47%	58.13%	59.26%	58.53%	60.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3785	87	76	71	88	59	64	48	75	77	85	91	64	90	53	46	59	48	38	53	91	41	64	73	71	73	66	61	46	63	38	37	48	51	75	55	74	42	21	50	92	94	68	78	57	50	69	83	32	51	80	73	40	72	52	37	63	66	39	40	36	13	37	2	26	12	10	1					
		4.91%	7.55%	5.20%	5.14%	7.25%	4.70%	4.56%	3.63%	4.41%	5.11%	5.80%	5.85%	5.15%	6.16%	4.01%	4.48%	4.45%	3.40%	3.68%	4.96%	6.26%	3.80%	5.96%	6.30%	4.68%	5.48%	5.78%	5.39%	3.92%	4.89%	3.26%	3.50%	4.97%	4.23%	6.29%	3.91%	5.60%	3.74%	3.68%	4.21%	6.91%	6.59%	4.98%	4.85%	4.20%	3.16%	5.64%	6.18%	3.13%	4.88%	6.57%	6.92%	2.98%	7.23%	4.79%	3.76%	5.53%	6.54%	4.10%	4.55%	3.46%	4.98%	3.13%	0.53%	3.81%	4.94%	3.34%	0.83%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
