Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Шурышкарская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
		0.45%	0.39%	0.94%	0.41%	0.0%	0.47%	0.49%	0.0%	0.66%					
35	"18. ""ЛДПР"""	385	23	23	94	36	143	17	16	33					
		7.89%	9.09%	7.25%	9.79%	11.76%	8.48%	2.80%	5.31%	7.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	73	5	8	14	8	21	10	1	6					
		1.49%	1.97%	2.52%	1.45%	2.61%	1.24%	1.65%	0.33%	1.33%					
37	"20. ""Политическая партия ""Единая Россия"""	3061	137	184	573	174	1076	392	237	288					
		62.76%	54.15%	58.04%	59.68%	56.86%	63.81%	64.79%	78.73%	64.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	1	2	5	2	0	1	1	0					
		0.24%	0.39%	0.63%	0.52%	0.65%	0.0%	0.16%	0.33%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	0	0	1	2	2	0	0	1					
		0.12%	0.0%	0.0%	0.10%	0.65%	0.11%	0.0%	0.0%	0.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	191	18	17	47	14	50	27	6	12					
		3.91%	7.11%	5.36%	4.89%	4.57%	2.96%	4.46%	1.99%	2.67%					
															
41	Против всех	165	11	9	23	9	80	9	7	17					
		3.38%	4.34%	2.83%	2.39%	2.94%	4.74%	1.48%	2.32%	3.78%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
