Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Молоковская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615									
		1.87%	2.05%	2.29%	2.13%	4.20%	0.00%	0.00%	1.04%	1.89%	1.74%	1.01%	1.61%	1.69%	1.79%	1.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	6	3	5	2	2	1	1	4	1	2	2	0	3	1									
		1.58%	1.54%	0.57%	3.55%	1.68%	2.33%	0.95%	1.04%	3.77%	0.87%	2.02%	3.23%	0.00%	5.36%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1060	160	217	73	63	46	72	65	54	63	57	35	33	36	86									
		50.69%	41.03%	41.49%	51.77%	52.94%	53.49%	68.57%	67.71%	50.94%	54.78%	57.58%	56.45%	55.93%	64.29%	64.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	1	0	1	0	1	0	0	1	0	1	1	0	1									
		0.33%	0.00%	0.19%	0.00%	0.84%	0.00%	0.95%	0.00%	0.00%	0.87%	0.00%	1.61%	1.69%	0.00%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	2	0	0	0	0	0	0	1	0	0	0	1									
		0.19%	0.00%	0.00%	1.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.75%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	346	87	76	32	16	16	11	7	17	30	6	6	10	5	27									
		16.55%	22.31%	14.53%	22.70%	13.45%	18.60%	10.48%	7.29%	16.04%	26.09%	6.06%	9.68%	16.95%	8.93%	20.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	2	6	0	2	0	0	0	0	0	0	1	0	0	0									
		0.53%	0.51%	1.15%	0.00%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	2	3	0	0	0	0	0	0	0	0	0	0	0	3									
		0.38%	0.51%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0									
		0.24%	0.26%	0.38%	0.71%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	7	6	0	0	0	0	1	0	1	1	0	1	0	0									
		0.81%	1.79%	1.15%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.87%	1.01%	0.00%	1.69%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	254	61	81	14	14	1	10	9	18	13	14	6	5	6	2									
		12.15%	15.64%	15.49%	9.93%	11.76%	1.16%	9.52%	9.38%	16.98%	11.30%	14.14%	9.68%	8.47%	10.71%	1.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	3	0	1	1	0	1	0	1	1	0	2	0	0	0									
		0.48%	0.77%	0.00%	0.71%	0.84%	0.00%	0.95%	0.00%	0.94%	0.87%	0.00%	3.23%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	250	46	96	10	11	18	7	12	10	2	15	5	6	2	10									
		11.96%	11.79%	18.36%	7.09%	9.24%	20.93%	6.67%	12.50%	9.43%	1.74%	15.15%	8.06%	10.17%	3.57%	7.46%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
