Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Октябрьская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №573	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №716	УИК №724	УИК №799	УИК №800	УИК №801									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2670	40	70	40	70	40	30	40	40	40	70	70	70	70	70	70	70	70	70	70	70	70	70	40	50	50	50	30	60	50	55	50	50	70	50	50	50	40	25	40	70	15	70	30	30	40	40	40	10	10	30	20	5	60	70	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2075	15	58	20	48	39	18	36	30	23	53	58	70	57	51	50	44	67	37	54	56	42	54	29	44	39	45	27	60	41	52	42	48	61	30	40	17	22	21	25	64	11	67	22	26	24	32	33	3	5	30	17	4	53	61	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1126	40	83	48	4	59	26	51	7	16	55	11	33	14	21	20	23	19	27	111	11	5	15	5	3	4	4	9	2	15	27	19	6	19	26	9	4	14	10	0	6	16	11	7	12	5	7	6	5	5	6	10	7	55	36	0	30	27									
14	Число погашенных неиспользованных открепительных удостоверений	595	25	12	20	22	1	12	4	10	17	17	12	0	13	19	20	26	3	33	16	14	28	16	11	6	11	5	3	0	9	3	8	2	9	20	10	33	18	4	15	6	4	3	8	4	16	8	7	7	5	0	3	1	7	9	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	3	5	3	2	0	1	2	2	0	2	3	1	3	3	2	2	2	1	2	3	6	3	4	2	8	4	2	2	0	3	4	9	1	3	3	2	2	0	3	3	1	0	0	0	1	1	0	0	0	2	0	0	3	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	357	3	14	6	0	7	0	13	7	3	22	3	0	3	0	17	0	8	0	8	13	0	0	9	4	1	5	10	0	11	16	43	12	13	8	6	5	7	5	8	11	0	2	2	10	1	17	0	0	0	12	5	0	0	7	0	0	0									
		0.47%	0.40%	1.02%	0.93%	0.00%	0.48%	0.00%	1.94%	1.02%	0.64%	1.40%	0.19%	0.00%	0.20%	0.00%	0.86%	0.00%	0.39%	0.00%	0.33%	0.69%	0.00%	0.00%	0.81%	0.24%	0.05%	0.23%	0.70%	0.00%	0.51%	0.86%	1.94%	0.60%	1.16%	0.78%	0.74%	0.30%	0.53%	0.89%	0.42%	0.52%	0.00%	0.30%	0.71%	0.90%	0.06%	1.27%	0.00%	0.00%	0.00%	1.58%	0.51%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	391	4	15	17	0	5	0	6	15	13	17	2	5	13	3	17	0	21	11	6	16	0	0	5	5	2	9	6	0	7	0	43	11	12	18	10	11	8	3	10	7	3	14	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0									
		0.52%	0.53%	1.09%	2.64%	0.00%	0.34%	0.00%	0.90%	2.18%	2.77%	1.08%	0.13%	0.20%	0.87%	0.18%	0.86%	0.00%	1.01%	0.56%	0.24%	0.85%	0.00%	0.00%	0.45%	0.30%	0.09%	0.42%	0.42%	0.00%	0.32%	0.00%	1.94%	0.55%	1.07%	1.75%	1.23%	0.67%	0.60%	0.53%	0.53%	0.33%	0.40%	2.11%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	373	2	14	7	0	5	7	16	10	5	5	0	11	1	2	21	0	9	0	17	11	0	11	5	6	1	8	11	0	17	0	64	30	15	15	5	5	9	2	5	8	1	4	0	0	1	1	0	0	0	0	3	0	0	3	0	0	0									
		0.49%	0.26%	1.02%	1.09%	0.00%	0.34%	0.34%	2.39%	1.45%	1.07%	0.32%	0.00%	0.44%	0.07%	0.12%	1.06%	0.00%	0.43%	0.00%	0.69%	0.58%	0.00%	0.76%	0.45%	0.36%	0.05%	0.37%	0.77%	0.00%	0.78%	0.00%	2.89%	1.50%	1.33%	1.46%	0.62%	0.30%	0.68%	0.36%	0.26%	0.38%	0.13%	0.60%	0.00%	0.00%	0.06%	0.07%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	58627	477	926	320	1392	1309	1786	337	433	264	1145	1244	1928	1071	1234	1460	917	1508	1678	1907	1443	1128	1149	829	1418	1816	1669	1118	1582	1759	1350	1559	1482	628	512	575	1175	1063	444	1466	1612	656	499	221	837	1510	1032	1425	314	456	529	780	254	1152	1712	21	44	72									
		77.24%	62.93%	67.59%	49.61%	82.03%	88.99%	85.70%	50.37%	62.94%	56.29%	72.74%	78.98%	77.87%	71.78%	76.08%	73.74%	76.74%	72.67%	86.18%	77.68%	76.27%	76.32%	79.74%	74.48%	85.78%	84.47%	77.99%	77.96%	81.93%	81.02%	72.54%	70.29%	74.17%	55.82%	49.81%	70.90%	71.56%	79.98%	78.86%	77.04%	76.15%	87.00%	75.15%	78.37%	74.93%	91.29%	77.01%	90.99%	84.86%	84.92%	69.51%	78.87%	84.95%	88.68%	90.25%	100.00%	100.00%	98.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	183	2	17	7	0	0	8	4	6	0	8	0	0	2	1	6	0	3	0	14	0	0	5	1	3	2	8	1	0	0	0	21	15	5	10	6	1	4	0	5	10	0	0	0	0	1	3	0	0	0	3	0	0	0	1	0	0	0									
		0.24%	0.26%	1.24%	1.09%	0.00%	0.00%	0.38%	0.60%	0.87%	0.00%	0.51%	0.00%	0.00%	0.13%	0.06%	0.30%	0.00%	0.14%	0.00%	0.57%	0.00%	0.00%	0.35%	0.09%	0.18%	0.09%	0.37%	0.07%	0.00%	0.00%	0.00%	0.95%	0.75%	0.44%	0.97%	0.74%	0.06%	0.30%	0.00%	0.26%	0.47%	0.00%	0.00%	0.00%	0.00%	0.06%	0.22%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	47	0	1	1	0	0	0	2	0	0	4	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	6	0	0	5	0	1	0	1	3	2	0	0	0	1	9	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.06%	0.00%	0.07%	0.16%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.25%	0.00%	0.00%	0.13%	0.12%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.28%	0.00%	0.00%	0.23%	0.00%	0.05%	0.00%	0.09%	0.29%	0.25%	0.00%	0.00%	0.00%	0.05%	0.43%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6164	121	135	106	102	62	123	121	105	72	160	126	191	208	125	178	115	203	128	196	156	118	111	97	89	129	164	121	124	121	138	212	158	178	170	72	179	81	61	153	169	49	70	18	77	57	107	63	24	39	95	79	9	36	62	0	0	1									
		8.12%	15.96%	9.85%	16.43%	6.01%	4.21%	5.90%	18.09%	15.26%	15.35%	10.17%	8.00%	7.71%	13.94%	7.71%	8.99%	9.62%	9.78%	6.57%	7.98%	8.25%	7.98%	7.70%	8.72%	5.38%	6.00%	7.66%	8.44%	6.42%	5.57%	7.42%	9.56%	7.91%	15.82%	16.54%	8.88%	10.90%	6.09%	10.83%	8.04%	7.98%	6.50%	10.54%	6.38%	6.89%	3.45%	7.99%	4.02%	6.49%	7.26%	12.48%	7.99%	3.01%	2.77%	3.27%	0.00%	0.00%	1.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	153	2	8	9	0	0	0	4	2	4	7	0	0	0	1	14	0	3	0	1	5	0	0	5	3	0	10	7	0	8	0	7	8	9	2	5	5	0	5	1	10	0	0	1	1	0	0	0	0	0	1	2	0	0	3	0	0	0									
		0.20%	0.26%	0.58%	1.40%	0.00%	0.00%	0.00%	0.60%	0.29%	0.85%	0.44%	0.00%	0.00%	0.00%	0.06%	0.71%	0.00%	0.14%	0.00%	0.04%	0.26%	0.00%	0.00%	0.45%	0.18%	0.00%	0.47%	0.49%	0.00%	0.37%	0.00%	0.32%	0.40%	0.80%	0.19%	0.62%	0.30%	0.00%	0.89%	0.05%	0.47%	0.00%	0.00%	0.35%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.20%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	223	1	7	9	0	6	0	10	6	4	10	2	8	0	7	13	0	3	0	3	8	0	0	3	1	12	5	6	0	6	6	6	18	6	6	7	5	3	2	5	9	0	3	1	4	1	2	0	0	0	4	0	0	0	5	0	0	0									
		0.29%	0.13%	0.51%	1.40%	0.00%	0.41%	0.00%	1.49%	0.87%	0.85%	0.64%	0.13%	0.32%	0.00%	0.43%	0.66%	0.00%	0.14%	0.00%	0.12%	0.42%	0.00%	0.00%	0.27%	0.06%	0.56%	0.23%	0.42%	0.00%	0.28%	0.32%	0.27%	0.90%	0.53%	0.58%	0.86%	0.30%	0.23%	0.36%	0.26%	0.43%	0.00%	0.45%	0.35%	0.36%	0.06%	0.15%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	69	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	3	5	1	0	3	0	5	0	1	1	0	1	4	0	8	5	1	2	0	18	0	1	0	0	0	1	0	0	0	1	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.18%	0.05%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.23%	0.07%	0.00%	0.14%	0.00%	0.23%	0.00%	0.09%	0.10%	0.00%	0.06%	0.30%	0.00%	0.42%	0.24%	0.13%	0.30%	0.00%	1.61%	0.00%	0.07%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	327	2	12	7	0	0	4	15	0	4	11	4	6	5	7	14	0	5	0	11	16	0	0	5	2	2	8	5	8	38	2	6	9	7	5	7	6	8	0	6	13	0	1	1	37	0	13	0	3	0	2	0	0	9	1	0	0	0									
		0.43%	0.26%	0.88%	1.09%	0.00%	0.00%	0.19%	2.24%	0.00%	0.85%	0.70%	0.25%	0.24%	0.34%	0.43%	0.71%	0.00%	0.24%	0.00%	0.45%	0.85%	0.00%	0.00%	0.45%	0.12%	0.09%	0.37%	0.35%	0.41%	1.75%	0.11%	0.27%	0.45%	0.62%	0.49%	0.86%	0.37%	0.60%	0.00%	0.32%	0.61%	0.00%	0.15%	0.35%	3.31%	0.00%	0.97%	0.00%	0.81%	0.00%	0.26%	0.00%	0.00%	0.69%	0.05%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4856	73	124	93	136	41	108	82	51	62	97	110	206	139	104	124	112	174	60	156	132	146	83	81	82	86	130	66	105	104	151	130	119	139	126	60	101	80	17	115	127	29	44	28	79	63	81	63	14	22	47	52	12	30	60	0	0	0									
		6.40%	9.63%	9.05%	14.42%	8.01%	2.79%	5.18%	12.26%	7.41%	13.22%	6.16%	6.98%	8.32%	9.32%	6.41%	6.26%	9.37%	8.39%	3.08%	6.35%	6.98%	9.88%	5.76%	7.28%	4.96%	4.00%	6.07%	4.60%	5.44%	4.79%	8.11%	5.86%	5.96%	12.36%	12.26%	7.40%	6.15%	6.02%	3.02%	6.04%	5.99%	3.85%	6.63%	9.93%	7.07%	3.81%	6.04%	4.02%	3.78%	4.10%	6.18%	5.26%	4.01%	2.31%	3.16%	0.00%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	251	9	4	2	36	2	0	4	3	3	3	2	0	4	12	7	0	2	0	7	4	0	0	2	0	2	7	7	10	7	19	8	10	2	2	2	5	4	0	5	12	0	0	0	25	0	13	0	0	0	3	0	0	1	1	0	0	0									
		0.33%	1.19%	0.29%	0.31%	2.12%	0.14%	0.00%	0.60%	0.44%	0.64%	0.19%	0.13%	0.00%	0.27%	0.74%	0.35%	0.00%	0.10%	0.00%	0.29%	0.21%	0.00%	0.00%	0.18%	0.00%	0.09%	0.33%	0.49%	0.52%	0.32%	1.02%	0.36%	0.50%	0.18%	0.19%	0.25%	0.30%	0.30%	0.00%	0.26%	0.57%	0.00%	0.00%	0.00%	2.24%	0.00%	0.97%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.08%	0.05%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3444	48	68	35	31	22	27	33	37	27	77	82	110	41	113	84	51	127	68	127	88	86	79	66	40	88	106	47	99	85	154	86	103	103	113	54	143	42	15	115	110	13	20	10	13	18	70	15	9	20	31	60	24	70	41	0	0	0									
		4.54%	6.33%	4.96%	5.43%	1.83%	1.50%	1.30%	4.93%	5.38%	5.76%	4.89%	5.21%	4.44%	2.75%	6.97%	4.24%	4.27%	6.12%	3.49%	5.17%	4.65%	5.82%	5.48%	5.93%	2.42%	4.09%	4.95%	3.28%	5.13%	3.92%	8.28%	3.88%	5.16%	9.16%	10.99%	6.66%	8.71%	3.16%	2.66%	6.04%	5.20%	1.72%	3.01%	3.55%	1.16%	1.09%	5.22%	0.96%	2.43%	3.72%	4.07%	6.07%	8.03%	5.39%	2.16%	0.00%	0.00%	0.00%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
