Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Уссурийская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1329					
11	Число полученных открепительных  удостоверений	2473	40	20	40	30	10	16	20	27	40	20	21	30	20	20	40	30	47	55	41	30	25	20	25	10	40	30	30	30	25	30	25	30	20	31	40	10	30	40	30	40	40	160	10	20	30	20	10	30	20	10	20	40	30	41	68	15	35	20	30	30	20	50	3	20	20	20	0	0	0	0	10	5	5	14	10	3	5	20	10	5	45	40	10	20	40	38	5	5	5	10	5	5	5	10	15	10	10	5	20	40	33	20	0	20	0	0					
12	Число выданных открепительных удостоверений	1573	16	18	39	28	6	7	17	25	32	13	8	17	10	11	28	27	39	42	24	14	21	14	22	0	34	14	16	30	22	11	13	25	11	25	21	0	20	14	16	22	31	5	6	10	8	12	8	21	5	4	14	22	25	35	18	14	31	5	16	11	14	50	0	17	14	19	0	0	0	0	8	0	5	14	4	1	1	18	10	3	42	38	9	16	21	30	5	5	0	7	0	5	3	8	15	6	6	1	13	34	25	13	0	20	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1825	37	19	85	20	11	13	7	27	12	8	18	8	29	47	17	89	118	19	16	11	17	8	30	5	7	14	5	23	12	12	17	5	16	6	41	5	24	5	13	17	69	5	5	10	8	11	6	10	6	32	10	9	18	11	14	7	14	7	22	23	4	25	41	17	9	18	29	9	3	87	6	4	1	10	15	5	5	8	8	10	13	18	3	13	13	13	7	3	3	5	4	22	7	6	6	9	30	4	9	7	17	33	10	38	17	11					
14	Число неиспользованных открепительных удостоверений	900	24	2	1	2	4	9	3	2	8	7	13	13	10	9	12	3	8	13	17	16	4	6	3	10	6	16	14	0	3	19	12	5	9	6	19	10	10	26	14	18	9	155	4	10	22	8	2	9	15	6	6	18	5	6	50	1	4	15	14	19	6	0	3	3	6	1	0	0	0	0	2	5	0	0	6	2	4	2	0	2	3	2	1	4	19	8	0	0	5	3	5	0	2	2	0	4	4	4	7	6	8	7	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	27	1	0	5	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																	
18	. Глазьев Сергей Юрьевич	3732	61	46	69	70	10	12	58	77	94	15	29	49	36	38	67	79	99	72	79	40	41	31	66	2	31	46	39	61	75	33	73	43	40	79	78	1	60	57	38	85	60	14	24	20	59	28	21	29	52	10	53	59	48	42	47	32	111	38	23	43	44	47	14	59	31	37	10	3	1	9	6	3	11	11	3	5	6	20	10	2	30	67	6	65	43	15	7	4	3	4	0	16	5	7	9	27	13	0	19	68	61	9	7	19	3	1					
		4.19%	5.70%	4.32%	2.65%	5.48%	3.51%	3.60%	6.12%	6.15%	5.66%	2.62%	4.14%	5.03%	3.75%	4.52%	3.90%	5.00%	5.89%	4.72%	4.36%	4.15%	3.67%	3.75%	3.40%	1.00%	2.04%	6.35%	4.07%	3.99%	5.04%	4.00%	5.87%	4.80%	5.06%	7.00%	4.81%	0.82%	4.21%	4.46%	4.26%	4.67%	4.05%	3.32%	4.69%	3.28%	5.60%	3.66%	5.17%	3.96%	6.09%	2.87%	5.66%	5.56%	3.71%	2.11%	5.30%	4.67%	6.25%	5.50%	2.73%	3.75%	5.23%	2.14%	2.26%	4.11%	4.06%	3.77%	3.60%	3.26%	6.25%	1.46%	1.50%	2.50%	4.26%	3.26%	1.61%	2.75%	5.83%	2.66%	3.02%	1.48%	3.00%	3.60%	1.38%	7.10%	3.73%	2.20%	6.09%	4.71%	1.32%	1.61%	0.00%	6.72%	3.82%	5.47%	5.20%	6.91%	2.32%	0.00%	3.10%	3.87%	4.45%	1.82%	2.79%	3.28%	3.19%	1.45%					
19	. Малышкин Олег Александрович	2498	21	54	51	35	19	14	22	28	47	20	12	26	24	25	50	38	51	31	46	17	26	27	33	9	20	20	42	41	34	25	32	19	17	28	45	5	34	37	23	47	45	18	21	16	29	25	20	23	24	9	24	27	48	37	26	9	62	21	33	48	16	52	21	43	22	31	11	3	1	23	9	11	4	6	10	3	3	9	10	5	28	80	16	34	51	24	5	4	5	10	1	6	5	5	5	6	15	4	20	53	34	5	6	21	0	2					
		2.80%	1.96%	5.07%	1.96%	2.74%	6.67%	4.20%	2.32%	2.23%	2.83%	3.49%	1.71%	2.67%	2.50%	2.98%	2.91%	2.41%	3.04%	2.03%	2.54%	1.76%	2.33%	3.26%	1.70%	4.48%	1.32%	2.76%	4.38%	2.69%	2.28%	3.03%	2.57%	2.12%	2.15%	2.48%	2.78%	4.10%	2.39%	2.90%	2.58%	2.58%	3.03%	4.27%	4.10%	2.63%	2.75%	3.26%	4.93%	3.14%	2.81%	2.59%	2.56%	2.54%	3.71%	1.86%	2.93%	1.31%	3.49%	3.04%	3.91%	4.18%	1.90%	2.37%	3.39%	2.99%	2.88%	3.16%	3.96%	3.26%	6.25%	3.73%	2.24%	9.17%	1.55%	1.78%	5.38%	1.65%	2.91%	1.20%	3.02%	3.70%	2.80%	4.30%	3.67%	3.71%	4.42%	3.52%	4.35%	4.71%	2.19%	4.03%	1.19%	2.52%	3.82%	3.91%	2.89%	1.53%	2.68%	3.01%	3.27%	3.02%	2.48%	1.01%	2.39%	3.63%	0.00%	2.90%					
20	. Миронов Сергей Михайлович	743	11	8	26	8	0	5	8	14	22	4	3	9	6	10	7	10	12	11	17	4	10	6	12	1	13	7	2	5	14	12	14	5	8	12	13	3	8	12	13	9	11	7	1	8	10	5	6	10	3	5	16	5	9	10	10	7	13	9	2	9	7	19	6	10	7	12	5	1	0	9	3	0	3	3	1	2	0	5	1	4	4	12	3	9	9	3	1	0	4	2	0	2	3	0	3	10	7	3	5	14	11	3	1	5	1	0					
		0.83%	1.03%	0.75%	1.00%	0.63%	0.00%	1.50%	0.84%	1.12%	1.33%	0.70%	0.43%	0.92%	0.62%	1.19%	0.41%	0.63%	0.71%	0.72%	0.94%	0.41%	0.90%	0.73%	0.62%	0.50%	0.86%	0.97%	0.21%	0.33%	0.94%	1.45%	1.13%	0.56%	1.01%	1.06%	0.80%	2.46%	0.56%	0.94%	1.46%	0.49%	0.74%	1.66%	0.20%	1.31%	0.95%	0.65%	1.48%	1.37%	0.35%	1.44%	1.71%	0.47%	0.69%	0.50%	1.13%	1.02%	0.73%	1.30%	0.24%	0.78%	0.83%	0.87%	0.97%	0.70%	0.92%	1.22%	1.80%	1.09%	0.00%	1.46%	0.75%	0.00%	1.16%	0.89%	0.54%	1.10%	0.00%	0.66%	0.30%	2.96%	0.40%	0.65%	0.69%	0.98%	0.78%	0.44%	0.87%	0.00%	1.75%	0.81%	0.00%	0.84%	2.29%	0.00%	1.73%	2.56%	1.25%	2.26%	0.82%	0.80%	0.80%	0.61%	0.40%	0.86%	1.06%	0.00%					
21	. Путин Владимир Владимирович	56882	672	700	1937	768	184	196	552	656	897	329	431	630	616	486	1052	945	968	970	1121	519	606	490	1484	142	1234	397	541	1065	791	481	667	521	466	688	996	78	900	746	546	1102	928	254	307	396	608	494	267	462	505	200	543	649	803	1673	506	391	1083	414	530	729	517	1645	480	841	462	574	162	54	10	431	309	74	220	246	151	138	48	578	246	83	696	1268	302	509	723	466	81	49	153	189	70	161	74	73	99	222	460	87	411	1271	833	385	207	386	65	61					
		63.85%	62.80%	65.73%	74.44%	60.14%	64.56%	58.86%	58.29%	52.35%	54.04%	57.42%	61.57%	64.68%	64.17%	57.86%	61.20%	59.81%	57.62%	63.61%	61.93%	53.78%	54.30%	59.25%	76.46%	70.65%	81.24%	54.83%	56.47%	69.74%	53.16%	58.30%	53.62%	58.15%	58.91%	60.94%	61.44%	63.93%	63.20%	58.37%	61.14%	60.48%	62.58%	60.19%	59.96%	65.02%	57.74%	64.49%	65.76%	63.11%	59.13%	57.47%	58.01%	61.17%	62.01%	84.03%	57.05%	57.08%	61.01%	59.91%	62.80%	63.56%	61.47%	74.98%	77.54%	58.57%	60.47%	58.51%	58.27%	58.70%	62.50%	69.97%	77.06%	61.67%	85.27%	73.00%	81.18%	75.82%	46.60%	76.86%	74.32%	61.48%	69.67%	68.21%	69.27%	55.57%	62.65%	68.43%	70.43%	57.65%	67.11%	76.21%	83.33%	67.65%	56.49%	57.03%	57.23%	56.78%	82.14%	65.41%	67.16%	72.42%	60.76%	77.94%	82.47%	66.67%	69.15%	88.41%					
22	. Хакамада Ирина Муцуовна	4557	57	53	103	85	15	22	57	95	96	28	37	60	72	54	104	108	99	69	139	45	63	66	67	4	42	57	48	66	117	50	77	56	41	65	115	11	91	60	50	98	79	15	24	35	52	33	20	49	37	18	61	40	62	57	58	45	100	32	45	41	31	101	31	78	42	49	9	3	3	23	2	2	2	10	3	7	4	22	10	6	48	81	15	46	34	28	3	1	15	6	3	4	3	5	13	22	20	5	16	61	72	21	8	40	3	1					
		5.12%	5.33%	4.98%	3.96%	6.66%	5.26%	6.61%	6.02%	7.58%	5.78%	4.89%	5.29%	6.16%	7.50%	6.43%	6.05%	6.84%	5.89%	4.52%	7.68%	4.66%	5.65%	7.98%	3.45%	1.99%	2.76%	7.87%	5.01%	4.32%	7.86%	6.06%	6.19%	6.25%	5.18%	5.76%	7.09%	9.02%	6.39%	4.69%	5.60%	5.38%	5.33%	3.55%	4.69%	5.75%	4.94%	4.31%	4.93%	6.69%	4.33%	5.17%	6.52%	3.77%	4.79%	2.86%	6.54%	6.57%	5.63%	4.63%	5.33%	3.57%	3.69%	4.60%	5.01%	5.43%	5.50%	4.99%	3.24%	3.26%	18.75%	3.73%	0.50%	1.67%	0.78%	2.97%	1.61%	3.85%	3.88%	2.93%	3.02%	4.44%	4.80%	4.36%	3.44%	5.02%	2.95%	4.11%	2.61%	1.18%	6.58%	2.42%	3.57%	1.68%	2.29%	3.91%	7.51%	5.63%	3.57%	3.76%	2.61%	3.48%	5.25%	4.25%	3.19%	6.91%	3.19%	1.45%					
23	. Харитонов Николай Михайлович	14874	176	120	260	237	33	51	180	318	395	135	146	132	140	166	297	304	337	251	287	229	303	159	190	24	108	161	210	190	352	169	282	199	157	162	260	13	239	272	181	362	222	78	102	98	229	137	51	111	174	84	175	215	246	98	186	162	318	147	132	217	180	188	39	340	142	212	59	19	1	9	52	25	12	52	12	21	37	76	42	23	141	257	69	176	222	110	15	24	35	25	5	28	36	30	25	81	17	25	101	177	279	26	7	46	4	3					
		16.70%	16.45%	11.27%	9.99%	18.56%	11.58%	15.32%	19.01%	25.38%	23.80%	23.56%	20.86%	13.55%	14.58%	19.76%	17.28%	19.24%	20.06%	16.46%	15.86%	23.73%	27.15%	19.23%	9.79%	11.94%	7.11%	22.24%	21.92%	12.44%	23.66%	20.48%	22.67%	22.21%	19.85%	14.35%	16.04%	10.66%	16.78%	21.28%	20.27%	19.87%	14.97%	18.48%	19.92%	16.09%	21.75%	17.89%	12.56%	15.16%	20.37%	24.14%	18.70%	20.26%	19.00%	4.92%	20.97%	23.65%	17.92%	21.27%	15.64%	18.92%	21.40%	8.57%	6.30%	23.68%	18.59%	21.61%	21.22%	20.65%	6.25%	1.46%	12.97%	20.83%	4.65%	15.43%	6.45%	11.54%	35.92%	10.11%	12.69%	17.04%	14.11%	13.82%	15.83%	19.21%	19.24%	16.15%	13.04%	28.24%	15.35%	10.08%	5.95%	11.76%	27.48%	23.44%	14.45%	20.72%	3.04%	18.80%	16.50%	10.09%	20.35%	5.26%	2.79%	7.94%	4.26%	4.35%					
																																																																																																																	
24	Против всех	4697	61	72	131	65	16	25	59	58	99	33	41	60	50	53	117	80	88	110	113	50	56	37	78	12	57	30	58	84	92	51	85	46	50	82	99	4	76	79	32	99	122	26	25	30	49	36	20	32	39	17	59	54	67	61	49	32	71	19	56	50	33	124	24	63	44	41	19	9	0	94	6	2	3	8	6	3	4	25	9	8	32	69	13	62	48	25	3	3	8	10	1	10	5	7	13	19	18	2	28	89	68	44	15	60	18	0					
		5.27%	5.70%	6.76%	5.03%	5.09%	5.61%	7.51%	6.23%	4.63%	5.96%	5.76%	5.86%	6.16%	5.21%	6.31%	6.81%	5.06%	5.24%	7.21%	6.24%	5.18%	5.02%	4.47%	4.02%	5.97%	3.75%	4.14%	6.05%	5.50%	6.18%	6.18%	6.83%	5.13%	6.32%	7.26%	6.11%	3.28%	5.34%	6.18%	3.58%	5.43%	8.23%	6.16%	4.88%	4.93%	4.65%	4.70%	4.93%	4.37%	4.57%	4.89%	6.30%	5.09%	5.17%	3.06%	5.52%	4.67%	4.00%	2.75%	6.64%	4.36%	3.92%	5.65%	3.88%	4.39%	5.76%	4.18%	6.83%	9.78%	0.00%	15.26%	1.50%	1.67%	1.16%	2.37%	3.23%	1.65%	3.88%	3.32%	2.72%	5.93%	3.20%	3.71%	2.98%	6.77%	4.16%	3.67%	2.61%	3.53%	3.51%	4.03%	1.19%	4.20%	3.82%	5.47%	7.51%	4.86%	3.21%	1.50%	4.58%	5.07%	4.96%	8.91%	5.98%	10.36%	19.15%	0.00%					
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
