Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Беговой 																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №3636	УИК №3637	УИК №3638									
		3.90%	4.38%	2.31%	4.78%	4.74%	3.23%	3.51%	3.87%	3.78%	3.92%	3.50%	4.83%	3.36%	3.03%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	141	10	18	12	12	4	3	14	11	16	13	15	7	6	0									
		1.63%	1.10%	2.31%	1.74%	1.46%	0.56%	0.88%	2.09%	1.49%	2.09%	1.82%	1.61%	1.57%	6.06%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	239	19	18	18	21	20	10	32	23	22	18	16	16	4	2									
		2.76%	2.08%	2.31%	2.60%	2.55%	2.81%	2.92%	4.77%	3.11%	2.88%	2.52%	1.72%	3.58%	4.04%	10.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2589	259	225	207	185	218	90	205	201	201	205	345	195	46	7									
		29.94%	28.37%	28.92%	29.96%	22.48%	30.58%	26.32%	30.55%	27.16%	26.27%	28.71%	37.06%	43.62%	46.46%	36.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	159	16	26	18	8	19	8	9	11	17	12	7	6	1	1									
		1.84%	1.75%	3.34%	2.60%	0.97%	2.66%	2.34%	1.34%	1.49%	2.22%	1.68%	0.75%	1.34%	1.01%	5.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	1	4	7	4	4	3	3	1	5	0	3	0	0	0									
		0.40%	0.11%	0.51%	1.01%	0.49%	0.56%	0.88%	0.45%	0.14%	0.65%	0.00%	0.32%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	981	78	91	82	81	95	43	75	84	86	69	104	81	8	4									
		11.35%	8.54%	11.70%	11.87%	9.84%	13.32%	12.57%	11.18%	11.35%	11.24%	9.66%	11.17%	18.12%	8.08%	21.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	276	33	28	24	29	21	7	23	23	28	27	26	7	0	0									
		3.19%	3.61%	3.60%	3.47%	3.52%	2.95%	2.05%	3.43%	3.11%	3.66%	3.78%	2.79%	1.57%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	432	60	40	31	47	30	17	41	40	45	30	36	10	5	0									
		4.99%	6.57%	5.14%	4.49%	5.71%	4.21%	4.97%	6.11%	5.41%	5.88%	4.20%	3.87%	2.24%	5.05%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	1	2	2	3	3	1	3	2	1	6	3	0	0	0									
		0.31%	0.11%	0.26%	0.29%	0.36%	0.42%	0.29%	0.45%	0.27%	0.13%	0.84%	0.32%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1379	161	132	115	190	95	64	90	126	139	111	132	21	3	0									
		15.95%	17.63%	16.97%	16.64%	23.09%	13.32%	18.71%	13.41%	17.03%	18.17%	15.55%	14.18%	4.70%	3.03%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1166	139	99	76	123	92	43	65	125	99	127	118	44	14	2									
		13.49%	15.22%	12.72%	10.99%	14.95%	12.90%	12.57%	9.69%	16.89%	12.94%	17.79%	12.67%	9.84%	14.14%	10.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	6	5	1	3	5	0	5	6	0	4	7	1	1	0									
		0.51%	0.66%	0.64%	0.14%	0.36%	0.70%	0.00%	0.75%	0.81%	0.00%	0.56%	0.75%	0.22%	1.01%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	710	74	65	54	73	65	30	65	57	70	59	60	31	6	1									
		8.21%	8.11%	8.35%	7.81%	8.87%	9.12%	8.77%	9.69%	7.70%	9.15%	8.26%	6.44%	6.94%	6.06%	5.26%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
