Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Троицкий административный округ																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3433									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	930	17	24	19	19	11	13	25	10	21	14	15	18	7	15	35	35	14	11	11	31	21	14	23	22	30	22	30	29	16	20	32	38	32	16	34	43	37	30	21	23	23	7	2									
		2.66%	1.51%	2.24%	1.46%	2.03%	1.02%	1.32%	1.87%	3.02%	3.12%	1.74%	1.80%	2.11%	2.87%	1.42%	3.79%	4.12%	2.73%	2.52%	2.13%	3.68%	1.65%	2.45%	3.28%	2.57%	3.55%	2.61%	3.93%	3.64%	3.66%	2.85%	4.04%	4.44%	3.30%	2.47%	3.43%	3.91%	3.62%	3.88%	2.77%	2.72%	3.03%	1.32%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	832	32	37	41	15	26	24	24	10	17	17	22	21	7	25	22	23	15	9	13	11	37	12	8	12	24	28	20	18	11	12	18	17	26	20	30	25	20	14	19	12	21	6	11									
		2.38%	2.85%	3.46%	3.15%	1.60%	2.41%	2.44%	1.80%	3.02%	2.52%	2.11%	2.64%	2.46%	2.87%	2.36%	2.38%	2.71%	2.93%	2.06%	2.51%	1.31%	2.91%	2.10%	1.14%	1.40%	2.84%	3.32%	2.62%	2.26%	2.52%	1.71%	2.27%	1.99%	2.68%	3.08%	3.03%	2.27%	1.96%	1.81%	2.51%	1.42%	2.76%	1.13%	2.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	971	29	44	37	25	31	24	35	5	18	31	31	26	0	19	21	13	14	12	24	14	25	19	23	27	21	24	24	19	14	21	14	27	23	36	23	28	33	12	23	39	22	16	5									
		2.78%	2.58%	4.11%	2.84%	2.67%	2.87%	2.44%	2.62%	1.51%	2.67%	3.85%	3.72%	3.04%	0.00%	1.79%	2.27%	1.53%	2.73%	2.75%	4.64%	1.66%	1.96%	3.32%	3.28%	3.16%	2.48%	2.84%	3.15%	2.39%	3.20%	2.99%	1.77%	3.16%	2.37%	5.55%	2.32%	2.54%	3.23%	1.55%	3.03%	4.60%	2.89%	3.01%	1.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16031	538	497	603	516	538	513	741	168	317	397	390	407	148	602	482	379	256	208	230	437	671	273	307	389	330	318	311	293	171	282	267	309	369	238	374	395	424	278	364	412	383	300	206									
		45.88%	47.86%	46.45%	46.35%	55.13%	49.77%	52.19%	55.42%	50.76%	47.03%	49.32%	46.82%	47.66%	60.66%	56.85%	52.16%	44.59%	50.00%	47.60%	44.49%	51.90%	52.71%	47.73%	43.73%	45.50%	39.01%	37.68%	40.76%	36.81%	39.13%	40.23%	33.67%	36.14%	38.08%	36.67%	37.78%	35.88%	41.45%	35.92%	48.02%	48.64%	50.39%	56.50%	53.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	454	14	11	15	7	8	6	8	9	4	12	8	9	1	14	6	6	3	2	10	17	19	9	8	18	12	9	7	13	6	15	15	16	18	8	15	20	23	18	10	9	6	7	3									
		1.30%	1.25%	1.03%	1.15%	0.75%	0.74%	0.61%	0.60%	2.72%	0.59%	1.49%	0.96%	1.05%	0.41%	1.32%	0.65%	0.71%	0.59%	0.46%	1.93%	2.02%	1.49%	1.57%	1.14%	2.11%	1.42%	1.07%	0.92%	1.63%	1.37%	2.14%	1.89%	1.87%	1.86%	1.23%	1.52%	1.82%	2.25%	2.33%	1.32%	1.06%	0.79%	1.32%	0.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	108	5	6	5	3	2	1	1	1	3	0	1	2	0	5	2	3	2	0	1	2	2	3	0	4	4	2	2	0	2	7	7	1	5	0	5	4	1	3	2	4	1	3	1									
		0.31%	0.44%	0.56%	0.38%	0.32%	0.19%	0.10%	0.07%	0.30%	0.45%	0.00%	0.12%	0.23%	0.00%	0.47%	0.22%	0.35%	0.39%	0.00%	0.19%	0.24%	0.16%	0.52%	0.00%	0.47%	0.47%	0.24%	0.26%	0.00%	0.46%	0.99%	0.88%	0.12%	0.52%	0.00%	0.51%	0.36%	0.10%	0.39%	0.26%	0.47%	0.13%	0.56%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5233	203	179	268	135	199	163	240	52	109	143	170	142	51	145	149	142	71	77	87	99	180	75	100	114	119	108	125	113	61	88	79	111	97	70	127	123	112	61	146	132	115	76	77									
		14.98%	18.06%	16.73%	20.60%	14.42%	18.41%	16.58%	17.95%	15.71%	16.17%	17.76%	20.41%	16.63%	20.90%	13.69%	16.13%	16.71%	13.87%	17.62%	16.83%	11.76%	14.14%	13.11%	14.25%	13.33%	14.07%	12.80%	16.38%	14.20%	13.96%	12.55%	9.96%	12.98%	10.01%	10.79%	12.83%	11.17%	10.95%	7.88%	19.26%	15.58%	15.13%	14.31%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	541	11	12	14	12	15	7	12	8	8	8	9	10	8	14	12	14	6	4	9	14	7	9	16	23	17	15	10	19	10	15	31	13	23	17	24	18	19	22	1	9	5	8	3									
		1.55%	0.98%	1.12%	1.08%	1.28%	1.39%	0.71%	0.90%	2.42%	1.19%	0.99%	1.08%	1.17%	3.28%	1.32%	1.30%	1.65%	1.17%	0.92%	1.74%	1.66%	0.55%	1.57%	2.28%	2.69%	2.01%	1.78%	1.31%	2.39%	2.29%	2.14%	3.91%	1.52%	2.37%	2.62%	2.42%	1.63%	1.86%	2.84%	0.13%	1.06%	0.66%	1.51%	0.78%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1285	14	16	16	17	16	21	17	12	19	22	13	21	7	13	14	26	18	12	13	36	14	39	33	49	50	44	26	47	23	41	53	64	62	49	68	87	54	76	13	13	14	11	12									
		3.68%	1.25%	1.50%	1.23%	1.82%	1.48%	2.14%	1.27%	3.63%	2.82%	2.73%	1.56%	2.46%	2.87%	1.23%	1.52%	3.06%	3.52%	2.75%	2.51%	4.28%	1.10%	6.82%	4.70%	5.73%	5.91%	5.21%	3.41%	5.90%	5.26%	5.85%	6.68%	7.49%	6.40%	7.55%	6.87%	7.90%	5.28%	9.82%	1.72%	1.53%	1.84%	2.07%	3.12%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	62	0	4	4	2	2	2	3	0	0	1	2	0	0	1	2	0	0	0	0	1	1	3	1	0	5	3	0	2	2	0	2	1	4	3	2	2	2	1	0	0	1	3	0									
		0.18%	0.00%	0.37%	0.31%	0.21%	0.19%	0.20%	0.22%	0.00%	0.00%	0.12%	0.24%	0.00%	0.00%	0.09%	0.22%	0.00%	0.00%	0.00%	0.00%	0.12%	0.08%	0.52%	0.14%	0.00%	0.59%	0.36%	0.00%	0.25%	0.46%	0.00%	0.25%	0.12%	0.41%	0.46%	0.20%	0.18%	0.20%	0.13%	0.00%	0.00%	0.13%	0.56%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1477	42	29	30	17	13	11	19	11	28	19	18	26	5	12	26	49	12	5	10	57	12	35	39	46	58	61	30	55	32	41	78	73	63	47	78	74	72	79	7	28	14	4	12									
		4.23%	3.74%	2.71%	2.31%	1.82%	1.20%	1.12%	1.42%	3.32%	4.15%	2.36%	2.16%	3.04%	2.05%	1.13%	2.81%	5.76%	2.34%	1.14%	1.93%	6.77%	0.94%	6.12%	5.56%	5.38%	6.86%	7.23%	3.93%	6.91%	7.32%	5.85%	9.84%	8.54%	6.50%	7.24%	7.88%	6.72%	7.04%	10.21%	0.92%	3.31%	1.84%	0.75%	3.12%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4822	138	150	175	115	151	150	146	33	87	96	93	117	1	140	101	104	84	65	74	73	185	52	102	107	121	148	118	132	68	106	137	136	157	110	159	199	164	119	95	111	108	56	39									
		13.80%	12.28%	14.02%	13.45%	12.29%	13.97%	15.26%	10.92%	9.97%	12.91%	11.93%	11.16%	13.70%	0.41%	13.22%	10.93%	12.24%	16.41%	14.87%	14.31%	8.67%	14.53%	9.09%	14.53%	12.51%	14.30%	17.54%	15.47%	16.58%	15.56%	15.12%	17.28%	15.91%	16.20%	16.95%	16.06%	18.07%	16.03%	15.37%	12.53%	13.11%	14.21%	10.55%	10.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	176	9	8	3	4	4	4	2	0	2	3	6	7	1	5	4	6	1	0	4	5	5	5	3	4	4	6	6	1	2	2	8	6	3	4	5	3	5	6	6	8	3	2	1									
		0.50%	0.80%	0.75%	0.23%	0.43%	0.37%	0.41%	0.15%	0.00%	0.30%	0.37%	0.72%	0.82%	0.41%	0.47%	0.43%	0.71%	0.20%	0.00%	0.77%	0.59%	0.39%	0.87%	0.43%	0.47%	0.47%	0.71%	0.79%	0.13%	0.46%	0.29%	1.01%	0.70%	0.31%	0.62%	0.51%	0.27%	0.49%	0.78%	0.79%	0.94%	0.39%	0.38%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1238	32	35	42	23	32	23	38	4	23	32	30	24	7	22	34	25	10	19	25	28	49	16	27	21	33	43	30	41	15	41	41	27	59	16	29	57	41	43	27	24	23	17	10									
		3.54%	2.85%	3.27%	3.23%	2.46%	2.96%	2.34%	2.84%	1.21%	3.41%	3.98%	3.60%	2.81%	2.87%	2.08%	3.68%	2.94%	1.95%	4.35%	4.84%	3.33%	3.85%	2.80%	3.85%	2.46%	3.90%	5.09%	3.93%	5.15%	3.43%	5.85%	5.17%	3.16%	6.09%	2.47%	2.93%	5.18%	4.01%	5.56%	3.56%	2.83%	3.03%	3.20%	2.60%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
