Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Предгорная																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	550	18	19	10	19	18	18	19	19	18	19	6	9	5	18	18	18	9	6	11	10	5	4	4	19	14	15	10	11	7	19	10	8	5	4	7	8	10	9	15	19	15	15	16	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	170	3	6	2	4	3	3	7	5	3	2	0	3	1	18	4	12	4	2	3	2	0	0	3	7	1	3	1	3	0	30	1	0	0	0	1	1	6	0	3	7	0	3	10	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	5	4	1	1	0	0	2	4	2	2	1	0	1	4	3	6	0	1	1	1	0	1	0	2	0	1	2	0	0	0	0	0	0	2	0	0	3	0	1	2	0	0	0	1					
14	Число погашенных открепительных удостоверений	407	15	13	8	15	15	15	12	14	15	17	6	6	4	0	14	6	5	4	8	8	5	4	1	12	13	12	9	8	7	16	9	8	5	4	6	7	4	9	12	12	15	12	6	11					
15	Число открепительных удостоверений выданных ТИК	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	444	24	11	3	20	23	14	9	9	9	15	6	6	9	16	11	5	6	6	28	5	5	5	2	7	17	6	17	4	5	10	11	3	4	2	16	6	7	10	7	33	12	6	8	6					
		1.37%	2.04%	0.81%	0.52%	1.61%	1.90%	1.65%	0.75%	0.77%	0.97%	1.41%	1.66%	1.08%	4.01%	1.15%	0.75%	0.35%	0.84%	1.24%	2.98%	0.61%	2.67%	3.70%	1.53%	0.54%	1.84%	0.78%	3.4%	0.64%	1.50%	1.10%	2.33%	0.76%	2.96%	3.33%	5.12%	1.86%	1.68%	2.68%	0.90%	2.62%	1.55%	1.18%	0.74%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	352	5	25	3	18	14	8	25	18	5	12	3	10	0	10	13	6	14	1	15	4	3	5	0	7	5	12	16	7	4	5	11	6	0	2	1	2	3	3	5	18	4	5	14	5					
		1.09%	0.42%	1.85%	0.52%	1.45%	1.16%	0.94%	2.10%	1.54%	0.53%	1.12%	0.83%	1.80%	0.0%	0.72%	0.89%	0.42%	1.98%	0.20%	1.60%	0.49%	1.60%	3.70%	0.0%	0.54%	0.54%	1.57%	3.2%	1.12%	1.20%	0.55%	2.33%	1.53%	0.0%	3.33%	0.32%	0.62%	0.72%	0.80%	0.64%	1.43%	0.51%	0.99%	1.30%	0.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1520	37	67	25	47	55	32	55	41	34	33	18	10	3	62	42	71	31	10	15	25	5	8	3	87	43	39	17	249	14	21	16	20	9	2	12	18	17	17	38	57	40	14	40	21					
		4.70%	3.15%	4.97%	4.34%	3.79%	4.56%	3.79%	4.62%	3.52%	3.66%	3.10%	4.98%	1.80%	1.33%	4.47%	2.89%	5.08%	4.38%	2.07%	1.60%	3.08%	2.67%	5.92%	2.30%	6.79%	4.67%	5.10%	3.4%	39.96%	4.21%	2.32%	3.38%	5.11%	6.66%	3.33%	3.84%	5.59%	4.09%	4.56%	4.90%	4.53%	5.18%	2.77%	3.73%	3.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	537	6	24	15	29	27	26	37	42	17	28	2	9	8	23	12	21	13	4	14	9	4	0	2	29	9	18	5	2	1	8	7	1	1	0	3	4	2	5	9	14	13	10	18	6					
		1.66%	0.51%	1.78%	2.60%	2.34%	2.24%	3.08%	3.11%	3.61%	1.83%	2.63%	0.55%	1.62%	3.57%	1.65%	0.82%	1.50%	1.83%	0.82%	1.49%	1.10%	2.13%	0.0%	1.53%	2.26%	0.97%	2.35%	1.0%	0.32%	0.30%	0.88%	1.48%	0.25%	0.74%	0.0%	0.96%	1.24%	0.48%	1.34%	1.16%	1.11%	1.68%	1.98%	1.68%	0.97%					
22	"5. ""За Русь Святую"""	178	9	7	2	5	14	3	8	7	4	9	1	1	2	8	4	15	1	0	6	10	3	2	0	7	12	5	0	1	0	2	0	4	0	0	4	3	2	1	0	6	3	1	4	2					
		0.55%	0.76%	0.52%	0.34%	0.40%	1.16%	0.35%	0.67%	0.60%	0.43%	0.84%	0.27%	0.18%	0.89%	0.57%	0.27%	1.07%	0.14%	0.0%	0.64%	1.23%	1.60%	1.48%	0.0%	0.54%	1.30%	0.65%	0.0%	0.16%	0.0%	0.22%	0.0%	1.02%	0.0%	0.0%	1.28%	0.93%	0.48%	0.26%	0.0%	0.47%	0.38%	0.19%	0.37%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	79	2	4	2	2	2	4	0	2	2	1	1	2	0	0	2	5	1	2	2	2	1	0	3	5	2	0	1	0	1	9	1	1	0	1	3	1	2	0	2	0	1	2	3	2					
		0.24%	0.17%	0.29%	0.34%	0.16%	0.16%	0.47%	0.0%	0.17%	0.21%	0.09%	0.27%	0.36%	0.0%	0.0%	0.13%	0.35%	0.14%	0.41%	0.21%	0.24%	0.53%	0.0%	2.30%	0.39%	0.21%	0.0%	0.2%	0.0%	0.30%	0.99%	0.21%	0.25%	0.0%	1.66%	0.96%	0.31%	0.48%	0.0%	0.25%	0.0%	0.12%	0.39%	0.28%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	213	7	8	4	9	11	4	6	14	9	8	1	2	1	18	13	11	6	2	10	3	0	0	0	10	5	10	1	0	1	0	1	2	0	0	2	1	0	2	4	13	5	1	3	5					
		0.65%	0.59%	0.59%	0.69%	0.72%	0.91%	0.47%	0.50%	1.20%	0.97%	0.75%	0.27%	0.36%	0.44%	1.29%	0.89%	0.78%	0.84%	0.41%	1.06%	0.36%	0.0%	0.0%	0.0%	0.78%	0.54%	1.30%	0.2%	0.0%	0.30%	0.0%	0.21%	0.51%	0.0%	0.0%	0.64%	0.31%	0.0%	0.53%	0.51%	1.03%	0.64%	0.19%	0.28%	0.81%					
25	"8. ""Народно-республиканская партия России"""	34	2	3	0	0	0	3	1	0	0	1	0	1	0	0	1	2	1	0	3	0	1	0	0	1	0	1	1	0	1	0	1	1	0	2	0	1	1	0	0	0	2	0	1	2					
		0.10%	0.17%	0.22%	0.0%	0.0%	0.0%	0.35%	0.08%	0.0%	0.0%	0.09%	0.0%	0.18%	0.0%	0.0%	0.06%	0.14%	0.14%	0.0%	0.32%	0.0%	0.53%	0.0%	0.0%	0.07%	0.0%	0.13%	0.2%	0.0%	0.30%	0.0%	0.21%	0.25%	0.0%	3.33%	0.0%	0.31%	0.24%	0.0%	0.0%	0.0%	0.25%	0.0%	0.09%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	70	3	4	1	6	11	8	4	0	0	2	0	0	0	5	3	7	1	2	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	3					
		0.21%	0.25%	0.29%	0.17%	0.48%	0.91%	0.94%	0.33%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.36%	0.20%	0.50%	0.14%	0.41%	0.0%	0.0%	1.06%	0.74%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.23%	0.12%	0.0%	0.0%	0.48%					
27	"10. ""Аграрная партия России"""	1315	154	49	20	46	29	11	24	33	55	25	33	6	3	33	123	22	36	28	29	16	9	2	25	35	46	24	10	2	11	16	13	5	2	4	33	27	21	20	72	67	29	18	29	20					
		4.07%	13.12%	3.64%	3.47%	3.71%	2.40%	1.30%	2.01%	2.83%	5.93%	2.35%	9.14%	1.08%	1.33%	2.38%	8.46%	1.57%	5.09%	5.80%	3.09%	1.97%	4.81%	1.48%	19.23%	2.73%	4.99%	3.14%	2.0%	0.32%	3.31%	1.76%	2.75%	1.27%	1.48%	6.66%	10.57%	8.38%	5.06%	5.37%	9.29%	5.33%	3.75%	3.56%	2.70%	3.26%					
28	"11. ""Истинные патриоты России"""	121	3	5	1	0	2	2	0	2	1	2	0	61	0	10	0	6	0	2	0	0	1	1	0	0	0	2	1	1	0	0	0	0	0	7	1	0	0	1	2	4	1	0	1	1					
		0.37%	0.25%	0.37%	0.17%	0.0%	0.16%	0.23%	0.0%	0.17%	0.10%	0.18%	0.0%	10.99%	0.0%	0.72%	0.0%	0.42%	0.0%	0.41%	0.0%	0.0%	0.53%	0.74%	0.0%	0.0%	0.0%	0.26%	0.2%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	11.66%	0.32%	0.0%	0.0%	0.26%	0.25%	0.31%	0.12%	0.0%	0.09%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	274	7	14	9	14	13	4	7	8	8	7	7	1	2	13	10	11	4	9	4	9	2	3	1	13	4	4	3	13	2	3	5	2	1	2	3	3	5	4	4	12	4	7	8	5					
		0.84%	0.59%	1.04%	1.56%	1.13%	1.07%	0.47%	0.58%	0.68%	0.86%	0.65%	1.93%	0.18%	0.89%	0.93%	0.68%	0.78%	0.56%	1.86%	0.42%	1.10%	1.06%	2.22%	0.76%	1.01%	0.43%	0.52%	0.6%	2.08%	0.60%	0.33%	1.05%	0.51%	0.74%	3.33%	0.96%	0.93%	1.20%	1.07%	0.51%	0.95%	0.51%	1.38%	0.74%	0.81%					
30	"13. ""Демократическая партия России"""	120	7	7	4	1	3	3	6	3	1	7	2	1	2	1	12	2	0	1	2	2	2	0	0	9	3	0	16	4	0	0	2	1	0	0	0	1	0	0	3	4	1	0	3	4					
		0.37%	0.59%	0.52%	0.69%	0.08%	0.24%	0.35%	0.50%	0.25%	0.10%	0.65%	0.55%	0.18%	0.89%	0.07%	0.82%	0.14%	0.0%	0.20%	0.21%	0.24%	1.06%	0.0%	0.0%	0.70%	0.32%	0.0%	3.2%	0.64%	0.0%	0.0%	0.42%	0.25%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.38%	0.31%	0.12%	0.0%	0.28%	0.65%					
31	"14. ""Великая Россия - Евразийский Союз"""	77	4	1	0	9	0	2	1	1	0	0	2	20	0	1	3	2	2	0	0	0	1	0	1	2	2	1	1	2	2	0	3	5	0	0	0	0	1	3	0	1	1	0	3	0					
		0.23%	0.34%	0.07%	0.0%	0.72%	0.0%	0.23%	0.08%	0.08%	0.0%	0.0%	0.55%	3.60%	0.0%	0.07%	0.20%	0.14%	0.28%	0.0%	0.0%	0.0%	0.53%	0.0%	0.76%	0.15%	0.21%	0.13%	0.2%	0.32%	0.60%	0.0%	0.63%	1.27%	0.0%	0.0%	0.0%	0.0%	0.24%	0.80%	0.0%	0.07%	0.12%	0.0%	0.28%	0.0%					
32	"15. ""Партия СЛОН"""	44	3	3	1	3	0	3	0	4	2	1	0	0	0	2	2	1	1	1	1	1	0	0	0	2	0	0	1	1	0	0	1	0	0	0	1	0	1	2	2	1	2	0	0	1					
		0.13%	0.25%	0.22%	0.17%	0.24%	0.0%	0.35%	0.0%	0.34%	0.21%	0.09%	0.0%	0.0%	0.0%	0.14%	0.13%	0.07%	0.14%	0.20%	0.10%	0.12%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.2%	0.16%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.32%	0.0%	0.24%	0.53%	0.25%	0.07%	0.25%	0.0%	0.0%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2542	52	90	59	94	117	74	125	131	106	99	16	25	17	146	99	117	58	19	66	49	6	9	15	149	69	52	19	25	8	35	27	21	5	2	20	33	14	15	65	114	78	59	103	40					
		7.87%	4.43%	6.68%	10.24%	7.59%	9.70%	8.76%	10.51%	11.27%	11.43%	9.31%	4.43%	4.50%	7.58%	10.53%	6.81%	8.37%	8.20%	3.94%	7.04%	6.04%	3.20%	6.66%	11.53%	11.63%	7.49%	6.80%	3.8%	4.01%	2.40%	3.87%	5.72%	5.37%	3.70%	3.33%	6.41%	10.24%	3.37%	4.03%	8.38%	9.06%	10.10%	11.68%	9.61%	6.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	105	3	5	1	2	1	3	2	4	0	1	2	3	1	2	5	5	1	1	1	4	5	0	1	1	2	3	3	1	2	7	8	1	2	0	3	0	4	4	4	4	1	0	1	1					
		0.32%	0.25%	0.37%	0.17%	0.16%	0.08%	0.35%	0.16%	0.34%	0.0%	0.09%	0.55%	0.54%	0.44%	0.14%	0.34%	0.35%	0.14%	0.20%	0.10%	0.49%	2.67%	0.0%	0.76%	0.07%	0.21%	0.39%	0.6%	0.16%	0.60%	0.77%	1.69%	0.25%	1.48%	0.0%	0.96%	0.0%	0.96%	1.07%	0.51%	0.31%	0.12%	0.0%	0.09%	0.16%					
35	"18. ""ЛДПР"""	5491	198	288	88	247	207	127	179	187	143	158	53	13	36	220	332	266	132	49	216	128	27	14	28	230	215	132	56	53	81	95	28	57	18	6	59	43	44	78	146	221	136	72	250	135					
		17.00%	16.87%	21.39%	15.27%	19.96%	17.17%	15.04%	15.05%	16.09%	15.42%	14.86%	14.68%	2.34%	16.07%	15.87%	22.84%	19.04%	18.67%	10.16%	23.05%	15.78%	14.43%	10.37%	21.53%	17.95%	23.36%	17.27%	11.2%	8.50%	24.39%	10.50%	5.93%	14.57%	13.33%	10.0%	18.91%	13.35%	10.60%	20.96%	18.83%	17.58%	17.61%	14.25%	23.34%	22.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	579	29	28	14	23	19	10	20	18	25	40	5	8	3	27	23	18	11	7	14	7	6	2	1	14	11	15	14	4	1	23	5	17	1	4	10	3	14	3	16	24	12	8	13	9					
		1.79%	2.47%	2.08%	2.43%	1.85%	1.57%	1.18%	1.68%	1.54%	2.69%	3.76%	1.38%	1.44%	1.33%	1.94%	1.58%	1.28%	1.55%	1.45%	1.49%	0.86%	3.20%	1.48%	0.76%	1.09%	1.19%	1.96%	2.8%	0.64%	0.30%	2.54%	1.05%	4.34%	0.74%	6.66%	3.20%	0.93%	3.37%	0.80%	2.06%	1.90%	1.55%	1.58%	1.21%	1.46%					
37	"20. ""Политическая партия ""Единая Россия"""	11556	405	449	222	436	428	306	446	432	304	350	127	295	112	439	492	562	250	160	328	335	71	60	31	437	333	247	210	129	132	379	172	127	48	21	110	122	170	126	247	457	270	184	388	207					
		35.79%	34.52%	33.35%	38.54%	35.24%	35.51%	36.25%	37.51%	37.17%	32.79%	32.92%	35.18%	53.15%	49.99%	31.67%	33.86%	40.22%	35.36%	33.19%	35.00%	41.30%	37.96%	44.44%	23.84%	34.11%	36.19%	32.32%	42.0%	20.70%	39.75%	41.92%	36.44%	32.48%	35.55%	35.0%	35.25%	37.88%	40.96%	33.87%	31.87%	36.35%	34.97%	36.43%	36.22%	33.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	72	2	4	0	3	4	1	1	2	3	1	5	1	2	3	1	1	3	1	4	2	1	0	0	2	3	1	0	1	2	0	0	0	0	0	1	0	0	1	12	0	0	0	1	3					
		0.22%	0.17%	0.29%	0.0%	0.24%	0.33%	0.11%	0.08%	0.17%	0.32%	0.09%	1.38%	0.18%	0.89%	0.21%	0.06%	0.07%	0.42%	0.20%	0.42%	0.24%	0.53%	0.0%	0.0%	0.15%	0.32%	0.13%	0.0%	0.16%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.26%	1.54%	0.0%	0.0%	0.0%	0.09%	0.48%					
39	"22. ""Развитие предпринимательства"""	79	5	7	0	6	0	4	1	2	1	3	1	3	0	3	2	1	7	2	1	1	0	0	0	1	1	0	1	1	0	10	1	2	0	0	0	1	1	0	1	4	1	0	4	0					
		0.24%	0.42%	0.52%	0.0%	0.48%	0.0%	0.47%	0.08%	0.17%	0.10%	0.28%	0.27%	0.54%	0.0%	0.21%	0.13%	0.07%	0.99%	0.41%	0.10%	0.12%	0.0%	0.0%	0.0%	0.07%	0.10%	0.0%	0.2%	0.16%	0.0%	1.10%	0.21%	0.51%	0.0%	0.0%	0.0%	0.31%	0.24%	0.0%	0.12%	0.31%	0.12%	0.0%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4689	155	156	73	139	152	151	155	139	173	208	37	72	20	233	145	170	97	150	133	143	20	17	9	184	102	149	98	98	33	240	124	99	32	5	13	29	87	45	94	135	100	81	107	87					
		14.52%	13.21%	11.58%	12.67%	11.23%	12.61%	17.89%	13.03%	11.96%	18.66%	19.56%	10.24%	12.97%	8.92%	16.81%	9.97%	12.16%	13.71%	31.12%	14.19%	17.63%	10.69%	12.59%	6.92%	14.36%	11.08%	19.50%	19.6%	15.73%	9.93%	26.54%	26.27%	25.31%	23.70%	8.33%	4.16%	9.00%	20.96%	12.09%	12.12%	10.73%	12.95%	16.03%	9.99%	14.19%					
																																																			
41	Против всех	1298	31	60	24	61	61	28	55	50	25	32	26	3	2	91	74	50	24	14	33	46	7	3	7	41	25	24	6	15	22	25	22	9	3	0	13	24	8	19	30	58	34	17	54	42					
		4.02%	2.64%	4.45%	4.16%	4.93%	5.06%	3.31%	4.62%	4.30%	2.69%	3.01%	7.20%	0.54%	0.89%	6.56%	5.09%	3.57%	3.39%	2.90%	3.52%	5.67%	3.74%	2.22%	5.38%	3.20%	2.71%	3.14%	1.2%	2.40%	6.62%	2.76%	4.66%	2.30%	2.22%	0.0%	4.16%	7.45%	1.92%	5.10%	3.87%	4.61%	4.40%	3.36%	5.04%	6.85%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
