Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Называевская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701					
11	Число полученных открепительных  удостоверений	664	20	20	20	20	10	20	20	10	14	10	5	5	5	20	5	5	5	5	10	5	20	5	5	5	20	5	5	5	20	5	5	5	5	20	5	5	5	10	5	5	10	5	20	5	5	5	5	5	20	5	5	5	5	35	5	5	5	5	5	5	10	5	5	5	5	20	5	5	5	20	5	5	5					
12	Число выданных открепительных удостоверений	263	19	14	20	10	9	15	20	5	14	0	0	1	0	5	0	0	0	0	10	0	16	3	0	0	0	0	0	1	7	0	3	0	0	5	0	0	0	4	0	2	5	0	9	0	0	0	0	2	5	0	0	1	0	34	0	0	0	0	2	2	0	0	0	0	0	4	2	0	3	2	5	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	4	5	6	9	6	9	4	4	1	2	1	2	4	2	1	1	1	0	4	1	2	1	1	1	1	1	1	7	3	1	1	1	1	5	1	1	1	1	2	1	3	1	2	1	1	1	2	1	1	1	1	1	1	3	1	1	2	1	4	2	1	2	1	2	0	1	0	1	1	1	1	1	2					
14	Число неиспользованных открепительных удостоверений	401	1	6	0	10	1	5	0	5	0	10	5	4	5	15	5	5	5	5	0	5	4	2	5	5	20	5	5	4	13	5	2	5	5	15	5	5	5	6	5	3	5	5	11	5	5	5	5	3	15	5	5	4	5	1	5	5	5	5	3	3	10	5	5	5	5	16	3	5	2	18	0	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	379	14	25	37	18	16	15	25	10	5	0	1	1	5	5	4	0	2	0	6	0	8	1	0	2	6	0	0	7	4	1	0	3	0	27	4	4	1	7	3	1	0	0	25	0	4	0	0	2	5	1	0	0	0	6	2	1	1	0	3	1	5	3	4	0	1	6	9	6	3	13	8	2	0					
		2.28%	1.97%	2.97%	3.14%	2.69%	3.12%	2.13%	3.23%	1.72%	1.47%	0.00%	0.81%	1.08%	5.21%	0.91%	9.52%	0.00%	2.15%	0.00%	1.65%	0.00%	1.91%	1.16%	0.00%	1.83%	1.83%	0.00%	0.00%	3.63%	1.30%	1.08%	0.00%	5.66%	0.00%	5.38%	3.48%	2.42%	0.68%	1.80%	4.41%	1.82%	0.00%	0.00%	3.08%	0.00%	4.76%	0.00%	0.00%	3.39%	1.72%	2.22%	0.00%	0.00%	0.00%	1.50%	2.17%	1.45%	2.38%	0.00%	1.73%	0.85%	1.53%	4.76%	4.44%	0.00%	3.70%	1.63%	5.52%	5.00%	1.96%	3.27%	2.88%	2.44%	0.00%					
19	. Малышкин Олег Александрович	741	19	33	58	23	24	41	46	37	19	4	18	3	7	9	4	2	4	1	45	10	17	11	4	7	5	0	3	10	12	11	0	10	7	22	1	8	0	20	1	5	17	0	19	0	7	0	2	3	9	1	0	6	2	17	3	2	1	1	0	9	12	8	0	5	0	15	5	3	11	8	9	2	3					
		4.45%	2.68%	3.91%	4.92%	3.44%	4.69%	5.83%	5.94%	6.37%	5.60%	4.12%	14.63%	3.23%	7.29%	1.63%	9.52%	3.03%	4.30%	2.22%	12.36%	4.65%	4.06%	12.79%	2.76%	6.42%	1.52%	0.00%	3.45%	5.18%	3.91%	11.83%	0.00%	18.87%	16.28%	4.38%	0.87%	4.85%	0.00%	5.15%	1.47%	9.09%	6.12%	0.00%	2.34%	0.00%	8.33%	0.00%	2.74%	5.08%	3.09%	2.22%	0.00%	10.34%	6.25%	4.25%	3.26%	2.90%	2.38%	1.69%	0.00%	7.69%	3.67%	12.70%	0.00%	13.89%	0.00%	4.08%	3.07%	2.50%	7.19%	2.02%	3.24%	2.44%	3.23%					
20	. Миронов Сергей Михайлович	91	3	8	2	4	6	4	6	3	2	0	0	0	0	1	0	0	0	0	1	2	8	0	3	2	1	1	0	1	3	2	0	1	1	3	1	0	0	2	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	6	0	0	1	1	2	1	0					
		0.55%	0.42%	0.95%	0.17%	0.60%	1.17%	0.57%	0.77%	0.52%	0.59%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.27%	0.93%	1.91%	0.00%	2.07%	1.83%	0.30%	3.03%	0.00%	0.52%	0.98%	2.15%	0.00%	1.89%	2.33%	0.60%	0.87%	0.00%	0.00%	0.52%	0.00%	1.82%	0.00%	0.00%	0.12%	2.94%	2.38%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	1.63%	0.00%	0.00%	0.65%	0.25%	0.72%	1.22%	0.00%					
21	. Путин Владимир Владимирович	11143	439	488	741	411	330	434	468	367	215	54	73	53	59	387	16	50	82	41	264	189	267	52	102	61	254	29	75	147	217	60	23	29	32	380	85	119	137	270	42	31	191	36	619	23	49	114	37	47	237	36	34	28	27	295	53	36	36	30	136	73	218	18	52	18	16	212	108	78	84	311	189	49	80					
		66.94%	61.92%	57.89%	62.80%	61.43%	64.45%	61.74%	60.39%	63.17%	63.42%	55.67%	59.35%	56.99%	61.46%	70.24%	38.10%	75.76%	88.17%	91.11%	72.53%	87.91%	63.72%	60.47%	70.34%	55.96%	77.44%	87.88%	86.21%	76.17%	70.68%	64.52%	88.46%	54.72%	74.42%	75.70%	73.91%	72.12%	93.20%	69.59%	61.76%	56.36%	68.71%	49.32%	76.23%	67.65%	58.33%	89.06%	50.68%	79.66%	81.44%	80.00%	46.58%	48.28%	84.38%	73.75%	57.61%	52.17%	85.71%	50.85%	78.61%	62.39%	66.67%	28.57%	57.78%	50.00%	59.26%	57.61%	66.26%	65.00%	54.90%	78.34%	67.99%	59.76%	86.02%					
22	. Хакамада Ирина Муцуовна	276	12	19	26	11	12	18	12	10	6	1	3	2	3	3	1	0	0	0	7	1	7	0	1	3	0	0	1	5	1	4	0	2	0	18	1	0	2	6	1	0	0	2	12	0	2	0	4	1	1	0	2	1	0	11	1	1	1	0	3	2	3	0	1	0	1	6	0	3	2	8	7	2	0					
		1.66%	1.69%	2.25%	2.20%	1.64%	2.34%	2.56%	1.55%	1.72%	1.77%	1.03%	2.44%	2.15%	3.12%	0.54%	2.38%	0.00%	0.00%	0.00%	1.92%	0.47%	1.67%	0.00%	0.69%	2.75%	0.00%	0.00%	1.15%	2.59%	0.33%	4.30%	0.00%	3.77%	0.00%	3.59%	0.87%	0.00%	1.36%	1.55%	1.47%	0.00%	0.00%	2.74%	1.48%	0.00%	2.38%	0.00%	5.48%	1.69%	0.34%	0.00%	2.74%	1.72%	0.00%	2.75%	1.09%	1.45%	2.38%	0.00%	1.73%	1.71%	0.92%	0.00%	1.11%	0.00%	3.70%	1.63%	0.00%	2.50%	1.31%	2.02%	2.52%	2.44%	0.00%					
23	. Харитонов Николай Михайлович	3576	185	237	277	182	110	161	193	137	79	33	26	33	22	136	16	14	4	3	33	13	96	22	28	28	56	3	8	20	58	13	3	7	2	47	23	34	7	74	21	15	59	32	115	10	12	12	30	6	33	7	37	23	3	60	28	25	2	28	28	30	78	32	33	12	9	119	36	25	50	53	58	22	10					
		21.48%	26.09%	28.11%	23.47%	27.20%	21.48%	22.90%	24.90%	23.58%	23.30%	34.02%	21.14%	35.48%	22.92%	24.68%	38.10%	21.21%	4.30%	6.67%	9.07%	6.05%	22.91%	25.58%	19.31%	25.69%	17.07%	9.09%	9.20%	10.36%	18.89%	13.98%	11.54%	13.21%	4.65%	9.36%	20.00%	20.61%	4.76%	19.07%	30.88%	27.27%	21.22%	43.84%	14.16%	29.41%	14.29%	9.38%	41.10%	10.17%	11.34%	15.56%	50.68%	39.66%	9.38%	15.00%	30.43%	36.23%	4.76%	47.46%	16.18%	25.64%	23.85%	50.79%	36.67%	33.33%	33.33%	32.34%	22.09%	20.83%	32.68%	13.35%	20.86%	26.83%	10.75%					
																																																																																
24	Против всех	309	17	26	33	20	8	18	17	10	12	3	0	1	0	8	1	0	1	0	4	0	7	0	2	6	5	0	0	1	10	2	0	1	0	5	0	0	0	4	0	1	6	3	16	0	8	1	0	0	6	0	0	0	0	4	4	4	0	0	3	2	4	2	0	1	0	3	5	4	1	3	2	4	0					
		1.86%	2.40%	3.08%	2.80%	2.99%	1.56%	2.56%	2.19%	1.72%	3.54%	3.09%	0.00%	1.08%	0.00%	1.45%	2.38%	0.00%	1.08%	0.00%	1.10%	0.00%	1.67%	0.00%	1.38%	5.50%	1.52%	0.00%	0.00%	0.52%	3.26%	2.15%	0.00%	1.89%	0.00%	1.00%	0.00%	0.00%	0.00%	1.03%	0.00%	1.82%	2.16%	4.11%	1.97%	0.00%	9.52%	0.78%	0.00%	0.00%	2.06%	0.00%	0.00%	0.00%	0.00%	1.00%	4.35%	5.80%	0.00%	0.00%	1.73%	1.71%	1.22%	3.17%	0.00%	2.78%	0.00%	0.82%	3.07%	3.33%	0.65%	0.76%	0.72%	4.88%	0.00%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
