Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	3758	58	47	59	47	39	55	46	51	42	63	38	83	80	79	67	34	39	70	16	46	71	82	67	68	76	121	89	48	42	51	78	24	43	61	94	15	62	41	91	42	55	59	7	45	79	28	54	44	70	67	57	58	61	91	23	36	92	77	34	71	38	38	20	67	44	31	53	23	10	1					
		3.08%	3.69%	3.31%	3.83%	3.12%	1.88%	2.41%	2.57%	4.16%	2.68%	3.88%	2.45%	3.94%	3.73%	3.74%	3.14%	2.07%	2.43%	3.35%	0.78%	2.12%	3.19%	3.95%	3.22%	3.24%	3.39%	6.01%	4.84%	2.25%	2.31%	2.56%	4.18%	1.37%	3.60%	2.85%	4.53%	0.84%	3.07%	1.97%	4.39%	2.14%	2.72%	3.42%	0.40%	3.60%	4.23%	2.59%	3.40%	2.07%	3.54%	3.60%	2.33%	2.83%	2.73%	3.87%	1.33%	2.12%	3.78%	4.17%	3.15%	4.71%	3.78%	2.10%	4.15%	4.39%	4.05%	3.70%	3.04%	2.47%	3.36%	1.12%					
19	. Малышкин Олег Александрович	1240	21	16	18	22	10	22	11	22	27	21	19	14	25	10	29	13	28	15	15	17	22	21	18	39	24	18	18	26	25	17	28	16	11	22	18	10	4	31	33	25	15	22	24	15	19	9	16	17	20	16	17	18	17	23	11	14	19	18	14	24	9	13	6	8	10	14	19	7	5	0					
		1.02%	1.34%	1.13%	1.17%	1.46%	0.48%	0.96%	0.62%	1.79%	1.72%	1.29%	1.23%	0.66%	1.16%	0.47%	1.36%	0.79%	1.74%	0.72%	0.73%	0.78%	0.99%	1.01%	0.86%	1.86%	1.07%	0.89%	0.98%	1.22%	1.37%	0.85%	1.50%	0.91%	0.92%	1.03%	0.87%	0.56%	0.20%	1.49%	1.59%	1.27%	0.74%	1.28%	1.37%	1.20%	1.02%	0.83%	1.01%	0.80%	1.01%	0.86%	0.70%	0.88%	0.76%	0.98%	0.63%	0.82%	0.78%	0.97%	1.30%	1.59%	0.90%	0.72%	1.24%	0.52%	0.92%	1.67%	1.09%	0.75%	1.68%	0.00%					
20	. Миронов Сергей Михайлович	1357	18	20	17	21	21	21	17	6	15	34	20	19	21	14	18	26	25	21	10	32	17	37	31	18	14	23	37	24	42	21	33	18	14	18	29	34	7	35	36	23	14	24	10	20	15	10	17	11	21	16	29	22	13	27	12	15	17	21	9	33	13	20	10	6	9	8	15	6	5	2					
		1.11%	1.15%	1.41%	1.10%	1.39%	1.01%	0.92%	0.95%	0.49%	0.96%	2.09%	1.29%	0.90%	0.98%	0.66%	0.84%	1.58%	1.55%	1.00%	0.49%	1.48%	0.76%	1.78%	1.49%	0.86%	0.62%	1.14%	2.01%	1.12%	2.31%	1.05%	1.77%	1.03%	1.17%	0.84%	1.40%	1.91%	0.35%	1.68%	1.74%	1.17%	0.69%	1.39%	0.57%	1.60%	0.80%	0.92%	1.07%	0.52%	1.06%	0.86%	1.19%	1.07%	0.58%	1.15%	0.69%	0.88%	0.70%	1.14%	0.83%	2.19%	1.29%	1.10%	2.07%	0.39%	0.83%	0.95%	0.86%	0.64%	1.68%	2.25%					
21	. Путин Владимир Владимирович	96536	1236	1026	1090	1022	1873	1921	1436	876	1149	1147	1160	1622	1633	1747	1719	1353	1205	1679	1938	1770	1780	1766	1736	1564	1866	1372	1248	1755	1529	1711	1256	1511	866	1612	1517	1552	1784	1746	1431	1571	1523	1482	1455	863	1348	856	1096	1788	1509	1442	2043	1596	1814	1885	1508	1433	1886	1521	789	1211	741	1434	339	1372	862	623	1354	702	214	72					
		79.04%	78.73%	72.25%	70.69%	67.77%	90.53%	84.25%	80.31%	71.39%	73.28%	70.63%	74.94%	76.91%	76.10%	82.60%	80.52%	82.25%	74.94%	80.30%	94.81%	81.60%	80.00%	85.07%	83.42%	74.51%	83.27%	68.16%	67.83%	82.16%	83.92%	85.81%	67.24%	86.20%	72.53%	75.29%	73.18%	87.29%	88.36%	83.78%	69.03%	80.03%	75.32%	86.01%	82.95%	69.10%	72.16%	79.11%	68.93%	84.14%	76.21%	77.57%	83.59%	77.78%	81.05%	80.18%	86.92%	84.44%	77.49%	82.31%	73.19%	80.31%	73.80%	79.10%	70.33%	89.97%	79.30%	74.34%	77.55%	75.32%	71.81%	80.90%					
22	. Хакамада Ирина Муцуовна	6385	93	72	116	118	60	78	77	78	100	109	112	115	109	105	86	76	108	100	17	59	136	51	67	129	71	143	146	50	63	87	159	46	84	130	152	57	40	47	221	81	153	47	53	119	156	57	138	116	130	122	89	98	123	101	78	82	195	83	87	56	71	102	42	13	73	56	106	71	16	4					
		5.23%	5.92%	5.07%	7.52%	7.82%	2.90%	3.42%	4.31%	6.36%	6.38%	6.71%	7.24%	5.45%	5.08%	4.96%	4.03%	4.62%	6.72%	4.78%	0.83%	2.72%	6.11%	2.46%	3.22%	6.15%	3.17%	7.10%	7.93%	2.34%	3.46%	4.36%	8.51%	2.62%	7.04%	6.07%	7.33%	3.21%	1.98%	2.26%	10.66%	4.13%	7.57%	2.73%	3.02%	9.53%	8.35%	5.27%	8.68%	5.46%	6.57%	6.56%	3.64%	4.78%	5.50%	4.30%	4.50%	4.83%	8.01%	4.49%	8.07%	3.71%	7.07%	5.63%	8.71%	0.85%	6.72%	6.68%	6.07%	7.62%	5.37%	4.49%					
23	. Харитонов Николай Михайлович	7813	144	108	130	169	47	137	178	117	128	150	118	173	184	131	180	83	99	157	8	180	156	85	113	170	119	191	167	107	65	76	176	67	98	175	198	51	78	156	132	129	126	40	132	101	146	72	133	102	149	126	153	118	146	173	55	57	120	71	70	97	62	99	25	11	56	48	116	59	18	2					
		6.40%	9.17%	7.61%	8.43%	11.21%	2.27%	6.01%	9.96%	9.54%	8.16%	9.24%	7.62%	8.20%	8.57%	6.19%	8.43%	5.05%	6.16%	7.51%	0.39%	8.30%	7.01%	4.09%	5.43%	8.10%	5.31%	9.49%	9.08%	5.01%	3.57%	3.81%	9.42%	3.82%	8.21%	8.17%	9.55%	2.87%	3.86%	7.49%	6.37%	6.57%	6.23%	2.32%	7.53%	8.09%	7.82%	6.65%	8.36%	4.80%	7.53%	6.78%	6.26%	5.75%	6.52%	7.36%	3.17%	3.36%	4.93%	3.84%	6.49%	6.43%	6.18%	5.46%	5.19%	0.72%	5.15%	5.73%	6.64%	6.33%	6.04%	2.25%					
																																																																													
24	Против всех	3338	0	73	77	79	19	24	18	50	71	69	56	57	67	19	25	35	81	30	4	35	23	26	24	85	39	106	104	95	31	6	91	46	57	80	40	29	7	2	114	60	104	12	34	64	75	40	98	18	65	57	30	87	27	29	28	31	76	50	51	12	58	88	26	27	7	46	69	46	22	7					
		2.73%	0.00%	5.14%	4.99%	5.24%	0.92%	1.05%	1.01%	4.07%	4.53%	4.25%	3.62%	2.70%	3.12%	0.90%	1.17%	2.13%	5.04%	1.43%	0.20%	1.61%	1.03%	1.25%	1.15%	4.05%	1.74%	5.27%	5.65%	4.45%	1.70%	0.30%	4.87%	2.62%	4.77%	3.74%	1.93%	1.63%	0.35%	0.10%	5.50%	3.06%	5.14%	0.70%	1.94%	5.12%	4.01%	3.70%	6.16%	0.85%	3.28%	3.07%	1.23%	4.24%	1.21%	1.23%	1.61%	1.83%	3.12%	2.71%	4.73%	0.80%	5.78%	4.85%	5.39%	1.77%	0.64%	5.49%	3.95%	4.94%	7.38%	7.87%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
