Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Черепановская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1193					
11	Число полученных открепительных  удостоверений	457	10	13	10	10	40	10	10	10	10	10	10	10	10	10	5	10	10	15	10	5	5	10	5	5	5	5	8	5	10	5	5	5	10	5	5	5	8	10	10	5	5	5	5	5	10	5	5	10	5	5	10	5	5	8	5	5					
12	Число выданных открепительных удостоверений	157	7	12	9	6	37	4	0	3	5	6	2	0	5	4	0	2	7	12	0	0	0	4	0	0	0	3	2	0	0	0	0	0	5	1	1	0	2	3	0	0	0	3	1	0	2	1	0	0	1	0	4	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	137	3	12	2	1	13	3	2	6	1	6	0	4	3	0	1	2	0	1	5	1	0	1	0	3	1	3	2	0	2	0	3	2	2	1	1	3	7	4	3	0	0	3	4	1	5	2	1	7	0	1	1	2	2	2	2	0					
14	Число неиспользованных открепительных удостоверений	300	3	1	1	4	3	6	10	7	5	4	8	10	5	6	5	8	3	3	10	5	5	6	5	5	5	2	6	5	10	5	5	5	5	4	4	5	6	7	10	5	5	2	4	5	8	4	5	10	4	5	6	5	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	551	21	26	22	16	24	9	7	33	12	25	10	11	34	39	3	15	17	16	14	2	0	9	2	9	0	9	7	0	6	1	1	2	16	6	3	5	10	14	18	3	6	6	4	1	9	2	0	10	3	1	7	2	7	13	2	1					
		2.29%	2.58%	2.84%	2.72%	1.60%	2.91%	1.91%	1.65%	3.70%	2.28%	2.71%	2.13%	2.07%	3.40%	3.80%	1.32%	2.57%	2.81%	2.56%	1.74%	4.08%	0.00%	1.62%	1.75%	7.96%	0.00%	3.80%	2.27%	0.00%	0.96%	1.01%	0.95%	0.62%	1.32%	3.24%	2.33%	2.38%	2.36%	2.20%	3.12%	2.42%	4.88%	1.71%	1.15%	0.65%	1.58%	1.53%	0.00%	1.66%	1.25%	1.00%	1.49%	2.04%	2.10%	3.60%	1.14%	0.93%					
19	. Малышкин Олег Александрович	721	25	20	18	31	22	22	19	23	15	22	15	28	38	35	9	13	14	10	27	4	1	6	2	4	1	7	11	0	27	0	2	12	29	5	5	10	14	17	12	11	11	8	8	7	10	4	5	30	4	0	10	2	14	12	4	6					
		3.00%	3.07%	2.19%	2.23%	3.11%	2.67%	4.66%	4.47%	2.58%	2.85%	2.38%	3.20%	5.26%	3.80%	3.41%	3.95%	2.23%	2.31%	1.60%	3.36%	8.16%	1.49%	1.08%	1.75%	3.54%	1.19%	2.95%	3.56%	0.00%	4.34%	0.00%	1.90%	3.75%	2.39%	2.70%	3.88%	4.76%	3.31%	2.67%	2.08%	8.87%	8.94%	2.29%	2.30%	4.55%	1.75%	3.05%	3.55%	4.97%	1.67%	0.00%	2.13%	2.04%	4.20%	3.32%	2.27%	5.56%					
20	. Миронов Сергей Михайлович	186	9	4	8	7	5	3	5	6	1	28	2	6	4	8	5	8	7	5	3	1	3	5	2	0	1	2	1	0	4	0	0	3	4	0	1	0	2	2	8	1	0	1	0	1	4	1	0	5	2	2	2	0	1	1	1	1					
		0.77%	1.10%	0.44%	0.99%	0.70%	0.61%	0.64%	1.18%	0.67%	0.19%	3.03%	0.43%	1.13%	0.40%	0.78%	2.19%	1.37%	1.16%	0.80%	0.37%	2.04%	4.48%	0.90%	1.75%	0.00%	1.19%	0.84%	0.32%	0.00%	0.64%	0.00%	0.00%	0.94%	0.33%	0.00%	0.78%	0.00%	0.47%	0.31%	1.39%	0.81%	0.00%	0.29%	0.00%	0.65%	0.70%	0.76%	0.00%	0.83%	0.83%	2.00%	0.43%	0.00%	0.30%	0.28%	0.57%	0.93%					
21	. Путин Владимир Владимирович	15220	502	524	538	568	530	294	267	587	338	490	316	304	543	565	154	371	442	423	474	30	47	361	96	55	67	171	187	47	352	76	66	212	940	131	107	149	308	324	381	57	73	214	283	129	399	102	120	398	138	41	339	19	169	214	107	81					
		63.39%	61.60%	57.33%	66.58%	56.91%	64.24%	62.29%	62.82%	65.81%	64.26%	53.03%	67.38%	57.14%	54.25%	55.12%	67.54%	63.64%	72.94%	67.79%	58.96%	61.22%	70.15%	65.16%	84.21%	48.67%	79.76%	72.15%	60.52%	73.44%	56.59%	76.77%	62.86%	66.25%	77.49%	70.81%	82.95%	70.95%	72.81%	50.94%	66.15%	45.97%	59.35%	61.14%	81.32%	83.77%	69.88%	77.86%	85.11%	65.89%	57.50%	41.00%	72.28%	19.39%	50.75%	59.28%	60.80%	75.00%					
22	. Хакамада Ирина Муцуовна	498	16	21	29	19	13	4	9	17	19	30	12	22	20	29	1	10	14	17	19	0	2	9	1	0	2	5	6	0	12	5	5	10	21	3	1	0	4	16	11	1	1	6	7	0	4	2	1	10	4	4	5	2	4	8	3	2					
		2.07%	1.96%	2.30%	3.59%	1.90%	1.58%	0.85%	2.12%	1.91%	3.61%	3.25%	2.56%	4.14%	2.00%	2.83%	0.44%	1.72%	2.31%	2.72%	2.36%	0.00%	2.99%	1.62%	0.88%	0.00%	2.38%	2.11%	1.94%	0.00%	1.93%	5.05%	4.76%	3.12%	1.73%	1.62%	0.78%	0.00%	0.95%	2.52%	1.91%	0.81%	0.81%	1.71%	2.01%	0.00%	0.70%	1.53%	0.71%	1.66%	1.67%	4.00%	1.07%	2.04%	1.20%	2.22%	1.70%	1.85%					
23	. Харитонов Николай Михайлович	5897	218	289	160	215	193	125	107	179	114	288	95	131	326	309	52	145	89	133	246	10	11	146	9	45	11	36	89	16	191	15	28	68	170	36	10	41	82	234	124	43	30	98	37	12	132	14	15	131	88	50	96	72	131	100	50	12					
		24.56%	26.75%	31.62%	19.80%	21.54%	23.39%	26.48%	25.18%	20.07%	21.67%	31.17%	20.26%	24.62%	32.57%	30.15%	22.81%	24.87%	14.69%	21.31%	30.60%	20.41%	16.42%	26.35%	7.89%	39.82%	13.10%	15.19%	28.80%	25.00%	30.71%	15.15%	26.67%	21.25%	14.01%	19.46%	7.75%	19.52%	19.39%	36.79%	21.53%	34.68%	24.39%	28.00%	10.63%	7.79%	23.12%	10.69%	10.64%	21.69%	36.67%	50.00%	20.47%	73.47%	39.34%	27.70%	28.41%	11.11%					
																																																															
24	Против всех	670	17	16	26	124	29	10	7	38	12	32	19	25	25	35	4	13	18	18	9	2	0	9	1	0	1	4	6	1	20	0	0	12	19	1	1	5	2	21	13	5	2	15	9	2	7	4	0	8	1	0	2	1	7	7	4	1					
		2.79%	2.09%	1.75%	3.22%	12.42%	3.52%	2.12%	1.65%	4.26%	2.28%	3.46%	4.05%	4.70%	2.50%	3.41%	1.75%	2.23%	2.97%	2.88%	1.12%	4.08%	0.00%	1.62%	0.88%	0.00%	1.19%	1.69%	1.94%	1.56%	3.22%	0.00%	0.00%	3.75%	1.57%	0.54%	0.78%	2.38%	0.47%	3.30%	2.26%	4.03%	1.63%	4.29%	2.59%	1.30%	1.23%	3.05%	0.00%	1.32%	0.42%	0.00%	0.43%	1.02%	2.10%	1.94%	2.27%	0.93%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
