Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская  																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573					
25	"8. ""Народно-республиканская партия России"""	71	3	1	0	1	1	0	0	0	1	0	0	0	4	2	1	0	0	1	1	1	1	5	1	1	1	0	1	1	2	1	0	0	1	0	0	0	0	1	3	3	1	5	0	0	3	1	0	3	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	4	2	0	1	0	0	0	0					
		0.12%	0.50%	0.13%	0.0%	0.10%	0.47%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.55%	0.28%	0.11%	0.0%	0.0%	0.12%	0.08%	0.06%	0.06%	0.34%	0.13%	0.12%	0.13%	0.0%	0.05%	0.11%	0.17%	0.05%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.15%	0.67%	0.34%	0.21%	0.37%	0.0%	0.0%	0.29%	0.07%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	0.0%	0.39%	0.0%	0.39%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.25%	0.0%	0.16%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.65%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	225	1	3	1	3	1	4	0	7	3	5	2	2	6	5	2	8	7	0	8	5	5	7	3	1	3	5	11	4	8	13	16	1	3	4	1	5	2	0	1	6	1	2	7	2	2	6	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	1	3	0	0	1	0	0	2	1	0	1	0	1	2	2	0	0	0	2	0	1	1	0	0	0	0					
		0.39%	0.16%	0.39%	0.32%	0.32%	0.47%	0.58%	0.0%	0.89%	0.32%	0.90%	0.64%	0.22%	0.83%	0.70%	0.23%	0.53%	0.93%	0.0%	0.66%	0.33%	0.34%	0.47%	0.41%	0.12%	0.39%	0.67%	0.62%	0.46%	0.68%	0.69%	0.83%	0.14%	0.28%	0.61%	0.27%	0.85%	0.77%	0.0%	0.22%	0.68%	0.21%	0.14%	0.50%	0.47%	0.19%	0.44%	0.0%	0.37%	0.81%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.23%	0.0%	0.0%	0.70%	0.18%	0.46%	0.0%	0.0%	0.52%	0.0%	0.0%	0.34%	0.25%	0.0%	0.16%	0.0%	0.09%	0.43%	0.42%	0.0%	0.0%	0.0%	0.42%	0.0%	0.91%	0.16%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1857	10	15	6	22	14	15	10	11	14	9	2	16	16	11	22	21	21	17	18	26	36	32	10	18	13	16	30	14	20	26	22	19	17	18	3	15	8	33	6	22	2	29	29	9	24	55	26	54	16	12	16	3	14	19	33	11	9	18	12	19	1	9	9	42	23	13	8	3	29	56	14	23	25	14	30	59	18	5	38	20	60	22	18	8	10	33	43	23	9	38	15	31	7	17					
		3.24%	1.67%	1.96%	1.97%	2.40%	6.63%	2.17%	1.40%	1.40%	1.53%	1.62%	0.64%	1.79%	2.21%	1.54%	2.62%	1.40%	2.81%	2.16%	1.50%	1.73%	2.47%	2.18%	1.37%	2.23%	1.71%	2.17%	1.71%	1.63%	1.70%	1.38%	1.14%	2.75%	1.59%	2.78%	0.83%	2.55%	3.11%	5.06%	1.34%	2.51%	0.42%	2.14%	2.10%	2.15%	2.35%	4.03%	6.64%	3.40%	6.50%	2.90%	6.53%	1.78%	5.62%	3.90%	6.97%	6.83%	7.25%	7.17%	5.58%	7.42%	0.74%	9.09%	5.14%	6.65%	5.50%	9.15%	6.83%	2.11%	5.24%	8.73%	6.39%	13.06%	13.08%	7.17%	9.67%	10.24%	4.60%	2.92%	6.28%	12.04%	5.82%	4.77%	3.78%	4.37%	6.09%	34.73%	9.18%	7.51%	8.25%	6.08%	4.55%	5.55%	4.92%	5.44%					
28	"11. ""Истинные патриоты России"""	62	2	0	0	0	0	2	0	0	0	0	0	1	2	0	1	0	0	0	2	0	3	2	0	0	1	3	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	3	1	0	0	1	0	0	1	6	0	0	2	0	0	0	1	3	1	1	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	4	1	0	0	0	0					
		0.10%	0.33%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.27%	0.0%	0.11%	0.0%	0.0%	0.0%	0.16%	0.0%	0.20%	0.13%	0.0%	0.0%	0.13%	0.40%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.07%	0.23%	0.09%	0.0%	0.76%	0.06%	0.0%	0.0%	0.40%	0.0%	0.0%	0.20%	1.26%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	1.01%	1.71%	0.15%	0.23%	0.70%	0.0%	0.70%	0.18%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.66%	0.16%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	710	4	12	6	3	1	11	6	9	13	12	9	17	8	18	12	24	10	14	18	22	16	17	3	11	9	7	24	16	18	16	18	5	16	9	5	9	1	8	5	11	5	21	31	1	10	12	4	11	1	7	6	1	3	4	1	1	0	3	6	0	2	0	4	5	3	4	0	3	6	9	6	9	3	1	4	7	9	2	7	2	8	2	7	2	2	0	4	2	2	5	0	2	1	6					
		1.23%	0.67%	1.57%	1.97%	0.32%	0.47%	1.59%	0.84%	1.15%	1.42%	2.16%	2.91%	1.90%	1.10%	2.52%	1.43%	1.60%	1.33%	1.78%	1.50%	1.47%	1.09%	1.15%	0.41%	1.36%	1.18%	0.94%	1.36%	1.86%	1.53%	0.85%	0.93%	0.72%	1.50%	1.39%	1.38%	1.53%	0.38%	1.22%	1.12%	1.25%	1.07%	1.55%	2.25%	0.23%	0.98%	0.88%	1.02%	0.69%	0.40%	1.69%	2.44%	0.59%	1.20%	0.82%	0.21%	0.62%	0.0%	1.19%	2.79%	0.0%	1.49%	0.0%	2.28%	0.79%	0.71%	2.81%	0.0%	2.11%	1.08%	1.40%	2.73%	5.11%	1.57%	0.51%	1.29%	1.21%	2.30%	1.16%	1.15%	1.20%	0.77%	0.43%	1.47%	1.09%	1.21%	0.0%	0.85%	0.65%	1.83%	0.8%	0.0%	0.35%	0.70%	1.92%					
30	"13. ""Демократическая партия России"""	141	2	2	0	2	0	2	0	1	1	1	2	5	1	2	2	2	1	2	3	2	3	3	3	2	1	2	7	2	4	1	6	3	5	2	0	1	0	0	2	2	0	3	1	3	4	7	2	2	1	0	0	0	0	2	2	0	0	1	0	1	0	0	1	1	2	1	2	0	0	2	0	0	0	0	0	5	1	1	0	0	1	0	1	0	0	2	1	0	0	4	0	5	0	0					
