Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Череповецкая городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																			
																																																																																																																			
		Сумма	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1486	10	10	10	10	10	10	10	10	10	20	10	0	0	10	20	10	16	20	0	0	20	10	10	10	20	10	10	30	10	20	0	10	10	10	20	10	20	20	20	10	20	0	30	30	20	10	10	10	30	20	50	0	20	10	20	20	10	20	10	0	11	9	10	10	10	20	20	20	25	20	30	0	10	15	20	30	20	10	20	10	20	25	15	20	10	10	20	10	0	0	10	10	20	20	10	20	10	10	10	10	20	0	0	20	10	20	11	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	884	3	1	5	7	4	7	7	8	6	11	6	0	0	5	14	4	12	12	0	0	13	8	9	3	14	9	2	18	6	15	0	9	9	7	12	9	6	14	15	10	14	0	18	27	11	10	6	9	9	12	26	0	1	3	14	11	9	0	6	0	9	7	3	9	5	7	10	12	15	12	18	0	9	8	13	16	14	2	12	7	7	13	11	11	6	8	18	4	0	0	8	7	11	11	5	13	4	9	4	6	15	0	0	11	6	11	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	452	4	6	1	5	3	2	4	3	5	6	2	18	1	1	7	2	8	6	1	6	4	2	1	4	7	1	4	7	4	2	13	4	3	1	2	3	4	5	7	4	3	46	4	3	5	1	6	4	1	8	6	19	2	2	4	4	2	0	3	0	1	9	2	1	3	3	4	2	1	3	6	0	6	5	4	5	8	0	3	2	1	2	7	7	2	10	3	0	5	3	0	2	2	5	3	7	3	0	1	5	3	0	0	3	7	0	3	4					
14	Число погашенных открепительных удостоверений	602	7	9	5	3	6	3	3	2	4	9	4	0	0	5	6	6	4	8	0	0	7	2	1	7	6	1	8	12	4	5	0	1	1	3	8	1	14	6	5	0	6	0	12	3	9	0	4	1	21	8	24	0	19	7	6	9	1	20	4	0	2	2	7	1	5	13	10	8	10	8	12	0	1	7	7	14	6	8	8	3	13	12	4	9	4	2	2	6	0	0	2	3	9	9	5	7	6	1	6	4	5	0	0	9	4	9	6	3					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																			
18	"1. ""ЕДИНЕНИЕ"""	1023	17	8	7	9	10	11	17	12	15	19	3	0	0	2	9	11	9	5	1	0	4	11	9	17	15	6	11	8	5	15	0	17	6	13	18	13	4	9	9	11	4	0	8	20	15	11	7	14	12	16	18	4	7	11	16	3	7	12	9	3	18	8	18	10	7	18	16	12	14	6	6	1	10	3	14	8	8	10	16	6	9	10	13	5	5	4	13	15	1	0	4	15	7	9	15	1	7	17	15	12	13	1	1	22	12	7	12	6					
		0.80%	1.21%	0.63%	0.59%	0.73%	0.74%	0.84%	1.15%	0.88%	1.17%	1.31%	0.57%	0.0%	0.0%	0.27%	0.69%	0.82%	0.68%	0.39%	8.33%	0.0%	0.28%	0.89%	0.82%	1.37%	1.22%	0.45%	0.83%	0.80%	0.41%	0.99%	0.0%	1.57%	0.47%	0.96%	1.22%	0.89%	0.29%	0.66%	0.65%	0.74%	0.31%	0.0%	0.76%	1.34%	1.00%	0.69%	0.63%	0.90%	0.77%	0.95%	0.95%	2.07%	1.08%	1.00%	1.38%	0.24%	0.60%	0.93%	0.74%	6.52%	1.23%	0.66%	1.53%	0.80%	0.50%	1.23%	1.10%	0.84%	0.90%	0.44%	0.45%	6.25%	0.79%	0.23%	1.12%	0.70%	0.60%	0.75%	1.10%	0.42%	0.68%	0.69%	0.84%	0.35%	0.34%	0.27%	0.83%	1.06%	1.44%	0.0%	0.27%	0.99%	0.47%	0.67%	1.09%	0.06%	0.49%	1.42%	0.99%	0.80%	0.94%	0.59%	5.26%	1.76%	0.89%	0.58%	0.94%	0.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5566	92	84	78	59	97	101	74	58	73	79	19	1	0	35	42	46	50	38	0	6	50	34	46	21	43	36	66	44	66	94	0	41	44	58	38	52	91	63	62	86	68	3	42	50	72	97	85	83	78	79	75	7	16	40	54	44	50	52	50	0	63	60	34	49	53	49	45	69	52	58	52	1	34	44	34	41	72	61	51	63	54	53	64	55	63	50	73	48	3	0	55	69	76	60	47	64	73	73	67	73	64	0	2	47	63	66	37	70					
		4.40%	6.59%	6.69%	6.58%	4.84%	7.20%	7.78%	5.03%	4.27%	5.69%	5.46%	3.62%	5.26%	0.0%	4.81%	3.23%	3.43%	3.82%	2.96%	0.0%	6.38%	3.56%	2.76%	4.19%	1.69%	3.50%	2.71%	5.02%	4.42%	5.53%	6.24%	0.0%	3.79%	3.45%	4.29%	2.58%	3.56%	6.81%	4.63%	4.53%	5.80%	5.40%	6.52%	4.00%	3.35%	4.83%	6.11%	7.76%	5.34%	5.06%	4.73%	3.99%	3.62%	2.46%	3.65%	4.67%	3.57%	4.33%	4.04%	4.12%	0.0%	4.30%	4.97%	2.90%	3.92%	3.83%	3.37%	3.10%	4.87%	3.36%	4.31%	3.96%	6.25%	2.69%	3.42%	2.72%	3.61%	5.45%	4.62%	3.50%	4.45%	4.09%	3.68%	4.17%	3.89%	4.30%	3.42%	4.69%	3.41%	4.34%	0.0%	3.81%	4.56%	5.12%	4.48%	3.44%	4.27%	5.18%	6.11%	4.44%	4.87%	4.64%	0.0%	10.52%	3.78%	4.70%	5.51%	2.92%	5.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	4672	32	32	33	38	42	24	39	38	30	30	14	1	0	22	55	35	44	57	0	10	40	56	68	44	44	48	31	24	45	47	1	31	25	62	56	62	45	70	70	53	48	1	27	65	64	64	36	58	45	73	55	1	15	27	42	35	44	25	39	6	54	53	59	47	58	62	62	51	65	59	53	3	65	52	60	53	42	43	46	47	50	55	53	62	52	50	59	53	3	0	60	60	79	74	80	79	36	35	64	56	47	12	0	65	54	49	37	46					
		3.69%	2.29%	2.54%	2.78%	3.11%	3.11%	1.85%	2.65%	2.79%	2.34%	2.07%	2.67%	5.26%	0.0%	3.02%	4.23%	2.61%	3.36%	4.44%	0.0%	10.63%	2.85%	4.56%	6.19%	3.55%	3.58%	3.62%	2.35%	2.41%	3.77%	3.12%	7.69%	2.87%	1.96%	4.59%	3.80%	4.25%	3.37%	5.15%	5.12%	3.57%	3.81%	2.17%	2.57%	4.36%	4.29%	4.03%	3.29%	3.73%	2.92%	4.37%	2.93%	0.51%	2.31%	2.46%	3.63%	2.84%	3.81%	1.94%	3.21%	13.04%	3.69%	4.39%	5.03%	3.76%	4.19%	4.26%	4.28%	3.60%	4.20%	4.38%	4.03%	18.75%	5.15%	4.04%	4.80%	4.66%	3.18%	3.26%	3.16%	3.32%	3.78%	3.81%	3.45%	4.39%	3.55%	3.42%	3.79%	3.76%	4.34%	0.0%	4.16%	3.97%	5.32%	5.52%	5.86%	5.27%	2.55%	2.93%	4.24%	3.74%	3.40%	7.18%	0.0%	5.22%	4.02%	4.09%	2.92%	3.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6747	95	69	61	51	59	86	69	86	76	110	26	1	0	39	86	83	63	70	2	4	58	60	37	52	47	57	40	42	65	82	2	48	57	63	68	67	101	68	52	117	89	3	38	76	88	118	73	91	109	92	68	2	10	55	33	65	46	58	47	5	71	46	37	84	80	68	88	86	79	79	57	0	80	56	63	46	76	51	93	86	61	87	76	101	90	94	81	75	3	0	80	66	87	66	77	90	74	83	90	94	62	7	2	66	96	75	81	72					
		5.33%	6.81%	5.49%	5.14%	4.18%	4.38%	6.63%	4.69%	6.33%	5.92%	7.60%	4.96%	5.26%	0.0%	5.36%	6.62%	6.19%	4.81%	5.46%	16.66%	4.25%	4.13%	4.88%	3.37%	4.20%	3.83%	4.30%	3.04%	4.22%	5.45%	5.44%	15.38%	4.44%	4.48%	4.67%	4.62%	4.59%	7.56%	5.00%	3.80%	7.89%	7.06%	6.52%	3.62%	5.10%	5.91%	7.44%	6.67%	5.86%	7.08%	5.51%	3.62%	1.03%	1.54%	5.02%	2.85%	5.28%	3.98%	4.51%	3.87%	10.86%	4.85%	3.81%	3.15%	6.72%	5.78%	4.68%	6.08%	6.07%	5.10%	5.87%	4.34%	0.0%	6.33%	4.35%	5.04%	4.05%	5.76%	3.86%	6.40%	6.08%	4.62%	6.04%	4.96%	7.15%	6.15%	6.43%	5.20%	5.33%	4.34%	0.0%	5.55%	4.37%	5.86%	4.92%	5.64%	6.01%	5.25%	6.95%	5.96%	6.27%	4.49%	4.19%	10.52%	5.30%	7.16%	6.27%	6.39%	5.57%					
22	"5. ""За Русь Святую"""	472	3	2	1	4	4	3	0	2	4	6	2	0	0	1	6	3	1	6	0	3	4	2	4	1	7	1	5	2	7	9	0	7	6	6	3	2	4	7	11	12	2	0	6	4	10	3	7	9	8	5	6	3	2	2	6	3	0	2	4	2	6	5	5	2	6	16	8	8	3	5	7	1	12	8	4	1	5	3	10	7	4	5	5	8	4	6	6	4	0	0	6	6	9	9	3	8	1	2	3	4	2	2	0	5	3	1	4	5					
		0.37%	0.21%	0.15%	0.08%	0.32%	0.29%	0.23%	0.0%	0.14%	0.31%	0.41%	0.38%	0.0%	0.0%	0.13%	0.46%	0.22%	0.07%	0.46%	0.0%	3.19%	0.28%	0.16%	0.36%	0.08%	0.57%	0.07%	0.38%	0.20%	0.58%	0.59%	0.0%	0.64%	0.47%	0.44%	0.20%	0.13%	0.29%	0.51%	0.80%	0.80%	0.15%	0.0%	0.57%	0.26%	0.67%	0.18%	0.63%	0.57%	0.51%	0.29%	0.31%	1.55%	0.30%	0.18%	0.51%	0.24%	0.0%	0.15%	0.33%	4.34%	0.41%	0.41%	0.42%	0.16%	0.43%	1.10%	0.55%	0.56%	0.19%	0.37%	0.53%	6.25%	0.95%	0.62%	0.32%	0.08%	0.37%	0.22%	0.68%	0.49%	0.30%	0.34%	0.32%	0.56%	0.27%	0.41%	0.38%	0.28%	0.0%	0.0%	0.41%	0.39%	0.60%	0.67%	0.21%	0.53%	0.07%	0.16%	0.19%	0.26%	0.14%	1.19%	0.0%	0.40%	0.22%	0.08%	0.31%	0.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	299	2	4	4	4	4	1	7	2	6	3	2	0	0	2	6	3	3	2	0	1	2	1	5	5	2	2	6	1	4	4	0	3	1	6	0	1	1	4	0	2	2	0	4	4	0	4	1	6	2	2	9	1	3	2	7	3	3	5	3	0	5	4	1	2	6	0	7	2	2	2	1	0	0	2	0	2	2	0	3	7	3	2	0	5	2	6	9	2	1	0	1	8	0	3	3	5	2	6	7	0	2	0	0	3	7	5	1	1					
		0.23%	0.14%	0.31%	0.33%	0.32%	0.29%	0.07%	0.47%	0.14%	0.46%	0.20%	0.38%	0.0%	0.0%	0.27%	0.46%	0.22%	0.22%	0.15%	0.0%	1.06%	0.14%	0.08%	0.45%	0.40%	0.16%	0.15%	0.45%	0.10%	0.33%	0.26%	0.0%	0.27%	0.07%	0.44%	0.0%	0.06%	0.07%	0.29%	0.0%	0.13%	0.15%	0.0%	0.38%	0.26%	0.0%	0.25%	0.09%	0.38%	0.12%	0.11%	0.47%	0.51%	0.46%	0.18%	0.60%	0.24%	0.25%	0.38%	0.24%	0.0%	0.34%	0.33%	0.08%	0.16%	0.43%	0.0%	0.48%	0.14%	0.12%	0.14%	0.07%	0.0%	0.0%	0.15%	0.0%	0.17%	0.15%	0.0%	0.20%	0.49%	0.22%	0.13%	0.0%	0.35%	0.13%	0.41%	0.57%	0.14%	1.44%	0.0%	0.06%	0.52%	0.0%	0.22%	0.21%	0.33%	0.14%	0.50%	0.46%	0.0%	0.14%	0.0%	0.0%	0.24%	0.52%	0.41%	0.07%	0.07%					
24	"7. ""Новый курс - Автомобильная Россия"""	834	9	7	15	8	8	12	11	11	8	16	4	0	0	10	0	5	10	11	0	0	6	1	6	14	2	6	9	12	4	11	0	11	13	10	0	6	9	9	7	7	6	0	6	15	0	13	8	10	7	4	29	3	4	9	8	7	3	16	7	1	7	11	3	15	9	4	7	4	13	7	5	1	6	8	6	11	12	10	10	3	14	5	12	12	8	11	5	7	0	0	13	8	10	3	11	17	13	7	8	11	11	1	1	13	7	15	3	12					
		0.65%	0.64%	0.55%	1.26%	0.65%	0.59%	0.92%	0.74%	0.81%	0.62%	1.10%	0.76%	0.0%	0.0%	1.37%	0.0%	0.37%	0.76%	0.85%	0.0%	0.0%	0.42%	0.08%	0.54%	1.13%	0.16%	0.45%	0.68%	1.20%	0.33%	0.73%	0.0%	1.01%	1.02%	0.74%	0.0%	0.41%	0.67%	0.66%	0.51%	0.47%	0.47%	0.0%	0.57%	1.00%	0.0%	0.82%	0.73%	0.64%	0.45%	0.23%	1.54%	1.55%	0.61%	0.82%	0.69%	0.56%	0.25%	1.24%	0.57%	2.17%	0.47%	0.91%	0.25%	1.20%	0.65%	0.27%	0.48%	0.28%	0.84%	0.52%	0.38%	6.25%	0.47%	0.62%	0.48%	0.96%	0.90%	0.75%	0.68%	0.21%	1.06%	0.34%	0.78%	0.84%	0.54%	0.75%	0.32%	0.49%	0.0%	0.0%	0.90%	0.52%	0.67%	0.22%	0.80%	1.13%	0.92%	0.58%	0.53%	0.73%	0.79%	0.59%	5.26%	1.04%	0.52%	1.25%	0.23%	0.92%					
25	"8. ""Народно-республиканская партия России"""	96	1	4	0	2	1	0	5	3	1	0	0	0	0	0	0	1	0	0	0	0	2	4	2	2	1	1	1	1	0	0	0	1	1	0	8	4	0	1	1	0	1	0	0	0	2	1	1	2	1	2	2	2	2	0	0	1	0	2	0	0	0	1	2	1	1	0	0	0	1	0	1	0	1	1	2	0	0	0	1	1	0	1	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	3	2	2					
		0.07%	0.07%	0.31%	0.0%	0.16%	0.07%	0.0%	0.34%	0.22%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.14%	0.32%	0.18%	0.16%	0.08%	0.07%	0.07%	0.10%	0.0%	0.0%	0.0%	0.09%	0.07%	0.0%	0.54%	0.27%	0.0%	0.07%	0.07%	0.0%	0.07%	0.0%	0.0%	0.0%	0.13%	0.06%	0.09%	0.12%	0.06%	0.11%	0.10%	1.03%	0.30%	0.0%	0.0%	0.08%	0.0%	0.15%	0.0%	0.0%	0.0%	0.08%	0.17%	0.08%	0.07%	0.0%	0.0%	0.0%	0.06%	0.0%	0.07%	0.0%	0.07%	0.07%	0.16%	0.0%	0.0%	0.0%	0.06%	0.07%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.06%	0.14%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.59%	0.0%	0.0%	0.07%	0.25%	0.15%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	612	9	6	5	6	6	8	8	7	11	11	5	1	0	1	3	4	2	3	0	0	1	11	4	3	9	10	7	9	2	2	0	3	8	10	5	6	15	8	5	6	5	0	9	2	4	13	6	8	11	5	34	0	1	8	8	4	6	6	7	1	5	4	2	5	5	2	2	5	6	0	5	0	4	4	5	6	5	7	6	4	7	7	7	7	11	7	12	3	2	0	14	8	11	4	7	5	6	7	10	9	6	1	0	3	9	4	3	2					
		0.48%	0.64%	0.47%	0.42%	0.49%	0.44%	0.61%	0.54%	0.51%	0.85%	0.76%	0.95%	5.26%	0.0%	0.13%	0.23%	0.29%	0.15%	0.23%	0.0%	0.0%	0.07%	0.89%	0.36%	0.24%	0.73%	0.75%	0.53%	0.90%	0.16%	0.13%	0.0%	0.27%	0.62%	0.74%	0.34%	0.41%	1.12%	0.58%	0.36%	0.40%	0.39%	0.0%	0.85%	0.13%	0.26%	0.82%	0.54%	0.51%	0.71%	0.29%	1.81%	0.0%	0.15%	0.73%	0.69%	0.32%	0.51%	0.46%	0.57%	2.17%	0.34%	0.33%	0.17%	0.40%	0.36%	0.13%	0.13%	0.35%	0.38%	0.0%	0.38%	0.0%	0.31%	0.31%	0.40%	0.52%	0.37%	0.53%	0.41%	0.28%	0.53%	0.48%	0.45%	0.49%	0.75%	0.47%	0.77%	0.21%	2.89%	0.0%	0.97%	0.52%	0.74%	0.29%	0.51%	0.33%	0.42%	0.58%	0.66%	0.60%	0.43%	0.59%	0.0%	0.24%	0.67%	0.33%	0.23%	0.15%					
27	"10. ""Аграрная партия России"""	3480	33	34	38	38	29	28	36	25	35	37	18	1	0	16	43	33	31	40	2	6	33	39	31	25	30	21	29	32	39	48	0	29	37	39	34	38	35	32	29	42	49	0	29	44	32	49	29	48	32	53	28	1	18	26	33	40	29	28	34	2	39	41	28	30	44	36	46	31	40	43	33	0	42	37	30	53	46	41	46	39	33	54	46	39	33	47	46	45	5	0	49	50	56	34	34	41	35	32	35	29	39	5	0	40	42	22	42	33					
