Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Альметьевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	491	21	10	10	5	5	5	5	5	5	5	5	5	10	15	5	20	10	5	5	10	5	5	10	10	5	5	10	10	10	10	10	5	10	10	5	20	20	5	5	10	5	5	5	5	5	5	5	5	5	5	25	25	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	243	17	8	10	3	0	2	4	3	0	0	3	0	1	9	0	12	2	0	0	3	0	5	5	10	4	4	4	4	5	0	0	2	0	0	3	10	8	0	1	5	0	4	0	5	0	2	1	3	1	2	23	24	11	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	468	4	14	8	3	8	3	9	2	14	4	8	2	1	14	14	17	11	8	12	7	38	9	7	6	9	8	12	9	26	5	2	2	4	14	31	8	2	0	10	13	2	5	4	8	11	2	5	23	2	7	7	3	10	1									
14	Число погашенных неиспользованных открепительных удостоверений	248	4	2	0	2	5	3	1	2	5	5	2	5	9	6	5	8	8	5	5	7	5	0	5	0	1	1	6	6	5	10	10	3	10	10	2	10	12	5	4	5	5	1	5	0	5	3	4	2	4	3	2	1	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	1	4	2	2	0	0	3	0	0	2	0	4	1	3	3	2	0	0	0	2	3	4	0	6	0	2	3	0	1	0	2	0	3	0	2	3	3	2	0	0	0	2	0	4	0	0	0	0	0	0	1	1	9	0									
		0.22%	0.07%	0.35%	0.43%	0.84%	0.00%	0.00%	0.49%	0.00%	0.00%	0.74%	0.00%	0.74%	0.12%	0.46%	0.73%	0.14%	0.00%	0.00%	0.00%	0.31%	0.66%	1.17%	0.00%	0.39%	0.00%	0.37%	0.39%	0.00%	0.16%	0.00%	0.36%	0.00%	0.28%	0.00%	0.24%	0.19%	0.22%	1.74%	0.00%	0.00%	0.00%	0.35%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.06%	0.45%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	257	5	10	6	1	1	0	4	0	0	2	0	7	2	12	2	3	3	2	0	2	2	13	37	5	0	6	9	0	4	4	3	2	6	8	3	7	8	0	0	0	0	10	1	26	0	2	3	2	0	0	2	2	27	3									
		0.71%	0.36%	0.88%	1.28%	0.42%	0.41%	0.00%	0.65%	0.00%	0.00%	0.74%	0.00%	1.29%	0.25%	1.83%	0.49%	0.22%	0.59%	0.50%	0.00%	0.31%	0.44%	3.81%	3.00%	0.32%	0.00%	1.11%	1.17%	0.00%	0.66%	0.57%	0.54%	1.22%	0.56%	1.32%	0.35%	0.45%	0.59%	0.00%	0.00%	0.00%	0.00%	1.77%	0.50%	4.16%	0.00%	0.91%	0.36%	0.34%	0.00%	0.00%	0.12%	0.12%	1.35%	0.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	124	8	4	1	1	0	0	4	0	0	4	0	4	3	1	0	2	0	0	0	5	2	7	3	4	5	1	0	0	2	3	2	0	2	0	7	5	7	0	2	0	0	2	0	4	0	0	6	0	0	0	3	2	18	0									
		0.34%	0.58%	0.35%	0.21%	0.42%	0.00%	0.00%	0.65%	0.00%	0.00%	1.48%	0.00%	0.74%	0.37%	0.15%	0.00%	0.14%	0.00%	0.00%	0.00%	0.78%	0.44%	2.05%	0.24%	0.26%	1.07%	0.19%	0.00%	0.00%	0.33%	0.42%	0.36%	0.00%	0.19%	0.00%	0.83%	0.32%	0.52%	0.00%	0.54%	0.00%	0.00%	0.35%	0.00%	0.64%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.18%	0.12%	0.90%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33458	1299	1049	442	217	236	275	567	292	86	250	276	502	751	603	378	1268	472	381	131	589	422	207	1146	1435	440	502	670	473	561	656	503	161	993	572	790	1429	1241	110	347	484	128	526	179	576	267	201	778	558	219	483	1590	1578	1677	1492									
		91.96%	94.20%	92.02%	94.04%	91.18%	96.72%	97.17%	91.90%	83.67%	78.18%	92.25%	95.17%	92.62%	93.06%	91.92%	92.20%	91.75%	93.10%	95.97%	92.25%	92.32%	92.14%	60.70%	93.02%	92.16%	94.02%	92.96%	86.90%	87.92%	91.97%	92.92%	91.12%	98.17%	92.03%	94.70%	93.16%	92.37%	92.20%	95.65%	93.28%	95.46%	93.43%	92.93%	89.05%	92.16%	92.07%	91.78%	92.29%	94.26%	95.22%	92.00%	94.19%	95.00%	83.98%	94.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	3	0	3	1	0	0	4	1	0	0	0	1	0	1	0	1	0	0	1	2	0	1	0	2	0	1	0	0	0	2	2	0	1	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	5	0									
		0.11%	0.22%	0.00%	0.64%	0.42%	0.00%	0.00%	0.65%	0.29%	0.00%	0.00%	0.00%	0.18%	0.00%	0.15%	0.00%	0.07%	0.00%	0.00%	0.70%	0.31%	0.00%	0.29%	0.00%	0.13%	0.00%	0.19%	0.00%	0.00%	0.00%	0.28%	0.36%	0.00%	0.09%	0.00%	0.24%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.06%	0.25%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0									
		0.10%	0.07%	0.00%	0.21%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.18%	0.00%	0.09%	0.00%	0.12%	0.26%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	715	26	18	5	6	6	6	6	16	4	3	6	8	18	4	7	40	10	6	4	11	15	52	16	40	5	9	15	12	10	9	12	0	10	12	18	26	20	1	8	4	0	10	8	4	4	4	15	6	6	19	18	16	65	36									
		1.97%	1.89%	1.58%	1.06%	2.52%	2.46%	2.12%	0.97%	4.58%	3.64%	1.11%	2.07%	1.48%	2.23%	0.61%	1.71%	2.89%	1.97%	1.51%	2.82%	1.72%	3.28%	15.25%	1.30%	2.57%	1.07%	1.67%	1.95%	2.23%	1.64%	1.27%	2.17%	0.00%	0.93%	1.99%	2.12%	1.68%	1.49%	0.87%	2.15%	0.79%	0.00%	1.77%	3.98%	0.64%	1.38%	1.83%	1.78%	1.01%	2.61%	3.62%	1.07%	0.96%	3.25%	2.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	40	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	2	0	0	5	0	1	0	0	0	2	1	0	2	0	0	3	1	0	0	0	0	2	0	0	0	0	0	2	0	0	6	0	4	0									
		0.11%	0.07%	0.00%	0.21%	0.00%	0.00%	0.35%	0.16%	0.29%	0.00%	0.37%	0.00%	0.18%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.16%	0.44%	0.00%	0.00%	0.32%	0.00%	0.19%	0.00%	0.00%	0.00%	0.28%	0.18%	0.00%	0.19%	0.00%	0.00%	0.19%	0.07%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.36%	0.00%	0.20%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	2	2	0	0	0	0	2	0	1	3	0	1	0	0	1	1	0	0	0	2	0	1	0	4	0	2	0	0	0	4	2	0	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0									
		0.12%	0.15%	0.18%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.91%	1.11%	0.00%	0.18%	0.00%	0.00%	0.24%	0.07%	0.00%	0.00%	0.00%	0.31%	0.00%	0.29%	0.00%	0.26%	0.00%	0.37%	0.00%	0.00%	0.00%	0.57%	0.36%	0.00%	0.09%	0.00%	0.24%	0.06%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.20%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	3	0	1	0	0	1	3	0	0	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	4	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.24%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.19%	0.00%	0.19%	0.00%	0.00%	0.16%	0.42%	0.00%	0.00%	0.09%	0.00%	0.35%	0.06%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.24%	0.00%	0.20%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	77	2	4	0	2	0	0	4	0	0	1	0	0	2	0	0	5	0	0	0	2	1	1	4	2	0	2	3	0	1	5	2	0	2	0	2	3	4	0	1	0	0	1	0	5	0	0	2	1	0	0	3	2	6	2									
		0.21%	0.15%	0.35%	0.00%	0.84%	0.00%	0.00%	0.65%	0.00%	0.00%	0.37%	0.00%	0.00%	0.25%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.31%	0.22%	0.29%	0.32%	0.13%	0.00%	0.37%	0.39%	0.00%	0.16%	0.71%	0.36%	0.00%	0.19%	0.00%	0.24%	0.19%	0.30%	0.00%	0.27%	0.00%	0.00%	0.18%	0.00%	0.80%	0.00%	0.00%	0.24%	0.17%	0.00%	0.00%	0.18%	0.12%	0.30%	0.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1034	20	45	5	5	1	1	12	7	2	1	6	6	23	26	14	45	15	6	3	15	6	44	4	33	18	11	20	27	27	11	15	0	50	10	10	41	47	1	12	17	7	10	5	0	14	10	33	10	5	23	32	43	161	19									
		2.84%	1.45%	3.95%	1.06%	2.10%	0.41%	0.35%	1.94%	2.01%	1.82%	0.37%	2.07%	1.11%	2.85%	3.96%	3.41%	3.26%	2.96%	1.51%	2.11%	2.35%	1.31%	12.90%	0.32%	2.12%	3.85%	2.04%	2.59%	5.02%	4.43%	1.56%	2.72%	0.00%	4.63%	1.66%	1.18%	2.65%	3.49%	0.87%	3.23%	3.35%	5.11%	1.77%	2.49%	0.00%	4.83%	4.57%	3.91%	1.69%	2.17%	4.38%	1.90%	2.59%	8.06%	1.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	1	0	1	0	0	0	1	1	0	0	0	1	1	1	2	1	0	0	0	0	2	1	0	3	0	0	0	0	0	0	1	0	1	0	0	4	4	1	0	0	0	1	0	2	0	0	0	0	0	0	2	1	3	4									
		0.11%	0.07%	0.00%	0.21%	0.00%	0.00%	0.00%	0.16%	0.29%	0.00%	0.00%	0.00%	0.18%	0.12%	0.15%	0.49%	0.07%	0.00%	0.00%	0.00%	0.00%	0.44%	0.29%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.09%	0.00%	0.00%	0.26%	0.30%	0.87%	0.00%	0.00%	0.00%	0.18%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.06%	0.15%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	203	7	4	3	0	0	0	5	2	1	0	2	3	2	5	2	6	7	1	1	3	3	5	17	9	0	2	6	0	2	4	1	1	3	0	2	17	3	0	1	2	2	2	1	4	5	2	4	0	0	0	9	12	9	21									
		0.56%	0.51%	0.35%	0.64%	0.00%	0.00%	0.00%	0.81%	0.57%	0.91%	0.00%	0.69%	0.55%	0.25%	0.76%	0.49%	0.43%	1.38%	0.25%	0.70%	0.47%	0.66%	1.47%	1.38%	0.58%	0.00%	0.37%	0.78%	0.00%	0.33%	0.57%	0.18%	0.61%	0.28%	0.00%	0.24%	1.10%	0.22%	0.00%	0.27%	0.39%	1.46%	0.35%	0.50%	0.64%	1.72%	0.91%	0.47%	0.00%	0.00%	0.00%	0.53%	0.72%	0.45%	1.33%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
