Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Кольская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №275	УИК №276	УИК №277	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК  298	УИК №500	УИК №501	УИК №502	УИК №503					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	950	3	20	3	6	8	5	20	50	30	20	50	4	60	80	60	60	30	70	30	60	80	20	40	40	10	5	20	20	36	10	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	164	0	8	0	3	1	0	4	12	9	5	8	1	3	11	12	13	1	4	3	8	11	1	5	7	2	0	8	3	20	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	167	2	0	0	1	1	33	3	4	3	1	0	0	2	2	6	7	0	3	0	3	1	0	1	7	0	1	2	0	11	1	72	0	0	0	0					
14	Число погашенных открепительных удостоверений	786	3	12	3	3	7	5	16	38	21	15	42	3	57	69	48	47	29	66	27	52	69	19	35	33	8	5	12	17	16	9	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	160	2	8	2	1	0	1	10	9	4	6	7	0	12	4	3	5	6	7	8	6	9	6	9	9	3	1	15	7	0	0	0	0	0	0	0					
		0.82%	5.55%	1.62%	4.65%	0.77%	0.0%	1.16%	1.95%	0.76%	0.56%	1.38%	0.76%	0.0%	1.00%	0.28%	0.25%	0.44%	1.43%	0.59%	1.33%	0.52%	0.62%	1.06%	1.01%	0.93%	0.97%	1.17%	1.45%	1.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	416	0	3	2	0	0	2	10	17	20	12	17	1	22	31	30	29	17	40	15	37	41	5	11	7	4	0	15	7	9	4	6	1	1	0	0					
		2.15%	0.0%	0.61%	4.65%	0.0%	0.0%	2.32%	1.95%	1.43%	2.83%	2.77%	1.85%	5.0%	1.83%	2.19%	2.5%	2.59%	4.06%	3.41%	2.50%	3.26%	2.85%	0.88%	1.24%	0.72%	1.29%	0.0%	1.45%	1.39%	3.28%	2.63%	7.31%	3.33%	3.57%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	943	4	15	0	3	1	0	23	30	24	17	62	0	47	58	42	81	16	63	26	74	85	31	47	102	16	1	21	25	14	8	5	0	0	1	1					
		4.87%	11.11%	3.05%	0.0%	2.32%	0.64%	0.0%	4.50%	2.53%	3.40%	3.93%	6.78%	0.0%	3.91%	4.11%	3.5%	7.23%	3.82%	5.37%	4.34%	6.53%	5.92%	5.50%	5.31%	10.59%	5.17%	1.17%	2.03%	4.97%	5.10%	5.26%	6.09%	0.0%	0.0%	4.54%	3.33%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	766	1	4	1	3	6	3	6	22	13	36	41	0	37	72	48	48	15	72	27	100	95	14	19	18	1	3	26	6	6	10	4	4	0	3	2					
		3.96%	2.77%	0.81%	2.32%	2.32%	3.89%	3.48%	1.17%	1.86%	1.84%	8.33%	4.48%	0.0%	3.08%	5.10%	4.0%	4.28%	3.58%	6.14%	4.50%	8.82%	6.62%	2.48%	2.14%	1.86%	0.32%	3.52%	2.52%	1.19%	2.18%	6.57%	4.87%	13.33%	0.0%	13.63%	6.66%					
22	"5. ""За Русь Святую"""	63	0	0	0	1	1	1	2	8	4	5	0	0	2	5	4	1	0	4	0	4	2	1	3	4	2	0	3	2	0	2	0	1	0	1	0					
		0.32%	0.0%	0.0%	0.0%	0.77%	0.64%	1.16%	0.39%	0.67%	0.56%	1.15%	0.0%	0.0%	0.16%	0.35%	0.33%	0.08%	0.0%	0.34%	0.0%	0.35%	0.13%	0.17%	0.33%	0.41%	0.64%	0.0%	0.29%	0.39%	0.0%	1.31%	0.0%	3.33%	0.0%	4.54%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	0	0	0	0	1	0	1	3	4	1	4	0	3	1	4	4	0	3	4	5	1	3	0	3	1	0	3	0	0	0	2	0	2	0	0					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.19%	0.25%	0.56%	0.23%	0.43%	0.0%	0.25%	0.07%	0.33%	0.35%	0.0%	0.25%	0.66%	0.44%	0.06%	0.53%	0.0%	0.31%	0.32%	0.0%	0.29%	0.0%	0.0%	0.0%	2.43%	0.0%	7.14%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	168	0	2	1	0	0	0	7	13	3	2	5	0	13	9	5	10	5	11	4	12	14	8	7	7	2	1	19	5	3	0	0	0	0	0	0					
		0.86%	0.0%	0.40%	2.32%	0.0%	0.0%	0.0%	1.36%	1.09%	0.42%	0.46%	0.54%	0.0%	1.08%	0.63%	0.41%	0.89%	1.19%	0.93%	0.66%	1.05%	0.97%	1.42%	0.79%	0.72%	0.64%	1.17%	1.84%	0.99%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	38	0	1	0	1	2	0	0	4	3	0	2	0	1	0	4	3	0	2	2	2	0	0	0	4	2	0	3	1	0	1	0	0	0	0	0					
		0.19%	0.0%	0.20%	0.0%	0.77%	1.29%	0.0%	0.0%	0.33%	0.42%	0.0%	0.21%	0.0%	0.08%	0.0%	0.33%	0.26%	0.0%	0.17%	0.33%	0.17%	0.0%	0.0%	0.0%	0.41%	0.64%	0.0%	0.29%	0.19%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	76	1	0	0	1	0	0	0	11	2	0	2	1	5	6	2	2	0	9	1	6	7	3	4	2	0	0	6	3	0	0	1	0	1	0	0					
		0.39%	2.77%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.93%	0.28%	0.0%	0.21%	5.0%	0.41%	0.42%	0.16%	0.17%	0.0%	0.76%	0.16%	0.52%	0.48%	0.53%	0.45%	0.20%	0.0%	0.0%	0.58%	0.59%	0.0%	0.0%	1.21%	0.0%	3.57%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	400	0	9	0	0	2	0	4	13	30	10	24	0	21	25	20	23	6	12	17	22	24	9	37	14	5	3	2	60	3	4	0	0	0	1	0					
		2.06%	0.0%	1.83%	0.0%	0.0%	1.29%	0.0%	0.78%	1.09%	4.25%	2.31%	2.62%	0.0%	1.75%	1.77%	1.66%	2.05%	1.43%	1.02%	2.83%	1.94%	1.67%	1.59%	4.18%	1.45%	1.61%	3.52%	0.19%	11.92%	1.09%	2.63%	0.0%	0.0%	0.0%	4.54%	0.0%					
28	"11. ""Истинные патриоты России"""	20	0	0	0	0	0	0	0	3	3	1	2	0	2	0	0	0	0	1	0	1	0	0	3	0	0	2	1	1	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.42%	0.23%	0.21%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.08%	0.0%	0.0%	0.33%	0.0%	0.0%	2.35%	0.09%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	251	0	4	0	0	1	2	11	17	4	3	17	0	20	30	14	8	7	22	14	12	22	8	5	6	3	0	8	4	5	1	2	0	0	0	1					
		1.29%	0.0%	0.81%	0.0%	0.0%	0.64%	2.32%	2.15%	1.43%	0.56%	0.69%	1.85%	0.0%	1.66%	2.12%	1.16%	0.71%	1.67%	1.87%	2.33%	1.05%	1.53%	1.42%	0.56%	0.62%	0.97%	0.0%	0.77%	0.79%	1.82%	0.65%	2.43%	0.0%	0.0%	0.0%	3.33%					
30	"13. ""Демократическая партия России"""	44	0	2	0	1	0	0	2	1	2	6	4	0	1	2	0	1	0	6	0	3	2	1	2	2	0	0	1	4	0	1	0	0	0	0	0					
		0.22%	0.0%	0.40%	0.0%	0.77%	0.0%	0.0%	0.39%	0.08%	0.28%	1.38%	0.43%	0.0%	0.08%	0.14%	0.0%	0.08%	0.0%	0.51%	0.0%	0.26%	0.13%	0.17%	0.22%	0.20%	0.0%	0.0%	0.09%	0.79%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	31	0	2	0	0	0	1	1	4	0	0	0	0	4	2	2	1	0	1	1	0	2	2	1	1	1	0	2	1	1	1	0	0	0	0	0					
		0.16%	0.0%	0.40%	0.0%	0.0%	0.0%	1.16%	0.19%	0.33%	0.0%	0.0%	0.0%	0.0%	0.33%	0.14%	0.16%	0.08%	0.0%	0.08%	0.16%	0.0%	0.13%	0.35%	0.11%	0.10%	0.32%	0.0%	0.19%	0.19%	0.36%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	38	1	2	0	1	0	0	2	1	1	0	1	0	1	2	2	1	0	3	1	3	1	1	3	1	2	0	4	1	0	0	1	2	0	0	0					
		0.19%	2.77%	0.40%	0.0%	0.77%	0.0%	0.0%	0.39%	0.08%	0.14%	0.0%	0.10%	0.0%	0.08%	0.14%	0.16%	0.08%	0.0%	0.25%	0.16%	0.26%	0.06%	0.17%	0.33%	0.10%	0.64%	0.0%	0.38%	0.19%	0.0%	0.0%	1.21%	6.66%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1729	0	13	0	9	6	3	31	84	61	58	72	0	102	171	144	110	35	154	38	143	178	39	57	84	23	2	57	18	23	9	3	0	1	0	1					
		8.93%	0.0%	2.64%	0.0%	6.97%	3.89%	3.48%	6.06%	7.10%	8.65%	13.42%	7.87%	0.0%	8.50%	12.12%	12.0%	9.83%	8.37%	13.13%	6.34%	12.62%	12.40%	6.92%	6.44%	8.72%	7.44%	2.35%	5.53%	3.57%	8.39%	5.92%	3.65%	0.0%	3.57%	0.0%	3.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	0	2	0	0	1	0	2	1	3	0	1	0	1	1	2	1	0	0	0	1	1	0	4	2	0	0	2	0	0	0	0	0	0	0	0					
		0.12%	0.0%	0.40%	0.0%	0.0%	0.64%	0.0%	0.39%	0.08%	0.42%	0.0%	0.10%	0.0%	0.08%	0.07%	0.16%	0.08%	0.0%	0.0%	0.0%	0.08%	0.06%	0.0%	0.45%	0.20%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3327	3	72	3	16	12	25	66	226	142	65	184	6	230	223	221	187	71	156	108	155	204	118	159	187	45	17	221	90	51	24	21	4	4	3	8					
		17.20%	8.33%	14.66%	6.97%	12.40%	7.79%	29.06%	12.91%	19.12%	20.14%	15.04%	20.13%	30.0%	19.18%	15.81%	18.41%	16.71%	16.98%	13.31%	18.03%	13.68%	14.21%	20.95%	17.98%	19.41%	14.56%	20.0%	21.45%	17.89%	18.61%	15.78%	25.60%	13.33%	14.28%	13.63%	26.66%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	331	0	16	0	1	4	1	8	18	15	13	17	0	20	25	40	24	7	17	8	21	0	6	8	21	9	2	17	3	5	3	1	0	1	0	0					
		1.71%	0.0%	3.25%	0.0%	0.77%	2.59%	1.16%	1.56%	1.52%	2.12%	3.00%	1.85%	0.0%	1.66%	1.77%	3.33%	2.14%	1.67%	1.45%	1.33%	1.85%	0.0%	1.06%	0.90%	2.18%	2.91%	2.35%	1.65%	0.59%	1.82%	1.97%	1.21%	0.0%	3.57%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	7886	16	278	32	71	99	36	232	546	268	166	349	6	508	525	452	426	173	434	244	416	540	238	367	337	126	51	493	220	121	66	27	3	5	8	7					
		40.76%	44.44%	56.61%	74.41%	55.03%	64.28%	41.86%	45.40%	46.19%	38.01%	38.42%	38.18%	30.0%	42.36%	37.23%	37.66%	38.06%	41.38%	37.03%	40.73%	36.71%	37.63%	42.27%	41.51%	34.99%	40.77%	60.0%	47.86%	43.73%	44.16%	43.42%	32.92%	10.0%	17.85%	36.36%	23.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	0	0	1	2	0	0	3	5	2	2	4	0	1	0	3	1	0	1	1	1	0	2	2	2	1	0	2	1	0	0	0	0	0	0	0					
		0.19%	0.0%	0.0%	2.32%	1.55%	0.0%	0.0%	0.58%	0.42%	0.28%	0.46%	0.43%	0.0%	0.08%	0.0%	0.25%	0.08%	0.0%	0.08%	0.16%	0.08%	0.0%	0.35%	0.22%	0.20%	0.32%	0.0%	0.19%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	53	0	0	0	0	0	0	1	3	0	0	2	0	2	5	1	1	0	1	1	2	29	0	0	1	1	0	1	2	0	0	0	0	0	0	0					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.25%	0.0%	0.0%	0.21%	0.0%	0.16%	0.35%	0.08%	0.08%	0.0%	0.08%	0.16%	0.17%	2.02%	0.0%	0.0%	0.10%	0.32%	0.0%	0.09%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1341	0	27	0	8	6	6	46	69	46	19	47	6	72	146	97	98	42	79	32	51	110	39	56	111	44	0	40	12	15	8	4	1	1	0	3					
		6.93%	0.0%	5.49%	0.0%	6.20%	3.89%	6.97%	9.00%	5.83%	6.52%	4.39%	5.14%	30.0%	6.00%	10.35%	8.08%	8.75%	10.04%	6.74%	5.34%	4.50%	7.66%	6.92%	6.33%	11.52%	14.23%	0.0%	3.88%	2.38%	5.47%	5.26%	4.87%	3.33%	3.57%	0.0%	10.0%					
																																										
41	Против всех	944	6	21	0	10	11	4	30	47	38	7	35	0	63	52	57	37	14	68	40	47	60	20	71	36	16	2	63	21	17	8	5	14	12	5	7					
		4.88%	16.66%	4.27%	0.0%	7.75%	7.14%	4.65%	5.87%	3.97%	5.39%	1.62%	3.82%	0.0%	5.25%	3.68%	4.75%	3.30%	3.34%	5.80%	6.67%	4.14%	4.18%	3.55%	8.03%	3.73%	5.17%	2.35%	6.11%	4.17%	6.20%	5.26%	6.09%	46.66%	42.85%	22.72%	23.33%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
