Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Набережные Челны, Автозаводская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	77794	663	1539	1622	1489	1407	1540	1582	1343	1702	1555	1192	978	1059	1381	1059	1263	1153	1209	1577	1409	1254	1395	1642	1518	1396	1511	1354	1632	1408	1463	1502	1552	1509	1375	1105	1473	1502	1506	1552	1563	1495	1576	1593	1531	1173	1616	1548	1401	1467	1362	1358	1261	1280	590	1263	1346									
		79.50%	79.50%	81.51%	79.12%	80.10%	80.03%	80.92%	80.02%	79.05%	80.89%	78.46%	80.70%	79.97%	79.09%	78.29%	78.27%	78.50%	78.81%	78.66%	79.01%	81.07%	79.07%	79.08%	78.56%	78.61%	79.36%	79.19%	80.17%	80.00%	78.88%	78.49%	79.18%	80.04%	80.01%	79.25%	80.48%	80.27%	79.43%	79.01%	79.18%	79.30%	79.48%	80.00%	79.65%	78.80%	79.47%	80.32%	80.17%	79.20%	79.04%	79.05%	80.36%	79.06%	78.38%	79.19%	79.63%	80.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	76	1	1	2	1	0	1	1	0	0	3	0	0	3	2	2	2	1	1	2	2	0	2	0	2	0	1	1	2	2	0	2	0	1	0	1	2	3	0	0	4	2	2	6	0	5	0	0	2	2	3	1	0	2	1	2	0									
		0.08%	0.12%	0.05%	0.10%	0.05%	0.00%	0.05%	0.05%	0.00%	0.00%	0.15%	0.00%	0.00%	0.22%	0.11%	0.15%	0.12%	0.07%	0.07%	0.10%	0.12%	0.00%	0.11%	0.00%	0.10%	0.00%	0.05%	0.06%	0.10%	0.11%	0.00%	0.11%	0.00%	0.05%	0.00%	0.07%	0.11%	0.16%	0.00%	0.00%	0.20%	0.11%	0.10%	0.30%	0.00%	0.34%	0.00%	0.00%	0.11%	0.11%	0.17%	0.06%	0.00%	0.12%	0.13%	0.13%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	70	1	1	1	0	0	1	1	2	0	0	0	0	2	1	1	2	1	0	1	2	0	2	0	1	0	0	7	1	1	1	0	0	0	0	2	0	2	0	5	0	0	2	4	2	2	0	0	2	7	4	0	0	1	2	2	3									
		0.07%	0.12%	0.05%	0.05%	0.00%	0.00%	0.05%	0.05%	0.12%	0.00%	0.00%	0.00%	0.00%	0.15%	0.06%	0.07%	0.12%	0.07%	0.00%	0.05%	0.12%	0.00%	0.11%	0.00%	0.05%	0.00%	0.00%	0.41%	0.05%	0.06%	0.05%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.11%	0.00%	0.26%	0.00%	0.00%	0.10%	0.20%	0.10%	0.14%	0.00%	0.00%	0.11%	0.38%	0.23%	0.00%	0.00%	0.06%	0.27%	0.13%	0.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1399	20	5	9	28	27	18	8	21	10	59	15	16	15	60	8	33	15	9	20	55	10	43	31	26	18	22	15	7	21	28	26	38	16	10	11	21	3	23	52	69	18	17	35	74	28	28	24	33	46	59	4	20	15	10	31	16									
		1.43%	2.40%	0.26%	0.44%	1.51%	1.54%	0.95%	0.40%	1.24%	0.48%	2.98%	1.02%	1.31%	1.12%	3.40%	0.59%	2.05%	1.03%	0.59%	1.00%	3.16%	0.63%	2.44%	1.48%	1.35%	1.02%	1.15%	0.89%	0.34%	1.18%	1.50%	1.37%	1.96%	0.85%	0.58%	0.80%	1.14%	0.16%	1.21%	2.65%	3.50%	0.96%	0.86%	1.75%	3.81%	1.90%	1.39%	1.24%	1.87%	2.48%	3.42%	0.24%	1.25%	0.92%	1.34%	1.95%	0.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	151	1	2	2	0	1	2	4	1	0	0	2	2	21	10	10	3	4	1	1	0	0	2	2	1	0	0	4	1	5	2	0	0	3	8	2	0	2	1	1	2	2	8	3	2	3	4	2	3	11	2	2	0	5	0	1	0									
		0.15%	0.12%	0.11%	0.10%	0.00%	0.06%	0.11%	0.20%	0.06%	0.00%	0.00%	0.14%	0.16%	1.57%	0.57%	0.74%	0.19%	0.27%	0.07%	0.05%	0.00%	0.00%	0.11%	0.10%	0.05%	0.00%	0.00%	0.24%	0.05%	0.28%	0.11%	0.00%	0.00%	0.16%	0.46%	0.15%	0.00%	0.11%	0.05%	0.05%	0.10%	0.11%	0.41%	0.15%	0.10%	0.20%	0.20%	0.10%	0.17%	0.59%	0.12%	0.12%	0.00%	0.31%	0.00%	0.06%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	98	1	1	2	0	0	1	3	1	0	3	0	0	2	1	8	3	1	2	3	0	0	6	1	1	1	2	2	3	1	1	1	0	0	6	3	0	3	0	3	4	3	2	2	0	5	0	0	4	6	3	0	0	1	0	2	0									
		0.10%	0.12%	0.05%	0.10%	0.00%	0.00%	0.05%	0.15%	0.06%	0.00%	0.15%	0.00%	0.00%	0.15%	0.06%	0.59%	0.19%	0.07%	0.13%	0.15%	0.00%	0.00%	0.34%	0.05%	0.05%	0.06%	0.10%	0.12%	0.15%	0.06%	0.05%	0.05%	0.00%	0.00%	0.35%	0.22%	0.00%	0.16%	0.00%	0.15%	0.20%	0.16%	0.10%	0.10%	0.00%	0.34%	0.00%	0.00%	0.23%	0.32%	0.17%	0.00%	0.00%	0.06%	0.00%	0.13%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	76	1	1	1	0	0	1	2	2	0	0	0	0	3	1	2	3	0	1	0	1	0	2	1	2	2	2	2	1	1	2	0	0	2	4	1	2	5	0	2	2	0	3	8	0	2	0	0	5	1	1	0	0	1	0	1	2									
		0.08%	0.12%	0.05%	0.05%	0.00%	0.00%	0.05%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.22%	0.06%	0.15%	0.19%	0.00%	0.07%	0.00%	0.06%	0.00%	0.11%	0.05%	0.10%	0.11%	0.10%	0.12%	0.05%	0.06%	0.11%	0.00%	0.00%	0.11%	0.23%	0.07%	0.11%	0.26%	0.00%	0.10%	0.10%	0.00%	0.15%	0.40%	0.00%	0.14%	0.00%	0.00%	0.28%	0.05%	0.06%	0.00%	0.00%	0.06%	0.00%	0.06%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	182	1	2	2	3	1	3	5	3	0	1	1	1	2	2	2	3	3	1	2	3	23	2	2	2	7	2	3	2	4	2	2	0	5	13	2	2	7	2	3	2	2	2	8	2	4	2	0	14	3	3	4	0	1	2	5	2									
		0.19%	0.12%	0.11%	0.10%	0.16%	0.06%	0.16%	0.25%	0.18%	0.00%	0.05%	0.07%	0.08%	0.15%	0.11%	0.15%	0.19%	0.21%	0.07%	0.10%	0.17%	1.45%	0.11%	0.10%	0.10%	0.40%	0.10%	0.18%	0.10%	0.22%	0.11%	0.11%	0.00%	0.27%	0.75%	0.15%	0.11%	0.37%	0.10%	0.15%	0.10%	0.11%	0.10%	0.40%	0.10%	0.27%	0.10%	0.00%	0.79%	0.16%	0.17%	0.24%	0.00%	0.06%	0.27%	0.32%	0.12%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2325	15	10	31	46	76	53	47	32	8	49	26	25	5	66	172	47	36	17	40	108	40	42	83	51	37	21	35	4	34	51	37	38	23	16	8	37	73	40	60	59	85	26	72	78	39	36	9	46	58	79	6	19	15	7	36	16									
		2.38%	1.80%	0.53%	1.51%	2.47%	4.32%	2.79%	2.38%	1.88%	0.38%	2.47%	1.76%	2.04%	0.37%	3.74%	12.71%	2.92%	2.46%	1.11%	2.00%	6.21%	2.52%	2.38%	3.97%	2.64%	2.10%	1.10%	2.07%	0.20%	1.90%	2.74%	1.95%	1.96%	1.22%	0.92%	0.58%	2.02%	3.86%	2.10%	3.06%	2.99%	4.52%	1.32%	3.60%	4.01%	2.64%	1.79%	0.47%	2.60%	3.13%	4.59%	0.36%	1.19%	0.92%	0.94%	2.27%	0.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	135	1	2	1	0	0	4	2	9	0	2	1	1	2	2	9	4	5	3	4	0	2	3	1	1	2	0	0	3	1	2	2	0	3	12	2	4	5	0	2	4	2	4	9	0	3	0	0	3	3	4	0	0	1	1	2	2									
		0.14%	0.12%	0.11%	0.05%	0.00%	0.00%	0.21%	0.10%	0.53%	0.00%	0.10%	0.07%	0.08%	0.15%	0.11%	0.67%	0.25%	0.34%	0.20%	0.20%	0.00%	0.13%	0.17%	0.05%	0.05%	0.11%	0.00%	0.00%	0.15%	0.06%	0.11%	0.11%	0.00%	0.16%	0.69%	0.15%	0.22%	0.26%	0.00%	0.10%	0.20%	0.11%	0.20%	0.45%	0.00%	0.20%	0.00%	0.00%	0.17%	0.16%	0.23%	0.00%	0.00%	0.06%	0.13%	0.13%	0.12%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2345	15	59	103	27	60	23	8	19	83	42	24	24	11	56	40	37	44	50	28	67	61	35	62	34	74	35	31	59	37	29	29	12	34	20	9	6	60	58	41	44	35	28	49	46	44	49	98	38	22	47	43	54	65	15	64	58									
		2.40%	1.80%	3.13%	5.02%	1.45%	3.41%	1.21%	0.40%	1.12%	3.94%	2.12%	1.62%	1.96%	0.82%	3.17%	2.96%	2.30%	3.01%	3.25%	1.40%	3.86%	3.85%	1.98%	2.97%	1.76%	4.21%	1.83%	1.84%	2.89%	2.07%	1.56%	1.53%	0.62%	1.80%	1.15%	0.66%	0.33%	3.17%	3.04%	2.09%	2.23%	1.86%	1.42%	2.45%	2.37%	2.98%	2.44%	5.08%	2.15%	1.19%	2.73%	2.54%	3.39%	3.98%	2.01%	4.04%	3.46%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
