Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Сакская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118									
14	Число погашенных неиспользованных открепительных удостоверений	1021	49	47	32	4	31	49	10	27	3	5	5	18	5	19	9	26	20	25	7	6	31	17	7	7	0	0	43	10	4	5	2	18	24	8	2	7	0	16	8	24	17	21	0	0	20	3	37	8	7	22	18	37	33	10	7	12	3	29	11	33	25	3	20	7	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	4	6	8	0	2	2	2	1	4	0	0	1	0	3	0	4	2	2	2	0	5	4	0	0	0	27	2	4	1	0	0	1	4	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	2	2	0	0	1	0	1	0	3	0	3	2	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	267	8	8	8	1	9	12	0	2	3	1	1	3	0	7	4	7	3	1	0	0	3	2	4	4	6	21	17	7	0	0	0	0	10	2	0	5	4	4	1	6	5	0	1	0	7	0	11	0	7	7	4	8	0	1	0	1	3	10	0	5	9	2	8	1	0	3									
		0.80%	0.63%	0.74%	1.09%	0.99%	1.02%	0.86%	0.00%	0.39%	0.36%	0.63%	0.79%	0.61%	0.00%	0.76%	2.11%	0.82%	0.52%	0.16%	0.00%	0.00%	0.36%	0.47%	1.39%	1.79%	1.86%	1.48%	1.18%	0.98%	0.00%	0.00%	0.00%	0.00%	1.25%	0.71%	0.00%	2.44%	0.70%	0.76%	0.50%	0.83%	1.08%	0.00%	0.27%	0.00%	1.03%	0.00%	1.44%	0.00%	1.80%	1.17%	0.94%	0.88%	0.00%	0.33%	0.00%	0.13%	1.86%	1.44%	0.00%	0.61%	1.22%	1.77%	1.41%	0.48%	0.00%	2.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	396	9	15	5	1	10	14	6	6	13	5	1	9	3	9	1	15	8	4	1	1	4	2	6	3	10	21	14	15	2	1	0	8	15	1	0	2	4	3	6	10	8	6	3	1	6	1	9	1	8	6	4	12	0	4	0	3	1	10	5	4	7	2	22	3	4	3									
		1.19%	0.70%	1.39%	0.68%	0.99%	1.13%	1.00%	1.73%	1.17%	1.55%	3.16%	0.79%	1.82%	2.01%	0.98%	0.53%	1.75%	1.39%	0.65%	0.27%	0.57%	0.48%	0.47%	2.09%	1.34%	3.10%	1.48%	0.97%	2.10%	0.53%	0.80%	0.00%	1.53%	1.87%	0.35%	0.00%	0.98%	0.70%	0.57%	3.02%	1.39%	1.72%	1.23%	0.82%	1.18%	0.88%	1.00%	1.18%	0.71%	2.06%	1.00%	0.94%	1.32%	0.00%	1.30%	0.00%	0.39%	0.62%	1.44%	2.40%	0.49%	0.95%	1.77%	3.88%	1.43%	5.33%	2.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	356	12	8	3	0	13	6	0	5	3	1	0	9	1	9	7	7	4	4	3	0	7	7	6	2	5	15	8	9	2	2	0	9	13	5	1	3	10	6	1	5	3	9	1	2	5	1	7	5	4	3	3	17	0	4	3	7	2	18	5	8	15	1	14	3	1	4									
		1.07%	0.94%	0.74%	0.41%	0.00%	1.47%	0.43%	0.00%	0.98%	0.36%	0.63%	0.00%	1.82%	0.67%	0.98%	3.68%	0.82%	0.70%	0.65%	0.80%	0.00%	0.84%	1.64%	2.09%	0.89%	1.55%	1.06%	0.55%	1.26%	0.53%	1.60%	0.00%	1.72%	1.62%	1.77%	1.43%	1.46%	1.75%	1.14%	0.50%	0.70%	0.65%	1.84%	0.27%	2.35%	0.74%	1.00%	0.92%	3.57%	1.03%	0.50%	0.70%	1.87%	0.00%	1.30%	1.37%	0.91%	1.24%	2.59%	2.40%	0.98%	2.03%	0.88%	2.47%	1.43%	1.33%	2.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26102	1005	777	595	77	656	1110	254	372	663	122	92	383	122	704	146	702	473	546	311	152	656	319	218	174	229	941	1081	555	343	107	50	454	667	211	58	161	491	433	158	527	378	388	280	74	575	83	547	110	294	509	357	644	864	253	173	695	143	535	174	623	558	82	351	173	48	96									
		78.45%	78.70%	72.01%	81.40%	76.24%	74.29%	79.34%	73.20%	72.66%	79.02%	77.22%	72.44%	77.37%	81.88%	76.69%	76.84%	81.82%	82.26%	88.21%	83.38%	86.86%	78.66%	74.71%	75.96%	77.68%	70.90%	66.22%	74.97%	77.62%	90.50%	85.60%	94.34%	86.97%	83.06%	74.56%	82.86%	78.54%	85.69%	82.01%	79.40%	73.30%	81.47%	79.51%	76.92%	87.06%	84.68%	83.00%	71.78%	78.57%	75.77%	84.83%	83.80%	70.93%	95.26%	82.41%	78.99%	90.03%	88.82%	77.09%	83.65%	76.54%	75.51%	72.57%	61.90%	82.38%	64.00%	66.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	189	6	3	2	0	3	7	3	6	2	1	1	0	2	5	1	6	3	3	3	1	5	10	2	1	3	8	6	5	2	0	0	2	6	4	0	3	1	5	1	8	0	4	1	0	4	1	5	1	0	0	2	8	0	1	0	0	1	4	6	7	6	1	4	1	1	1									
		0.57%	0.47%	0.28%	0.27%	0.00%	0.34%	0.50%	0.86%	1.17%	0.24%	0.63%	0.79%	0.00%	1.34%	0.54%	0.53%	0.70%	0.52%	0.48%	0.80%	0.57%	0.60%	2.34%	0.70%	0.45%	0.93%	0.56%	0.42%	0.70%	0.53%	0.00%	0.00%	0.38%	0.75%	1.41%	0.00%	1.46%	0.17%	0.95%	0.50%	1.11%	0.00%	0.82%	0.27%	0.00%	0.59%	1.00%	0.66%	0.71%	0.00%	0.00%	0.47%	0.88%	0.00%	0.33%	0.00%	0.00%	0.62%	0.58%	2.88%	0.86%	0.81%	0.88%	0.71%	0.48%	1.33%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	77	3	1	2	0	5	2	0	3	2	1	0	2	0	4	1	1	0	6	0	0	4	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	11	0	3	1	0	1	0	1	0	4	0	0	0	2	3	0	1	0	0	0	3	0	3	1	0	0	0	1	0									
		0.23%	0.23%	0.09%	0.27%	0.00%	0.57%	0.14%	0.00%	0.59%	0.24%	0.63%	0.00%	0.40%	0.00%	0.44%	0.53%	0.12%	0.00%	0.97%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.31%	0.14%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	2.08%	0.00%	0.42%	0.22%	0.00%	0.27%	0.00%	0.15%	0.00%	0.52%	0.00%	0.00%	0.00%	0.47%	0.33%	0.00%	0.33%	0.00%	0.00%	0.00%	0.43%	0.00%	0.37%	0.14%	0.00%	0.00%	0.00%	1.33%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2878	135	139	49	16	94	145	50	27	67	10	17	46	5	71	13	51	35	23	19	6	75	42	26	18	29	274	140	30	14	6	1	24	40	29	3	15	39	33	16	51	22	46	46	1	55	10	77	8	39	33	26	140	28	26	37	41	3	39	11	74	70	13	77	10	1	22									
		8.65%	10.57%	12.88%	6.70%	15.84%	10.65%	10.36%	14.41%	5.27%	7.99%	6.33%	13.39%	9.29%	3.36%	7.73%	6.84%	5.94%	6.09%	3.72%	5.09%	3.43%	8.99%	9.84%	9.06%	8.04%	8.98%	19.28%	9.71%	4.20%	3.69%	4.80%	1.89%	4.60%	4.98%	10.25%	4.29%	7.32%	6.81%	6.25%	8.04%	7.09%	4.74%	9.43%	12.64%	1.18%	8.10%	10.00%	10.10%	5.71%	10.05%	5.50%	6.10%	15.42%	3.09%	8.47%	16.89%	5.31%	1.86%	5.62%	5.29%	9.09%	9.47%	11.50%	13.58%	4.76%	1.33%	15.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	195	8	5	3	0	4	14	1	4	4	0	3	1	0	3	5	8	1	6	2	3	6	6	3	0	6	1	10	4	0	2	0	0	1	1	1	2	0	11	1	5	0	0	4	2	1	0	8	0	1	2	5	6	0	3	0	1	0	8	0	5	6	0	5	3	0	0									
		0.59%	0.63%	0.46%	0.41%	0.00%	0.45%	1.00%	0.29%	0.78%	0.48%	0.00%	2.36%	0.20%	0.00%	0.33%	2.63%	0.93%	0.17%	0.97%	0.54%	1.71%	0.72%	1.41%	1.05%	0.00%	1.86%	0.07%	0.69%	0.56%	0.00%	1.60%	0.00%	0.00%	0.12%	0.35%	1.43%	0.98%	0.00%	2.08%	0.50%	0.70%	0.00%	0.00%	1.10%	2.35%	0.15%	0.00%	1.05%	0.00%	0.26%	0.33%	1.17%	0.66%	0.00%	0.98%	0.00%	0.13%	0.00%	1.15%	0.00%	0.61%	0.81%	0.00%	0.88%	1.43%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	99	3	7	1	0	3	3	1	0	4	0	0	0	0	1	1	0	0	1	2	0	2	5	0	0	2	12	7	2	0	1	0	1	3	0	0	0	1	1	2	1	0	2	1	0	0	0	3	1	2	1	0	1	0	1	0	0	0	3	0	3	5	1	4	1	0	3									
		0.30%	0.23%	0.65%	0.14%	0.00%	0.34%	0.21%	0.29%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.11%	0.53%	0.00%	0.00%	0.16%	0.54%	0.00%	0.24%	1.17%	0.00%	0.00%	0.62%	0.84%	0.49%	0.28%	0.00%	0.80%	0.00%	0.19%	0.37%	0.00%	0.00%	0.00%	0.17%	0.19%	1.01%	0.14%	0.00%	0.41%	0.27%	0.00%	0.00%	0.00%	0.39%	0.71%	0.52%	0.17%	0.00%	0.11%	0.00%	0.33%	0.00%	0.00%	0.00%	0.43%	0.00%	0.37%	0.68%	0.88%	0.71%	0.48%	0.00%	2.07%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	2	0	0	0	0	1	2	0	1	2	0	2	0	0	0									
		0.09%	0.00%	0.28%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.12%	0.00%	0.16%	0.00%	0.00%	0.00%	0.23%	0.35%	0.00%	0.00%	0.00%	0.07%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.50%	0.14%	0.00%	0.20%	0.00%	0.00%	0.15%	0.00%	0.13%	0.71%	0.00%	0.17%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.62%	0.29%	0.00%	0.12%	0.27%	0.00%	0.35%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	223	3	8	4	0	10	5	4	4	5	1	0	6	3	3	1	4	10	4	2	0	5	1	5	3	2	10	8	13	0	0	0	1	4	12	2	5	1	3	1	6	0	6	4	2	0	0	4	0	3	4	4	3	5	0	0	0	3	1	0	8	9	3	1	0	2	2									
		0.67%	0.23%	0.74%	0.55%	0.00%	1.13%	0.36%	1.15%	0.78%	0.60%	0.63%	0.00%	1.21%	2.01%	0.33%	0.53%	0.47%	1.74%	0.65%	0.54%	0.00%	0.60%	0.23%	1.74%	1.34%	0.62%	0.70%	0.55%	1.82%	0.00%	0.00%	0.00%	0.19%	0.50%	4.24%	2.86%	2.44%	0.17%	0.57%	0.50%	0.83%	0.00%	1.23%	1.10%	2.35%	0.00%	0.00%	0.52%	0.00%	0.77%	0.67%	0.94%	0.33%	0.55%	0.00%	0.00%	0.00%	1.86%	0.14%	0.00%	0.98%	1.22%	2.65%	0.18%	0.00%	2.67%	1.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1451	57	68	36	4	25	48	7	16	49	7	2	23	2	75	5	28	20	14	17	5	38	18	5	10	24	65	104	52	6	4	2	13	30	8	2	2	9	2	11	68	38	17	20	0	14	0	64	5	19	22	11	39	8	4	2	13	3	30	3	35	24	6	59	10	17	7									
		4.36%	4.46%	6.30%	4.92%	3.96%	2.83%	3.43%	2.02%	3.13%	5.84%	4.43%	1.57%	4.65%	1.34%	8.17%	2.63%	3.26%	3.48%	2.26%	4.56%	2.86%	4.56%	4.22%	1.74%	4.46%	7.43%	4.57%	7.21%	7.27%	1.58%	3.20%	3.77%	2.49%	3.74%	2.83%	2.86%	0.98%	1.57%	0.38%	5.53%	9.46%	8.19%	3.48%	5.49%	0.00%	2.06%	0.00%	8.40%	3.57%	4.90%	3.67%	2.58%	4.30%	0.88%	1.30%	0.91%	1.68%	1.86%	4.32%	1.44%	4.30%	3.25%	5.31%	10.41%	4.76%	22.67%	4.83%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	0	8	3	1	6	1	2	1	1	0	0	0	0	1	0	4	1	1	6	0	2	1	2	1	1	8	6	0	1	0	0	1	4	0	1	0	2	2	0	1	0	0	0	0	2	0	0	0	2	2	1	1	0	1	0	1	0	0	0	1	2	1	1	1	0	0									
		0.26%	0.00%	0.74%	0.41%	0.99%	0.68%	0.07%	0.58%	0.20%	0.12%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.47%	0.17%	0.16%	1.61%	0.00%	0.24%	0.23%	0.70%	0.45%	0.31%	0.56%	0.42%	0.00%	0.26%	0.00%	0.00%	0.19%	0.50%	0.00%	1.43%	0.00%	0.35%	0.38%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.52%	0.33%	0.23%	0.11%	0.00%	0.33%	0.00%	0.13%	0.00%	0.00%	0.00%	0.12%	0.27%	0.88%	0.18%	0.48%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	352	13	9	5	0	4	20	3	47	8	3	8	6	9	10	2	7	4	1	3	2	12	5	1	1	0	28	25	11	2	1	0	2	3	3	2	0	4	5	0	3	0	2	0	1	4	1	10	3	4	7	1	2	0	4	1	1	1	11	3	10	6	0	6	1	0	1									
		1.06%	1.02%	0.83%	0.68%	0.00%	0.45%	1.43%	0.86%	9.18%	0.95%	1.90%	6.30%	1.21%	6.04%	1.09%	1.05%	0.82%	0.70%	0.16%	0.80%	1.14%	1.44%	1.17%	0.35%	0.45%	0.00%	1.97%	1.73%	1.54%	0.53%	0.80%	0.00%	0.38%	0.37%	1.06%	2.86%	0.00%	0.70%	0.95%	0.00%	0.42%	0.00%	0.41%	0.00%	1.18%	0.59%	1.00%	1.31%	2.14%	1.03%	1.17%	0.23%	0.22%	0.00%	1.30%	0.46%	0.13%	0.62%	1.59%	1.44%	1.23%	0.81%	0.00%	1.06%	0.48%	0.00%	0.69%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
