Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Гайская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №383	УИК №384	УИК №385	УИК №387	УИК №388	УИК №389	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	111	0	0	0	0	4	1	3	1	0	1	0	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	6	6	7	4	6	3	4	4	7	7	1	2	4	6	6	6	0	2	3	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	78	1	2	2	1	3	1	0	1	4	1	3	2	0	1	1	2	3	2	3	0	1	1	1	3	3	1	3	0	0	1	0	2	1	4	3	1	1	5	0	2	4	0	1	0	1	1	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	220	10	0	0	0	6	7	5	7	8	7	0	7	0	0	9	7	4	4	0	0	5	0	8	0	0	0	0	9	4	4	3	6	4	7	6	6	3	3	9	8	6	4	4	4	9	8	8	3	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	1	1	1	1	0	0	1	1	2	0	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	139	2	2	0	3	3	1	2	1	3	0	0	4	2	2	1	0	1	0	1	0	0	1	1	0	2	1	0	5	3	3	3	4	5	5	5	1	6	8	10	2	7	9	11	6	2	2	1	8	0									
		1.00%	0.63%	1.37%	0.00%	3.06%	1.08%	0.78%	1.06%	0.69%	2.17%	0.00%	0.00%	1.36%	3.33%	2.22%	0.49%	0.00%	0.84%	0.00%	1.56%	0.00%	0.00%	1.04%	0.80%	0.00%	2.25%	1.61%	0.00%	1.52%	0.65%	0.58%	0.78%	0.93%	1.05%	1.08%	0.68%	0.36%	1.33%	1.10%	1.93%	1.23%	1.45%	1.48%	2.15%	0.99%	0.54%	0.57%	0.23%	1.15%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	454	12	2	1	3	11	6	4	3	2	4	5	13	1	4	8	10	9	8	1	3	4	1	4	2	4	0	3	8	11	16	11	9	15	11	25	9	10	21	18	13	13	26	22	21	10	8	13	28	8									
		3.28%	3.79%	1.37%	2.00%	3.06%	3.94%	4.69%	2.13%	2.07%	1.45%	2.72%	3.94%	4.42%	1.67%	4.44%	3.90%	6.94%	7.56%	5.59%	1.56%	3.90%	3.33%	1.04%	3.20%	3.70%	4.49%	0.00%	6.00%	2.44%	2.39%	3.12%	2.87%	2.10%	3.16%	2.37%	3.39%	3.27%	2.22%	2.89%	3.48%	7.98%	2.70%	4.28%	4.30%	3.47%	2.71%	2.29%	2.93%	4.04%	2.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	289	7	5	1	0	4	5	4	1	4	5	4	5	0	0	4	1	4	0	0	1	5	0	1	2	2	1	0	7	9	8	8	15	8	11	14	1	9	15	19	1	12	14	15	9	14	5	8	15	6									
		2.09%	2.21%	3.42%	2.00%	0.00%	1.43%	3.91%	2.13%	0.69%	2.90%	3.40%	3.15%	1.70%	0.00%	0.00%	1.95%	0.69%	3.36%	0.00%	0.00%	1.30%	4.17%	0.00%	0.80%	3.70%	2.25%	1.61%	0.00%	2.13%	1.96%	1.56%	2.09%	3.50%	1.69%	2.37%	1.90%	0.36%	1.99%	2.06%	3.68%	0.61%	2.49%	2.31%	2.93%	1.49%	3.79%	1.43%	1.81%	2.16%	1.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4553	116	85	27	48	118	63	88	88	81	54	76	121	32	46	80	35	42	53	31	39	42	43	55	24	50	28	31	111	140	186	117	117	121	121	207	95	146	218	150	40	124	173	154	159	91	98	114	188	87									
		32.88%	36.59%	58.22%	54.00%	48.98%	42.29%	49.22%	46.81%	60.69%	58.70%	36.73%	59.84%	41.16%	53.33%	51.11%	39.02%	24.31%	35.29%	37.06%	48.44%	50.65%	35.00%	44.79%	44.00%	44.44%	56.18%	45.16%	62.00%	33.84%	30.43%	36.26%	30.55%	27.27%	25.53%	26.08%	28.09%	34.55%	32.37%	29.99%	29.01%	24.54%	25.73%	28.50%	30.08%	26.24%	24.66%	28.08%	25.73%	27.13%	28.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	0	0	2	1	1	0	1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	2	1	0	1	0	1	6	1	3	2	3	1	3	6	4	3	0	2	2	1	5									
		0.43%	0.00%	0.00%	4.00%	1.02%	0.36%	0.00%	0.53%	0.69%	0.00%	0.00%	1.57%	0.00%	0.00%	0.00%	0.49%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	1.12%	1.61%	0.00%	0.00%	0.43%	0.19%	0.00%	0.23%	0.00%	0.22%	0.81%	0.36%	0.67%	0.28%	0.58%	0.61%	0.62%	0.99%	0.78%	0.50%	0.00%	0.57%	0.45%	0.14%	1.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	0	1	0	1	3	1	0	0	1	3	0	0	0	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0									
		0.16%	0.32%	0.00%	2.00%	0.00%	0.36%	2.34%	0.53%	0.00%	0.00%	0.68%	2.36%	0.00%	0.00%	0.00%	0.98%	0.69%	1.68%	0.70%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3399	102	34	7	18	50	23	38	23	21	44	10	74	11	14	56	20	7	16	12	5	25	8	6	14	15	11	0	88	126	136	98	127	117	111	210	67	117	174	150	46	119	120	133	169	127	121	108	190	81									
		24.55%	32.18%	23.29%	14.00%	18.37%	17.92%	17.97%	20.21%	15.86%	15.22%	29.93%	7.87%	25.17%	18.33%	15.56%	27.32%	13.89%	5.88%	11.19%	18.75%	6.49%	20.83%	8.33%	4.80%	25.93%	16.85%	17.74%	0.00%	26.83%	27.39%	26.51%	25.59%	29.60%	24.68%	23.92%	28.49%	24.36%	25.94%	23.93%	29.01%	28.22%	24.69%	19.77%	25.98%	27.89%	34.42%	34.67%	24.38%	27.42%	26.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	70	0	0	0	1	0	0	0	1	0	2	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	2	1	3	2	2	3	0	3	3	2	1	6	0	2	4	4	1	12	3	0	2	2	1									
		0.51%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	0.69%	0.00%	1.36%	0.00%	0.68%	0.00%	0.00%	0.98%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	4.00%	0.30%	0.65%	0.39%	0.52%	0.70%	0.00%	0.65%	0.41%	0.73%	0.22%	0.83%	0.00%	1.23%	0.83%	0.66%	0.20%	1.98%	0.81%	0.00%	0.45%	0.29%	0.32%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	124	0	2	1	0	3	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	4	1	6	9	11	3	11	4	3	7	4	2	7	6	5	6	3	4	2	8	1									
		0.90%	0.00%	1.37%	2.00%	0.00%	1.08%	0.00%	1.06%	0.69%	0.72%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	1.52%	0.87%	0.19%	1.57%	2.10%	2.32%	0.65%	1.49%	1.45%	0.67%	0.96%	0.77%	1.23%	1.45%	0.99%	0.98%	0.99%	0.81%	1.15%	0.45%	1.15%	0.32%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.79%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	2.08%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.43%	0.14%	0.00%	0.00%	0.14%	0.00%	0.61%	0.00%	0.00%	0.00%	0.17%	0.00%	0.29%	0.00%	0.14%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	141	0	0	0	0	2	2	4	0	0	4	0	4	0	0	1	0	3	0	2	0	1	5	0	1	1	1	1	5	3	5	0	3	3	4	13	4	2	11	6	1	3	10	12	5	2	5	2	9	1									
		1.02%	0.00%	0.00%	0.00%	0.00%	0.72%	1.56%	2.13%	0.00%	0.00%	2.72%	0.00%	1.36%	0.00%	0.00%	0.49%	0.00%	2.52%	0.00%	3.13%	0.00%	0.83%	5.21%	0.00%	1.85%	1.12%	1.61%	2.00%	1.52%	0.65%	0.97%	0.00%	0.70%	0.63%	0.86%	1.76%	1.45%	0.44%	1.51%	1.16%	0.61%	0.62%	1.65%	2.34%	0.83%	0.54%	1.43%	0.45%	1.30%	0.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2896	59	13	4	13	55	13	29	11	18	22	14	45	4	18	30	60	37	52	8	18	35	19	46	7	13	12	7	57	116	78	76	100	114	110	142	65	89	149	91	41	140	154	102	137	73	70	115	136	79									
		20.91%	18.61%	8.90%	8.00%	13.27%	19.71%	10.16%	15.43%	7.59%	13.04%	14.97%	11.02%	15.31%	6.67%	20.00%	14.63%	41.67%	31.09%	36.36%	12.50%	23.38%	29.17%	19.79%	36.80%	12.96%	14.61%	19.35%	14.00%	17.38%	25.22%	15.20%	19.84%	23.31%	24.05%	23.71%	19.27%	23.64%	19.73%	20.50%	17.60%	25.15%	29.05%	25.37%	19.92%	22.61%	19.78%	20.06%	25.96%	19.62%	25.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	3	0	0	0	3	2	1	0	1	1	1	1	0	2	4	2	0	1	0	0	0	0	3	0	0	1	0	5	4	4	1	1	3	4	5	2	4	6	2	2	4	3	5	2	2	1	4	10	3									
		0.74%	0.95%	0.00%	0.00%	0.00%	1.08%	1.56%	0.53%	0.00%	0.72%	0.68%	0.79%	0.34%	0.00%	2.22%	1.95%	1.39%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	2.40%	0.00%	0.00%	1.61%	0.00%	1.52%	0.87%	0.78%	0.26%	0.23%	0.63%	0.86%	0.68%	0.73%	0.89%	0.83%	0.39%	1.23%	0.83%	0.49%	0.98%	0.33%	0.54%	0.29%	0.90%	1.44%	0.97%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1218	9	3	4	9	15	8	7	7	4	5	0	13	10	3	12	11	5	7	7	10	4	9	5	3	1	3	3	28	30	46	47	33	58	70	77	19	45	94	56	4	36	73	38	64	33	23	52	83	32									
		8.80%	2.84%	2.05%	8.00%	9.18%	5.38%	6.25%	3.72%	4.83%	2.90%	3.40%	0.00%	4.42%	16.67%	3.33%	5.85%	7.64%	4.20%	4.90%	10.94%	12.99%	3.33%	9.38%	4.00%	5.56%	1.12%	4.84%	6.00%	8.54%	6.52%	8.97%	12.27%	7.69%	12.24%	15.09%	10.45%	6.91%	9.98%	12.93%	10.83%	2.45%	7.47%	12.03%	7.42%	10.56%	8.94%	6.59%	11.74%	11.98%	10.32%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
