Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2940	30	20	20	30	30	30	20	30	20	20	20	20	20	0	30	30	30	20	30	25	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	80	0	60	30	30	30	30	20	20	20	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25	30	25	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	70	30	30	35	30	50	10	10	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1863	21	9	13	18	30	17	9	20	18	10	20	14	16	0	24	15	18	9	15	21	18	10	11	21	24	24	20	26	15	15	19	18	19	19	30	13	14	0	44	8	12	16	19	15	20	14	15	21	24	16	12	8	20	26	11	20	16	16	24	17	27	17	18	24	24	30	21	10	19	27	17	20	24	23	20	15	14	19	22	14	20	17	20	26	18	30	29	26	27	29	16	25	16	13	33	16	16	0	2	14	17	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1608	7	13	29	29	18	6	23	25	18	6	25	9	14	23	16	16	10	11	30	16	10	12	100	17	10	16	11	14	4	13	2	19	12	36	12	24	5	11	33	4	44	15	7	8	10	24	19	14	48	9	14	19	18	16	12	25	21	5	5	10	14	10	9	22	12	17	14	27	14	21	12	15	8	11	9	19	3	14	6	14	21	14	19	20	10	15	20	20	14	7	14	5	11	11	15	11	8	11	11	13	9	6					
14	Число погашенных неиспользованных открепительных удостоверений	1077	9	11	7	12	0	13	11	10	2	10	0	6	4	0	6	15	12	11	15	4	12	20	19	9	6	6	10	4	5	15	11	12	11	11	0	17	66	0	16	22	18	14	11	5	0	6	5	9	6	14	18	22	10	4	19	10	14	14	6	13	3	13	7	6	1	0	9	20	11	3	13	10	6	7	10	15	16	1	8	16	10	13	10	4	12	0	1	4	3	1	14	45	14	17	2	14	34	10	8	16	13	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	0	1	0	1	2	0	0	2	0	0	1	0	1	0	1	1	2	2	0	0	0	1	1	2	0	0	0	0	0	2	0	1	0	3	0	1	1	0	0	0	0	1	1	1	0	0	2	0	0	1	1	2	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2					
16	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	3887	27	38	41	40	43	48	35	27	26	43	43	37	23	6	70	38	57	38	68	37	47	57	19	36	41	50	51	33	47	40	37	39	40	48	63	56	27	21	25	38	31	37	42	43	42	22	23	31	52	56	51	33	47	70	41	51	47	46	23	45	48	40	41	30	32	26	44	42	36	32	49	43	38	35	45	27	42	28	16	34	30	35	43	40	41	40	54	62	32	34	32	35	22	27	64	16	23	1	7	34	26	28					
		3.12%	2.72%	4.78%	3.47%	3.25%	3.24%	4.04%	3.61%	2.41%	2.62%	3.87%	3.90%	4.27%	2.94%	2.23%	5.05%	3.36%	4.19%	3.42%	4.31%	4.20%	3.44%	3.98%	1.72%	2.34%	3.03%	3.99%	4.24%	2.95%	4.70%	3.01%	2.61%	2.79%	3.12%	3.33%	4.46%	3.92%	2.13%	3.07%	2.42%	2.97%	2.81%	2.75%	3.63%	4.20%	3.78%	2.49%	2.48%	2.34%	3.60%	3.80%	3.50%	2.65%	3.34%	4.38%	3.49%	3.64%	3.45%	3.59%	1.88%	3.07%	3.40%	2.87%	3.18%	2.40%	2.65%	2.10%	3.51%	3.50%	2.83%	2.40%	3.82%	2.89%	3.13%	2.71%	3.35%	2.44%	3.55%	2.68%	1.48%	2.50%	2.26%	2.58%	3.05%	2.93%	3.26%	2.94%	3.09%	3.68%	2.16%	2.44%	2.62%	3.04%	1.91%	2.23%	3.67%	1.92%	1.66%	0.43%	1.45%	2.94%	2.30%	2.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1429	16	7	12	8	23	11	9	14	16	20	15	6	3	0	13	11	12	16	32	8	12	8	8	17	15	13	22	15	14	11	10	12	12	29	16	17	13	5	13	9	18	20	7	11	14	9	8	8	12	7	26	5	13	15	14	12	16	14	10	22	18	19	16	6	11	25	12	10	18	14	25	16	22	10	12	15	9	8	14	18	10	12	12	20	16	32	23	30	19	22	11	29	14	13	31	6	13	2	3	17	9	3					
		1.15%	1.61%	0.88%	1.01%	0.65%	1.73%	0.93%	0.93%	1.25%	1.61%	1.80%	1.36%	0.69%	0.38%	0.00%	0.94%	0.97%	0.88%	1.44%	2.03%	0.91%	0.88%	0.56%	0.73%	1.11%	1.11%	1.04%	1.83%	1.34%	1.40%	0.83%	0.71%	0.86%	0.93%	2.01%	1.13%	1.19%	1.03%	0.73%	1.26%	0.70%	1.63%	1.49%	0.60%	1.07%	1.26%	1.02%	0.86%	0.61%	0.83%	0.48%	1.78%	0.40%	0.92%	0.94%	1.19%	0.86%	1.17%	1.09%	0.82%	1.50%	1.28%	1.36%	1.24%	0.48%	0.91%	2.02%	0.96%	0.83%	1.42%	1.05%	1.95%	1.07%	1.81%	0.78%	0.89%	1.35%	0.76%	0.76%	1.30%	1.32%	0.75%	0.89%	0.85%	1.47%	1.27%	2.35%	1.32%	1.78%	1.28%	1.58%	0.90%	2.52%	1.21%	1.07%	1.78%	0.72%	0.94%	0.87%	0.62%	1.47%	0.80%	0.26%					
20	3.Политическая партия «Демократическая партия России»	137	1	3	1	0	5	1	2	0	2	1	1	2	1	1	2	0	1	1	0	0	2	1	0	0	2	1	0	0	2	3	2	1	4	2	2	1	0	0	0	1	1	2	3	1	1	1	0	0	2	2	1	1	1	2	3	2	2	1	0	2	0	3	1	2	1	3	2	1	2	4	2	3	2	1	0	1	2	0	1	1	0	3	2	1	4	0	2	2	1	3	2	2	0	1	2	1	0	1	0	0	0	1					
		0.11%	0.10%	0.38%	0.08%	0.00%	0.38%	0.08%	0.21%	0.00%	0.20%	0.09%	0.09%	0.23%	0.13%	0.37%	0.14%	0.00%	0.07%	0.09%	0.00%	0.00%	0.15%	0.07%	0.00%	0.00%	0.15%	0.08%	0.00%	0.00%	0.20%	0.23%	0.14%	0.07%	0.31%	0.14%	0.14%	0.07%	0.00%	0.00%	0.00%	0.08%	0.09%	0.15%	0.26%	0.10%	0.09%	0.11%	0.00%	0.00%	0.14%	0.14%	0.07%	0.08%	0.07%	0.13%	0.26%	0.14%	0.15%	0.08%	0.00%	0.14%	0.00%	0.22%	0.08%	0.16%	0.08%	0.24%	0.16%	0.08%	0.16%	0.30%	0.16%	0.20%	0.16%	0.08%	0.00%	0.09%	0.17%	0.00%	0.09%	0.07%	0.00%	0.22%	0.14%	0.07%	0.32%	0.00%	0.11%	0.12%	0.07%	0.22%	0.16%	0.17%	0.00%	0.08%	0.11%	0.12%	0.00%	0.43%	0.00%	0.00%	0.00%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	21593	124	124	214	211	267	230	154	152	195	269	246	134	208	38	272	239	276	246	325	171	270	298	161	329	312	253	271	189	226	282	271	301	219	286	350	250	210	112	143	214	192	254	218	190	239	168	166	222	308	288	306	247	274	308	210	218	243	243	205	289	239	288	216	228	140	195	228	166	167	194	222	233	196	179	230	183	180	141	155	202	196	186	182	187	161	176	237	235	228	219	168	146	116	165	267	94	89	44	72	205	197	211					
		17.33%	12.50%	15.60%	18.09%	17.14%	20.09%	19.38%	15.89%	13.57%	19.62%	24.21%	22.30%	15.47%	26.60%	14.13%	19.62%	21.11%	20.29%	22.16%	20.62%	19.39%	19.78%	20.80%	14.60%	21.41%	23.06%	20.19%	22.53%	16.89%	22.62%	21.19%	19.11%	21.56%	17.06%	19.82%	24.79%	17.51%	16.56%	16.40%	13.82%	16.72%	17.39%	18.87%	18.83%	18.54%	21.51%	19.00%	17.91%	16.79%	21.33%	19.57%	20.97%	19.84%	19.46%	19.29%	17.86%	15.56%	17.84%	18.97%	16.73%	19.74%	16.94%	20.69%	16.73%	18.25%	11.58%	15.78%	18.21%	13.82%	13.13%	14.53%	17.32%	15.64%	16.16%	13.88%	17.14%	16.52%	15.20%	13.48%	14.35%	14.84%	14.76%	13.74%	12.93%	13.72%	12.80%	12.92%	13.55%	13.94%	15.36%	15.71%	13.77%	12.68%	10.05%	13.63%	15.29%	11.27%	6.41%	19.13%	14.91%	17.73%	17.42%	18.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	782	5	7	14	10	16	5	4	8	7	13	11	12	5	3	10	3	3	8	7	6	4	5	3	7	13	3	9	5	3	6	2	6	7	7	5	12	2	5	7	11	7	8	3	7	8	2	2	10	15	7	15	8	16	11	4	7	5	9	6	10	5	9	5	11	15	11	6	5	5	6	10	11	5	11	6	10	8	7	8	8	12	17	9	10	5	5	21	19	11	14	9	10	0	7	8	1	2	1	0	7	7	6					
		0.63%	0.50%	0.88%	1.18%	0.81%	1.20%	0.42%	0.41%	0.71%	0.70%	1.17%	0.99%	1.39%	0.64%	1.12%	0.72%	0.27%	0.22%	0.72%	0.44%	0.68%	0.29%	0.35%	0.27%	0.46%	0.96%	0.24%	0.75%	0.45%	0.30%	0.45%	0.14%	0.43%	0.55%	0.49%	0.35%	0.84%	0.16%	0.73%	0.68%	0.86%	0.63%	0.59%	0.26%	0.68%	0.72%	0.23%	0.22%	0.76%	1.04%	0.48%	1.03%	0.64%	1.14%	0.69%	0.34%	0.50%	0.37%	0.70%	0.49%	0.68%	0.35%	0.65%	0.39%	0.88%	1.24%	0.89%	0.48%	0.42%	0.39%	0.45%	0.78%	0.74%	0.41%	0.85%	0.45%	0.90%	0.68%	0.67%	0.74%	0.59%	0.90%	1.26%	0.64%	0.73%	0.40%	0.37%	1.20%	1.13%	0.74%	1.00%	0.74%	0.87%	0.00%	0.58%	0.46%	0.12%	0.14%	0.43%	0.00%	0.61%	0.62%	0.53%					
23	6.Политическая партия «Партия социальной справедливости»	345	2	5	2	2	4	4	5	5	3	1	2	2	1	2	4	0	5	7	6	4	6	4	3	3	4	4	0	3	3	1	4	4	7	4	5	2	5	1	2	6	2	4	7	3	2	0	6	2	4	3	3	3	2	7	5	2	6	0	4	1	6	11	1	1	3	4	3	0	2	2	3	5	1	3	5	2	4	3	3	3	2	3	10	8	2	1	4	3	3	2	4	6	6	3	4	2	3	1	0	2	5	3					
		0.28%	0.20%	0.63%	0.17%	0.16%	0.30%	0.34%	0.52%	0.45%	0.30%	0.09%	0.18%	0.23%	0.13%	0.74%	0.29%	0.00%	0.37%	0.63%	0.38%	0.45%	0.44%	0.28%	0.27%	0.20%	0.30%	0.32%	0.00%	0.27%	0.30%	0.08%	0.28%	0.29%	0.55%	0.28%	0.35%	0.14%	0.39%	0.15%	0.19%	0.47%	0.18%	0.30%	0.60%	0.29%	0.18%	0.00%	0.65%	0.15%	0.28%	0.20%	0.21%	0.24%	0.14%	0.44%	0.43%	0.14%	0.44%	0.00%	0.33%	0.07%	0.43%	0.79%	0.08%	0.08%	0.25%	0.32%	0.24%	0.00%	0.16%	0.15%	0.23%	0.34%	0.08%	0.23%	0.37%	0.18%	0.34%	0.29%	0.28%	0.22%	0.15%	0.22%	0.71%	0.59%	0.16%	0.07%	0.23%	0.18%	0.20%	0.14%	0.33%	0.52%	0.52%	0.25%	0.23%	0.24%	0.22%	0.43%	0.00%	0.17%	0.44%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	11100	121	64	109	129	102	94	79	121	82	67	74	85	56	23	89	110	105	70	100	64	115	96	106	122	102	93	91	113	76	104	115	109	128	102	118	87	151	56	120	95	88	134	76	78	92	102	93	123	102	106	106	137	127	133	80	144	96	117	137	149	116	128	116	100	138	125	94	119	132	126	110	146	95	114	117	99	92	97	111	176	123	135	146	129	114	157	167	158	127	134	137	108	127	136	182	97	211	18	36	80	87	77					
		8.91%	12.20%	8.05%	9.21%	10.48%	7.67%	7.92%	8.15%	10.80%	8.25%	6.03%	6.71%	9.82%	7.16%	8.55%	6.42%	9.72%	7.72%	6.31%	6.35%	7.26%	8.42%	6.70%	9.61%	7.94%	7.54%	7.42%	7.56%	10.10%	7.61%	7.81%	8.11%	7.81%	9.97%	7.07%	8.36%	6.09%	11.91%	8.20%	11.59%	7.42%	7.97%	9.96%	6.56%	7.61%	8.28%	11.54%	10.03%	9.30%	7.06%	7.20%	7.27%	11.00%	9.02%	8.33%	6.80%	10.28%	7.05%	9.13%	11.18%	10.18%	8.22%	9.20%	8.99%	8.01%	11.41%	10.11%	7.51%	9.91%	10.38%	9.44%	8.58%	9.80%	7.83%	8.84%	8.72%	8.94%	7.77%	9.27%	10.28%	12.93%	9.26%	9.97%	10.37%	9.46%	9.06%	11.53%	9.55%	9.37%	8.56%	9.61%	11.23%	9.38%	11.01%	11.23%	10.42%	11.63%	15.19%	7.83%	7.45%	6.92%	7.69%	6.79%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	12558	96	93	99	116	144	109	87	96	99	98	106	82	64	22	115	110	155	134	191	68	129	139	81	112	159	137	109	115	83	105	122	133	127	139	142	147	100	49	108	101	80	125	131	113	101	61	69	133	150	174	150	121	114	143	132	144	132	141	124	148	166	152	144	153	153	147	141	130	145	175	148	221	155	187	158	105	114	125	124	156	156	169	179	160	144	167	182	147	123	122	114	146	125	100	208	59	97	8	33	60	71	82					
		10.08%	9.68%	11.70%	8.37%	9.42%	10.84%	9.18%	8.98%	8.57%	9.96%	8.82%	9.61%	9.47%	8.18%	8.18%	8.30%	9.72%	11.40%	12.07%	12.12%	7.71%	9.45%	9.70%	7.34%	7.29%	11.75%	10.93%	9.06%	10.28%	8.31%	7.89%	8.60%	9.53%	9.89%	9.63%	10.06%	10.29%	7.89%	7.17%	10.43%	7.89%	7.25%	9.29%	11.31%	11.02%	9.09%	6.90%	7.44%	10.06%	10.39%	11.82%	10.28%	9.72%	8.10%	8.95%	11.22%	10.28%	9.69%	11.01%	10.12%	10.11%	11.76%	10.92%	11.15%	12.25%	12.66%	11.89%	11.26%	10.82%	11.40%	13.11%	11.54%	14.83%	12.78%	14.50%	11.77%	9.48%	9.63%	11.95%	11.48%	11.46%	11.75%	12.48%	12.71%	11.74%	11.45%	12.26%	10.41%	8.72%	8.29%	8.75%	9.34%	12.68%	10.83%	8.26%	11.91%	7.07%	6.98%	3.48%	6.83%	5.19%	6.28%	7.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	944	13	4	9	11	11	14	9	8	8	8	11	12	7	0	13	7	8	7	12	13	10	14	7	13	7	2	9	10	9	8	10	13	9	13	4	16	6	7	4	10	5	8	10	3	5	10	5	7	12	13	16	9	5	16	8	11	9	7	5	7	13	9	12	9	12	12	8	13	13	9	9	9	5	10	10	9	8	7	11	8	9	12	10	11	6	14	18	8	19	9	6	9	11	9	22	4	10	2	2	3	15	2					
		0.76%	1.31%	0.50%	0.76%	0.89%	0.83%	1.18%	0.93%	0.71%	0.80%	0.72%	0.99%	1.39%	0.90%	0.00%	0.94%	0.62%	0.59%	0.63%	0.76%	1.47%	0.73%	0.98%	0.63%	0.85%	0.52%	0.16%	0.75%	0.89%	0.90%	0.60%	0.71%	0.93%	0.70%	0.90%	0.28%	1.12%	0.47%	1.02%	0.39%	0.78%	0.45%	0.59%	0.86%	0.29%	0.45%	1.13%	0.54%	0.53%	0.83%	0.88%	1.10%	0.72%	0.36%	1.00%	0.68%	0.79%	0.66%	0.55%	0.41%	0.48%	0.92%	0.65%	0.93%	0.72%	0.99%	0.97%	0.64%	1.08%	1.02%	0.67%	0.70%	0.60%	0.41%	0.78%	0.75%	0.81%	0.68%	0.67%	1.02%	0.59%	0.68%	0.89%	0.71%	0.81%	0.48%	1.03%	1.03%	0.47%	1.28%	0.65%	0.49%	0.78%	0.95%	0.74%	1.26%	0.48%	0.72%	0.87%	0.41%	0.26%	1.33%	0.18%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	68633	562	439	641	670	657	637	568	647	522	545	544	460	400	172	752	584	703	547	788	470	730	764	692	861	668	675	612	605	515	743	814	741	703	769	666	784	729	412	597	757	657	716	626	550	573	475	531	752	743	789	749	652	776	861	650	777	774	679	683	756	772	700	708	681	681	652	686	683	720	734	680	780	662	713	733	630	692	600	616	712	755	745	767	769	724	737	996	978	869	784	702	635	717	724	913	543	921	152	322	729	693	709					
