Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Иркутская - 94																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №772	УИК №776	УИК №777	УИК №778	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №1924									
		0.82%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	1.50%	0.84%	0.62%	0.68%	0.38%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.82%	3.13%	1.52%	1.32%	0.77%	0.43%	0.00%	0.00%	1.58%	1.17%	0.84%	1.31%	3.68%	0.77%	0.00%	0.00%	0.00%	0.00%	0.50%	1.06%	0.84%	1.04%	1.08%	0.00%	1.20%	0.00%	0.00%	0.83%	1.17%	1.40%	0.00%	0.63%	0.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2578	47	21	16	22	8	0	138	71	160	69	59	22	10	35	134	5	19	21	34	8	18	44	35	40	16	25	34	102	146	33	43	96	8	6	9	12	44	76	76	82	219	64	119	41	63	18	43	23	6	39	99									
		21.03%	33.57%	33.87%	21.33%	32.84%	25.81%	0.00%	18.78%	19.78%	19.70%	23.31%	22.18%	21.15%	21.74%	31.25%	26.59%	13.51%	14.96%	18.42%	27.87%	12.50%	27.27%	11.64%	13.41%	17.02%	7.58%	26.04%	17.89%	19.88%	24.62%	14.41%	31.62%	24.68%	11.43%	9.38%	13.43%	16.90%	21.78%	26.95%	12.75%	21.35%	29.55%	18.82%	23.90%	31.78%	31.50%	15.00%	16.80%	16.08%	11.54%	24.38%	19.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	0	0	0	0	0	0	1	1	7	1	1	0	1	0	7	0	0	0	1	0	0	1	2	3	0	0	1	3	4	1	1	1	1	0	0	0	0	2	1	0	1	1	1	0	0	2	0	0	1	0	2									
		0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.28%	0.86%	0.34%	0.38%	0.00%	2.17%	0.00%	1.39%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.26%	0.77%	1.28%	0.00%	0.00%	0.53%	0.58%	0.67%	0.44%	0.74%	0.26%	1.43%	0.00%	0.00%	0.00%	0.00%	0.71%	0.17%	0.00%	0.13%	0.29%	0.20%	0.00%	0.00%	1.67%	0.00%	0.00%	1.92%	0.00%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	362	2	3	4	1	0	2	29	13	30	9	4	5	0	2	11	0	2	4	0	1	0	6	9	2	2	2	6	26	18	6	2	25	1	0	2	2	6	12	7	7	27	10	12	2	5	6	6	5	3	2	21									
		2.95%	1.43%	4.84%	5.33%	1.49%	0.00%	11.11%	3.95%	3.62%	3.69%	3.04%	1.50%	4.81%	0.00%	1.79%	2.18%	0.00%	1.57%	3.51%	0.00%	1.56%	0.00%	1.59%	3.45%	0.85%	0.95%	2.08%	3.16%	5.07%	3.04%	2.62%	1.47%	6.43%	1.43%	0.00%	2.99%	2.82%	2.97%	4.26%	1.17%	1.82%	3.64%	2.94%	2.41%	1.55%	2.50%	5.00%	2.34%	3.50%	5.77%	1.25%	4.22%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
