Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК  1420	УИК  1421	УИК  1422	УИК  1423	УИК  1424	УИК  1425	УИК  1426	УИК  1427	УИК  1428	УИК  1429	УИК  1430	УИК  1431	УИК  1432	УИК  1433	УИК  1434	УИК  1435	УИК  1436	УИК  1437	УИК  1438	УИК  1439	УИК  1440	УИК  1441	УИК  1442	УИК  1443	УИК  1444	УИК  1445	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454	УИК  1455	УИК  1456	УИК  1457	УИК  1458	УИК  1459	УИК  1460	УИК  1461	УИК  1462	УИК  1463	УИК  1464	УИК  1465	УИК  1466	УИК  1467	УИК  1468	УИК  1469	УИК  1470	УИК  1471	УИК  1472	УИК  1473	УИК  1474	УИК  1475	УИК  1476	УИК  1477	УИК  1478	УИК  1479	УИК  1480	УИК  1481	УИК  1482	УИК  1483	УИК  1484	УИК  1485	УИК  1486	УИК  1487	УИК  1488	УИК  1489	УИК  1490	УИК  1491	УИК  1492	УИК  1493	УИК  1494	УИК  1495	УИК  1496	УИК  1497	УИК  1498					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1121	6	0	0	0	18	8	23	3	31	22	30	51	5	8	12	14	6	38	25	1	15	6	18	6	1	15	2	0	0	24	12	7	26	12	3	8	1	57	39	50	40	19	7	15	30	6	45	29	3	7	15	3	4	23	33	15	24	0	27	30	0	7	1	1	28	4	2	4	1	2	5	21	4	2	20	7	6	3	25					
		2.75%	0.95%	0.0%	0.0%	0.0%	2.49%	2.33%	3.73%	2.20%	4.13%	2.87%	4.08%	4.33%	1.46%	4.46%	3.29%	2.10%	3.44%	2.02%	2.43%	0.80%	2.03%	4.47%	1.97%	1.11%	0.41%	1.65%	1.58%	0.0%	0.0%	2.21%	2.99%	3.84%	2.13%	2.42%	1.56%	7.54%	0.47%	4.72%	3.97%	4.04%	4.27%	3.62%	1.82%	4.54%	4.60%	3.06%	4.25%	2.83%	0.66%	1.61%	2.09%	1.19%	2.19%	2.63%	3.91%	2.82%	3.21%	0.0%	3.73%	2.99%	0.0%	1.01%	0.56%	0.60%	3.36%	4.25%	1.61%	2.13%	0.90%	1.36%	5.05%	2.44%	1.58%	2.46%	2.54%	2.78%	1.13%	1.36%	4.45%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1474	16	1	8	3	40	12	22	6	24	30	21	44	10	9	13	17	1	43	34	6	19	6	33	12	7	24	3	14	3	42	13	7	54	15	3	5	1	33	42	34	42	13	14	14	37	9	33	27	18	16	39	13	10	21	38	16	25	7	25	33	9	42	6	8	47	4	4	9	5	11	3	17	5	2	46	14	19	14	29					
		3.62%	2.53%	0.78%	5.88%	1.63%	5.54%	3.50%	3.57%	4.41%	3.20%	3.92%	2.86%	3.74%	2.93%	5.02%	3.57%	2.55%	0.57%	2.29%	3.30%	4.83%	2.58%	4.47%	3.62%	2.23%	2.90%	2.65%	2.38%	5.88%	2.12%	3.88%	3.24%	3.84%	4.43%	3.03%	1.56%	4.71%	0.47%	2.73%	4.27%	2.75%	4.49%	2.48%	3.64%	4.24%	5.68%	4.59%	3.12%	2.63%	3.96%	3.69%	5.43%	5.17%	5.49%	2.40%	4.51%	3.01%	3.34%	5.38%	3.46%	3.29%	4.73%	6.06%	3.37%	4.84%	5.64%	4.25%	3.22%	4.81%	4.50%	7.48%	3.03%	1.97%	1.97%	2.46%	5.85%	5.57%	3.59%	6.39%	5.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1084	5	5	0	4	12	16	20	0	35	31	35	32	7	8	15	20	6	34	24	0	17	3	11	13	1	14	0	4	0	33	24	0	28	23	2	3	0	49	18	32	36	11	10	14	30	9	26	51	10	12	16	6	7	30	27	17	19	3	7	38	3	8	1	6	23	1	1	2	5	1	0	17	6	4	7	1	13	1	21					
		2.66%	0.79%	3.93%	0.0%	2.17%	1.66%	4.67%	3.25%	0.0%	4.67%	4.05%	4.76%	2.72%	2.05%	4.46%	4.12%	3.00%	3.44%	1.81%	2.33%	0.0%	2.30%	2.23%	1.20%	2.42%	0.41%	1.54%	0.0%	1.68%	0.0%	3.04%	5.98%	0.0%	2.29%	4.64%	1.04%	2.83%	0.0%	4.05%	1.83%	2.58%	3.85%	2.09%	2.60%	4.24%	4.60%	4.59%	2.45%	4.98%	2.20%	2.77%	2.23%	2.39%	3.84%	3.44%	3.20%	3.20%	2.54%	2.30%	0.96%	3.79%	1.57%	1.15%	0.56%	3.63%	2.76%	1.06%	0.80%	1.06%	4.50%	0.68%	0.0%	1.97%	2.37%	4.93%	0.89%	0.39%	2.45%	0.45%	3.74%					
22	"5. ""За Русь Святую"""	139	0	0	0	0	2	2	3	0	1	4	1	1	1	0	1	1	0	5	1	0	4	0	5	2	0	2	1	0	0	4	0	0	3	1	0	1	2	2	7	3	5	1	2	0	3	3	4	2	1	2	3	0	0	5	6	0	3	3	4	6	0	1	0	1	2	0	0	2	2	1	0	2	0	0	4	2	6	2	1					
		0.34%	0.0%	0.0%	0.0%	0.0%	0.27%	0.58%	0.48%	0.0%	0.13%	0.52%	0.13%	0.08%	0.29%	0.0%	0.27%	0.15%	0.0%	0.26%	0.09%	0.0%	0.54%	0.0%	0.54%	0.37%	0.0%	0.22%	0.79%	0.0%	0.0%	0.36%	0.0%	0.0%	0.24%	0.20%	0.0%	0.94%	0.95%	0.16%	0.71%	0.24%	0.53%	0.19%	0.52%	0.0%	0.46%	1.53%	0.37%	0.19%	0.22%	0.46%	0.41%	0.0%	0.0%	0.57%	0.71%	0.0%	0.40%	2.30%	0.55%	0.59%	0.0%	0.14%	0.0%	0.60%	0.24%	0.0%	0.0%	1.06%	1.80%	0.68%	0.0%	0.23%	0.0%	0.0%	0.50%	0.79%	1.13%	0.91%	0.17%					
23	"6. ""Объединенная Российская партия ""Русь"""	133	2	0	0	0	3	0	1	0	2	4	1	4	1	1	1	2	2	4	0	0	0	1	4	0	0	3	1	1	2	4	0	1	2	1	1	0	1	1	2	12	5	6	2	4	1	1	1	7	1	2	2	1	2	3	2	0	0	2	3	2	0	8	0	0	0	3	0	0	0	1	0	2	0	0	3	1	1	0	2					
		0.32%	0.31%	0.0%	0.0%	0.0%	0.41%	0.0%	0.16%	0.0%	0.26%	0.52%	0.13%	0.34%	0.29%	0.55%	0.27%	0.30%	1.14%	0.21%	0.0%	0.0%	0.0%	0.74%	0.43%	0.0%	0.0%	0.33%	0.79%	0.42%	1.41%	0.36%	0.0%	0.54%	0.16%	0.20%	0.52%	0.0%	0.47%	0.08%	0.20%	0.97%	0.53%	1.14%	0.52%	1.21%	0.15%	0.51%	0.09%	0.68%	0.22%	0.46%	0.27%	0.39%	1.09%	0.34%	0.23%	0.0%	0.0%	1.53%	0.41%	0.19%	0.0%	1.15%	0.0%	0.0%	0.0%	3.19%	0.0%	0.0%	0.0%	0.68%	0.0%	0.23%	0.0%	0.0%	0.38%	0.39%	0.18%	0.0%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	246	2	0	0	1	4	1	5	1	4	3	3	2	6	5	3	2	0	11	3	1	1	0	2	1	0	6	1	0	0	6	9	2	6	5	0	0	0	9	9	10	11	5	0	8	9	2	5	14	0	1	5	0	1	7	11	1	4	0	5	5	1	1	1	0	5	0	0	1	0	0	0	1	3	0	2	7	1	0	5					
		0.60%	0.31%	0.0%	0.0%	0.54%	0.55%	0.29%	0.81%	0.73%	0.53%	0.39%	0.40%	0.17%	1.75%	2.79%	0.82%	0.30%	0.0%	0.58%	0.29%	0.80%	0.13%	0.0%	0.21%	0.18%	0.0%	0.66%	0.79%	0.0%	0.0%	0.55%	2.24%	1.09%	0.49%	1.01%	0.0%	0.0%	0.0%	0.74%	0.91%	0.80%	1.17%	0.95%	0.0%	2.42%	1.38%	1.02%	0.47%	1.36%	0.0%	0.23%	0.69%	0.0%	0.54%	0.80%	1.30%	0.18%	0.53%	0.0%	0.69%	0.49%	0.52%	0.14%	0.56%	0.0%	0.60%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.11%	1.18%	0.0%	0.25%	2.78%	0.18%	0.0%	0.89%					
25	"8. ""Народно-республиканская партия России"""	67	0	0	0	0	2	2	1	0	2	1	0	1	1	0	2	2	1	2	0	0	0	0	4	1	0	1	0	0	1	2	0	0	1	0	1	0	0	2	0	2	3	3	1	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	1	2	1	1	0	1	7	0	0	1	0	0	0	1	1	0	2	0	1	1	1					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.27%	0.58%	0.16%	0.0%	0.26%	0.13%	0.0%	0.08%	0.29%	0.0%	0.54%	0.30%	0.57%	0.10%	0.0%	0.0%	0.0%	0.0%	0.43%	0.18%	0.0%	0.11%	0.0%	0.0%	0.70%	0.18%	0.0%	0.0%	0.08%	0.0%	0.52%	0.0%	0.0%	0.16%	0.0%	0.16%	0.32%	0.57%	0.26%	0.30%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.13%	0.19%	0.52%	0.14%	0.0%	0.60%	0.84%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.11%	0.39%	0.0%	0.25%	0.0%	0.18%	0.45%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	103	1	0	0	0	3	0	0	0	2	3	3	5	0	0	0	1	1	4	0	0	0	1	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	4	4	0	0	3	2	1	2	6	3	0	0	2	1	1	7	7	1	7	0	2	4	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	3	1	3					
		0.25%	0.15%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.26%	0.39%	0.40%	0.42%	0.0%	0.0%	0.0%	0.15%	0.57%	0.21%	0.0%	0.0%	0.0%	0.74%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.24%	0.40%	0.32%	0.0%	0.0%	0.78%	0.60%	0.15%	1.02%	0.56%	0.29%	0.0%	0.0%	0.27%	0.39%	0.54%	0.80%	0.83%	0.18%	0.93%	0.0%	0.27%	0.39%	1.05%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.79%	0.0%	0.0%	0.0%	0.56%	0.45%	0.53%					
27	"10. ""Аграрная партия России"""	1964	10	10	6	0	56	18	14	2	33	23	21	38	31	4	3	49	5	57	32	9	26	5	107	16	37	54	17	24	6	50	15	3	72	21	4	1	8	51	34	70	40	23	23	14	26	6	36	31	17	17	31	1	6	57	70	28	40	6	39	26	6	64	5	8	42	4	6	13	1	2	12	62	9	4	60	43	15	7	22					
		4.82%	1.58%	7.87%	4.41%	0.0%	7.76%	5.26%	2.27%	1.47%	4.40%	3.01%	2.86%	3.23%	9.09%	2.23%	0.82%	7.36%	2.87%	3.04%	3.11%	7.25%	3.53%	3.73%	11.75%	2.98%	15.35%	5.96%	13.49%	10.08%	4.25%	4.62%	3.74%	1.64%	5.91%	4.24%	2.08%	0.94%	3.80%	4.22%	3.46%	5.66%	4.27%	4.38%	5.98%	4.24%	3.99%	3.06%	3.40%	3.02%	3.74%	3.92%	4.32%	0.39%	3.29%	6.53%	8.31%	5.27%	5.35%	4.61%	5.40%	2.59%	3.15%	9.23%	2.80%	4.84%	5.04%	4.25%	4.83%	6.95%	0.90%	1.36%	12.12%	7.21%	3.55%	4.93%	7.64%	17.13%	2.83%	3.19%	3.92%					
28	"11. ""Истинные патриоты России"""	52	0	0	1	1	0	1	1	2	0	0	0	1	0	0	0	3	0	0	3	0	0	1	0	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	3	5	2	1	0	0	2	0	2	1	0	0	2	1	1	3	0	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0					
		0.12%	0.0%	0.0%	0.73%	0.54%	0.0%	0.29%	0.16%	1.47%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.29%	0.0%	0.0%	0.74%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.70%	0.09%	0.0%	0.0%	0.08%	0.20%	0.0%	0.0%	0.0%	0.0%	0.30%	0.40%	0.21%	0.19%	0.0%	0.0%	0.30%	0.0%	0.18%	0.09%	0.0%	0.0%	0.27%	0.39%	0.54%	0.34%	0.0%	0.37%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.56%	0.0%	0.12%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	407	3	0	2	2	9	2	13	6	4	3	5	12	6	1	6	7	1	20	8	0	6	1	8	3	0	9	1	2	4	10	7	0	7	7	0	0	0	16	13	14	8	10	7	4	8	3	9	18	8	4	7	6	1	10	6	2	10	3	3	7	0	4	2	0	5	2	0	1	0	4	0	12	4	2	6	1	2	4	6					
		1.00%	0.47%	0.0%	1.47%	1.08%	1.24%	0.58%	2.11%	4.41%	0.53%	0.39%	0.68%	1.02%	1.75%	0.55%	1.64%	1.05%	0.57%	1.06%	0.77%	0.0%	0.81%	0.74%	0.87%	0.55%	0.0%	0.99%	0.79%	0.84%	2.83%	0.92%	1.74%	0.0%	0.57%	1.41%	0.0%	0.0%	0.0%	1.32%	1.32%	1.13%	0.85%	1.90%	1.82%	1.21%	1.22%	1.53%	0.85%	1.75%	1.76%	0.92%	0.97%	2.39%	0.54%	1.14%	0.71%	0.37%	1.33%	2.30%	0.41%	0.69%	0.0%	0.57%	1.12%	0.0%	0.60%	2.12%	0.0%	0.53%	0.0%	2.72%	0.0%	1.39%	1.58%	2.46%	0.76%	0.39%	0.37%	1.82%	1.06%					
30	"13. ""Демократическая партия России"""	158	0	0	0	0	3	2	3	0	3	3	2	8	0	0	2	1	1	8	3	0	0	0	3	4	0	4	1	1	0	3	0	2	2	1	2	0	1	6	2	6	4	0	2	2	1	1	4	3	2	1	1	3	0	6	4	2	1	0	2	7	1	6	0	0	3	0	0	1	4	0	0	7	2	0	2	4	3	0	2					
		0.38%	0.0%	0.0%	0.0%	0.0%	0.41%	0.58%	0.48%	0.0%	0.40%	0.39%	0.27%	0.68%	0.0%	0.0%	0.54%	0.15%	0.57%	0.42%	0.29%	0.0%	0.0%	0.0%	0.32%	0.74%	0.0%	0.44%	0.79%	0.42%	0.0%	0.27%	0.0%	1.09%	0.16%	0.20%	1.04%	0.0%	0.47%	0.49%	0.20%	0.48%	0.42%	0.0%	0.52%	0.60%	0.15%	0.51%	0.37%	0.29%	0.44%	0.23%	0.13%	1.19%	0.0%	0.68%	0.47%	0.37%	0.13%	0.0%	0.27%	0.69%	0.52%	0.86%	0.0%	0.0%	0.36%	0.0%	0.0%	0.53%	3.60%	0.0%	0.0%	0.81%	0.79%	0.0%	0.25%	1.59%	0.56%	0.0%	0.35%					
31	"14. ""Великая Россия - Евразийский Союз"""	99	0	1	0	0	1	0	0	0	8	2	5	1	1	0	2	0	0	5	2	0	2	0	0	1	0	5	0	1	1	0	0	0	1	1	1	0	0	1	2	1	1	3	1	0	4	1	2	7	0	1	0	0	3	1	0	4	2	0	0	1	0	5	0	4	1	0	0	0	3	1	0	2	0	0	3	0	2	1	1					
		0.24%	0.0%	0.78%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	1.06%	0.26%	0.68%	0.08%	0.29%	0.0%	0.54%	0.0%	0.0%	0.26%	0.19%	0.0%	0.27%	0.0%	0.0%	0.18%	0.0%	0.55%	0.0%	0.42%	0.70%	0.0%	0.0%	0.0%	0.08%	0.20%	0.52%	0.0%	0.0%	0.08%	0.20%	0.08%	0.10%	0.57%	0.26%	0.0%	0.61%	0.51%	0.18%	0.68%	0.0%	0.23%	0.0%	0.0%	1.64%	0.11%	0.0%	0.75%	0.26%	0.0%	0.0%	0.09%	0.0%	0.72%	0.0%	2.42%	0.12%	0.0%	0.0%	0.0%	2.70%	0.68%	0.0%	0.23%	0.0%	0.0%	0.38%	0.0%	0.37%	0.45%	0.17%					
32	"15. ""Партия СЛОН"""	65	0	0	0	1	5	0	0	0	2	0	1	1	0	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	5	2	3	1	3	1	1	0	1	1	0	1	3	0	1	4	0	2	6	0	0	1	0	0	0	1	0	0	2	0	0	2	0	1	1	0	0	0	0	0	1					
		0.15%	0.0%	0.0%	0.0%	0.54%	0.69%	0.0%	0.0%	0.0%	0.26%	0.0%	0.13%	0.08%	0.0%	0.0%	0.27%	0.15%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.10%	0.18%	0.0%	0.0%	0.0%	0.0%	0.70%	0.09%	0.0%	0.54%	0.08%	0.0%	0.0%	0.0%	0.0%	0.08%	0.50%	0.16%	0.32%	0.19%	0.78%	0.30%	0.15%	0.0%	0.09%	0.09%	0.0%	0.23%	0.41%	0.0%	0.54%	0.45%	0.0%	0.37%	0.80%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	1.61%	0.0%	0.0%	1.36%	0.0%	0.11%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2209	17	3	5	2	34	13	42	0	43	62	73	37	21	11	30	23	1	69	76	2	31	3	18	18	5	43	1	4	3	39	19	19	76	36	2	4	0	130	76	92	67	19	21	26	43	13	69	73	16	13	26	4	5	55	63	23	33	0	46	65	10	39	0	6	54	4	6	7	4	2	4	42	16	0	37	6	42	29	38					
