Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Липецкая - 115																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1501	УИК №1502	УИК №1504	УИК №1508	УИК №1509	УИК №1513	УИК №1514	УИК №1519	УИК №1520	УИК №1521	УИК №1526	УИК №1527	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1535	УИК №1536									
		0.16%	0.22%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.29%	0.00%	0.53%	0.15%	0.24%	0.20%	0.07%	0.00%	0.64%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	136	23	13	4	1	0	5	1	2	3	17	1	5	7	6	14	10	19	5									
		0.98%	1.28%	0.67%	1.43%	0.20%	0.00%	1.37%	0.68%	0.28%	0.38%	1.24%	0.33%	1.32%	1.04%	0.71%	1.37%	0.72%	2.24%	3.18%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1375	118	184	59	52	28	17	15	38	58	99	45	61	40	146	157	50	202	6									
		9.91%	6.57%	9.45%	21.15%	10.44%	7.87%	4.64%	10.14%	5.29%	7.28%	7.25%	15.05%	16.05%	5.92%	17.32%	15.36%	3.62%	23.79%	3.82%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	5	6	2	1	1	1	1	1	13	5	1	4	1	5	6	3	5	1									
		0.45%	0.28%	0.31%	0.72%	0.20%	0.28%	0.27%	0.68%	0.14%	1.63%	0.37%	0.33%	1.05%	0.15%	0.59%	0.59%	0.22%	0.59%	0.64%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	448	61	17	12	20	6	5	7	15	0	30	11	18	5	88	71	48	32	2									
		3.23%	3.40%	0.87%	4.30%	4.02%	1.69%	1.37%	4.73%	2.09%	0.00%	2.20%	3.68%	4.74%	0.74%	10.44%	6.95%	3.47%	3.77%	1.27%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
