Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Ижевск, Октябрьская"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1830	30	30	30	30	30	30	30	30	50	40	30	40	30	30	30	30	80	30	30	30	30	30	30	30	20	20	100	30	30	30	30	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	40	40	40	10	10	10	0	20	0	40	10	20	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	811	10	15	27	13	11	17	15	16	43	34	21	20	21	15	18	8	59	10	11	14	16	8	6	14	7	4	10	8	15	18	12	4	11	24	4	18	22	11	12	13	14	21	12	22	13	15	19	13	13	5	0	0	0	3	0	16	1	9	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	495	8	6	5	5	2	4	4	8	9	13	6	1	3	2	6	5	12	8	4	6	4	5	1	12	2	3	3	10	6	11	4	2	7	4	8	12	4	11	6	1	9	6	11	6	3	13	4	8	1	1	1	1	51	1	93	7	4	2	27	13					
14	Число погашенных открепительных удостоверений	1019	20	15	3	17	19	13	15	14	7	6	9	20	9	15	12	22	21	20	19	16	14	22	24	16	13	16	90	22	15	12	18	26	19	6	26	12	8	19	18	27	26	19	28	18	27	25	21	27	27	5	10	10	0	17	0	24	9	11	0	0					
15	Число открепительных удостоверений выданных ТИК	53	5	0	1	0	1	0	2	1	0	1	1	2	4	2	2	0	0	0	2	0	0	1	0	1	0	0	0	2	2	0	0	2	0	0	2	0	1	2	1	0	1	1	1	3	0	1	0	2	0	0	0	2	0	0	0	4	0	0	0	0					
16	Число утраченных бюллетеней	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	551	12	14	10	12	9	6	12	9	6	6	12	9	14	19	21	7	12	10	10	8	2	2	5	6	3	7	10	6	11	15	4	11	7	15	8	13	11	8	10	20	14	13	15	8	14	14	4	17	12	4	3	4	8	3	2	10	4	8	0	2					
		0.84%	0.82%	0.91%	0.64%	0.93%	0.91%	0.41%	0.74%	0.53%	0.43%	0.39%	0.77%	0.55%	0.96%	1.27%	1.36%	0.75%	0.89%	0.93%	0.90%	0.8%	0.30%	0.16%	1.01%	0.70%	0.54%	1.48%	1.40%	0.56%	1.04%	1.10%	0.48%	1.26%	0.75%	0.86%	0.80%	0.85%	0.77%	0.52%	0.95%	1.40%	1.11%	0.88%	0.93%	0.50%	0.93%	0.84%	0.41%	1.01%	0.98%	1.74%	1.97%	1.65%	8.24%	0.58%	1.23%	0.63%	4.25%	1.17%	0.0%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5893	84	144	123	111	84	146	101	120	114	168	148	183	117	121	155	70	95	108	86	72	66	87	35	95	60	55	57	85	76	157	85	100	74	155	95	138	126	188	80	128	68	123	174	178	118	147	107	188	107	20	7	9	12	68	3	183	2	82	2	3					
		9.05%	5.74%	9.36%	7.88%	8.67%	8.50%	10.12%	6.30%	7.09%	8.33%	11.05%	9.51%	11.23%	8.09%	8.12%	10.05%	7.55%	7.11%	10.05%	7.74%	7.2%	9.95%	7.17%	7.08%	11.13%	10.88%	11.67%	8.02%	7.94%	7.20%	11.51%	10.34%	11.49%	8.0%	8.92%	9.59%	9.10%	8.92%	12.43%	7.61%	9.02%	5.41%	8.36%	10.82%	11.28%	7.85%	8.84%	11.00%	11.21%	8.76%	8.73%	4.60%	3.71%	12.37%	13.28%	1.85%	11.60%	2.12%	12.07%	4.44%	3.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1714	45	53	33	45	26	40	33	40	20	20	49	40	33	56	50	33	21	29	27	39	24	39	14	12	12	15	16	30	40	31	24	27	34	54	38	46	25	26	45	45	26	29	33	28	40	24	26	37	28	6	4	3	9	12	8	42	7	18	2	3					
		2.63%	3.08%	3.44%	2.11%	3.51%	2.63%	2.77%	2.05%	2.36%	1.46%	1.31%	3.14%	2.45%	2.28%	3.75%	3.24%	3.56%	1.57%	2.70%	2.43%	3.9%	3.61%	3.21%	2.83%	1.40%	2.17%	3.18%	2.25%	2.80%	3.79%	2.27%	2.91%	3.10%	3.67%	3.11%	3.83%	3.03%	1.77%	1.71%	4.28%	3.17%	2.07%	1.97%	2.05%	1.77%	2.66%	1.44%	2.67%	2.20%	2.29%	2.62%	2.63%	1.23%	9.27%	2.34%	4.93%	2.66%	7.44%	2.65%	4.44%	3.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3065	47	69	46	49	37	54	75	49	40	91	70	84	70	55	66	43	47	44	68	57	62	67	27	62	42	33	26	46	59	76	42	41	36	120	40	79	70	89	43	69	56	77	89	65	75	79	41	90	55	3	0	6	5	31	3	66	4	27	2	1					
		4.71%	3.21%	4.48%	2.94%	3.83%	3.74%	3.74%	4.67%	2.89%	2.92%	5.99%	4.49%	5.15%	4.84%	3.69%	4.28%	4.64%	3.52%	4.09%	6.12%	5.7%	9.35%	5.52%	5.46%	7.26%	7.62%	7.00%	3.66%	4.29%	5.59%	5.57%	5.10%	4.71%	3.89%	6.91%	4.04%	5.21%	4.95%	5.88%	4.09%	4.86%	4.45%	5.23%	5.53%	4.12%	4.99%	4.75%	4.21%	5.36%	4.50%	1.31%	0.0%	2.47%	5.15%	6.05%	1.85%	4.18%	4.25%	3.97%	4.44%	1.16%					
22	"5. ""За Русь Святую"""	304	8	8	6	5	8	14	13	5	6	2	12	5	5	8	7	0	3	1	3	6	6	6	3	7	2	2	5	3	6	4	2	4	7	6	4	5	4	2	8	11	4	9	10	7	6	6	5	7	3	4	5	3	0	0	2	4	0	7	0	0					
		0.46%	0.54%	0.52%	0.38%	0.39%	0.80%	0.97%	0.81%	0.29%	0.43%	0.13%	0.77%	0.30%	0.34%	0.53%	0.45%	0.0%	0.22%	0.09%	0.27%	0.6%	0.90%	0.49%	0.60%	0.82%	0.36%	0.42%	0.70%	0.28%	0.56%	0.29%	0.24%	0.45%	0.75%	0.34%	0.40%	0.32%	0.28%	0.13%	0.76%	0.77%	0.31%	0.61%	0.62%	0.44%	0.39%	0.36%	0.51%	0.41%	0.24%	1.74%	3.28%	1.23%	0.0%	0.0%	1.23%	0.25%	0.0%	1.03%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	178	3	2	6	10	4	6	6	1	8	3	8	4	1	4	3	2	2	1	3	2	1	0	3	3	0	0	2	6	3	2	1	2	3	2	0	2	4	5	2	4	5	5	3	7	5	7	4	4	4	1	1	0	0	3	2	3	0	0	0	0					
		0.27%	0.20%	0.13%	0.38%	0.78%	0.40%	0.41%	0.37%	0.05%	0.58%	0.19%	0.51%	0.24%	0.06%	0.26%	0.19%	0.21%	0.14%	0.09%	0.27%	0.2%	0.15%	0.0%	0.60%	0.35%	0.0%	0.0%	0.28%	0.56%	0.28%	0.14%	0.12%	0.22%	0.32%	0.11%	0.0%	0.13%	0.28%	0.33%	0.19%	0.28%	0.39%	0.33%	0.18%	0.44%	0.33%	0.42%	0.41%	0.23%	0.32%	0.43%	0.65%	0.0%	0.0%	0.58%	1.23%	0.19%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	533	17	16	10	10	10	9	13	18	13	11	18	6	8	9	7	7	12	7	10	15	3	9	4	8	9	5	3	10	9	5	9	2	7	16	5	15	9	6	18	15	9	9	11	10	11	13	9	19	12	1	1	2	0	9	3	14	1	5	1	0					
		0.81%	1.16%	1.04%	0.64%	0.78%	1.01%	0.62%	0.81%	1.06%	0.95%	0.72%	1.15%	0.36%	0.55%	0.60%	0.45%	0.75%	0.89%	0.65%	0.90%	1.5%	0.45%	0.74%	0.80%	0.93%	1.63%	1.06%	0.42%	0.93%	0.85%	0.36%	1.09%	0.22%	0.75%	0.92%	0.50%	0.98%	0.63%	0.39%	1.71%	1.05%	0.71%	0.61%	0.68%	0.63%	0.73%	0.78%	0.92%	1.13%	0.98%	0.43%	0.65%	0.82%	0.0%	1.75%	1.85%	0.88%	1.06%	0.73%	2.22%	0.0%					
25	"8. ""Народно-республиканская партия России"""	73	0	3	0	4	1	3	1	2	4	0	0	1	1	2	0	3	4	2	0	1	1	0	0	0	0	1	5	2	1	1	2	3	2	0	0	1	0	2	0	1	0	0	0	1	0	2	1	3	0	0	0	2	4	0	1	0	2	3	0	0					
		0.11%	0.0%	0.19%	0.0%	0.31%	0.10%	0.20%	0.06%	0.11%	0.29%	0.0%	0.0%	0.06%	0.06%	0.13%	0.0%	0.32%	0.29%	0.18%	0.0%	0.1%	0.15%	0.0%	0.0%	0.0%	0.0%	0.21%	0.70%	0.18%	0.09%	0.07%	0.24%	0.34%	0.21%	0.0%	0.0%	0.06%	0.0%	0.13%	0.0%	0.07%	0.0%	0.0%	0.0%	0.06%	0.0%	0.12%	0.10%	0.17%	0.0%	0.0%	0.0%	0.82%	4.12%	0.0%	0.61%	0.0%	2.12%	0.44%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	545	4	13	18	12	4	12	22	14	15	21	11	16	10	8	15	8	26	6	7	6	4	13	1	6	5	2	10	13	15	7	4	4	3	17	12	9	8	15	6	19	12	5	13	9	18	10	7	13	8	1	0	0	2	6	0	11	1	7	1	0					
		0.83%	0.27%	0.84%	1.15%	0.93%	0.40%	0.83%	1.37%	0.82%	1.09%	1.38%	0.70%	0.98%	0.69%	0.53%	0.97%	0.86%	1.94%	0.55%	0.63%	0.6%	0.60%	1.07%	0.20%	0.70%	0.90%	0.42%	1.40%	1.21%	1.42%	0.51%	0.48%	0.45%	0.32%	0.97%	1.21%	0.59%	0.56%	0.99%	0.57%	1.33%	0.95%	0.33%	0.80%	0.57%	1.19%	0.60%	0.72%	0.77%	0.65%	0.43%	0.0%	0.0%	2.06%	1.17%	0.0%	0.69%	1.06%	1.03%	2.22%	0.0%					
27	"10. ""Аграрная партия России"""	1898	52	40	46	50	27	36	38	50	59	47	48	51	41	40	39	21	92	38	23	25	14	39	15	24	17	17	15	36	26	44	25	17	29	62	21	56	35	26	38	24	34	56	34	46	34	51	20	42	28	7	8	6	5	10	10	31	4	24	3	2					
		2.91%	3.55%	2.60%	2.94%	3.90%	2.73%	2.49%	2.37%	2.95%	4.31%	3.09%	3.08%	3.13%	2.83%	2.68%	2.52%	2.26%	6.89%	3.53%	2.07%	2.5%	2.11%	3.21%	3.03%	2.81%	3.08%	3.60%	2.11%	3.36%	2.46%	3.22%	3.04%	1.95%	3.13%	3.57%	2.12%	3.69%	2.47%	1.71%	3.61%	1.69%	2.70%	3.80%	2.11%	2.91%	2.26%	3.06%	2.05%	2.50%	2.29%	3.05%	5.26%	2.47%	5.15%	1.95%	6.17%	1.96%	4.25%	3.53%	6.66%	2.32%					
28	"11. ""Истинные патриоты России"""	94	2	4	1	5	1	0	2	5	1	2	3	2	3	4	8	4	2	2	0	2	0	0	0	2	1	0	0	2	0	0	0	0	1	2	2	1	3	2	1	2	2	3	6	0	2	3	0	2	1	0	0	0	1	0	1	1	0	0	0	0					
		0.14%	0.13%	0.26%	0.06%	0.39%	0.10%	0.0%	0.12%	0.29%	0.07%	0.13%	0.19%	0.12%	0.20%	0.26%	0.51%	0.43%	0.14%	0.18%	0.0%	0.2%	0.0%	0.0%	0.0%	0.23%	0.18%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.10%	0.11%	0.20%	0.06%	0.21%	0.13%	0.09%	0.14%	0.15%	0.20%	0.37%	0.0%	0.13%	0.18%	0.0%	0.11%	0.08%	0.0%	0.0%	0.0%	1.03%	0.0%	0.61%	0.06%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	769	20	14	21	16	11	16	20	16	11	13	15	14	14	23	25	11	9	13	15	13	9	14	3	8	2	2	5	15	17	15	12	10	19	25	9	21	18	19	19	15	14	21	10	28	16	17	11	24	13	1	1	2	0	3	0	29	2	8	2	0					
		1.18%	1.36%	0.91%	1.34%	1.25%	1.11%	1.10%	1.24%	0.94%	0.80%	0.85%	0.96%	0.85%	0.96%	1.54%	1.62%	1.18%	0.67%	1.21%	1.35%	1.3%	1.35%	1.15%	0.60%	0.93%	0.36%	0.42%	0.70%	1.40%	1.61%	1.10%	1.45%	1.14%	2.05%	1.44%	0.90%	1.38%	1.27%	1.25%	1.80%	1.05%	1.11%	1.42%	0.62%	1.77%	1.06%	1.02%	1.13%	1.43%	1.06%	0.43%	0.65%	0.82%	0.0%	0.58%	0.0%	1.83%	2.12%	1.17%	4.44%	0.0%					
30	"13. ""Демократическая партия России"""	213	2	5	9	2	4	7	5	7	5	2	2	6	3	2	6	0	0	7	4	3	5	3	6	5	1	1	3	4	0	2	4	2	3	4	3	5	2	6	3	8	8	3	3	10	3	7	4	3	5	0	1	4	1	2	1	3	1	3	0	0					
		0.32%	0.13%	0.32%	0.57%	0.15%	0.40%	0.48%	0.31%	0.41%	0.36%	0.13%	0.12%	0.36%	0.20%	0.13%	0.38%	0.0%	0.0%	0.65%	0.36%	0.3%	0.75%	0.24%	1.21%	0.58%	0.18%	0.21%	0.42%	0.37%	0.0%	0.14%	0.48%	0.22%	0.32%	0.23%	0.30%	0.32%	0.14%	0.39%	0.28%	0.56%	0.63%	0.20%	0.18%	0.63%	0.19%	0.42%	0.41%	0.17%	0.40%	0.0%	0.65%	1.65%	1.03%	0.39%	0.61%	0.19%	1.06%	0.44%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	80	4	3	1	3	0	1	3	2	0	1	2	4	3	1	3	0	2	0	0	2	1	0	2	1	0	1	1	3	2	1	3	2	0	3	1	0	1	1	0	1	2	1	1	0	2	3	2	1	1	0	0	2	1	0	0	3	0	2	0	0					
		0.12%	0.27%	0.19%	0.06%	0.23%	0.0%	0.06%	0.18%	0.11%	0.0%	0.06%	0.12%	0.24%	0.20%	0.06%	0.19%	0.0%	0.14%	0.0%	0.0%	0.2%	0.15%	0.0%	0.40%	0.11%	0.0%	0.21%	0.14%	0.28%	0.18%	0.07%	0.36%	0.22%	0.0%	0.17%	0.10%	0.0%	0.07%	0.06%	0.0%	0.07%	0.15%	0.06%	0.06%	0.0%	0.13%	0.18%	0.20%	0.05%	0.08%	0.0%	0.0%	0.82%	1.03%	0.0%	0.0%	0.19%	0.0%	0.29%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	136	4	2	2	0	0	2	3	1	7	6	5	2	2	0	2	2	3	1	1	0	1	5	0	2	0	0	2	1	2	6	4	0	2	1	2	5	1	3	4	7	2	4	4	4	2	6	4	5	4	0	0	2	0	0	1	5	0	0	0	0					
		0.20%	0.27%	0.13%	0.12%	0.0%	0.0%	0.13%	0.18%	0.05%	0.51%	0.39%	0.32%	0.12%	0.13%	0.0%	0.12%	0.21%	0.22%	0.09%	0.09%	0.0%	0.15%	0.41%	0.0%	0.23%	0.0%	0.0%	0.28%	0.09%	0.18%	0.44%	0.48%	0.0%	0.21%	0.05%	0.20%	0.32%	0.07%	0.19%	0.38%	0.49%	0.15%	0.27%	0.24%	0.25%	0.13%	0.36%	0.41%	0.29%	0.32%	0.0%	0.0%	0.82%	0.0%	0.0%	0.61%	0.31%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7590	136	135	139	127	77	182	161	202	98	135	150	196	193	143	166	99	143	154	161	136	91	170	40	128	64	56	54	130	146	183	83	97	112	252	141	213	173	210	135	153	198	185	187	180	207	215	106	218	139	21	12	9	6	57	15	191	7	65	5	3					
		11.66%	9.30%	8.78%	8.91%	9.92%	7.79%	12.62%	10.04%	11.94%	7.16%	8.88%	9.64%	12.03%	13.34%	9.59%	10.76%	10.69%	10.71%	14.33%	14.50%	13.6%	13.72%	14.02%	8.09%	15.00%	11.61%	11.88%	7.60%	12.14%	13.83%	13.42%	10.09%	11.14%	12.10%	14.51%	14.24%	14.05%	12.25%	13.88%	12.84%	10.78%	15.76%	12.57%	11.62%	11.41%	13.78%	12.93%	10.90%	13.00%	11.38%	9.17%	7.89%	3.71%	6.18%	11.13%	9.25%	12.11%	7.44%	9.57%	11.11%	3.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	106	8	1	3	3	1	1	0	6	2	1	5	2	1	0	3	2	1	2	1	1	1	3	0	1	0	1	2	2	2	2	0	1	1	3	2	3	4	3	0	0	1	2	3	2	0	1	1	1	2	0	5	4	1	0	1	4	0	2	1	0					
		0.16%	0.54%	0.06%	0.19%	0.23%	0.10%	0.06%	0.0%	0.35%	0.14%	0.06%	0.32%	0.12%	0.06%	0.0%	0.19%	0.21%	0.07%	0.18%	0.09%	0.1%	0.15%	0.24%	0.0%	0.11%	0.0%	0.21%	0.28%	0.18%	0.18%	0.14%	0.0%	0.11%	0.10%	0.17%	0.20%	0.19%	0.28%	0.19%	0.0%	0.0%	0.07%	0.13%	0.18%	0.12%	0.0%	0.06%	0.10%	0.05%	0.16%	0.0%	3.28%	1.65%	1.03%	0.0%	0.61%	0.25%	0.0%	0.29%	2.22%	0.0%					
35	"18. ""ЛДПР"""	7916	230	207	220	166	147	145	185	243	199	154	181	181	198	194	190	116	169	119	128	144	77	143	90	77	62	47	74	114	113	144	86	102	102	191	123	151	155	166	121	192	147	188	206	190	196	208	92	216	168	34	9	19	9	70	18	190	5	90	2	13					
		12.16%	15.74%	13.46%	14.10%	12.97%	14.87%	10.05%	11.54%	14.37%	14.54%	10.13%	11.63%	11.11%	13.69%	13.02%	12.32%	12.52%	12.65%	11.08%	11.53%	14.4%	11.61%	11.79%	18.21%	9.02%	11.25%	9.97%	10.42%	10.65%	10.71%	10.56%	10.46%	11.72%	11.02%	11.00%	12.42%	9.96%	10.97%	10.97%	11.51%	13.53%	11.70%	12.78%	12.81%	12.04%	13.04%	12.51%	9.46%	12.88%	13.75%	14.84%	5.92%	7.85%	9.27%	13.67%	11.11%	12.04%	5.31%	13.25%	4.44%	15.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1520	26	35	36	21	17	38	48	33	25	40	34	39	25	35	41	22	39	39	30	17	15	34	8	16	14	16	69	25	21	33	18	18	11	36	20	30	38	28	16	41	28	29	34	35	27	42	30	19	28	7	4	6	1	22	2	41	2	16	0	0					
		2.33%	1.77%	2.27%	2.30%	1.64%	1.72%	2.63%	2.99%	1.95%	1.82%	2.63%	2.18%	2.39%	1.72%	2.34%	2.65%	2.37%	2.92%	3.63%	2.70%	1.7%	2.26%	2.80%	1.61%	1.87%	2.54%	3.39%	9.71%	2.33%	1.99%	2.42%	2.18%	2.06%	1.18%	2.07%	2.02%	1.97%	2.69%	1.85%	1.52%	2.88%	2.22%	1.97%	2.11%	2.21%	1.79%	2.52%	3.08%	1.13%	2.29%	3.05%	2.63%	2.47%	1.03%	4.29%	1.23%	2.59%	2.12%	2.35%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	20003	437	476	528	393	353	442	531	543	476	544	476	517	474	485	480	292	424	278	326	284	170	371	160	250	131	127	238	290	314	368	259	293	261	475	282	480	462	469	314	428	367	413	535	481	472	503	319	467	369	84	61	122	17	135	57	410	30	202	10	48					
		30.74%	29.91%	30.96%	33.84%	30.72%	35.72%	30.65%	33.12%	32.11%	34.79%	35.81%	30.59%	31.73%	32.78%	32.55%	31.12%	31.53%	31.76%	25.88%	29.36%	28.4%	25.64%	30.61%	32.38%	29.30%	23.77%	26.96%	33.52%	27.10%	29.76%	26.99%	31.50%	33.67%	28.21%	27.36%	28.48%	31.66%	32.71%	31.01%	29.87%	30.16%	29.21%	28.07%	33.27%	30.50%	31.42%	30.26%	32.81%	27.86%	30.22%	36.68%	40.13%	50.41%	17.52%	26.36%	35.18%	25.99%	31.91%	29.74%	22.22%	55.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	90	3	0	2	0	0	2	3	1	5	5	7	0	3	0	0	1	2	2	0	1	1	1	0	1	3	0	1	1	1	2	4	1	2	3	2	1	1	2	1	3	2	2	2	2	2	3	1	2	1	0	1	1	0	0	0	1	1	1	0	0					
		0.13%	0.20%	0.0%	0.12%	0.0%	0.0%	0.13%	0.18%	0.05%	0.36%	0.32%	0.44%	0.0%	0.20%	0.0%	0.0%	0.10%	0.14%	0.18%	0.0%	0.1%	0.15%	0.08%	0.0%	0.11%	0.54%	0.0%	0.14%	0.09%	0.09%	0.14%	0.48%	0.11%	0.21%	0.17%	0.20%	0.06%	0.07%	0.13%	0.09%	0.21%	0.15%	0.13%	0.12%	0.12%	0.13%	0.18%	0.10%	0.11%	0.08%	0.0%	0.65%	0.41%	0.0%	0.0%	0.0%	0.06%	1.06%	0.14%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	227	2	3	8	3	3	7	4	5	4	8	5	6	5	1	4	2	5	4	4	1	2	3	3	2	2	1	2	4	2	1	2	5	4	20	4	8	5	8	5	4	2	5	1	6	7	10	6	5	2	0	0	0	0	4	0	7	0	1	0	0					
		0.34%	0.13%	0.19%	0.51%	0.23%	0.30%	0.48%	0.24%	0.29%	0.29%	0.52%	0.32%	0.36%	0.34%	0.06%	0.25%	0.21%	0.37%	0.37%	0.36%	0.1%	0.30%	0.24%	0.60%	0.23%	0.36%	0.21%	0.28%	0.37%	0.18%	0.07%	0.24%	0.57%	0.43%	1.15%	0.40%	0.52%	0.35%	0.52%	0.47%	0.28%	0.15%	0.33%	0.06%	0.38%	0.46%	0.60%	0.61%	0.29%	0.16%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.44%	0.0%	0.14%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6420	152	147	141	115	84	150	153	151	133	124	154	142	115	169	151	80	112	119	125	91	60	118	38	89	81	50	64	170	118	162	96	84	121	170	105	152	122	112	110	135	166	170	118	150	145	141	107	159	134	15	6	5	12	45	13	189	7	57	11	5					
