Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	730	10	10	10	20	10	30	10	10	10	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	20	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	208	5	8	7	12	8	19	7	1	3	14	5	5	2	0	8	12	9	8	4	3	2	6	4	2	13	8	5	0	0	1	0	1	1	3	1	0	1	1	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	2	0	0	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	219	6	2	4	1	7	7	3	2	2	2	1	7	4	2	9	1	2	7	7	2	1	3	1	2	9	8	0	40	6	2	5	1	1	0	2	2	1	6	0	5	0	0	0	1	0	3	2	5	1	0	0	5	0	0	0	0	3	0	1	3	4	1	2	0	0	0	4	11					
14	Число погашенных открепительных удостоверений	522	5	2	3	8	2	11	3	9	7	6	5	5	8	10	2	8	1	2	6	7	8	4	6	8	7	2	5	0	10	9	10	9	9	7	9	10	9	9	9	8	9	10	10	10	10	8	10	10	10	10	10	10	10	10	10	8	10	10	9	10	6	8	10	10	10	10	10	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	"1. ""ЕДИНЕНИЕ"""	626	14	11	7	14	16	8	9	10	6	15	14	17	14	1	10	10	9	10	6	12	12	9	8	7	7	11	1	0	12	11	18	21	24	13	18	15	9	2	9	16	14	2	3	1	0	8	5	10	0	0	6	20	2	10	3	8	19	19	7	2	9	11	6	1	6	1	2	15					
		1.59%	2.30%	1.27%	1.15%	1.30%	1.67%	0.73%	0.98%	0.97%	1.62%	1.17%	1.46%	2.16%	1.97%	0.42%	1.44%	1.15%	0.88%	1.14%	0.59%	1.25%	1.29%	1.01%	1.06%	0.90%	0.68%	2.20%	0.12%	0.0%	1.68%	1.59%	2.49%	2.67%	3.15%	1.49%	2.33%	3.07%	1.86%	2.17%	0.75%	2.73%	2.04%	1.81%	1.36%	1.04%	0.0%	1.66%	2.27%	3.26%	0.0%	0.0%	2.79%	3.35%	2.24%	2.02%	2.63%	2.00%	3.26%	2.84%	2.77%	2.19%	1.40%	2.37%	2.17%	1.96%	3.57%	0.94%	0.96%	2.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1332	10	35	16	50	36	47	43	41	16	48	41	21	17	18	35	39	57	39	33	28	38	35	36	33	56	26	39	1	29	15	18	27	18	27	20	12	17	2	23	12	15	0	2	0	1	13	2	6	2	2	1	28	0	8	5	4	13	13	2	1	16	12	3	0	3	1	6	19					
		3.39%	1.64%	4.05%	2.63%	4.66%	3.76%	4.34%	4.70%	4.01%	4.32%	3.77%	4.29%	2.67%	2.39%	7.56%	5.04%	4.49%	5.57%	4.46%	3.29%	2.93%	4.09%	3.95%	4.78%	4.28%	5.45%	5.21%	4.82%	2.5%	4.07%	2.17%	2.49%	3.43%	2.36%	3.09%	2.59%	2.45%	3.51%	2.17%	1.93%	2.05%	2.18%	0.0%	0.90%	0.0%	0.91%	2.70%	0.90%	1.96%	1.52%	1.83%	0.46%	4.69%	0.0%	1.61%	4.38%	1.00%	2.23%	1.94%	0.79%	1.09%	2.5%	2.58%	1.08%	0.0%	1.78%	0.94%	2.88%	2.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1425	29	35	15	40	43	29	45	39	17	45	23	32	34	5	27	19	42	35	48	37	35	30	9	20	48	9	29	0	35	24	20	34	29	26	33	21	22	7	45	13	25	8	7	1	10	19	4	6	1	6	10	22	4	16	5	12	14	12	6	5	19	23	10	2	13	4	7	26					
		3.63%	4.77%	4.05%	2.46%	3.73%	4.50%	2.68%	4.92%	3.81%	4.59%	3.53%	2.41%	4.07%	4.78%	2.10%	3.89%	2.18%	4.10%	4.00%	4.78%	3.88%	3.76%	3.38%	1.19%	2.59%	4.67%	1.80%	3.58%	0.0%	4.92%	3.47%	2.77%	4.32%	3.81%	2.98%	4.27%	4.30%	4.55%	7.60%	3.78%	2.22%	3.64%	7.27%	3.18%	1.04%	9.17%	3.95%	1.81%	1.96%	0.76%	5.50%	4.65%	3.68%	4.49%	3.23%	4.38%	3.00%	2.40%	1.79%	2.38%	5.49%	2.96%	4.95%	3.62%	3.92%	7.73%	3.77%	3.36%	4.04%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1030	11	27	16	23	34	32	23	32	15	42	32	25	13	7	30	43	35	31	37	34	17	21	33	30	43	12	47	0	16	9	12	12	15	21	12	9	8	0	21	10	11	1	1	1	2	11	6	7	4	2	1	2	0	11	4	6	10	16	2	4	10	5	6	0	2	2	3	10					
		2.62%	1.81%	3.12%	2.63%	2.14%	3.56%	2.95%	2.51%	3.13%	4.05%	3.30%	3.35%	3.18%	1.83%	2.94%	4.32%	4.95%	3.42%	3.55%	3.68%	3.56%	1.82%	2.37%	4.38%	3.89%	4.19%	2.40%	5.80%	0.0%	2.25%	1.30%	1.66%	1.52%	1.97%	2.40%	1.55%	1.84%	1.65%	0.0%	1.76%	1.71%	1.60%	0.90%	0.45%	1.04%	1.83%	2.29%	2.72%	2.28%	3.05%	1.83%	0.46%	0.33%	0.0%	2.22%	3.50%	1.50%	1.71%	2.39%	0.79%	4.39%	1.56%	1.07%	2.17%	0.0%	1.19%	1.88%	1.44%	1.55%					
22	"5. ""За Русь Святую"""	314	4	5	8	2	2	5	5	6	3	16	5	2	3	3	9	4	13	4	10	6	5	9	3	3	7	6	8	1	17	10	5	3	5	5	5	6	4	2	11	8	9	3	2	1	3	3	2	3	2	1	1	3	0	6	1	5	5	4	1	0	2	7	1	0	0	0	3	8					
		0.79%	0.65%	0.57%	1.31%	0.18%	0.20%	0.46%	0.54%	0.58%	0.81%	1.25%	0.52%	0.25%	0.42%	1.26%	1.29%	0.46%	1.27%	0.45%	0.99%	0.62%	0.53%	1.01%	0.39%	0.38%	0.68%	1.20%	0.98%	2.5%	2.39%	1.44%	0.69%	0.38%	0.65%	0.57%	0.64%	1.22%	0.82%	2.17%	0.92%	1.36%	1.31%	2.72%	0.90%	1.04%	2.75%	0.62%	0.90%	0.98%	1.52%	0.91%	0.46%	0.50%	0.0%	1.21%	0.87%	1.25%	0.85%	0.59%	0.39%	0.0%	0.31%	1.50%	0.36%	0.0%	0.0%	0.0%	1.44%	1.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	122	0	2	0	3	2	5	0	1	0	1	2	3	4	3	1	5	6	4	0	2	3	3	2	1	1	2	0	0	1	2	1	4	5	2	1	2	1	0	3	2	3	0	3	2	3	3	0	2	0	0	2	4	2	1	0	4	3	2	0	0	1	2	1	0	0	0	0	4					
		0.31%	0.0%	0.23%	0.0%	0.28%	0.20%	0.46%	0.0%	0.09%	0.0%	0.07%	0.20%	0.38%	0.56%	1.26%	0.14%	0.57%	0.58%	0.45%	0.0%	0.20%	0.32%	0.33%	0.26%	0.12%	0.09%	0.40%	0.0%	0.0%	0.14%	0.28%	0.13%	0.50%	0.65%	0.22%	0.12%	0.40%	0.20%	0.0%	0.25%	0.34%	0.43%	0.0%	1.36%	2.08%	2.75%	0.62%	0.0%	0.65%	0.0%	0.0%	0.93%	0.67%	2.24%	0.20%	0.0%	1.00%	0.51%	0.29%	0.0%	0.0%	0.15%	0.43%	0.36%	0.0%	0.0%	0.0%	0.0%	0.62%					
24	"7. ""Новый курс - Автомобильная Россия"""	355	13	15	8	11	8	16	11	5	1	22	18	3	6	4	5	8	11	5	4	6	14	16	12	7	10	2	4	0	11	3	2	1	6	7	6	3	2	2	10	6	2	0	0	0	1	3	0	1	0	0	0	3	1	5	2	1	2	5	4	1	3	4	1	0	0	1	2	9					
		0.90%	2.14%	1.73%	1.31%	1.02%	0.83%	1.47%	1.20%	0.48%	0.27%	1.72%	1.88%	0.38%	0.84%	1.68%	0.72%	0.92%	1.07%	0.57%	0.39%	0.62%	1.50%	1.80%	1.59%	0.90%	0.97%	0.40%	0.49%	0.0%	1.54%	0.43%	0.27%	0.12%	0.78%	0.80%	0.77%	0.61%	0.41%	2.17%	0.84%	1.02%	0.29%	0.0%	0.0%	0.0%	0.91%	0.62%	0.0%	0.32%	0.0%	0.0%	0.0%	0.50%	1.12%	1.01%	1.75%	0.25%	0.34%	0.74%	1.58%	1.09%	0.46%	0.86%	0.36%	0.0%	0.0%	0.94%	0.96%	1.39%					
25	"8. ""Народно-республиканская партия России"""	75	2	1	0	1	0	4	1	1	0	1	2	2	3	0	0	3	0	0	1	1	1	1	0	1	2	0	1	0	0	4	4	3	1	4	1	0	0	0	5	1	2	0	3	0	0	2	0	2	0	0	4	0	0	3	0	0	1	0	1	0	2	0	1	0	1	0	0	1					
		0.19%	0.32%	0.11%	0.0%	0.09%	0.0%	0.36%	0.10%	0.09%	0.0%	0.07%	0.20%	0.25%	0.42%	0.0%	0.0%	0.34%	0.0%	0.0%	0.09%	0.10%	0.10%	0.11%	0.0%	0.12%	0.19%	0.0%	0.12%	0.0%	0.0%	0.57%	0.55%	0.38%	0.13%	0.45%	0.12%	0.0%	0.0%	0.0%	0.42%	0.17%	0.29%	0.0%	1.36%	0.0%	0.0%	0.41%	0.0%	0.65%	0.0%	0.0%	1.86%	0.0%	0.0%	0.60%	0.0%	0.0%	0.17%	0.0%	0.39%	0.0%	0.31%	0.0%	0.36%	0.0%	0.59%	0.0%	0.0%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	158	2	2	2	8	4	4	5	4	2	4	1	0	1	0	4	2	4	3	6	5	3	3	6	1	10	0	3	1	4	0	5	8	3	1	3	3	2	0	4	0	1	2	0	1	0	2	1	0	0	1	0	5	1	4	0	3	5	2	1	1	1	0	0	0	2	0	0	2					
		0.40%	0.32%	0.23%	0.32%	0.74%	0.41%	0.36%	0.54%	0.39%	0.54%	0.31%	0.10%	0.0%	0.14%	0.0%	0.57%	0.23%	0.39%	0.34%	0.59%	0.52%	0.32%	0.33%	0.79%	0.12%	0.97%	0.0%	0.37%	2.5%	0.56%	0.0%	0.69%	1.01%	0.39%	0.11%	0.38%	0.61%	0.41%	0.0%	0.33%	0.0%	0.14%	1.81%	0.0%	1.04%	0.0%	0.41%	0.45%	0.0%	0.0%	0.91%	0.0%	0.83%	1.12%	0.80%	0.0%	0.75%	0.85%	0.29%	0.39%	1.09%	0.15%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.31%					
27	"10. ""Аграрная партия России"""	1487	19	15	14	35	31	31	30	36	4	39	26	44	17	4	17	29	32	24	41	23	16	22	13	18	26	21	33	1	19	21	23	16	26	14	22	25	58	8	31	28	12	7	5	2	1	36	40	11	4	10	12	34	2	27	4	44	20	83	28	6	42	20	11	7	19	18	11	19					
		3.78%	3.13%	1.73%	2.30%	3.26%	3.24%	2.86%	3.28%	3.52%	1.08%	3.06%	2.72%	5.59%	2.39%	1.68%	2.44%	3.34%	3.13%	2.74%	4.08%	2.41%	1.72%	2.48%	1.72%	2.33%	2.53%	4.20%	4.07%	2.5%	2.67%	3.03%	3.18%	2.03%	3.42%	1.60%	2.84%	5.12%	12.00%	8.69%	2.60%	4.79%	1.74%	6.36%	2.27%	2.08%	0.91%	7.5%	18.18%	3.59%	3.05%	9.17%	5.58%	5.69%	2.24%	5.46%	3.50%	11.02%	3.43%	12.40%	11.11%	6.59%	6.56%	4.31%	3.98%	13.72%	11.30%	16.98%	5.28%	2.95%					
28	"11. ""Истинные патриоты России"""	34	0	0	1	1	0	3	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	1	1	0	0	2	0	0	1	0	0	0	2					
		0.08%	0.0%	0.0%	0.16%	0.09%	0.0%	0.27%	0.10%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.14%	0.11%	0.0%	0.11%	0.09%	0.10%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.14%	0.28%	0.0%	0.0%	0.0%	0.11%	0.12%	0.20%	0.0%	0.0%	0.08%	0.17%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.0%	0.32%	0.0%	0.0%	0.93%	0.0%	0.0%	0.40%	0.0%	0.0%	0.17%	0.14%	0.0%	0.0%	0.31%	0.0%	0.0%	1.96%	0.0%	0.0%	0.0%	0.31%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	672	4	18	6	19	19	11	5	9	6	20	15	14	16	9	7	19	20	17	29	22	16	30	12	9	21	8	12	1	17	13	13	13	8	11	18	7	8	1	14	6	8	0	1	1	5	15	2	4	0	4	2	10	2	14	2	11	7	13	8	1	14	8	3	1	0	2	5	6					
		1.71%	0.65%	2.08%	0.98%	1.77%	1.98%	1.01%	0.54%	0.88%	1.62%	1.57%	1.57%	1.78%	2.25%	3.78%	1.00%	2.18%	1.95%	1.94%	2.89%	2.30%	1.72%	3.38%	1.59%	1.16%	2.04%	1.60%	1.48%	2.5%	2.39%	1.88%	1.80%	1.65%	1.05%	1.26%	2.33%	1.43%	1.65%	1.08%	1.17%	1.02%	1.16%	0.0%	0.45%	1.04%	4.58%	3.12%	0.90%	1.30%	0.0%	3.66%	0.93%	1.67%	2.24%	2.83%	1.75%	2.75%	1.20%	1.94%	3.17%	1.09%	2.18%	1.72%	1.08%	1.96%	0.0%	1.88%	2.40%	0.93%					
30	"13. ""Демократическая партия России"""	145	2	2	2	6	4	3	4	5	2	1	6	3	0	1	3	1	2	2	3	2	1	7	1	3	2	0	4	0	2	5	4	3	3	4	2	1	0	0	3	2	4	2	2	0	0	3	2	2	0	0	2	5	1	1	1	4	0	3	1	0	1	3	2	0	0	0	1	4					
		0.36%	0.32%	0.23%	0.32%	0.56%	0.41%	0.27%	0.43%	0.48%	0.54%	0.07%	0.62%	0.38%	0.0%	0.42%	0.43%	0.11%	0.19%	0.22%	0.29%	0.20%	0.10%	0.79%	0.13%	0.38%	0.19%	0.0%	0.49%	0.0%	0.28%	0.72%	0.55%	0.38%	0.39%	0.45%	0.25%	0.20%	0.0%	0.0%	0.25%	0.34%	0.58%	1.81%	0.90%	0.0%	0.0%	0.62%	0.90%	0.65%	0.0%	0.0%	0.93%	0.83%	1.12%	0.20%	0.87%	1.00%	0.0%	0.44%	0.39%	0.0%	0.15%	0.64%	0.72%	0.0%	0.0%	0.0%	0.48%	0.62%					
31	"14. ""Великая Россия - Евразийский Союз"""	96	1	1	1	3	1	2	0	3	2	2	0	1	1	0	1	2	3	2	1	1	2	1	4	1	3	0	4	0	1	0	1	3	2	2	1	0	0	0	4	2	1	0	0	1	0	4	0	0	0	0	1	3	0	5	2	3	4	2	3	0	1	1	1	0	2	0	2	1					
		0.24%	0.16%	0.11%	0.16%	0.28%	0.10%	0.18%	0.0%	0.29%	0.54%	0.15%	0.0%	0.12%	0.14%	0.0%	0.14%	0.23%	0.29%	0.22%	0.09%	0.10%	0.21%	0.11%	0.53%	0.12%	0.29%	0.0%	0.49%	0.0%	0.14%	0.0%	0.13%	0.38%	0.26%	0.22%	0.12%	0.0%	0.0%	0.0%	0.33%	0.34%	0.14%	0.0%	0.0%	1.04%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.46%	0.50%	0.0%	1.01%	1.75%	0.75%	0.68%	0.29%	1.19%	0.0%	0.15%	0.21%	0.36%	0.0%	1.19%	0.0%	0.96%	0.15%					
32	"15. ""Партия СЛОН"""	88	1	0	2	1	1	4	0	2	0	3	2	1	0	1	0	1	2	2	5	6	3	1	2	4	3	1	0	0	1	1	2	3	3	1	2	1	0	0	2	1	0	0	2	0	0	1	2	2	1	0	0	3	0	0	0	0	2	1	0	1	5	1	0	0	0	0	0	2					
		0.22%	0.16%	0.0%	0.32%	0.09%	0.10%	0.36%	0.0%	0.19%	0.0%	0.23%	0.20%	0.12%	0.0%	0.42%	0.0%	0.11%	0.19%	0.22%	0.49%	0.62%	0.32%	0.11%	0.26%	0.51%	0.29%	0.20%	0.0%	0.0%	0.14%	0.14%	0.27%	0.38%	0.39%	0.11%	0.25%	0.20%	0.0%	0.0%	0.16%	0.17%	0.0%	0.0%	0.90%	0.0%	0.0%	0.20%	0.90%	0.65%	0.76%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.34%	0.14%	0.0%	1.09%	0.78%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4535	62	89	77	154	108	125	118	131	31	128	104	53	79	26	66	114	131	103	134	122	138	123	102	98	107	78	104	2	54	61	92	95	95	94	89	34	47	6	171	55	117	13	40	23	6	67	2	22	9	5	24	37	3	44	13	37	49	70	16	7	79	56	41	2	7	17	28	101					
		11.55%	10.21%	10.30%	12.66%	14.37%	11.30%	11.55%	12.92%	12.81%	8.37%	10.06%	10.90%	6.74%	11.12%	10.92%	9.51%	13.13%	12.81%	11.79%	13.35%	12.80%	14.85%	13.89%	13.56%	12.72%	10.42%	15.63%	12.85%	5.0%	7.59%	8.82%	12.74%	12.08%	12.5%	10.77%	11.52%	6.96%	9.73%	6.52%	14.36%	9.41%	17.05%	11.81%	18.18%	23.95%	5.50%	13.95%	0.90%	7.18%	6.87%	4.58%	11.16%	6.19%	3.37%	8.90%	11.40%	9.27%	8.41%	10.46%	6.34%	7.69%	12.34%	12.06%	14.85%	3.92%	4.16%	16.03%	13.46%	15.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	124	2	1	1	4	0	3	2	1	2	2	5	2	3	0	1	2	0	3	3	2	1	3	2	4	4	2	3	0	5	2	1	11	3	0	1	2	3	0	3	4	4	0	1	0	1	2	1	0	1	0	0	4	0	3	2	2	2	0	0	0	1	2	0	0	0	1	1	3					
		0.31%	0.32%	0.11%	0.16%	0.37%	0.0%	0.27%	0.21%	0.09%	0.54%	0.15%	0.52%	0.25%	0.42%	0.0%	0.14%	0.23%	0.0%	0.34%	0.29%	0.20%	0.10%	0.33%	0.26%	0.51%	0.38%	0.40%	0.37%	0.0%	0.70%	0.28%	0.13%	1.39%	0.39%	0.0%	0.12%	0.40%	0.62%	0.0%	0.25%	0.68%	0.58%	0.0%	0.45%	0.0%	0.91%	0.41%	0.45%	0.0%	0.76%	0.0%	0.0%	0.67%	0.0%	0.60%	1.75%	0.50%	0.34%	0.0%	0.0%	0.0%	0.15%	0.43%	0.0%	0.0%	0.0%	0.94%	0.48%	0.46%					
35	"18. ""ЛДПР"""	4573	63	131	96	125	97	141	88	126	55	173	111	104	80	39	63	104	145	94	121	102	128	152	107	127	112	64	82	4	82	69	80	98	61	100	90	56	36	6	114	50	62	8	25	15	10	41	18	28	10	11	13	51	5	79	12	34	97	63	19	3	76	53	37	10	15	6	27	69					
		11.65%	10.37%	15.16%	15.78%	11.67%	10.15%	13.03%	9.63%	12.32%	14.86%	13.60%	11.63%	13.23%	11.26%	16.38%	9.07%	11.98%	14.18%	10.76%	12.06%	10.70%	13.77%	17.17%	14.22%	16.49%	10.91%	12.82%	10.13%	10.0%	11.53%	9.98%	11.08%	12.46%	8.02%	11.46%	11.65%	11.47%	7.45%	6.52%	9.57%	8.56%	9.03%	7.27%	11.36%	15.62%	9.17%	8.54%	8.18%	9.15%	7.63%	10.09%	6.04%	8.54%	5.61%	15.99%	10.52%	8.52%	16.66%	9.41%	7.53%	3.29%	11.87%	11.42%	13.40%	19.60%	8.92%	5.66%	12.98%	10.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	938	15	25	16	31	37	26	12	23	8	39	19	23	17	6	18	14	24	13	13	17	18	18	13	7	29	8	21	2	17	18	11	22	13	19	29	19	10	2	33	20	9	2	6	4	5	11	4	3	0	9	4	15	1	16	4	17	16	12	3	4	15	15	11	0	2	1	7	17					
		2.38%	2.47%	2.89%	2.63%	2.89%	3.87%	2.40%	1.31%	2.25%	2.16%	3.06%	1.99%	2.92%	2.39%	2.52%	2.59%	1.61%	2.34%	1.48%	1.29%	1.78%	1.93%	2.03%	1.72%	0.90%	2.82%	1.60%	2.59%	5.0%	2.39%	2.60%	1.52%	2.79%	1.71%	2.17%	3.75%	3.89%	2.07%	2.17%	2.77%	3.42%	1.31%	1.81%	2.72%	4.16%	4.58%	2.29%	1.81%	0.98%	0.0%	8.25%	1.86%	2.51%	1.12%	3.23%	3.50%	4.26%	2.74%	1.79%	1.19%	4.39%	2.34%	3.23%	3.98%	0.0%	1.19%	0.94%	3.36%	2.64%					
