Выборы Президента Российской Федерации																																																																																																																																																																	
																																																																																																																																																																	
Наименование Избирательной комиссии:    Набережно-Челнинская городская																																																																																																																																																																	
																																																																																																																																																																	
Итоги голосования 																																																																																																																																																																	
																																																																																																																																																																	
		Сумма	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224					
11	Число полученных открепительных  удостоверений	4640	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	40	30	30	30	30					
12	Число выданных открепительных удостоверений	1834	5	13	11	6	11	0	8	12	6	12	11	7	30	10	9	11	15	13	19	15	11	7	16	8	11	18	9	8	8	13	10	11	6	13	0	12	9	3	13	16	14	14	19	14	17	17	12	12	8	19	16	20	24	13	29	13	9	11	3	30	12	15	13	12	17	22	6	13	21	11	7	18	13	17	6	19	10	16	14	13	10	29	11	16	11	12	8	9	8	11	6	7	8	14	7	9	9	6	12	18	10	15	15	9	11	10	18	11	18	13	13	11	6	10	14	14	10	8	13	12	8	7	11	11	11	8	22	13	15	12	4	15	17	5	11	10	10	7	3	14	16	0	17	5	5	13	6	16	10	10	14	7	11	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	922	1	2	6	8	12	2	1	5	4	5	8	4	10	14	13	1	7	5	3	10	3	5	79	2	1	7	22	2	4	1	6	7	12	2	7	14	5	11	3	0	3	7	7	8	6	6	4	2	4	6	6	5	84	3	4	9	5	10	10	1	4	5	5	6	7	5	2	5	6	4	6	3	8	6	11	8	11	6	6	11	6	1	9	3	3	4	12	4	3	8	3	3	5	1	1	4	2	3	1	4	6	5	4	3	4	5	5	4	3	2	4	7	2	3	13	2	3	3	7	4	7	5	3	6	6	9	0	3	4	5	1	3	2	2	1	0	5	4	2	4	3	5	6	2	4	6	1	2	1	14	3	1	1	3					
14	Число неиспользованных открепительных удостоверений	2806	25	17	19	24	19	30	22	18	24	18	19	23	0	20	21	19	15	17	11	15	19	23	14	22	19	12	21	22	22	17	20	19	24	17	30	18	21	27	17	14	16	16	11	16	13	13	18	18	22	11	14	10	6	17	1	17	21	19	27	0	18	15	17	18	13	8	24	17	9	19	23	12	17	13	24	11	20	14	16	17	20	1	19	14	19	18	22	21	22	19	24	23	22	16	23	21	21	24	18	12	20	15	15	21	19	20	12	19	12	17	17	19	24	20	16	16	20	22	17	18	22	23	19	19	19	22	8	17	15	18	26	15	13	25	19	20	20	23	27	16	14	30	13	25	25	17	34	14	20	30	16	23	19	17					
15	"Число открепительных удостоверений, выданных в ТИК"	275	1	4	0	0	1	0	1	0	1	2	2	1	4	6	0	1	5	2	1	1	3	8	3	1	2	1	4	2	0	4	0	3	1	5	0	1	1	2	1	1	1	1	0	4	2	3	1	2	1	3	2	4	2	4	3	0	2	1	1	3	2	1	4	0	4	1	0	2	0	1	3	2	1	1	0	1	1	3	2	4	0	3	0	4	3	4	2	1	0	1	1	2	1	1	1	1	0	0	2	1	1	2	2	2	1	3	5	7	2	3	0	4	1	2	0	2	0	0	1	2	1	0	2	1	3	3	5	1	2	2	0	1	3	0	0	2	2	1	0	2	3	1	2	1	1	2	1	1	2	7	0	2	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																																	
18	. Глазьев Сергей Юрьевич	11851	16	57	9	77	52	11	37	46	140	118	115	39	48	104	125	98	102	110	102	125	56	100	70	64	75	78	83	6	14	31	67	58	32	53	29	51	83	26	91	89	90	56	77	82	94	100	112	73	94	85	66	79	24	69	104	65	55	88	101	124	81	59	77	89	73	74	76	84	62	56	74	82	81	84	80	77	87	136	111	117	75	104	86	91	94	105	80	78	75	106	62	59	99	77	101	80	76	58	88	81	93	83	77	93	103	60	98	100	120	101	63	83	81	89	101	81	139	67	81	100	69	50	67	67	102	105	69	65	90	59	32	79	79	53	75	105	72	92	73	85	41	43	84	28	31	48	64	88	82	72	69	63	96	81					
		4.78%	3.02%	4.44%	3.11%	5.90%	2.98%	3.27%	3.66%	3.64%	7.25%	5.87%	6.19%	2.63%	3.06%	5.24%	6.95%	5.47%	5.97%	5.67%	5.81%	6.46%	3.54%	5.37%	5.11%	4.17%	5.79%	4.94%	4.51%	0.37%	1.01%	2.24%	4.71%	3.23%	2.95%	3.61%	4.32%	2.79%	4.00%	3.94%	5.33%	4.78%	5.15%	3.49%	4.70%	4.69%	5.15%	5.26%	5.74%	3.90%	5.09%	4.61%	3.59%	4.32%	2.05%	3.92%	5.03%	5.08%	3.85%	4.66%	6.03%	6.60%	4.24%	3.85%	5.05%	6.02%	4.09%	3.41%	4.81%	4.81%	3.23%	4.29%	5.68%	4.66%	4.30%	5.05%	5.89%	4.39%	4.39%	7.20%	5.96%	6.86%	4.37%	5.12%	5.06%	4.90%	5.35%	5.37%	4.05%	5.00%	4.73%	7.37%	6.19%	4.97%	5.25%	5.22%	6.61%	6.39%	5.29%	4.65%	5.72%	4.71%	5.25%	4.73%	4.45%	4.94%	5.60%	3.37%	5.27%	5.43%	6.27%	5.44%	3.99%	5.53%	4.89%	5.19%	5.58%	4.50%	7.25%	3.41%	3.98%	5.20%	4.62%	3.65%	3.69%	3.75%	5.39%	5.42%	4.00%	4.40%	5.00%	3.02%	4.17%	5.25%	4.93%	7.89%	4.38%	5.61%	4.37%	7.01%	4.93%	4.92%	4.23%	3.81%	4.43%	3.15%	3.27%	3.46%	4.66%	4.85%	5.23%	4.62%	4.74%	4.38%	5.52%	4.52%					
19	. Малышкин Олег Александрович	4055	7	21	2	31	33	11	13	31	41	42	52	24	29	34	39	40	27	25	39	30	34	51	17	28	26	27	42	3	18	10	20	28	12	20	6	27	40	13	24	23	31	28	24	22	34	22	20	30	23	23	35	32	16	30	40	18	22	32	41	24	28	28	23	20	24	30	25	17	25	22	18	24	23	24	16	28	36	25	41	29	25	20	31	28	32	30	29	24	22	12	16	18	28	23	26	10	21	24	24	30	31	28	30	35	28	24	31	25	20	22	30	21	27	20	25	34	81	39	34	42	30	20	21	32	25	28	29	26	31	41	9	30	29	9	24	28	24	28	20	36	19	20	36	12	10	34	21	27	29	28	26	18	30	32					
		1.64%	1.32%	1.63%	0.69%	2.38%	1.89%	3.27%	1.29%	2.45%	2.12%	2.09%	2.80%	1.62%	1.85%	1.71%	2.17%	2.23%	1.58%	1.29%	2.22%	1.55%	2.15%	2.74%	1.24%	1.83%	2.01%	1.71%	2.28%	0.19%	1.29%	0.72%	1.40%	1.56%	1.11%	1.36%	0.89%	1.48%	1.93%	1.97%	1.41%	1.24%	1.77%	1.74%	1.47%	1.26%	1.86%	1.16%	1.02%	1.60%	1.25%	1.25%	1.90%	1.75%	1.37%	1.70%	1.94%	1.41%	1.54%	1.69%	2.45%	1.28%	1.47%	1.83%	1.51%	1.35%	1.34%	1.38%	1.58%	0.97%	1.30%	1.68%	1.38%	1.37%	1.22%	1.44%	1.18%	1.60%	1.81%	1.32%	2.20%	1.70%	1.46%	0.99%	1.83%	1.51%	1.82%	1.53%	1.47%	1.54%	1.39%	0.83%	1.60%	1.52%	1.49%	1.56%	1.70%	0.80%	1.46%	1.92%	1.56%	1.75%	1.75%	1.60%	1.73%	1.86%	1.52%	1.35%	1.67%	1.36%	1.04%	1.19%	1.90%	1.40%	1.63%	1.17%	1.38%	1.89%	4.23%	1.98%	1.67%	2.18%	2.01%	1.46%	1.16%	1.79%	1.32%	1.45%	1.68%	1.76%	1.72%	2.10%	1.17%	1.99%	1.81%	1.34%	1.40%	1.50%	1.46%	2.13%	1.35%	2.09%	1.96%	1.77%	1.90%	1.35%	1.05%	2.45%	1.53%	1.49%	1.85%	1.80%	1.79%	1.25%	1.73%	1.78%					
20	. Миронов Сергей Михайлович	3764	5	27	6	18	15	6	12	15	25	27	21	21	28	33	38	22	26	20	27	26	17	25	15	13	17	28	16	14	14	6	21	26	14	17	16	17	21	4	33	21	36	14	30	16	35	35	40	24	27	36	31	37	16	28	46	12	18	21	34	41	45	40	17	23	35	22	30	32	55	34	20	35	35	36	34	25	38	45	33	28	38	53	19	33	20	39	45	20	27	22	20	29	26	22	39	15	16	14	24	22	28	34	47	40	43	23	17	16	20	34	16	31	29	26	17	29	121	46	22	20	12	22	22	30	20	19	26	18	17	20	12	15	16	11	12	13	22	10	18	17	10	14	18	7	5	12	12	13	15	25	15	16	10	26					
		1.52%	0.95%	2.10%	2.08%	1.38%	0.86%	1.79%	1.19%	1.19%	1.29%	1.34%	1.13%	1.41%	1.78%	1.66%	2.11%	1.23%	1.52%	1.03%	1.54%	1.34%	1.07%	1.34%	1.09%	0.85%	1.31%	1.77%	0.87%	0.87%	1.01%	0.43%	1.47%	1.45%	1.29%	1.16%	2.38%	0.93%	1.01%	0.61%	1.93%	1.13%	2.06%	0.87%	1.83%	0.92%	1.92%	1.84%	2.05%	1.28%	1.46%	1.95%	1.69%	2.03%	1.37%	1.59%	2.23%	0.94%	1.26%	1.11%	2.03%	2.18%	2.36%	2.61%	1.11%	1.56%	1.96%	1.01%	1.90%	1.83%	2.86%	2.60%	1.54%	1.99%	1.86%	2.16%	2.50%	1.43%	1.92%	2.38%	1.77%	1.64%	2.21%	2.61%	1.12%	1.78%	1.14%	1.99%	2.28%	1.28%	1.70%	1.53%	2.00%	2.44%	1.38%	1.49%	2.55%	1.20%	1.11%	1.12%	1.56%	1.28%	1.58%	1.94%	2.71%	2.13%	2.34%	1.29%	0.91%	0.87%	1.04%	1.83%	1.01%	2.06%	1.75%	1.52%	0.94%	1.61%	6.32%	2.34%	1.08%	1.04%	0.80%	1.60%	1.21%	1.68%	1.06%	0.98%	1.51%	1.22%	0.94%	1.02%	1.56%	1.00%	1.00%	1.64%	0.70%	0.69%	1.34%	0.76%	1.22%	0.98%	1.03%	1.24%	0.95%	0.79%	0.53%	0.87%	0.87%	0.72%	0.96%	1.61%	1.03%	1.11%	0.58%	1.45%					
21	. Путин Владимир Владимирович	173625	417	873	219	935	1212	246	695	901	1394	1401	1233	1068	1101	1326	1225	1256	1157	1281	1200	1305	1111	1263	937	1030	845	999	1228	1233	1225	1230	997	1241	824	1018	404	1354	1587	513	1066	1303	1168	1119	1132	1242	1267	1276	1332	1336	1251	1284	1310	1268	862	1216	1426	892	998	1308	1126	1364	1368	1083	1081	1056	1239	1496	1069	1227	1329	887	915	1192	1279	1125	899	1257	1381	1251	1257	1163	1236	1400	1207	1410	1267	1421	1404	1103	1108	1039	689	832	1302	1059	1010	949	1051	864	1053	1214	1213	1170	1156	1279	1277	1241	1298	1289	1285	1273	1120	1023	1148	1170	1208	1282	1261	1399	1495	1349	1064	966	1332	1273	1327	1328	1232	1019	1248	1419	488	1065	1127	463	1262	1315	1147	940	1038	1327	707	807	1376	654	687	981	998	1283	1112	1074	1023	1008	1203	1194					
		70.02%	78.83%	67.94%	75.78%	71.70%	69.46%	73.21%	68.74%	71.34%	72.19%	69.70%	66.36%	71.92%	70.13%	66.77%	68.09%	70.13%	67.70%	66.00%	68.30%	67.44%	70.18%	67.79%	68.34%	67.14%	65.20%	63.23%	66.78%	76.82%	87.94%	88.94%	70.01%	69.18%	75.94%	69.30%	60.21%	74.19%	76.41%	77.73%	62.45%	69.98%	66.78%	69.72%	69.15%	71.09%	69.35%	67.12%	68.24%	71.33%	67.77%	69.59%	71.23%	69.40%	73.61%	69.09%	68.99%	69.69%	69.79%	69.24%	67.18%	72.59%	71.66%	70.60%	70.84%	71.45%	69.37%	68.84%	67.70%	70.32%	69.15%	67.92%	70.28%	67.80%	67.92%	67.61%	66.20%	71.66%	69.61%	66.19%	67.47%	68.17%	71.94%	68.97%	71.08%	75.89%	72.11%	72.65%	71.12%	70.71%	69.82%	72.25%	68.83%	70.03%	69.07%	71.80%	66.06%	75.86%	73.14%	69.29%	68.42%	70.62%	68.42%	66.74%	66.74%	68.00%	69.48%	69.68%	69.82%	69.94%	67.14%	68.59%	70.89%	68.11%	69.37%	68.26%	66.74%	71.14%	65.81%	71.20%	73.43%	70.15%	71.17%	70.46%	73.27%	71.24%	70.14%	68.60%	71.34%	68.94%	69.33%	72.58%	63.54%	70.76%	70.26%	68.90%	73.76%	70.25%	69.64%	71.65%	70.09%	76.88%	72.96%	71.48%	72.54%	73.48%	72.47%	70.73%	72.74%	70.73%	70.92%	68.98%	70.26%	70.15%	69.18%	66.56%					
22	. Хакамада Ирина Муцуовна	11536	9	46	7	47	40	15	36	51	56	62	82	66	66	90	95	82	68	100	95	99	83	92	42	61	39	67	83	74	15	12	65	72	52	63	36	100	78	15	76	91	72	85	95	97	95	101	84	77	92	97	78	94	51	87	106	62	79	100	76	75	76	101	70	67	59	94	92	114	98	62	71	88	85	76	66	98	97	107	100	77	76	121	74	75	63	81	90	94	104	66	48	53	91	53	90	64	84	67	81	91	82	85	94	94	87	82	98	81	94	94	68	60	74	107	113	77	113	75	118	154	62	82	94	96	82	78	83	83	66	85	28	62	90	42	64	84	87	49	62	66	37	33	90	25	36	59	44	66	70	60	60	73	97	96					
