Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Буденновская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	284	8	10	11	10	14	16	22	4	9	17	18	10	5	1	6	2	11	4	12	8	1	7	0	3	1	19	5	3	1	2	0	7	0	10	1	4	2	2	3	1	1	2	4	1	4	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	281	11	0	1	16	1	0	0	3	4	6	5	4	6	44	8	9	4	2	6	15	4	7	8	10	8	1	11	5	2	3	7	6	2	5	5	6	6	0	1	5	5	4	4	5	9	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	67	1	3	1	2	3	2	3	1	3	4	2	2	5	1	3	0	0	0	2	0	1	2	0	1	4	0	5	1	3	1	2	1	2	0	2	1	1	0	0	0	0	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	396	6	7	8	17	19	10	7	15	16	9	15	10	7	39	11	15	12	12	10	14	2	10	1	2	4	3	21	1	9	1	3	5	9	3	5	6	7	3	2	1	3	12	6	0	5	3	10									
		1.13%	0.93%	0.98%	1.12%	2.06%	2.33%	1.18%	0.89%	1.94%	2.17%	1.32%	1.88%	1.05%	0.90%	1.53%	1.46%	2.09%	1.46%	1.60%	1.33%	1.86%	0.32%	1.15%	0.65%	0.47%	0.79%	0.71%	1.48%	0.57%	1.00%	0.18%	0.34%	0.38%	0.80%	0.66%	0.74%	0.95%	0.78%	0.42%	1.01%	0.18%	1.66%	0.71%	0.79%	0.00%	1.50%	0.71%	1.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	887	20	6	24	15	17	9	15	21	19	18	32	26	25	48	11	26	17	25	22	26	26	15	8	8	16	28	26	1	42	18	9	33	17	13	25	19	26	24	8	15	6	27	9	6	15	6	19									
		2.54%	3.09%	0.84%	3.36%	1.82%	2.09%	1.06%	1.90%	2.71%	2.57%	2.64%	4.02%	2.72%	3.22%	1.88%	1.46%	3.62%	2.07%	3.34%	2.93%	3.45%	4.20%	1.73%	5.19%	1.88%	3.16%	6.62%	1.83%	0.57%	4.68%	3.28%	1.03%	2.49%	1.52%	2.87%	3.68%	3.00%	2.91%	3.38%	4.02%	2.72%	3.31%	1.61%	1.19%	3.95%	4.49%	1.41%	2.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	716	10	22	23	21	32	26	16	11	15	29	20	26	17	35	26	26	16	7	9	13	10	30	4	8	7	13	17	0	12	9	16	24	20	12	13	10	16	14	5	15	1	23	11	0	12	3	11									
		2.05%	1.54%	3.08%	3.22%	2.54%	3.93%	3.07%	2.03%	1.42%	2.03%	4.26%	2.51%	2.72%	2.19%	1.37%	3.46%	3.62%	1.94%	0.93%	1.20%	1.72%	1.62%	3.46%	2.60%	1.88%	1.38%	3.07%	1.20%	0.00%	1.34%	1.64%	1.83%	1.81%	1.78%	2.65%	1.91%	1.58%	1.79%	1.97%	2.51%	2.72%	0.55%	1.37%	1.45%	0.00%	3.59%	0.71%	1.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19552	300	385	318	451	397	447	425	421	343	279	343	538	417	1721	459	294	442	438	413	343	282	427	73	252	299	168	762	137	466	301	540	933	780	285	337	308	497	386	104	310	88	1047	578	112	109	290	507									
		55.94%	46.30%	53.92%	44.48%	54.60%	48.71%	52.77%	53.80%	54.32%	46.41%	40.97%	43.09%	56.28%	53.67%	67.46%	61.04%	40.95%	53.71%	58.48%	54.99%	45.49%	45.56%	49.19%	47.40%	59.15%	58.97%	39.72%	53.59%	78.74%	51.89%	54.93%	61.64%	70.52%	69.58%	62.91%	49.56%	48.66%	55.66%	54.37%	52.26%	56.26%	48.62%	62.28%	76.15%	73.68%	32.63%	68.24%	66.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	413	5	7	3	5	18	14	9	18	7	15	18	16	5	40	20	16	5	6	11	5	10	6	1	2	5	11	8	1	10	4	4	7	3	4	8	2	11	9	3	12	14	6	1	1	3	3	21									
		1.18%	0.77%	0.98%	0.42%	0.61%	2.21%	1.65%	1.14%	2.32%	0.95%	2.20%	2.26%	1.67%	0.64%	1.57%	2.66%	2.23%	0.61%	0.80%	1.46%	0.66%	1.62%	0.69%	0.65%	0.47%	0.99%	2.60%	0.56%	0.57%	1.11%	0.73%	0.46%	0.53%	0.27%	0.88%	1.18%	0.32%	1.23%	1.27%	1.51%	2.18%	7.73%	0.36%	0.13%	0.66%	0.90%	0.71%	2.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	1	1	0	1	0	2	2	1	0	0	0	1	0	26	0	4	1	1	0	3	2	0	0	2	1	0	4	0	0	0	3	2	1	0	2	2	2	2	1	1	0	3	3	1	2	0	0									
		0.22%	0.15%	0.14%	0.00%	0.12%	0.00%	0.24%	0.25%	0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	1.02%	0.00%	0.56%	0.12%	0.13%	0.00%	0.40%	0.32%	0.00%	0.00%	0.47%	0.20%	0.00%	0.28%	0.00%	0.00%	0.00%	0.34%	0.15%	0.09%	0.00%	0.29%	0.32%	0.22%	0.28%	0.50%	0.18%	0.00%	0.18%	0.40%	0.66%	0.60%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5063	178	118	118	110	133	120	146	98	105	107	142	127	106	380	29	117	108	87	91	138	99	155	25	65	78	56	339	20	142	105	113	130	110	57	128	118	126	116	27	75	28	132	56	15	56	55	79									
		14.49%	27.47%	16.53%	16.50%	13.32%	16.32%	14.17%	18.48%	12.65%	14.21%	15.71%	17.84%	13.28%	13.64%	14.90%	3.86%	16.30%	13.12%	11.62%	12.12%	18.30%	15.99%	17.86%	16.23%	15.26%	15.38%	13.24%	23.84%	11.49%	15.81%	19.16%	12.90%	9.83%	9.81%	12.58%	18.82%	18.64%	14.11%	16.34%	13.57%	13.61%	15.47%	7.85%	7.38%	9.87%	16.77%	12.94%	10.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	107	2	2	1	8	7	4	2	0	1	0	3	7	2	11	2	4	3	2	2	1	3	2	0	0	0	1	4	0	1	1	4	4	2	0	0	4	0	0	0	5	1	6	2	0	1	1	1									
		0.31%	0.31%	0.28%	0.14%	0.97%	0.86%	0.47%	0.25%	0.00%	0.14%	0.00%	0.38%	0.73%	0.26%	0.43%	0.27%	0.56%	0.36%	0.27%	0.27%	0.13%	0.48%	0.23%	0.00%	0.00%	0.00%	0.24%	0.28%	0.00%	0.11%	0.18%	0.46%	0.30%	0.18%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.91%	0.55%	0.36%	0.26%	0.00%	0.30%	0.24%	0.13%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	243	4	10	10	7	14	4	4	12	6	7	7	5	12	12	6	9	7	5	7	6	8	9	0	2	1	3	9	1	2	4	6	8	2	1	5	2	7	4	0	3	1	4	1	0	1	3	2									
		0.70%	0.62%	1.40%	1.40%	0.85%	1.72%	0.47%	0.51%	1.55%	0.81%	1.03%	0.88%	0.52%	1.54%	0.47%	0.80%	1.25%	0.85%	0.67%	0.93%	0.80%	1.29%	1.04%	0.00%	0.47%	0.20%	0.71%	0.63%	0.57%	0.22%	0.73%	0.68%	0.60%	0.18%	0.22%	0.74%	0.32%	0.78%	0.56%	0.00%	0.54%	0.55%	0.24%	0.13%	0.00%	0.30%	0.71%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	56	2	0	2	0	2	2	1	1	2	2	0	1	0	6	0	0	0	0	2	4	1	1	2	0	1	2	4	0	2	1	1	2	0	1	1	0	0	3	0	1	0	4	0	0	1	0	1									
		0.16%	0.31%	0.00%	0.28%	0.00%	0.25%	0.24%	0.13%	0.13%	0.27%	0.29%	0.00%	0.10%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.27%	0.53%	0.16%	0.12%	1.30%	0.00%	0.20%	0.47%	0.28%	0.00%	0.22%	0.18%	0.11%	0.15%	0.00%	0.22%	0.15%	0.00%	0.00%	0.42%	0.00%	0.18%	0.00%	0.24%	0.00%	0.00%	0.30%	0.00%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	405	6	9	12	14	7	8	9	7	15	14	18	13	17	24	15	10	18	10	16	24	16	8	1	0	1	3	11	0	9	7	8	4	4	4	7	5	9	7	2	4	2	10	0	0	4	12	1									
		1.16%	0.93%	1.26%	1.68%	1.69%	0.86%	0.94%	1.14%	0.90%	2.03%	2.06%	2.26%	1.36%	2.19%	0.94%	1.99%	1.39%	2.19%	1.34%	2.13%	3.18%	2.58%	0.92%	0.65%	0.00%	0.20%	0.71%	0.77%	0.00%	1.00%	1.28%	0.91%	0.30%	0.36%	0.88%	1.03%	0.79%	1.01%	0.99%	1.01%	0.73%	1.10%	0.59%	0.00%	0.00%	1.20%	2.82%	0.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4344	70	70	109	105	101	86	109	83	109	120	131	107	116	107	117	143	131	99	118	114	98	125	29	50	60	106	151	10	134	67	120	123	118	44	96	123	120	106	30	70	27	114	81	6	90	23	78									
		12.43%	10.80%	9.80%	15.24%	12.71%	12.39%	10.15%	13.80%	10.71%	14.75%	17.62%	16.46%	11.19%	14.93%	4.19%	15.56%	19.92%	15.92%	13.22%	15.71%	15.12%	15.83%	14.40%	18.83%	11.74%	11.83%	25.06%	10.62%	5.75%	14.92%	12.23%	13.70%	9.30%	10.53%	9.71%	14.12%	19.43%	13.44%	14.93%	15.08%	12.70%	14.92%	6.78%	10.67%	3.95%	26.95%	5.41%	10.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	4	1	1	1	3	2	1	1	6	2	5	4	2	16	0	3	2	4	2	5	2	3	1	2	0	1	8	0	3	1	3	4	5	2	3	1	9	6	2	2	0	7	1	0	0	1	0									
		0.38%	0.62%	0.14%	0.14%	0.12%	0.37%	0.24%	0.13%	0.13%	0.81%	0.29%	0.63%	0.42%	0.26%	0.63%	0.00%	0.42%	0.24%	0.53%	0.27%	0.66%	0.32%	0.35%	0.65%	0.47%	0.00%	0.24%	0.56%	0.00%	0.33%	0.18%	0.34%	0.30%	0.45%	0.44%	0.44%	0.16%	1.01%	0.85%	1.01%	0.36%	0.00%	0.42%	0.13%	0.00%	0.00%	0.24%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1384	22	57	64	54	55	62	27	67	40	57	38	36	40	33	42	33	42	20	27	21	33	43	9	19	20	10	35	3	33	15	30	23	18	12	26	15	33	15	10	26	5	39	10	7	22	17	19									
		3.96%	3.40%	7.98%	8.95%	6.54%	6.75%	7.32%	3.42%	8.65%	5.41%	8.37%	4.77%	3.77%	5.15%	1.29%	5.59%	4.60%	5.10%	2.67%	3.60%	2.79%	5.33%	4.95%	5.84%	4.46%	3.94%	2.36%	2.46%	1.72%	3.67%	2.74%	3.42%	1.74%	1.61%	2.65%	3.82%	2.37%	3.70%	2.11%	5.03%	4.72%	2.76%	2.32%	1.32%	4.61%	6.59%	4.00%	2.48%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
