Выборы Президента Российской Федерации																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Баймакская																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
14	Число неиспользованных открепительных удостоверений	253	17	4	12	14	4	2	17	3	4	2	1	0	4	0	0	0	3	2	2	5	2	0	5	1	2	1	0	1	5	5	6	3	5	1	2	5	3	2	3	12	2	1	2	3	5	4	0	3	9	1	1	2	2	5	2	2	2	2	3	2	2	4	2	3	13	2	2	2	2	2	0	0	2	2	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																				
18	. Глазьев Сергей Юрьевич	149	19	0	3	1	0	2	2	19	2	0	5	0	0	0	3	5	2	0	0	2	0	1	0	0	0	0	0	0	1	3	1	0	1	1	0	0	0	0	2	3	0	2	1	0	2	0	0	0	1	1	1	1	3	5	0	8	5	1	21	1	0	0	0	0	8	0	0	0	1	1	3	0	0	0	2	3	0					
		0.40%	1.08%	0.00%	0.24%	0.07%	0.00%	0.25%	0.10%	3.05%	0.43%	0.00%	0.48%	0.00%	0.00%	0.00%	0.74%	0.75%	0.65%	0.00%	0.00%	0.40%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.47%	0.15%	0.00%	0.16%	0.40%	0.00%	0.00%	0.00%	0.00%	0.64%	0.16%	0.00%	0.68%	0.26%	0.00%	0.82%	0.00%	0.00%	0.00%	0.11%	0.19%	0.31%	0.53%	2.48%	0.62%	0.00%	1.71%	2.09%	0.82%	1.53%	0.48%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.50%	0.67%	0.86%	0.00%	0.00%	0.00%	0.32%	1.35%	0.00%					
19	. Малышкин Олег Александрович	98	11	2	1	0	0	0	2	6	2	0	1	0	0	0	2	13	4	1	0	0	3	0	0	0	1	0	0	0	5	0	2	0	0	0	0	0	4	0	0	1	0	3	1	0	0	1	0	0	0	0	1	2	3	3	0	1	0	0	6	0	0	0	0	0	5	2	0	0	1	0	2	0	0	0	3	3	0					
		0.27%	0.63%	0.23%	0.08%	0.00%	0.00%	0.00%	0.10%	0.96%	0.43%	0.00%	0.10%	0.00%	0.00%	0.00%	0.49%	1.94%	1.29%	0.89%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.96%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.05%	0.00%	1.02%	0.26%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.31%	1.06%	2.48%	0.37%	0.00%	0.21%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	1.41%	0.00%	0.00%	0.50%	0.00%	0.58%	0.00%	0.00%	0.00%	0.49%	1.35%	0.00%					
20	. Миронов Сергей Михайлович	79	1	5	2	2	0	1	1	5	1	0	0	0	2	0	2	10	1	0	0	1	3	1	0	0	1	0	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	6	1	0	0	1	0	0	0	0	1	0	0	5	0	1	0	0	7	1	0	1	0	0	3	0	0	0	0	1	2	0	0	0	2	1	0					
		0.21%	0.06%	0.57%	0.16%	0.14%	0.00%	0.12%	0.05%	0.80%	0.21%	0.00%	0.00%	0.00%	0.56%	0.00%	0.49%	1.49%	0.32%	0.00%	0.00%	0.20%	0.50%	0.76%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.40%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.26%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.62%	0.00%	0.21%	0.00%	0.00%	0.51%	0.48%	0.00%	0.40%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.67%	0.58%	0.00%	0.00%	0.00%	0.32%	0.45%	0.00%					
21	. Путин Владимир Владимирович	35259	1687	836	1235	1440	742	798	1842	569	455	134	999	185	347	115	381	575	296	107	187	478	541	125	604	220	138	570	351	241	432	553	634	315	616	247	109	286	258	229	303	1855	263	242	365	226	232	555	313	369	863	517	321	165	112	746	101	452	224	118	1314	197	251	247	156	237	1575	134	176	239	192	146	333	332	100	347	602	173	289					
		95.54%	96.18%	95.00%	97.40%	98.36%	91.72%	98.03%	95.69%	91.48%	97.43%	98.53%	96.34%	95.85%	96.93%	98.29%	94.07%	85.69%	95.48%	95.54%	97.40%	95.98%	90.92%	95.42%	97.58%	95.24%	95.83%	95.96%	93.35%	97.57%	82.92%	86.14%	97.84%	96.04%	96.55%	98.02%	96.46%	96.62%	95.91%	96.62%	96.81%	98.67%	97.05%	82.31%	95.55%	97.00%	95.08%	98.23%	99.05%	98.14%	96.53%	98.48%	98.17%	87.30%	92.56%	91.99%	98.06%	96.79%	93.72%	96.72%	95.56%	95.17%	99.21%	99.20%	98.73%	99.58%	97.34%	94.37%	94.62%	97.95%	96.00%	97.33%	95.97%	96.51%	94.34%	97.47%	97.41%	77.93%	94.44%					
22	. Хакамада Ирина Муцуовна	165	13	0	3	2	0	2	1	6	2	0	5	0	2	0	1	19	2	1	2	2	5	0	0	0	0	0	0	0	8	2	2	3	0	0	1	3	1	1	2	5	2	15	2	0	0	1	0	0	5	1	1	9	2	5	1	0	0	1	12	0	0	0	0	0	3	2	0	0	1	1	3	0	0	0	1	1	0					
		0.45%	0.74%	0.00%	0.24%	0.14%	0.00%	0.25%	0.05%	0.96%	0.43%	0.00%	0.48%	0.00%	0.56%	0.00%	0.25%	2.83%	0.65%	0.89%	1.04%	0.40%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.31%	0.31%	0.91%	0.00%	0.00%	0.88%	1.01%	0.37%	0.42%	0.64%	0.27%	0.74%	5.10%	0.52%	0.00%	0.00%	0.18%	0.00%	0.00%	0.56%	0.19%	0.31%	4.76%	1.65%	0.62%	0.97%	0.00%	0.00%	0.82%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	1.41%	0.00%	0.00%	0.50%	0.67%	0.86%	0.00%	0.00%	0.00%	0.16%	0.45%	0.00%					
23	. Харитонов Николай Михайлович	876	15	30	14	12	64	11	69	17	3	2	24	6	4	2	14	39	2	2	3	15	15	4	11	6	4	24	18	5	49	44	2	7	19	3	3	3	5	6	5	15	4	22	7	3	10	6	1	7	25	6	2	6	1	32	1	2	4	2	15	8	2	1	2	1	14	1	5	4	4	1	3	12	6	4	3	39	14					
		2.37%	0.86%	3.41%	1.10%	0.82%	7.91%	1.35%	3.58%	2.73%	0.64%	1.47%	2.31%	3.11%	1.12%	1.71%	3.46%	5.81%	0.65%	1.79%	1.56%	3.01%	2.52%	3.05%	1.78%	2.60%	2.78%	4.04%	4.79%	2.02%	9.40%	6.85%	0.31%	2.13%	2.98%	1.19%	2.65%	1.01%	1.86%	2.53%	1.60%	0.80%	1.48%	7.48%	1.83%	1.29%	4.10%	1.06%	0.32%	1.86%	2.80%	1.14%	0.61%	3.17%	0.83%	3.95%	0.97%	0.43%	1.67%	1.64%	1.09%	3.86%	0.79%	0.40%	1.27%	0.42%	0.87%	0.70%	2.69%	1.64%	2.00%	0.67%	0.86%	3.49%	5.66%	1.12%	0.49%	17.57%	4.58%					
																																																																																				
24	Против всех	82	6	7	2	1	1	0	1	0	2	0	3	1	3	0	1	4	0	0	0	0	1	0	0	0	0	0	0	1	2	5	2	3	1	0	0	0	1	1	1	1	2	2	0	2	0	1	0	0	0	0	0	3	0	8	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	0	1	2	1	0					
		0.22%	0.34%	0.80%	0.16%	0.07%	0.12%	0.00%	0.05%	0.00%	0.43%	0.00%	0.29%	0.52%	0.84%	0.00%	0.25%	0.60%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.38%	0.78%	0.31%	0.91%	0.16%	0.00%	0.00%	0.00%	0.37%	0.42%	0.32%	0.05%	0.74%	0.68%	0.00%	0.86%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.99%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.41%	0.00%	0.00%	0.29%	0.00%	0.00%	0.28%	0.32%	0.45%	0.00%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
