Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Воскресенская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	0	0	1	0	2	0	0	0	1	0	1	0	0	1	2	0	0	0	1	2	0	2	1	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	2	0	0	1	0	0	0	1	2	1	0	1	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0									
		0.11%	0.00%	0.00%	0.16%	0.00%	0.37%	0.00%	0.00%	0.00%	0.15%	0.00%	0.20%	0.00%	0.00%	0.15%	0.30%	0.00%	0.00%	0.00%	0.19%	0.35%	0.00%	0.56%	0.12%	0.00%	0.00%	0.15%	0.23%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.17%	0.00%	0.26%	0.14%	0.00%	0.00%	0.16%	0.00%	0.15%	0.15%	0.42%	0.28%	0.28%	0.00%	0.00%	0.00%	0.26%	0.24%	0.44%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.13%	0.23%	0.11%	0.00%	0.11%	0.00%	0.68%	0.67%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.36%	0.18%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	896	11	18	14	11	11	14	12	10	8	12	17	19	8	44	17	0	10	8	4	17	41	6	14	13	9	15	11	11	13	6	9	10	20	10	10	3	6	18	5	16	0	6	10	20	18	12	2	4	3	1	3	1	6	3	9	2	1	8	6	0	10	20	32	24	37	21	12	1	28	10	7	4	2	3	6	1	7	10	10	17	8									
		2.25%	1.84%	2.76%	2.19%	1.68%	2.04%	2.17%	2.17%	1.79%	1.22%	2.17%	3.33%	3.41%	3.35%	6.80%	2.51%	0.00%	2.63%	2.54%	0.76%	2.96%	4.89%	1.68%	1.70%	1.92%	1.41%	2.23%	2.58%	1.65%	2.62%	4.00%	1.78%	2.78%	2.60%	1.93%	1.32%	1.49%	1.04%	3.36%	1.32%	2.31%	0.00%	1.08%	1.57%	3.53%	2.71%	1.80%	0.84%	1.13%	0.84%	0.59%	0.61%	1.00%	1.55%	0.71%	1.98%	0.98%	0.63%	1.86%	2.67%	0.00%	1.34%	2.62%	3.64%	2.63%	3.83%	2.33%	1.53%	0.68%	18.79%	3.39%	2.24%	1.09%	0.85%	0.65%	1.18%	1.56%	1.25%	1.81%	2.34%	2.59%	4.06%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6613	110	102	116	137	98	141	93	109	136	110	85	80	42	122	114	18	82	67	74	113	161	61	136	95	118	114	76	107	77	25	75	55	143	77	124	43	86	81	60	121	14	81	110	78	109	98	30	62	33	27	78	12	48	59	50	21	18	58	16	8	125	110	149	163	162	164	149	26	1	30	54	78	20	80	101	27	69	100	71	99	41									
		16.61%	18.39%	15.67%	18.18%	20.88%	18.22%	21.83%	16.85%	19.53%	20.76%	19.89%	16.67%	14.34%	17.57%	18.86%	16.84%	16.51%	21.58%	21.27%	13.99%	19.69%	19.19%	17.09%	16.50%	14.03%	18.44%	16.96%	17.80%	16.09%	15.49%	16.67%	14.85%	15.28%	18.62%	14.84%	16.34%	21.29%	14.96%	15.11%	15.79%	17.46%	9.33%	14.62%	17.32%	13.78%	16.44%	14.67%	12.66%	17.46%	9.22%	15.88%	15.79%	12.00%	12.40%	13.88%	11.01%	10.29%	11.39%	13.46%	7.11%	12.31%	16.76%	14.44%	16.97%	17.85%	16.75%	18.22%	18.98%	17.57%	0.67%	10.17%	17.25%	21.25%	8.51%	17.28%	19.84%	42.19%	12.28%	18.05%	16.59%	15.09%	20.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	203	3	6	0	4	1	5	0	1	5	1	3	1	3	2	5	0	1	3	3	2	4	3	3	4	2	1	2	5	3	0	1	1	4	4	2	0	3	2	1	2	0	2	4	4	3	6	2	1	1	0	0	0	5	3	0	2	1	6	0	0	2	7	5	2	3	5	3	1	10	2	5	3	2	1	3	0	4	2	5	2	0									
		0.51%	0.50%	0.92%	0.00%	0.61%	0.19%	0.77%	0.00%	0.18%	0.76%	0.18%	0.59%	0.18%	1.26%	0.31%	0.74%	0.00%	0.26%	0.95%	0.57%	0.35%	0.48%	0.84%	0.36%	0.59%	0.31%	0.15%	0.47%	0.75%	0.60%	0.00%	0.20%	0.28%	0.52%	0.77%	0.26%	0.00%	0.52%	0.37%	0.26%	0.29%	0.00%	0.36%	0.63%	0.71%	0.45%	0.90%	0.84%	0.28%	0.28%	0.00%	0.00%	0.00%	1.29%	0.71%	0.00%	0.98%	0.63%	1.39%	0.00%	0.00%	0.27%	0.92%	0.57%	0.22%	0.31%	0.56%	0.38%	0.68%	6.71%	0.68%	1.60%	0.82%	0.85%	0.22%	0.59%	0.00%	0.71%	0.36%	1.17%	0.30%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1717	39	53	39	37	26	41	29	19	34	20	23	35	2	50	31	6	14	11	15	28	48	27	26	34	44	40	6	41	34	10	13	15	43	34	38	12	27	21	18	33	4	33	24	28	24	25	13	8	5	2	16	9	7	17	8	3	5	10	6	1	16	29	48	38	44	39	21	5	0	4	11	8	2	12	7	2	13	16	18	11	9									
		4.31%	6.52%	8.14%	6.11%	5.64%	4.83%	6.35%	5.25%	3.41%	5.19%	3.62%	4.51%	6.27%	0.84%	7.73%	4.58%	5.50%	3.68%	3.49%	2.84%	4.88%	5.72%	7.56%	3.16%	5.02%	6.88%	5.95%	1.41%	6.17%	6.84%	6.67%	2.57%	4.17%	5.60%	6.55%	5.01%	5.94%	4.70%	3.92%	4.74%	4.76%	2.67%	5.96%	3.78%	4.95%	3.62%	3.74%	5.49%	2.25%	1.40%	1.18%	3.24%	9.00%	1.81%	4.00%	1.76%	1.47%	3.16%	2.32%	2.67%	1.54%	2.14%	3.81%	5.47%	4.16%	4.55%	4.33%	2.68%	3.38%	0.00%	1.36%	3.51%	2.18%	0.85%	2.59%	1.38%	3.13%	2.31%	2.89%	4.21%	1.68%	4.57%									
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
