Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Петрозаводская городская №3																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №713	УИК №714	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №733	УИК №734	УИК №735	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №745	УИК №746	УИК №747	УИК №748	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №758	УИК №759	УИК №760	УИК №761	УИК №763	УИК №764	УИК №765	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №774	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	1.Политическая партия «Аграрная партия России»	12	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		1.61%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	22.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	33	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0					
		4.42%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	11.11%	0.00%	0.00%	9.09%	0.00%	9.09%	10.00%	9.09%	0.00%	0.00%	25.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	22.22%	0.00%	0.00%	20.00%	12.50%	0.00%	0.00%	22.22%	0.00%	9.09%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	72.73%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	42	1	0	0	1	1	0	0	0	1	0	0	3	0	1	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	5	1	1	0	2	0	0	0	3	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	3	0	1					
		5.63%	9.09%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	27.27%	0.00%	9.09%	18.18%	0.00%	0.00%	22.22%	0.00%	0.00%	0.00%	0.00%	7.69%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	45.45%	9.09%	9.09%	0.00%	18.18%	0.00%	0.00%	0.00%	27.27%	0.00%	25.00%	0.00%	0.00%	25.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	11.11%	0.00%	18.18%	9.09%	27.27%	0.00%	11.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		1.47%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	11.11%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	11.11%					
23	6.Политическая партия «Партия социальной справедливости»	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0					
		1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	11.11%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	126	0	3	1	5	1	0	1	1	1	4	4	1	4	2	2	2	0	3	1	2	0	0	3	2	8	2	3	2	2	0	1	3	6	0	1	2	0	1	1	0	2	3	1	1	1	1	0	3	2	2	1	3	0	0	0	2	1	0	5	1	1	1	1	0	2	2	1	0	1	0	1	2	0	1	4	0	0	4	1					
		16.89%	0.00%	30.00%	10.00%	45.45%	9.09%	0.00%	9.09%	9.09%	10.00%	44.44%	36.36%	9.09%	36.36%	18.18%	18.18%	20.00%	0.00%	33.33%	9.09%	16.67%	0.00%	0.00%	23.08%	18.18%	88.89%	18.18%	27.27%	18.18%	20.00%	0.00%	9.09%	27.27%	54.55%	0.00%	9.09%	18.18%	0.00%	9.09%	9.09%	0.00%	25.00%	30.00%	10.00%	12.50%	9.09%	10.00%	0.00%	33.33%	18.18%	22.22%	16.67%	27.27%	0.00%	0.00%	0.00%	22.22%	9.09%	0.00%	41.67%	10.00%	9.09%	10.00%	11.11%	0.00%	18.18%	18.18%	9.09%	0.00%	11.11%	0.00%	11.11%	22.22%	0.00%	9.09%	36.36%	0.00%	0.00%	36.36%	11.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	90	2	1	2	1	2	0	2	0	0	0	3	2	2	3	0	0	1	0	1	0	0	0	0	0	0	0	1	3	1	0	1	1	0	1	1	2	5	5	2	0	0	0	0	0	2	1	3	0	1	0	3	0	0	0	0	3	0	0	1	1	1	0	4	7	2	3	0	1	0	0	0	0	7	2	1	0	1	1	0					
		12.06%	18.18%	10.00%	20.00%	9.09%	18.18%	0.00%	18.18%	0.00%	0.00%	0.00%	27.27%	18.18%	18.18%	27.27%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	27.27%	10.00%	0.00%	9.09%	9.09%	0.00%	9.09%	9.09%	18.18%	45.45%	45.45%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	10.00%	33.33%	0.00%	9.09%	0.00%	50.00%	0.00%	0.00%	0.00%	0.00%	33.33%	0.00%	0.00%	8.33%	10.00%	9.09%	0.00%	44.44%	63.64%	18.18%	27.27%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	77.78%	18.18%	9.09%	0.00%	9.09%	9.09%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	14	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.88%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	9.09%	10.00%	0.00%	11.11%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	361	6	6	6	2	6	0	6	8	8	2	4	5	3	1	5	7	5	2	9	7	0	0	8	5	1	8	6	6	5	10	2	6	4	6	1	6	6	5	4	6	4	2	4	4	5	6	4	5	1	4	2	4	0	9	0	4	9	1	3	6	1	8	3	2	4	5	5	6	8	0	8	6	1	7	3	8	6	6	4					
		48.39%	54.55%	60.00%	60.00%	18.18%	54.55%	0.00%	54.55%	72.73%	80.00%	22.22%	36.36%	45.45%	27.27%	9.09%	45.45%	70.00%	45.45%	22.22%	81.82%	58.33%	0.00%	0.00%	61.54%	45.45%	11.11%	72.73%	54.55%	54.55%	50.00%	90.91%	18.18%	54.55%	36.36%	54.55%	9.09%	54.55%	54.55%	45.45%	36.36%	66.67%	50.00%	20.00%	40.00%	50.00%	45.45%	60.00%	44.44%	55.56%	9.09%	44.44%	33.33%	36.36%	0.00%	81.82%	0.00%	44.44%	81.82%	10.00%	25.00%	60.00%	9.09%	80.00%	33.33%	18.18%	36.36%	45.45%	45.45%	66.67%	88.89%	0.00%	88.89%	66.67%	11.11%	63.64%	27.27%	72.73%	54.55%	54.55%	44.44%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	19	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0					
		2.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	22.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	30.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	9.09%	9.09%	18.18%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
