Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Владимир, Октябрьская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2400	70	75	55	65	70	75	75	65	65	55	40	65	65	65	75	75	70	60	20	70	70	60	65	70	60	50	55	65	60	70	50	30	25	40	35	25	30	40	40	70	55	30	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	482	9	19	11	8	18	11	15	6	9	14	6	17	15	15	12	20	15	17	9	13	8	6	11	17	8	12	19	15	14	15	10	4	8	9	7	6	8	8	6	10	17	4	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	467	7	7	8	5	13	4	8	10	13	4	11	10	12	8	12	8	11	14	14	4	26	15	32	11	6	8	9	8	7	10	10	8	22	5	36	10	6	5	12	16	2	4	4	8	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	1918	61	56	44	57	52	64	60	59	56	41	34	48	50	50	63	55	55	43	11	57	62	54	54	53	52	38	36	50	46	55	40	26	17	31	28	19	22	32	34	60	38	26	10	9	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	0	0	0	1	1	1	0	1	1	0	1	1	1	0	2	0	4	0	1	2	1	0	3	2	0	2	0	2	2	1	2	1	1	0	0	1	3	2	1	3	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	638	21	8	16	13	20	19	17	10	14	16	5	17	11	20	8	23	18	23	9	20	25	26	15	14	17	12	23	10	9	18	13	15	16	8	5	11	7	10	14	24	11	6	5	5	6	5									
		2.17%	2.50%	0.93%	2.58%	1.74%	2.12%	2.26%	2.00%	1.16%	2.01%	2.91%	1.13%	2.06%	1.64%	2.31%	1.15%	2.94%	2.37%	2.30%	2.75%	2.16%	2.69%	3.25%	1.56%	1.69%	2.51%	2.26%	3.45%	1.34%	1.31%	2.43%	1.67%	3.52%	2.65%	2.01%	1.67%	3.74%	3.68%	2.10%	2.54%	2.83%	1.36%	1.58%	3.27%	5.38%	5.50%	1.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	825	21	27	18	25	27	24	22	30	17	25	17	16	20	35	14	26	27	31	9	38	25	15	17	21	18	7	14	17	10	28	14	8	14	11	5	7	6	18	9	28	32	11	7	1	8	5									
		2.81%	2.50%	3.15%	2.91%	3.36%	2.87%	2.85%	2.59%	3.48%	2.45%	4.55%	3.85%	1.94%	2.98%	4.04%	2.01%	3.32%	3.55%	3.10%	2.75%	4.09%	2.69%	1.87%	1.77%	2.54%	2.66%	1.32%	2.10%	2.28%	1.46%	3.77%	1.80%	1.88%	2.32%	2.76%	1.67%	2.38%	3.16%	3.78%	1.63%	3.31%	3.96%	2.90%	4.58%	1.08%	7.34%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	988	23	32	19	12	31	24	22	41	29	16	19	32	20	26	21	31	20	38	6	28	38	24	42	24	23	19	15	26	22	34	37	15	15	19	8	12	5	14	26	29	19	22	4	0	3	3									
		3.37%	2.74%	3.74%	3.07%	1.61%	3.29%	2.85%	2.59%	4.76%	4.17%	2.91%	4.31%	3.87%	2.98%	3.00%	3.01%	3.96%	2.63%	3.80%	1.83%	3.02%	4.09%	2.99%	4.38%	2.90%	3.40%	3.58%	2.25%	3.49%	3.20%	4.58%	4.76%	3.52%	2.49%	4.76%	2.68%	4.08%	2.63%	2.94%	4.72%	3.42%	2.35%	5.80%	2.61%	0.00%	2.75%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10865	295	295	214	274	340	320	333	294	275	208	171	304	235	323	278	315	292	328	106	302	329	294	345	294	220	170	239	264	258	264	304	168	292	143	122	94	84	191	208	344	307	163	70	44	47	105									
		37.03%	35.12%	34.46%	34.57%	36.78%	36.09%	38.00%	39.22%	34.11%	39.57%	37.89%	38.78%	36.80%	34.97%	37.30%	39.89%	40.28%	38.42%	32.77%	32.42%	32.54%	35.41%	36.70%	35.97%	35.51%	32.50%	32.08%	35.83%	35.39%	37.55%	35.58%	39.12%	39.44%	48.42%	35.84%	40.80%	31.97%	44.21%	40.13%	37.75%	40.61%	37.95%	43.01%	45.75%	47.31%	43.12%	38.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	537	14	18	11	13	14	10	12	12	18	6	10	14	17	18	14	12	14	17	2	23	24	25	14	12	17	12	11	22	8	7	11	7	15	6	6	7	5	7	7	17	13	2	2	5	3	3									
		1.83%	1.67%	2.10%	1.78%	1.74%	1.49%	1.19%	1.41%	1.39%	2.59%	1.09%	2.27%	1.69%	2.53%	2.08%	2.01%	1.53%	1.84%	1.70%	0.61%	2.48%	2.58%	3.12%	1.46%	1.45%	2.51%	2.26%	1.65%	2.95%	1.16%	0.94%	1.42%	1.64%	2.49%	1.50%	2.01%	2.38%	2.63%	1.47%	1.27%	2.01%	1.61%	0.53%	1.31%	5.38%	2.75%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	364	7	9	5	6	10	8	3	12	7	7	2	6	10	11	11	8	14	9	5	14	24	15	13	21	9	6	8	5	4	6	8	6	8	4	5	5	1	4	5	9	14	6	8	0	1	5									
		1.24%	0.83%	1.05%	0.81%	0.81%	1.06%	0.95%	0.35%	1.39%	1.01%	1.28%	0.45%	0.73%	1.49%	1.27%	1.58%	1.02%	1.84%	0.90%	1.53%	1.51%	2.58%	1.87%	1.36%	2.54%	1.33%	1.13%	1.20%	0.67%	0.58%	0.81%	1.03%	1.41%	1.33%	1.00%	1.67%	1.70%	0.53%	0.84%	0.91%	1.06%	1.73%	1.58%	5.23%	0.00%	0.92%	1.83%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4904	144	134	111	138	156	162	150	155	121	96	69	153	131	150	154	124	116	121	43	161	130	125	126	116	124	107	114	130	114	144	141	72	82	59	59	33	34	55	76	138	128	80	22	16	17	73									
		16.71%	17.14%	15.65%	17.93%	18.52%	16.56%	19.24%	17.67%	17.98%	17.41%	17.49%	15.65%	18.52%	19.49%	17.32%	22.09%	15.86%	15.26%	12.09%	13.15%	17.35%	13.99%	15.61%	13.14%	14.01%	18.32%	20.19%	17.09%	17.43%	16.59%	19.41%	18.15%	16.90%	13.60%	14.79%	19.73%	11.22%	17.89%	11.55%	13.79%	16.29%	15.82%	21.11%	14.38%	17.20%	15.60%	26.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	359	3	5	10	1	13	6	10	15	8	0	5	7	8	11	12	9	10	13	11	12	20	7	15	11	9	4	8	5	7	6	10	2	1	8	4	8	3	4	11	15	16	6	6	2	0	2									
		1.22%	0.36%	0.58%	1.62%	0.13%	1.38%	0.71%	1.18%	1.74%	1.15%	0.00%	1.13%	0.85%	1.19%	1.27%	1.72%	1.15%	1.32%	1.30%	3.36%	1.29%	2.15%	0.87%	1.56%	1.33%	1.33%	0.75%	1.20%	0.67%	1.02%	0.81%	1.29%	0.47%	0.17%	2.01%	1.34%	2.72%	1.58%	0.84%	1.99%	1.77%	1.98%	1.58%	3.92%	2.15%	0.00%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	686	16	20	14	12	17	12	17	20	12	8	9	27	15	17	11	8	27	44	19	24	24	23	33	26	20	13	20	14	20	6	9	10	9	14	4	10	0	14	15	17	16	3	9	1	2	5									
		2.34%	1.90%	2.34%	2.26%	1.61%	1.80%	1.43%	2.00%	2.32%	1.73%	1.46%	2.04%	3.27%	2.23%	1.96%	1.58%	1.02%	3.55%	4.40%	5.81%	2.59%	2.58%	2.87%	3.44%	3.14%	2.95%	2.45%	2.99%	1.88%	2.91%	0.81%	1.16%	2.35%	1.49%	3.51%	1.34%	3.40%	0.00%	2.94%	2.72%	2.01%	1.98%	0.79%	5.88%	1.08%	1.83%	1.83%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	31	0	2	0	1	0	1	1	1	0	1	0	2	0	0	0	2	0	0	0	1	1	0	3	0	3	1	1	0	0	1	2	1	0	0	0	0	1	0	2	1	2	0	0	0	0	0									
		0.11%	0.00%	0.23%	0.00%	0.13%	0.00%	0.12%	0.12%	0.12%	0.00%	0.18%	0.00%	0.24%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.11%	0.11%	0.00%	0.31%	0.00%	0.44%	0.19%	0.15%	0.00%	0.00%	0.13%	0.26%	0.23%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.36%	0.12%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1087	31	30	24	29	33	28	23	31	21	6	5	17	23	26	19	26	31	47	20	55	45	32	43	32	35	28	26	38	18	25	33	9	20	22	6	23	2	9	17	37	41	8	2	7	1	3									
		3.70%	3.69%	3.50%	3.88%	3.89%	3.50%	3.33%	2.71%	3.60%	3.02%	1.09%	1.13%	2.06%	3.42%	3.00%	2.73%	3.32%	4.08%	4.70%	6.12%	5.93%	4.84%	3.99%	4.48%	3.86%	5.17%	5.28%	3.90%	5.09%	2.62%	3.37%	4.25%	2.11%	3.32%	5.51%	2.01%	7.82%	1.05%	1.89%	3.09%	4.37%	5.07%	2.11%	1.31%	7.53%	0.92%	1.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4263	143	125	107	125	129	107	120	116	93	66	71	119	88	105	72	88	105	199	60	139	139	125	161	136	96	73	97	110	91	109	107	58	84	64	40	51	24	75	89	121	134	34	11	6	13	38									
		14.53%	17.02%	14.60%	17.29%	16.78%	13.69%	12.71%	14.13%	13.46%	13.38%	12.02%	16.10%	14.41%	13.10%	12.12%	10.33%	11.25%	13.82%	19.88%	18.35%	14.98%	14.96%	15.61%	16.79%	16.43%	14.18%	13.77%	14.54%	14.75%	13.25%	14.69%	13.77%	13.62%	13.93%	16.04%	13.38%	17.35%	12.63%	15.76%	16.15%	14.29%	16.56%	8.97%	7.19%	6.45%	11.93%	13.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	124	6	4	1	1	1	1	6	4	2	3	2	3	1	6	3	2	2	2	1	7	0	4	5	6	1	2	1	2	3	3	3	1	6	1	3	3	0	1	7	4	7	0	0	1	1	1									
		0.42%	0.71%	0.47%	0.16%	0.13%	0.11%	0.12%	0.71%	0.46%	0.29%	0.55%	0.45%	0.36%	0.15%	0.69%	0.43%	0.26%	0.26%	0.20%	0.31%	0.75%	0.00%	0.50%	0.52%	0.72%	0.15%	0.38%	0.15%	0.27%	0.44%	0.40%	0.39%	0.23%	0.99%	0.25%	1.00%	1.02%	0.00%	0.21%	1.27%	0.47%	0.87%	0.00%	0.00%	1.08%	0.92%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3169	103	131	57	82	132	99	95	106	71	75	51	102	82	109	68	94	72	112	30	89	92	75	113	100	80	64	75	93	113	78	78	43	30	31	27	28	15	51	54	52	55	29	6	3	5	19									
		10.80%	12.26%	15.30%	9.21%	11.01%	14.01%	11.76%	11.19%	12.30%	10.22%	13.66%	11.56%	12.35%	12.20%	12.59%	9.76%	12.02%	9.47%	11.19%	9.17%	9.59%	9.90%	9.36%	11.78%	12.08%	11.82%	12.08%	11.24%	12.47%	16.45%	10.51%	10.04%	10.09%	4.98%	7.77%	9.03%	9.52%	7.89%	10.71%	9.80%	6.14%	6.80%	7.65%	3.92%	3.23%	4.59%	6.96%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
