Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																				
Дата голосования: 02.12.2007																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Калининская N11																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
18	1.Политическая партия «Аграрная партия России»	2488	16	21	61	34	25	14	37	23	15	31	38	13	23	39	12	26	27	18	12	38	25	24	25	28	29	40	37	18	35	27	21	30	26	26	28	28	36	31	30	28	35	30	25	45	17	45	15	23	33	17	34	29	27	40	27	48	13	14	37	14	31	29	20	16	20	21	27	18	28	40	27	18	26	26	30	21	28	26	26	15	28	25	19	28	25	27	31	18	33	37	30	19	12					
		2.21%	1.53%	2.01%	2.93%	2.39%	1.99%	1.12%	2.73%	2.05%	1.09%	2.48%	2.68%	1.11%	1.93%	3.40%	0.85%	2.53%	2.38%	1.62%	0.88%	3.21%	2.23%	2.33%	2.22%	2.03%	1.89%	2.96%	2.90%	1.31%	2.47%	2.24%	1.66%	2.66%	2.48%	2.36%	2.49%	2.57%	3.08%	2.30%	2.10%	1.99%	3.05%	2.97%	2.48%	3.39%	1.91%	3.13%	1.02%	1.92%	2.74%	1.39%	3.18%	2.60%	2.19%	3.81%	2.11%	3.74%	0.99%	1.34%	3.20%	0.98%	2.28%	2.17%	1.64%	1.23%	1.39%	1.85%	2.51%	1.46%	2.61%	2.81%	2.23%	1.60%	2.52%	1.93%	2.61%	2.01%	2.50%	2.25%	2.84%	1.53%	2.51%	2.28%	2.04%	2.39%	2.26%	2.35%	3.31%	1.78%	2.41%	2.50%	2.54%	1.72%	1.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2071	17	36	36	31	26	13	37	25	14	28	26	14	23	37	17	14	18	11	10	25	20	24	26	26	27	41	28	15	33	23	17	20	27	23	23	23	15	35	41	23	17	25	5	35	19	21	15	21	13	11	42	16	28	18	17	26	5	19	11	19	34	24	22	20	33	14	11	22	11	29	23	19	23	28	28	27	12	19	16	20	20	27	17	18	16	19	26	24	31	35	16	17	19					
		1.84%	1.63%	3.44%	1.73%	2.18%	2.07%	1.04%	2.73%	2.23%	1.01%	2.24%	1.83%	1.19%	1.93%	3.22%	1.21%	1.36%	1.59%	0.99%	0.73%	2.11%	1.78%	2.33%	2.31%	1.88%	1.76%	3.03%	2.20%	1.09%	2.33%	1.91%	1.34%	1.77%	2.58%	2.08%	2.04%	2.11%	1.28%	2.59%	2.87%	1.64%	1.48%	2.47%	0.50%	2.63%	2.14%	1.46%	1.02%	1.75%	1.08%	0.90%	3.93%	1.43%	2.27%	1.72%	1.33%	2.02%	0.38%	1.82%	0.95%	1.32%	2.50%	1.79%	1.81%	1.53%	2.30%	1.23%	1.02%	1.78%	1.03%	2.04%	1.90%	1.69%	2.23%	2.08%	2.43%	2.58%	1.07%	1.64%	1.75%	2.04%	1.79%	2.46%	1.83%	1.54%	1.45%	1.66%	2.77%	2.38%	2.26%	2.36%	1.36%	1.54%	1.89%					
20	3.Политическая партия «Демократическая партия России»	157	2	1	2	2	2	2	1	0	4	2	4	1	2	1	3	4	1	2	0	2	2	1	3	1	2	3	1	2	2	1	1	0	2	2	2	0	2	3	0	5	1	1	0	2	1	3	1	0	4	2	0	0	3	1	1	1	2	0	0	2	1	0	1	3	3	2	4	1	1	5	5	1	1	2	3	1	1	1	0	2	0	2	0	0	1	0	0	2	0	5	4	5	2					
		0.14%	0.19%	0.10%	0.10%	0.14%	0.16%	0.16%	0.07%	0.00%	0.29%	0.16%	0.28%	0.09%	0.17%	0.09%	0.21%	0.39%	0.09%	0.18%	0.00%	0.17%	0.18%	0.10%	0.27%	0.07%	0.13%	0.22%	0.08%	0.15%	0.14%	0.08%	0.08%	0.00%	0.19%	0.18%	0.18%	0.00%	0.17%	0.22%	0.00%	0.36%	0.09%	0.10%	0.00%	0.15%	0.11%	0.21%	0.07%	0.00%	0.33%	0.16%	0.00%	0.00%	0.24%	0.10%	0.08%	0.08%	0.15%	0.00%	0.00%	0.14%	0.07%	0.00%	0.08%	0.23%	0.21%	0.18%	0.37%	0.08%	0.09%	0.35%	0.41%	0.09%	0.10%	0.15%	0.26%	0.10%	0.09%	0.09%	0.00%	0.20%	0.00%	0.18%	0.00%	0.00%	0.09%	0.00%	0.00%	0.20%	0.00%	0.34%	0.34%	0.45%	0.20%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14489	163	106	351	205	235	104	200	165	240	180	202	161	171	159	168	156	192	139	151	141	150	147	166	190	219	157	205	204	173	158	161	125	129	186	143	137	133	168	168	196	159	138	122	161	108	204	173	167	150	188	157	165	213	118	202	137	133	114	141	147	136	151	119	167	149	115	121	115	141	188	150	119	100	184	120	139	128	133	104	104	161	96	80	143	132	139	114	143	180	226	129	126	136					
		12.88%	15.61%	10.13%	16.88%	14.40%	18.68%	8.34%	14.77%	14.72%	17.38%	14.39%	14.23%	13.73%	14.32%	13.85%	11.93%	15.16%	16.92%	12.48%	11.06%	11.90%	13.37%	14.29%	14.76%	13.76%	14.26%	11.61%	16.08%	14.87%	12.21%	13.09%	12.74%	11.09%	12.31%	16.85%	12.70%	12.56%	11.38%	12.44%	11.75%	13.98%	13.85%	13.65%	12.10%	12.11%	12.16%	14.17%	11.79%	13.93%	12.44%	15.33%	14.69%	14.77%	17.30%	11.25%	15.78%	10.67%	10.11%	10.90%	12.20%	10.25%	10.01%	11.28%	9.79%	12.81%	10.39%	10.14%	11.25%	9.30%	13.17%	13.21%	12.37%	10.59%	9.70%	13.66%	10.43%	13.29%	11.44%	11.49%	11.37%	10.61%	14.43%	8.76%	8.59%	12.22%	11.93%	12.12%	12.17%	14.16%	13.15%	15.26%	10.94%	11.39%	13.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2579	38	37	39	31	25	47	32	56	25	44	50	11	37	24	36	33	28	33	44	34	24	27	27	28	37	50	41	36	40	20	31	29	20	28	27	19	20	31	24	22	25	14	22	18	21	44	15	36	22	18	25	28	29	28	20	46	20	17	26	25	36	33	16	31	37	18	8	27	21	28	11	23	17	48	14	23	17	23	8	11	33	29	17	30	8	28	29	33	23	36	29	26	24					
		2.29%	3.64%	3.54%	1.88%	2.18%	1.99%	3.77%	2.36%	4.99%	1.81%	3.52%	3.52%	0.94%	3.10%	2.09%	2.56%	3.21%	2.47%	2.96%	3.22%	2.87%	2.14%	2.62%	2.40%	2.03%	2.41%	3.70%	3.22%	2.62%	2.82%	1.66%	2.45%	2.57%	1.91%	2.54%	2.40%	1.74%	1.71%	2.30%	1.68%	1.57%	2.18%	1.38%	2.18%	1.35%	2.36%	3.06%	1.02%	3.00%	1.82%	1.47%	2.34%	2.51%	2.36%	2.67%	1.56%	3.58%	1.52%	1.63%	2.25%	1.74%	2.65%	2.46%	1.32%	2.38%	2.58%	1.59%	0.74%	2.18%	1.96%	1.97%	0.91%	2.05%	1.65%	3.56%	1.22%	2.20%	1.52%	1.99%	0.87%	1.12%	2.96%	2.65%	1.83%	2.56%	0.72%	2.44%	3.09%	3.27%	1.68%	2.43%	2.46%	2.35%	2.39%					
23	6.Политическая партия «Партия социальной справедливости»	245	3	4	2	6	2	2	3	2	4	4	3	3	4	4	7	1	6	4	2	3	5	3	0	2	1	4	0	4	4	2	1	1	2	4	4	2	1	4	1	6	2	3	1	2	1	2	1	1	2	3	3	3	2	3	5	6	1	3	6	1	1	2	3	2	4	0	0	4	1	1	3	2	3	2	4	1	3	1	5	0	1	3	0	0	2	3	6	1	2	2	1	7	4					
		0.22%	0.29%	0.38%	0.10%	0.42%	0.16%	0.16%	0.22%	0.18%	0.29%	0.32%	0.21%	0.26%	0.34%	0.35%	0.50%	0.10%	0.53%	0.36%	0.15%	0.25%	0.45%	0.29%	0.00%	0.14%	0.07%	0.30%	0.00%	0.29%	0.28%	0.17%	0.08%	0.09%	0.19%	0.36%	0.36%	0.18%	0.09%	0.30%	0.07%	0.43%	0.17%	0.30%	0.10%	0.15%	0.11%	0.14%	0.07%	0.08%	0.17%	0.24%	0.28%	0.27%	0.16%	0.29%	0.39%	0.47%	0.08%	0.29%	0.52%	0.07%	0.07%	0.15%	0.25%	0.15%	0.28%	0.00%	0.00%	0.32%	0.09%	0.07%	0.25%	0.18%	0.29%	0.15%	0.35%	0.10%	0.27%	0.09%	0.55%	0.00%	0.09%	0.27%	0.00%	0.00%	0.18%	0.26%	0.64%	0.10%	0.15%	0.14%	0.08%	0.63%	0.40%					
24	7.Политическая партия «Либерально-демократическая партия России»	7511	39	80	264	82	73	90	80	87	51	73	88	37	66	75	49	66	74	54	96	79	54	73	78	108	73	106	56	55	99	87	93	87	64	54	86	90	89	102	108	98	78	86	105	92	54	93	110	86	76	78	55	73	84	63	109	75	59	80	88	39	72	82	82	96	124	65	70	101	78	94	109	84	102	69	93	76	82	81	122	61	46	60	64	65	96	63	72	70	88	79	79	81	59					
		6.67%	3.74%	7.65%	12.70%	5.76%	5.80%	7.22%	5.91%	7.76%	3.69%	5.84%	6.20%	3.15%	5.53%	6.53%	3.48%	6.41%	6.52%	4.85%	7.03%	6.67%	4.81%	7.09%	6.93%	7.82%	4.75%	7.84%	4.39%	4.01%	6.99%	7.21%	7.36%	7.72%	6.11%	4.89%	7.64%	8.25%	7.61%	7.56%	7.55%	6.99%	6.79%	8.51%	10.42%	6.92%	6.08%	6.46%	7.50%	7.17%	6.30%	6.36%	5.14%	6.54%	6.82%	6.01%	8.52%	5.84%	4.48%	7.65%	7.61%	2.72%	5.30%	6.12%	6.74%	7.36%	8.65%	5.73%	6.51%	8.17%	7.28%	6.61%	8.99%	7.47%	9.89%	5.12%	8.09%	7.27%	7.33%	6.99%	13.33%	6.22%	4.12%	5.47%	6.87%	5.56%	8.68%	5.49%	7.68%	6.93%	6.43%	5.33%	6.70%	7.32%	5.88%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	21397	135	125	199	256	171	183	248	195	236	191	203	197	215	188	240	147	185	211	189	218	208	179	216	240	295	225	240	227	237	208	227	206	207	191	193	169	213	229	270	247	219	187	182	267	185	287	258	257	251	284	220	189	197	175	235	276	288	193	241	278	267	337	334	292	246	290	225	262	213	299	192	243	218	334	279	253	260	269	186	212	298	255	221	303	234	285	176	231	282	305	240	110	218					
		19.01%	12.93%	11.95%	9.57%	17.98%	13.59%	14.68%	18.32%	17.40%	17.09%	15.27%	14.30%	16.79%	18.01%	16.38%	17.05%	14.29%	16.30%	18.94%	13.85%	18.40%	18.54%	17.40%	19.20%	17.38%	19.21%	16.64%	18.82%	16.55%	16.73%	17.23%	17.96%	18.28%	19.75%	17.30%	17.14%	15.49%	18.22%	16.96%	18.88%	17.62%	19.08%	18.50%	18.06%	20.09%	20.83%	19.93%	17.59%	21.43%	20.81%	23.16%	20.58%	16.92%	16.00%	16.68%	18.36%	21.50%	21.88%	18.45%	20.85%	19.39%	19.65%	25.17%	27.47%	22.39%	17.15%	25.57%	20.91%	21.20%	19.89%	21.01%	15.83%	21.62%	21.14%	24.80%	24.26%	24.19%	23.24%	23.23%	20.33%	21.63%	26.70%	23.27%	23.74%	25.90%	21.16%	24.85%	18.78%	22.87%	20.60%	20.59%	20.36%	9.95%	21.73%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1174	5	14	35	18	23	17	21	15	15	16	16	7	19	19	15	9	10	1	5	15	10	11	14	10	15	17	9	11	9	14	21	14	16	10	14	11	7	18	13	10	14	12	9	11	16	24	12	11	7	13	8	7	19	12	27	15	5	12	4	6	16	8	6	14	15	8	10	13	17	14	11	10	6	17	7	7	16	10	8	11	17	9	7	7	17	7	8	14	15	18	3	17	18					
		1.04%	0.48%	1.34%	1.68%	1.26%	1.83%	1.36%	1.55%	1.34%	1.09%	1.28%	1.13%	0.60%	1.59%	1.66%	1.07%	0.87%	0.88%	0.09%	0.37%	1.27%	0.89%	1.07%	1.24%	0.72%	0.98%	1.26%	0.71%	0.80%	0.64%	1.16%	1.66%	1.24%	1.53%	0.91%	1.24%	1.01%	0.60%	1.33%	0.91%	0.71%	1.22%	1.19%	0.89%	0.83%	1.80%	1.67%	0.82%	0.92%	0.58%	1.06%	0.75%	0.63%	1.54%	1.14%	2.11%	1.17%	0.38%	1.15%	0.35%	0.42%	1.18%	0.60%	0.49%	1.07%	1.05%	0.71%	0.93%	1.05%	1.59%	0.98%	0.91%	0.89%	0.58%	1.26%	0.61%	0.67%	1.43%	0.86%	0.87%	1.12%	1.52%	0.82%	0.75%	0.60%	1.54%	0.61%	0.85%	1.39%	1.10%	1.22%	0.25%	1.54%	1.79%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	53563	516	541	982	644	576	725	581	461	721	572	665	599	549	526	727	476	489	589	769	510	519	448	487	672	726	633	569	710	683	613	618	566	486	539	537	535	608	670	690	685	538	458	485	620	412	641	820	533	568	564	470	546	573	517	575	569	747	534	557	844	672	616	544	601	725	548	548	601	500	649	612	545	490	543	524	453	516	511	402	489	447	508	458	516	520	505	419	406	618	639	566	635	454					
		47.60%	49.43%	51.72%	47.23%	45.22%	45.79%	58.14%	42.91%	41.12%	52.21%	45.72%	46.83%	51.07%	45.98%	45.82%	51.63%	46.26%	43.08%	52.87%	56.34%	43.04%	46.26%	43.54%	43.29%	48.66%	47.27%	46.82%	44.63%	51.75%	48.20%	50.79%	48.89%	50.22%	46.37%	48.82%	47.69%	49.04%	52.01%	49.63%	48.25%	48.86%	46.86%	45.30%	48.12%	46.65%	46.40%	44.51%	55.90%	44.45%	47.10%	46.00%	43.97%	48.88%	46.55%	49.29%	44.92%	44.31%	56.76%	51.05%	48.18%	58.86%	49.45%	46.00%	44.74%	46.09%	50.56%	48.32%	50.93%	48.62%	46.69%	45.61%	50.45%	48.49%	47.53%	40.31%	45.57%	43.31%	46.11%	44.13%	43.93%	49.90%	40.05%	46.35%	49.19%	44.10%	47.02%	44.03%	44.72%	40.20%	45.14%	43.15%	48.01%	57.41%	45.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5961	104	74	81	97	93	42	101	82	41	101	115	116	76	67	120	90	99	46	77	110	99	82	74	59	100	71	76	78	92	34	69	42	60	34	60	67	39	47	73	75	51	47	43	71	44	58	40	58	72	36	44	46	51	71	51	77	40	52	38	47	83	52	62	54	69	39	44	65	54	70	59	51	40	77	40	37	48	75	33	51	59	75	35	41	49	62	48	64	81	85	75	40	44					
		5.30%	9.96%	7.07%	3.90%	6.81%	7.39%	3.37%	7.46%	7.31%	2.97%	8.07%	8.10%	9.89%	6.37%	5.84%	8.52%	8.75%	8.72%	4.13%	5.64%	9.28%	8.82%	7.97%	6.58%	4.27%	6.51%	5.25%	5.96%	5.69%	6.49%	2.82%	5.46%	3.73%	5.73%	3.08%	5.33%	6.14%	3.34%	3.48%	5.10%	5.35%	4.44%	4.65%	4.27%	5.34%	4.95%	4.03%	2.73%	4.84%	5.97%	2.94%	4.12%	4.12%	4.14%	6.77%	3.98%	5.99%	3.04%	4.97%	3.29%	3.28%	6.11%	3.88%	5.10%	4.14%	4.81%	3.44%	4.09%	5.26%	5.04%	4.92%	4.86%	4.54%	3.88%	5.72%	3.48%	3.54%	4.29%	6.48%	3.61%	5.20%	5.29%	6.84%	3.76%	3.50%	4.43%	5.41%	5.12%	6.34%	5.92%	5.74%	6.36%	3.62%	4.39%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
